Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,12.15,12.24,11.95,12.09,11.128656,69100
2017-01-04,12.24,12.72,12.05,12.68,11.671741,160000
2017-01-05,12.81,12.864,12.48,12.59,11.588899000000001,27800
2017-01-06,12.4,12.48,12.03,12.28,11.303548,49100
2017-01-09,12.18,12.545,12.039,12.39,11.404800999999999,20500
2017-01-10,12.3,12.47,12.21,12.44,11.450826,29100
2017-01-11,12.46,12.46,12.19,12.43,11.441621000000001,16800
2017-01-12,12.45,12.45,12.15,12.4,11.414006,27900
2017-01-13,12.41,12.45,12.25,12.44,11.450826,19200
2017-01-17,12.45,12.89,12.26,12.51,11.515259,37300
2017-01-18,12.62,12.62,12.25,12.46,11.469235000000001,44700
2017-01-19,12.51,12.51,12.28,12.45,11.46003,38300
2017-01-20,12.59,12.59,12.382,12.53,11.533669,25800
2017-01-23,12.5,12.554,12.26,12.27,11.294344,45500
2017-01-24,12.4,12.4,12.1,12.23,11.257522999999999,42000
2017-01-25,12.25,12.39,12.05,12.28,11.303548,61500
2017-01-26,12.34,12.34,12.04,12.13,11.165476,26300
2017-01-27,12.26,12.26,12.01,12.14,11.17468,45700
2017-01-30,12.13,12.14,11.88,12.14,11.17468,41900
2017-01-31,12.2,12.2,11.9,12.01,11.055017,49600
2017-02-01,12.03,12.03,11.67,11.89,10.944559,68300
2017-02-02,11.88,12.02,11.71,12.0,11.045813,34400
2017-02-03,12.03,12.03,11.87,11.96,11.008992999999998,47000
2017-02-06,11.9,12.21,11.877,12.16,11.19309,76500
2017-02-07,12.16,12.3,12.12,12.27,11.294344,44200
2017-02-08,12.33,12.35,12.19,12.35,11.367981,26300
2017-02-09,12.27,12.49,12.14,12.37,11.386391999999999,53200
2017-02-10,12.32,12.515,12.21,12.29,11.312752,35600
2017-02-13,12.29,12.56,12.29,12.41,11.423210000000001,74300
2017-02-14,12.52,12.68,12.36,12.67,11.662537,40800
2017-02-15,12.76,12.85,12.53,12.74,11.726971,49900
2017-02-16,12.72,12.87,12.51,12.8,11.7822,40000
2017-02-17,12.88,12.88,12.51,12.68,11.671741,48900
2017-02-21,12.68,12.88,12.57,12.83,11.809814,49900
2017-02-22,12.89,12.94,12.78,12.87,11.846634,47600
2017-02-23,12.9,12.98,12.76,12.84,11.819019,50100
2017-02-24,12.9,12.9,12.53,12.59,11.588899000000001,44700
2017-02-27,12.58,12.629,12.21,12.51,11.515259,56000
2017-02-28,12.51,12.57,12.147,12.49,11.496849000000001,59900
2017-03-01,12.51,12.79,12.35,12.63,11.625717,67300
2017-03-02,12.6,12.8,12.51,12.53,11.533669,73300
2017-03-03,12.46,12.749,12.46,12.5,11.506055,46400
2017-03-06,12.5,12.74,12.5,12.6,11.598103,36000
2017-03-07,12.6,12.68,12.24,12.62,11.616512,45500
2017-03-08,12.62,12.68,12.21,12.66,11.653332,63300
2017-03-09,12.54,12.7,12.4,12.63,11.625717,55200
2017-03-10,12.64,12.96,12.618,12.96,11.929477,73800
2017-03-13,12.96,13.59,12.75,13.47,12.398924000000001,114900
2017-03-14,13.25,13.3,13.15,13.21,12.159597999999999,92000
2017-03-15,13.22,13.4,13.08,13.31,12.251648,68100
2017-03-16,13.3,13.47,13.08,13.29,12.233236,52700
2017-03-17,13.34,13.61,13.11,13.47,12.398924000000001,150900
2017-03-20,13.57,13.64,13.33,13.64,12.555407,53800
2017-03-21,13.64,13.75,13.358,13.49,12.417334,53900
2017-03-22,13.43,13.54,13.18,13.26,12.205623,49700
2017-03-23,13.26,13.554,13.26,13.54,12.463358,24600
2017-03-24,13.56,13.75,13.48,13.75,12.65666,64000
2017-03-27,13.86,14.0,13.54,14.0,12.886781,105800
2017-03-28,14.0,14.23,13.91,13.99,12.877576,87700
2017-03-29,13.7,13.89,13.53,13.8,13.047765,57800
2017-03-30,13.85,13.99,13.835,13.98,13.217951999999999,60600
2017-03-31,13.98,13.98,13.25,13.74,12.991035,74400
2017-04-03,13.78,13.95,13.28,13.92,13.161222,76800
2017-04-04,13.86,14.09,13.555,13.77,13.0194,63000
2017-04-05,13.86,14.15,13.704,14.05,13.284137,61200
2017-04-06,13.95,14.09,13.797,14.01,13.246317999999999,60000
2017-04-07,14.0,14.3,13.92,14.29,13.511054999999999,59900
2017-04-10,14.33,14.33,13.98,14.23,13.454325,28300
2017-04-11,14.16,14.24,13.91,14.03,13.265226,46800
2017-04-12,14.03,14.2,13.46,14.13,13.359776,51600
2017-04-13,14.02,14.73,14.02,14.48,13.690697,104000
2017-04-17,14.39,14.55,14.29,14.31,13.529964000000001,62900
2017-04-18,14.11,14.47,14.088,14.36,13.577239000000002,61000
2017-04-19,14.31,14.5,14.08,14.29,13.511054999999999,34100
2017-04-20,14.26,14.34,14.25,14.28,13.501598999999999,45800
2017-04-21,14.34,14.46,14.18,14.39,13.605604000000001,34000
2017-04-24,14.46,14.46,14.1,14.2,13.42596,36600
2017-04-25,14.08,14.38,13.58,14.25,13.473235,104700
2017-04-26,14.16,14.32,13.75,14.02,13.255773000000001,47200
2017-04-27,13.89,14.1,13.61,13.89,13.132859,91500
2017-04-28,13.85,14.0,13.72,13.93,13.170678,44100
2017-05-01,13.99,14.1,13.73,14.09,13.321957000000001,52900
2017-05-02,14.21,14.21,14.0,14.18,13.40705,37800
2017-05-03,14.12,14.176,13.62,14.05,13.284137,27300
2017-05-04,14.03,14.23,13.62,13.93,13.170678,60000
2017-05-05,13.94,14.44,13.9,14.28,13.501598999999999,51900
2017-05-08,14.28,14.5,14.21,14.49,13.700152,63100
2017-05-09,14.47,14.5,14.192,14.25,13.473235,25500
2017-05-10,14.26,14.5,14.11,14.41,13.624513,45800
2017-05-11,14.42,14.61,14.24,14.48,13.690697,31900
2017-05-12,14.42,14.5,13.52,14.31,13.529964000000001,42600
2017-05-15,14.21,14.4,14.21,14.33,13.548874,18100
2017-05-16,14.4,14.4,14.02,14.03,13.265226,24800
2017-05-17,13.51,13.601,13.41,13.55,12.811392,644400
2017-05-18,13.5,13.69,13.5,13.51,12.773572,145700
2017-05-19,13.54,13.601,13.45,13.45,12.716842999999999,96100
2017-05-22,13.6,13.64,13.441,13.5,12.764117,39900
2017-05-23,13.5,13.58,13.45,13.46,12.726297,108300
2017-05-24,13.46,13.54,13.39,13.4,12.669568,148700
2017-05-25,13.43,13.56,13.4,13.4,12.669568,72800
2017-05-26,13.45,13.45,13.3,13.32,12.593929,68200
2017-05-30,13.3,13.45,13.2,13.23,12.508834,50200
2017-05-31,13.21,13.46,13.2,13.2,12.48047,60900
2017-06-01,13.2,13.34,13.15,13.24,12.518289999999999,57400
2017-06-02,13.24,13.58,13.2,13.2,12.48047,42700
2017-06-05,13.2,13.28,13.18,13.23,12.508834,32400
2017-06-06,13.21,13.379,13.18,13.18,12.46156,38000
2017-06-07,13.19,13.25,13.15,13.18,12.46156,20900
2017-06-08,13.17,13.25,13.15,13.15,12.433196,39300
2017-06-09,13.15,13.34,13.13,13.18,12.46156,33600
2017-06-12,13.15,13.29,13.15,13.28,12.556109,43300
2017-06-13,13.25,13.44,13.16,13.36,12.631748,35400
2017-06-14,13.32,13.51,13.25,13.35,12.622294,36100
2017-06-15,13.3,13.52,13.3,13.33,12.603384,35200
2017-06-16,13.4,13.478,13.25,13.28,12.556109,36000
2017-06-19,13.26,13.54,13.26,13.5,12.764117,43000
2017-06-20,13.45,13.52,13.45,13.45,12.716842999999999,33500
2017-06-21,13.45,13.69,13.4,13.43,12.697933,38900
2017-06-22,13.4,13.55,13.18,13.47,12.735753,50100
2017-06-23,13.47,13.49,13.33,13.45,12.716842999999999,31800
2017-06-26,13.57,13.74,13.46,13.67,12.92485,70100
2017-06-27,13.67,13.755,13.6,13.71,12.96267,82100
2017-06-28,13.42,13.44,13.05,13.37,12.96267,64800
2017-06-29,13.25,13.59,13.22,13.5,13.08871,116100
2017-06-30,13.5,13.62,13.25,13.59,13.175968,83500
2017-07-03,13.16,13.49,13.16,13.28,12.875411999999999,32400
2017-07-05,13.41,13.6,13.19,13.53,13.117795000000001,57600
2017-07-06,13.46,13.63,13.21,13.29,12.885107000000001,60200
2017-07-07,13.3,13.59,13.25,13.48,13.069319,30500
2017-07-10,13.45,13.61,13.29,13.47,13.059624000000001,36900
2017-07-11,13.53,13.576,13.336,13.39,12.982061,59200
2017-07-12,13.41,13.49,13.351,13.45,13.040233,27200
