Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,11.9,12.0,11.8,11.9,11.108829,50000
2017-01-04,11.95,12.4,11.913,12.4,11.575586,136800
2017-01-05,12.45,12.65,12.35,12.6,11.762288,71000
2017-01-06,12.65,12.7,12.581,12.6,11.762288,46600
2017-01-09,12.7,12.7,12.55,12.7,11.855639,43800
2017-01-10,12.6,12.75,12.6,12.6,11.762288,55000
2017-01-11,12.7,12.7,12.6,12.7,11.855639,72000
2017-01-12,12.65,12.85,12.65,12.795,11.944324,97300
2017-01-13,12.85,12.85,12.731,12.745,11.897649000000001,79300
2017-01-17,12.75,12.8,12.65,12.75,11.902317,63200
2017-01-18,12.85,12.85,12.55,12.7,11.855639,68400
2017-01-19,12.65,12.7,12.45,12.5,11.758749,32300
2017-01-20,12.45,12.5,11.85,12.15,11.429503,117900
2017-01-23,12.2,12.55,12.1,12.55,11.805785,45800
2017-01-24,12.45,12.65,12.45,12.45,11.711713,26900
2017-01-25,12.4,12.7,12.4,12.7,11.946889,35900
2017-01-26,12.65,12.7,12.55,12.7,11.946889,33900
2017-01-27,12.679,12.7,12.5,12.6,11.852818,53100
2017-01-30,12.45,12.6,12.35,12.525,11.782267,28900
2017-01-31,12.55,12.55,12.4,12.5,11.758749,33300
2017-02-01,12.45,12.55,12.35,12.45,11.711713,52800
2017-02-02,12.35,12.655,12.25,12.55,11.805785,50900
2017-02-03,12.6,12.75,12.555,12.7,11.946889,59600
2017-02-06,12.55,12.65,12.4,12.55,11.805785,40800
2017-02-07,12.65,12.7,12.5,12.6,11.852818,26800
2017-02-08,12.7,12.7,12.55,12.7,11.946889,46700
2017-02-09,12.7,12.7,12.6,12.6,11.852818,56500
2017-02-10,12.65,12.75,12.65,12.75,11.993924,39600
2017-02-13,12.7,12.85,12.65,12.75,11.993924,69400
2017-02-14,12.8,12.85,12.8,12.85,12.087995,57600
2017-02-15,12.85,12.9,12.75,12.8,12.132543,41500
2017-02-16,12.8,12.85,12.5,12.8,12.132543,74800
2017-02-17,12.7,12.75,12.65,12.65,11.990364999999999,38400
2017-02-21,12.725,12.75,12.55,12.6,11.942973,82200
2017-02-22,12.65,12.75,12.6,12.75,12.08515,34800
2017-02-23,12.8,12.9,12.6,12.85,12.179936,51300
2017-02-24,12.8,12.95,12.75,12.95,12.274721000000001,48600
2017-02-27,12.95,12.95,12.75,12.9,12.227328,34900
2017-02-28,12.95,13.145,12.75,13.0,12.322114,91400
2017-03-01,12.85,12.95,12.8,12.8,12.132543,43200
2017-03-02,12.9,13.1,12.7,13.0,12.322114,148700
2017-03-03,13.0,13.1,12.9,13.1,12.4169,55500
2017-03-06,12.8,13.05,12.655,12.85,12.179936,66700
2017-03-07,12.8,13.075,12.8,13.075,12.393203,33900
2017-03-08,13.1,13.3,13.0,13.15,12.464292,128800
2017-03-09,13.25,13.375,12.45,12.8,12.132543,181900
2017-03-10,12.9,12.9,12.55,12.7,12.037758,106900
2017-03-13,12.85,13.15,12.775,13.1,12.4169,141300
2017-03-14,13.15,13.3,12.95,13.1,12.4169,221400
2017-03-15,13.1,13.7,13.1,13.35,12.653864,130300
2017-03-16,13.45,13.6,13.35,13.45,12.748648,71300
2017-03-17,13.45,13.6,13.397,13.5,12.796041,84400
2017-03-20,13.55,13.55,13.45,13.5,12.796041,45100
2017-03-21,13.5,13.5,13.1,13.3,12.697705000000001,74100
2017-03-22,13.35,13.377,13.25,13.3,12.697705000000001,42800
2017-03-23,13.45,13.7,13.25,13.35,12.745439999999999,52800
2017-03-24,13.4,13.45,13.15,13.3,12.697705000000001,38700
2017-03-27,13.25,13.35,13.1,13.2,12.602234,32700
2017-03-28,13.25,13.4,13.15,13.4,12.793177,50200
2017-03-29,13.4,13.8,13.25,13.8,13.175061999999999,95600
2017-03-30,13.8,14.1,13.75,13.75,13.127326,118600
2017-03-31,13.85,13.85,13.7,13.75,13.127326,66400
2017-04-03,13.9,13.9,13.7,13.8,13.175061999999999,107100
2017-04-04,13.9,13.9,13.7,13.8,13.175061999999999,60500
2017-04-05,13.9,13.95,13.605,13.7,13.079591,41700
2017-04-06,13.8,13.85,13.5,13.7,13.079591,60400
2017-04-07,13.75,13.8,13.65,13.75,13.127326,48600
2017-04-10,13.8,13.85,13.75,13.8,13.175061999999999,62100
2017-04-11,13.85,13.85,13.65,13.7,13.079591,56100
2017-04-12,13.8,13.8,13.6,13.7,13.079591,32100
2017-04-13,13.75,13.75,13.6,13.7,13.079591,48500
2017-04-17,13.75,13.792,13.55,13.6,12.984119999999999,45900
2017-04-18,13.6,13.75,13.55,13.6,13.077392999999999,92600
2017-04-19,13.7,13.7,13.305,13.35,12.836999,35100
2017-04-20,13.45,13.5,13.35,13.5,12.981235,38200
2017-04-21,13.65,13.65,13.325,13.5,12.981235,59500
2017-04-24,13.65,13.65,13.3,13.4,12.885077,74600
2017-04-25,13.45,13.5,12.9,13.05,12.548527,208700
2017-04-26,13.05,13.5,13.0,13.5,12.981235,108900
2017-04-27,13.55,13.75,13.35,13.45,12.933157000000001,65900
2017-04-28,13.5,13.5,13.15,13.4,12.885077,74100
2017-05-01,13.45,13.45,13.25,13.35,12.836999,48000
2017-05-02,13.45,13.45,13.25,13.4,12.885077,36700
2017-05-03,13.45,13.6,13.25,13.6,13.077392999999999,88800
2017-05-04,13.6,13.6,13.1,13.15,12.644684,87400
2017-05-05,13.25,13.35,13.1,13.25,12.740843,50100
2017-05-08,13.3,13.3,13.15,13.3,12.78892,39000
2017-05-09,13.35,13.35,12.9,13.0,12.500449,60000
2017-05-10,13.1,13.55,13.0,13.45,12.933157000000001,56800
2017-05-11,13.45,13.45,13.25,13.4,12.885077,25800
