Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,15.45,15.9,15.45,15.7,15.539581,189600
2017-01-04,15.68,15.7,15.35,15.54,15.381216,24800
2017-01-05,15.65,15.87,15.6,15.65,15.490092,33100
2017-01-06,15.75,15.75,15.26,15.48,15.321829000000001,6400
2017-01-09,15.65,15.89,15.55,15.7,15.539581,86100
2017-01-10,15.58,15.7,15.57,15.67,15.509888,16300
2017-01-11,15.54,15.7,15.23,15.7,15.539581,7500
2017-01-12,15.37,15.7,15.21,15.55,15.391115,10300
2017-01-13,15.44,15.63,15.11,15.11,14.955608999999999,9100
2017-01-17,14.85,14.88,13.09,14.49,14.341945,77600
2017-01-18,14.49,14.95,14.3,14.76,14.609186,9600
2017-01-19,14.75,14.89,14.75,14.89,14.737858,4200
2017-01-20,14.63,14.89,14.11,14.21,14.064805999999999,23600
2017-01-23,13.92,14.37,13.5,13.79,13.649097,28500
2017-01-24,13.8,15.0,13.48,14.88,14.727960000000001,43400
2017-01-25,14.9,15.0,14.55,14.87,14.718062,15600
2017-01-26,14.78,15.67,14.78,15.22,15.064487,30100
2017-01-27,15.5,15.5,14.89,15.31,15.153567,20600
2017-01-30,15.1,15.16,14.8,14.84,14.68837,10600
2017-01-31,14.97,15.1,14.66,15.0,14.846735,6300
2017-02-01,15.1,15.22,15.05,15.05,14.896223,13200
2017-02-02,14.97,15.15,14.97,15.01,14.856632000000001,8000
2017-02-03,15.07,15.15,15.06,15.08,14.925917000000002,8500
2017-02-06,15.11,15.16,14.89,15.05,14.945778,29100
2017-02-07,15.15,15.19,14.96,14.99,14.886192999999999,11400
2017-02-08,14.92,15.23,14.92,15.23,15.124531,214800
2017-02-09,15.18,15.36,15.18,15.27,15.164254999999999,11500
2017-02-10,15.28,15.45,15.2,15.4,15.293354,6500
2017-02-13,15.45,15.45,15.03,15.04,14.935847,9000
2017-02-14,14.69,15.38,14.69,15.32,15.213907999999998,20800
2017-02-15,15.15,15.44,15.04,15.19,15.084807000000001,5700
2017-02-16,15.11,15.43,15.11,15.35,15.243701000000001,8600
2017-02-17,15.36,15.45,15.05,15.35,15.243701000000001,8500
2017-02-21,15.35,15.42,15.15,15.32,15.213907999999998,15400
2017-02-22,15.34,15.35,15.17,15.35,15.243701000000001,6100
2017-02-23,15.32,15.32,15.06,15.06,14.955708999999999,2500
2017-02-24,15.0,15.04,14.42,15.03,14.925916,79300
2017-02-27,15.1,15.32,14.92,15.08,14.975570000000001,10800
2017-02-28,14.95,15.13,14.7,14.88,14.776956,29000
2017-03-01,15.03,15.24,14.86,15.07,14.965639000000001,59700
2017-03-02,15.09,15.14,14.95,14.96,14.8564,4000
2017-03-03,15.06,15.08,14.79,14.98,14.876261999999999,5500
2017-03-06,14.87,15.04,14.78,14.92,14.816678,14300
2017-03-07,14.96,15.02,14.8,14.85,14.747164000000001,10400
2017-03-08,14.86,15.21,14.68,15.03,14.925916,8900
2017-03-09,15.0,15.03,14.81,14.87,14.767024,8900
2017-03-10,14.93,15.04,14.85,14.86,14.757092000000002,16700
2017-03-13,14.96,15.07,14.96,15.04,14.935847,118000
2017-03-14,14.94,15.25,14.94,15.25,15.144392999999999,16300
2017-03-15,15.24,15.25,15.18,15.18,15.074878,6300
2017-03-16,15.15,15.25,15.15,15.22,15.1146,9300
2017-03-17,15.25,15.25,15.16,15.25,15.144392999999999,7100
2017-03-20,15.21,15.28,14.98,15.21,15.104671,6400
2017-03-21,15.25,15.25,14.86,14.91,14.806745999999999,28900
2017-03-22,14.85,15.13,14.85,15.0,14.896123999999999,9400
2017-03-23,14.95,15.14,14.63,15.14,15.035155,7200
2017-03-24,15.24,15.24,15.0,15.2,15.094739,7800
2017-03-27,15.06,15.23,14.83,15.23,15.124531,25400
2017-03-28,15.04,15.1,14.84,14.94,14.836539000000002,12700
2017-03-29,15.17,15.17,14.9,14.9,14.796817,11800
2017-03-30,14.86,15.05,14.66,14.97,14.866332,57200
2017-03-31,15.18,15.22,14.81,14.82,14.71737,28900
2017-04-03,14.95,14.95,14.74,14.84,14.737232,23000
2017-04-04,14.88,14.95,14.74,14.86,14.757092000000002,10900
2017-04-05,14.76,14.93,14.61,14.61,14.508823999999999,13700
2017-04-06,14.64,14.89,14.54,14.54,14.439309,3000
2017-04-07,14.79,14.81,14.69,14.81,14.70744,1600
2017-04-10,14.72,14.74,13.7,14.13,14.032148000000001,40900
2017-04-11,14.28,15.14,14.12,14.86,14.757092000000002,67900
2017-04-12,14.73,14.92,14.73,14.8,14.697509,28800
2017-04-13,14.71,14.96,14.7,14.84,14.737232,1800
2017-04-17,14.65,14.95,14.65,14.87,14.767024,14300
2017-04-18,14.78,14.94,14.78,14.85,14.747164000000001,2500
2017-04-19,14.88,14.95,14.78,14.94,14.836539000000002,6600
2017-04-20,14.84,14.94,14.52,14.65,14.548547,28900
2017-04-21,14.67,14.85,14.6,14.71,14.608132000000001,31800
2017-04-24,14.7,14.85,14.65,14.8,14.697509,23100
2017-04-25,14.74,14.95,14.74,14.87,14.767024,111300
2017-04-26,14.9,15.2,14.9,14.95,14.846471,28200
2017-04-27,14.94,15.06,14.76,14.79,14.687578,44200
2017-04-28,14.84,15.08,14.67,14.8,14.697509,30400
2017-05-01,14.65,14.86,14.65,14.75,14.697509,18600
2017-05-02,14.7,14.9,14.62,14.75,14.697509,38100
2017-05-03,14.67,14.9,14.67,14.79,14.737367,18300
2017-05-04,14.79,15.0,14.79,15.0,14.946620000000001,19000
2017-05-05,14.89,15.0,14.12,14.97,14.916726999999998,140600
2017-05-08,15.08,15.08,14.82,14.9,14.846975,69500
2017-05-09,14.84,14.86,14.77,14.83,14.777225,3600
2017-05-10,14.76,14.76,14.3,14.34,14.288967999999999,8300
2017-05-11,14.25,14.25,14.01,14.01,13.960142999999999,7900
2017-05-12,14.01,14.32,14.01,14.3,14.249111,800
2017-05-15,14.33,14.33,13.75,13.76,13.711032999999999,10800
2017-05-16,13.8,14.01,13.55,14.0,13.950178,21500
2017-05-17,13.9,14.49,13.9,14.42,14.368684,4800
2017-05-18,14.33,14.33,13.81,13.83,13.780783,13300
2017-05-19,14.21,14.21,13.62,13.67,13.621353,3000
2017-05-22,13.54,13.7,13.47,13.51,13.461923,11100
2017-05-23,13.68,13.7,13.56,13.56,13.511744,6600
2017-05-24,13.56,13.65,13.56,13.65,13.601423,800
2017-05-25,13.73,14.2,13.73,14.15,14.099644,2000
2017-05-26,14.2,14.2,13.76,14.1,14.049823000000002,30100
2017-05-30,13.86,14.05,13.8,13.8,13.75089,40000
2017-05-31,13.83,13.83,13.8,13.81,13.760855,9600
2017-06-01,13.67,13.89,13.66,13.86,13.810676999999998,14100
2017-06-02,13.89,13.92,13.89,13.92,13.870463,900
2017-06-05,13.85,13.93,13.54,13.82,13.770819,13000
2017-06-06,13.74,13.77,13.53,13.53,13.481851,3600
2017-06-07,13.69,13.99,13.67,13.98,13.930249,15500
2017-06-08,13.79,13.79,13.78,13.79,13.740926000000002,500
2017-06-09,13.77,13.87,13.76,13.87,13.820641,6200
2017-06-12,13.88,13.92,13.68,13.69,13.641281,6000
2017-06-13,13.65,13.76,13.65,13.72,13.671175,1800
2017-06-14,13.67,13.9,13.66,13.76,13.711032999999999,7500
2017-06-15,13.74,13.83,13.66,13.83,13.780783,18000
2017-06-16,13.73,14.23,13.73,14.23,14.179359,25500
2017-06-19,14.03,14.35,14.02,14.25,14.199288000000001,9800
2017-06-20,14.2,14.39,13.94,14.35,14.298932999999998,11700
2017-06-21,14.4,14.73,14.24,14.41,14.358719,38200
2017-06-22,14.87,14.87,14.1,14.25,14.199288000000001,16900
2017-06-23,14.03,14.03,14.01,14.01,13.960142999999999,6600
2017-06-26,14.08,14.5,13.9,14.13,14.079716000000001,41100
2017-06-27,14.19,14.4,13.92,13.97,13.920285,36000
2017-06-28,14.09,14.25,14.01,14.02,13.970107,2600
2017-06-29,13.91,14.0,13.89,13.9,13.850532999999999,2700
2017-06-30,13.93,14.51,13.93,14.51,14.458364000000001,12600
2017-07-03,14.32,14.55,14.23,14.49,14.438435,9900
2017-07-05,14.41,14.43,14.25,14.25,14.199288000000001,1100
2017-07-06,14.19,14.35,14.18,14.35,14.298932999999998,900
2017-07-07,14.16,14.35,14.15,14.35,14.298932999999998,6100
2017-07-10,14.27,14.38,14.15,14.15,14.099644,6200
2017-07-11,14.14,14.14,14.04,14.06,14.009965,5100
2017-07-12,14.04,14.22,14.04,14.22,14.169395000000002,2400
2017-07-13,14.32,14.34,14.23,14.26,14.209253,3700
2017-07-14,14.14,14.28,14.14,14.22,14.169395000000002,7700
2017-07-17,14.23,14.23,14.15,14.17,14.119573999999998,2400
2017-07-18,14.22,14.4,14.19,14.35,14.298932999999998,5300
2017-07-19,14.35,14.49,14.3,14.4,14.348754999999999,10000
2017-07-20,14.27,14.27,13.71,13.95,13.900356,11100
2017-07-21,13.96,14.0,13.95,13.95,13.900356,3600
2017-07-24,14.05,14.12,14.01,14.06,14.009965,17400
2017-07-25,14.13,14.39,14.13,14.2,14.149467000000001,5600
2017-07-26,14.14,14.41,14.14,14.2,14.149467000000001,3000
2017-07-27,14.08,14.08,14.01,14.05,14.000001000000001,6700
2017-07-28,14.06,14.08,13.95,14.05,14.000001000000001,2600
2017-07-31,13.93,14.14,13.9,13.95,13.95,8000
2017-08-01,13.95,13.96,13.81,13.81,13.81,4500
2017-08-02,13.83,13.94,13.83,13.94,13.94,900
2017-08-03,13.8,13.91,13.8,13.9,13.9,37600
2017-08-04,13.86,14.0,13.85,13.91,13.91,16400
2017-08-07,13.87,13.95,13.82,13.85,13.85,15300
2017-08-08,13.9,14.05,13.9,14.05,14.05,3600
2017-08-09,13.98,14.04,13.78,13.8,13.8,7200
2017-08-10,13.71,13.71,13.5,13.5,13.5,4100
2017-08-11,13.5,13.57,13.45,13.5,13.5,4800
2017-08-14,13.5,13.5,13.45,13.47,13.47,1300
2017-08-15,13.49,13.5,13.45,13.45,13.45,5800
2017-08-16,13.45,13.51,13.45,13.45,13.45,21600
2017-08-17,13.48,13.48,13.35,13.35,13.35,6300
2017-08-18,13.35,13.35,13.3,13.31,13.31,5900
2017-08-21,13.3,13.31,13.27,13.27,13.27,5200
2017-08-22,13.28,13.32,13.28,13.31,13.31,9000
2017-08-23,13.55,13.55,13.55,13.55,13.55,100
2017-08-24,13.54,13.54,13.3,13.3,13.3,3100
2017-08-25,13.3,13.44,13.28,13.44,13.44,1100
2017-08-28,13.27,13.44,13.26,13.26,13.26,8000
2017-08-29,13.17,13.39,13.09,13.23,13.23,11800
2017-08-30,13.19,13.34,13.19,13.31,13.31,3800
2017-08-31,13.41,13.41,13.21,13.21,13.21,5600
2017-09-01,13.28,13.56,13.27,13.4,13.4,4600
2017-09-05,13.21,13.31,13.2,13.31,13.31,1900
2017-09-06,13.21,13.4,13.2,13.21,13.21,1500
2017-09-07,13.2,13.2,13.1,13.12,13.12,7500
2017-09-08,13.11,13.11,13.1,13.11,13.11,1800
2017-09-11,13.11,13.18,13.11,13.17,13.17,1900
2017-09-12,13.11,13.15,13.11,13.14,13.14,3800
2017-09-13,13.13,13.29,13.13,13.13,13.13,3000
2017-09-14,13.14,13.19,13.13,13.13,13.13,1500
2017-09-15,13.13,13.27,13.13,13.27,13.27,5000
2017-09-18,12.97,13.27,12.97,13.22,13.22,11800
2017-09-19,13.22,13.36,13.21,13.27,13.27,6600
2017-09-20,13.31,13.48,13.29,13.45,13.45,6200
2017-09-21,13.37,13.44,13.37,13.43,13.43,1300
2017-09-22,13.45,13.56,13.45,13.56,13.56,17000
2017-09-25,13.57,13.69,13.53,13.65,13.65,76100
2017-09-26,13.67,13.74,13.66,13.7,13.7,23600
2017-09-27,13.75,13.89,13.73,13.89,13.89,28400
2017-09-28,13.91,14.49,13.91,14.15,14.15,5100
2017-09-29,14.4184,14.4184,13.83,13.84,13.84,3880
