Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,10.35,10.72,10.3,10.38,10.050122,33300
2017-01-04,10.35,10.67,10.25,10.64,10.301859,49700
2017-01-05,10.65,10.69,10.45,10.45,10.117897,35600
2017-01-06,10.5,10.5,10.37,10.38,10.050122,26600
2017-01-09,10.39,10.4,10.25,10.34,10.011394000000001,25000
2017-01-10,10.28,10.45,10.26,10.32,9.992028,23300
2017-01-11,10.28,10.43,10.26,10.38,10.050122,27200
2017-01-12,10.35,10.35,10.09,10.23,9.904888,34200
2017-01-13,10.28,10.33,10.16,10.31,9.982347,27000
2017-01-17,10.2,10.3,9.76,9.98,9.662833000000001,46900
2017-01-18,9.99,10.11,9.92,10.04,9.720927,21500
2017-01-19,10.12,10.12,9.9,9.92,9.604741,29400
2017-01-20,9.88,10.05,9.69,9.91,9.595057,67500
2017-01-23,9.93,10.08,9.75,9.93,9.614423,52700
2017-01-24,9.98,10.29,9.94,10.27,9.943619,77400
2017-01-25,10.28,10.42,10.27,10.39,10.059804,39900
2017-01-26,10.53,11.06,10.43,11.0,10.650418,144000
2017-01-27,11.0,11.01,10.55,10.73,10.388999,35400
2017-01-30,10.58,10.59,10.32,10.38,10.050122,39400
2017-01-31,10.37,10.51,10.26,10.49,10.156627,35000
2017-02-01,10.57,10.58,10.35,10.39,10.059804,29000
2017-02-02,10.35,10.64,10.35,10.39,10.059804,28600
2017-02-03,10.49,10.56,10.41,10.44,10.108215,30700
2017-02-06,10.42,10.52,10.4,10.43,10.098533999999999,33300
2017-02-07,10.5,10.62,10.46,10.54,10.205036999999999,30700
2017-02-08,10.44,10.46,10.1,10.11,9.891939,37000
2017-02-09,10.13,10.35,10.11,10.22,9.999566999999999,31100
2017-02-10,10.23,10.33,10.12,10.26,10.038704,18800
2017-02-13,10.35,10.35,10.18,10.3,10.077841000000001,18600
2017-02-14,10.27,10.3,10.2,10.28,10.058271000000001,21100
2017-02-15,10.2,10.48,10.2,10.38,10.156116,24800
2017-02-16,10.33,10.39,10.27,10.32,10.097408999999999,23100
2017-02-17,10.33,10.44,10.32,10.35,10.126762,38900
2017-02-21,10.43,10.65,10.36,10.65,10.420292,36100
2017-02-22,10.7,10.74,10.55,10.59,10.361587,20100
2017-02-23,10.58,10.78,10.37,10.62,10.390939,51300
2017-02-24,10.92,10.92,10.56,10.73,10.498566,37300
2017-02-27,10.82,10.97,10.47,10.53,10.302878999999999,114500
2017-02-28,10.52,10.59,10.27,10.34,10.116978999999999,50500
2017-03-01,10.48,10.61,10.28,10.35,10.126762,82600
2017-03-02,10.38,10.53,10.33,10.45,10.224606,44100
2017-03-03,10.5,10.55,10.41,10.45,10.224606,39800
2017-03-06,10.46,10.52,10.39,10.39,10.165899000000001,47900
2017-03-07,10.46,10.65,10.39,10.45,10.224606,53800
2017-03-08,10.56,10.56,10.23,10.28,10.058271000000001,25300
2017-03-09,10.56,10.64,10.35,10.38,10.156116,41700
2017-03-10,10.46,10.57,10.36,10.39,10.165899000000001,63600
2017-03-13,10.38,10.5,10.33,10.4,10.175684,30800
2017-03-14,10.41,10.51,10.26,10.43,10.205036999999999,24700
2017-03-15,10.41,10.5,10.31,10.36,10.136546000000001,49500
