Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,18.6,18.969998999999998,18.4,18.780001000000002,18.780001000000002,70300
2017-01-04,18.809998999999998,18.950001,18.059998999999998,18.620001000000002,18.620001000000002,113700
2017-01-05,18.6,18.75,18.224001,18.41,18.41,79300
2017-01-06,18.52,18.6,17.740999,17.879998999999998,17.879998999999998,147500
2017-01-09,17.620001000000002,18.4,17.618999,17.889999,17.889999,79800
2017-01-10,17.9,18.26,16.686001,17.379998999999998,17.379998999999998,256500
2017-01-11,17.41,17.74,17.16,17.610001,17.610001,79900
2017-01-12,17.73,17.73,16.75,17.0,17.0,54200
2017-01-13,17.01,17.059998999999998,16.5,16.620001000000002,16.620001000000002,156900
2017-01-17,16.57,16.700001,16.030001000000002,16.049999,16.049999,66200
2017-01-18,16.02,16.530001000000002,16.01,16.42,16.42,57500
2017-01-19,16.57,16.74,16.299999,16.43,16.43,61400
2017-01-20,16.549999,16.554001,16.285,16.450001,16.450001,21900
2017-01-23,16.48,16.48,15.81,15.97,15.97,100700
2017-01-24,15.98,16.09,15.4,15.66,15.66,198100
2017-01-25,15.74,16.389999,15.3,16.209999,16.209999,226500
2017-01-26,16.26,16.325001,14.915,15.03,15.03,269200
2017-01-27,15.13,15.23,14.4,14.6,14.6,300300
2017-01-30,14.5,14.51,14.0,14.14,14.14,177800
2017-01-31,14.05,14.15,13.54,13.84,13.84,269800
2017-02-01,13.92,14.69,13.814,14.63,14.63,259800
2017-02-02,15.6,16.48,15.1,16.370001000000002,16.370001000000002,227400
2017-02-03,16.540001,17.0,15.77,16.139999,16.139999,198900
2017-02-06,16.15,16.152,15.6,15.74,15.74,397300
2017-02-07,15.74,16.84,15.7,16.6,16.6,306100
2017-02-08,16.57,16.74,16.5,16.559998999999998,16.559998999999998,99300
2017-02-09,16.530001000000002,17.209999,16.32,17.040001,17.040001,171300
2017-02-10,15.51,15.56,13.04,14.54,14.54,839700
2017-02-13,14.49,15.404,14.03,14.33,14.33,432600
2017-02-14,14.34,14.435,13.7,14.11,14.11,398600
2017-02-15,14.0,14.467,13.87,14.09,14.09,146800
2017-02-16,14.1,14.3,14.0,14.15,14.15,127600
2017-02-17,14.13,14.21,13.9,14.0,14.0,146200
2017-02-21,14.09,14.092,13.9,13.98,13.98,128800
2017-02-22,13.98,14.02,13.76,13.87,13.87,104500
2017-02-23,13.95,13.95,13.37,13.62,13.62,197100
2017-02-24,13.57,13.76,13.1,13.54,13.54,120600
2017-02-27,13.6,13.65,13.134,13.38,13.38,273200
2017-02-28,13.4,13.57,12.82,12.99,12.99,280600
2017-03-01,13.25,13.25,12.85,13.13,13.13,226800
2017-03-02,13.09,13.42,12.8,13.27,13.27,230200
2017-03-03,13.21,13.3,12.9,13.05,13.05,137200
2017-03-06,13.05,13.26,12.76,12.89,12.89,149500
2017-03-07,12.81,13.05,12.76,12.97,12.97,144600
2017-03-08,12.97,13.03,12.87,12.89,12.89,122500
2017-03-09,12.85,12.87,12.77,12.8,12.8,114400
2017-03-10,12.83,12.94,12.58,12.86,12.86,139600
2017-03-13,12.89,13.23,12.81,12.86,12.86,77700
2017-03-14,12.84,12.84,12.53,12.58,12.58,87900
2017-03-15,12.57,12.6,12.326,12.53,12.53,95300
2017-03-16,12.48,12.92,12.267,12.77,12.77,89000
2017-03-17,12.65,12.92,12.64,12.69,12.69,49300
2017-03-20,12.69,12.771,12.37,12.49,12.49,73700
2017-03-21,12.49,12.52,12.25,12.29,12.29,96200
2017-03-22,11.66,12.14,11.45,11.9,11.9,1745700
2017-03-23,11.94,12.07,11.75,11.79,11.79,426500
2017-03-24,11.8,12.0,11.7,11.79,11.79,374000
2017-03-27,11.79,11.81,11.22,11.71,11.71,448100
2017-03-28,11.66,12.0,11.655,11.77,11.77,680900
2017-03-29,11.81,11.95,11.38,11.74,11.74,322100
2017-03-30,11.7,11.9,11.6,11.85,11.85,261700
2017-03-31,11.77,11.89,11.56,11.73,11.73,572400
2017-04-03,11.75,11.768,11.23,11.36,11.36,315400
2017-04-04,11.4,11.55,10.96,11.1,11.1,407400
2017-04-05,11.05,11.26,10.95,11.02,11.02,409100
2017-04-06,10.98,11.72,10.77,11.6,11.6,476800
2017-04-07,11.64,11.64,11.01,11.29,11.29,241100
2017-04-10,11.26,11.34,11.09,11.25,11.25,314400
2017-04-11,11.25,11.68,11.25,11.34,11.34,212900
2017-04-12,11.3,11.749,11.23,11.63,11.63,454500
2017-04-13,11.55,11.77,11.315,11.61,11.61,283500
2017-04-17,11.67,11.769,11.505,11.7,11.7,353500
2017-04-18,11.75,11.75,11.24,11.5,11.5,321500
2017-04-19,11.57,11.83,11.51,11.7,11.7,186200
2017-04-20,11.77,12.44,11.75,12.23,12.23,493600
2017-04-21,12.2,12.73,11.91,12.71,12.71,512900
2017-04-24,12.73,12.73,12.38,12.71,12.71,247600
2017-04-25,12.84,13.066,12.525,12.8,12.8,317100
2017-04-26,13.7,13.9,13.33,13.36,13.36,391400
2017-04-27,13.46,13.88,13.1,13.42,13.42,473800
2017-04-28,13.47,13.62,12.67,13.05,13.05,194800
2017-05-01,13.07,13.239,12.86,13.0,13.0,288500
2017-05-02,13.04,13.13,12.95,12.97,12.97,475000
2017-05-03,12.85,13.08,12.74,12.82,12.82,256900
2017-05-04,12.93,13.09,12.86,13.01,13.01,562000
2017-05-05,13.65,13.9,13.46,13.86,13.86,689000
2017-05-08,13.51,13.61,12.938,13.11,13.11,2893900
2017-05-09,13.03,13.705,13.02,13.56,13.56,1245100
2017-05-10,13.62,14.24,13.49,13.87,13.87,739600
2017-05-11,14.0,14.22,13.6,14.01,14.01,536000
2017-05-12,14.03,14.18,13.716,14.04,14.04,232800
