Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,28.25,29.299999,27.93,28.9,28.606939,641100
2017-01-04,29.15,29.35,28.299999,29.1,28.804913,648500
2017-01-05,29.049999,29.6,28.030001000000002,28.299999,28.013022999999997,371100
2017-01-06,28.450001,28.75,28.049999,28.4,28.112011,629200
2017-01-09,28.25,28.450001,27.549999,28.049999,27.765558000000002,415200
2017-01-10,28.299999,29.549999,28.1,29.299999,29.002886,563700
2017-01-11,29.5,29.85,28.85,29.85,29.547306,389700
2017-01-12,29.65,30.0,28.65,29.85,29.547306,249700
2017-01-13,29.9,31.35,29.9,31.35,31.032095,265700
2017-01-17,31.1,31.1,30.15,30.75,30.438181,413600
2017-01-18,30.85,31.25,30.450001,31.049999,30.735138,275400
2017-01-19,31.200001,31.5,30.299999,30.6,30.289701,272900
2017-01-20,30.799999,30.9,30.1,30.299999,29.992743,263400
2017-01-23,30.200001,30.549999,29.85,30.1,29.794773,222700
2017-01-24,30.200001,31.049999,30.200001,30.75,30.438181,179500
2017-01-25,31.1,32.580002,30.75,32.450001,32.120940999999995,304800
2017-01-26,32.25,32.400002,31.15,31.549999,31.230065999999997,196300
2017-01-27,31.450001,32.0,30.85,32.0,31.675504999999998,182200
2017-01-30,31.6,32.150002,30.85,32.099998,31.774488,255900
2017-01-31,32.200001,32.349998,31.299999,31.6,31.279559999999996,399800
2017-02-01,31.9,32.400002,31.35,31.950001,31.626013,247400
2017-02-02,31.6,31.85,30.85,31.450001,31.131083,250600
2017-02-03,31.75,32.700001,31.74,32.549999,32.219929,236600
2017-02-06,32.450001,32.599998,31.700001,31.85,31.527027,182200
2017-02-07,31.85,32.349998,30.85,31.200001,30.883619,195700
2017-02-08,31.200001,32.5,29.65,30.700001,30.388687,500300
2017-02-09,30.75,31.700001,30.700001,31.4,31.081589,324000
2017-02-10,31.5,31.799999,31.049999,31.549999,31.309836999999998,196500
2017-02-13,31.65,32.049999,31.1,31.35,31.111361,206600
2017-02-14,31.4,31.9,30.799999,31.1,30.863264,203900
2017-02-15,31.0,31.85,30.9,31.700001,31.458696000000003,171700
2017-02-16,31.700001,31.85,30.65,31.1,30.863264,163800
2017-02-17,31.049999,31.049999,30.549999,31.0,30.764022999999998,169100
2017-02-21,31.049999,31.450001,30.65,30.75,30.515928000000002,195500
2017-02-22,30.65,30.799999,29.75,30.200001,29.970114000000002,169000
2017-02-23,30.25,30.25,29.200001,29.549999,29.325059999999997,150300
2017-02-24,29.25,29.85,28.65,29.5,29.275441999999998,154700
2017-02-27,29.35,30.049999,28.049999,29.950001,29.722016999999997,232200
2017-02-28,29.85,30.200001,29.200001,29.35,29.126585,154800
2017-03-01,30.0,30.950001,29.35,30.65,30.416687,237300
2017-03-02,30.65,30.65,29.799999,29.9,29.672396000000003,135100
2017-03-03,29.9,29.950001,29.299999,29.950001,29.722016999999997,110300
2017-03-06,29.6,29.75,28.35,29.049999,28.828867,112000
2017-03-07,29.0,29.15,28.200001,28.200001,27.98534,141600
2017-03-08,28.200001,28.450001,27.9,27.9,27.687621999999998,136400
2017-03-09,28.0,28.35,27.1,27.25,27.04257,233600
2017-03-10,27.450001,27.799999,26.9,27.4,27.191427,188500
2017-03-13,27.35,27.75,26.700001,27.35,27.141808,127900
2017-03-14,27.25,27.5,26.700001,27.25,27.04257,126200
2017-03-15,27.450001,28.18,27.299999,27.950001,27.737242,155100
2017-03-16,28.1,28.200001,27.58,27.6,27.389906,110000
2017-03-17,27.5,27.799999,26.780001000000002,27.4,27.191427,458600
2017-03-20,27.25,27.549999,26.799999,27.15,26.943331,159800
2017-03-21,27.4,27.4,25.799999,25.799999,25.603604999999998,159400
2017-03-22,25.799999,26.200001,24.950001,25.700001,25.50437,183600
2017-03-23,25.700001,25.950001,25.299999,25.5,25.305891,129100
2017-03-24,25.6,26.85,25.15,25.299999,25.107412,149400
2017-03-27,24.9,25.5,24.549999,25.4,25.206652,152200
2017-03-28,25.35,26.1,24.950001,25.85,25.653226999999998,106900
2017-03-29,25.700001,26.200001,25.35,26.049999,25.851704,122700
2017-03-30,26.049999,26.549999,25.85,26.0,25.802086,116700
2017-03-31,25.950001,26.15,25.67,26.0,25.802086,228800
2017-04-03,26.0,26.5,25.5,25.5,25.305891,141200
2017-04-04,25.35,26.0,25.25,25.9,25.702845,140700
2017-04-05,26.200001,26.700001,25.700001,25.85,25.653226999999998,278900
2017-04-06,25.950001,26.15,25.4,25.799999,25.603604999999998,146800
2017-04-07,25.65,25.799999,25.0,25.049999,24.859316,451700
2017-04-10,25.049999,26.4,24.950001,26.0,25.802086,201300
2017-04-11,25.799999,26.0,25.299999,25.85,25.653226999999998,146300
2017-04-12,25.799999,25.799999,24.700001,24.75,24.5616,228600
2017-04-13,24.700001,24.85,24.1,24.549999,24.363123,164500
2017-04-17,24.75,24.85,24.15,24.75,24.5616,228100
2017-04-18,24.5,24.799999,24.25,24.65,24.46236,124600
2017-04-19,24.799999,25.35,24.549999,24.65,24.46236,228400
2017-04-20,24.85,25.889999,24.549999,25.75,25.553988,205300
2017-04-21,25.700001,25.9,25.25,25.65,25.45475,153500
2017-04-24,26.35,27.15,26.299999,26.85,26.645615000000003,171800
2017-04-25,27.049999,27.25,26.68,26.700001,26.496758000000003,139500
2017-04-26,26.6,27.35,26.35,27.049999,26.844091,150100
2017-04-27,27.15,27.4,26.700001,27.25,27.04257,145700
2017-04-28,27.299999,27.299999,26.299999,26.450001,26.248661,143500
2017-05-01,26.6,26.950001,26.1,26.4,26.199039000000003,156400
2017-05-02,26.450001,26.700001,26.200001,26.65,26.447135999999997,166600
2017-05-03,26.549999,26.65,25.85,26.200001,26.000563,127800
2017-05-04,26.200001,26.43,25.200001,26.25,26.050179999999997,378800
2017-05-05,23.9,24.6,19.700001,19.75,19.599660999999998,923600
2017-05-08,19.6,19.950001,18.25,18.299999,18.160698,643000
2017-05-09,18.450001,18.75,18.200001,18.5,18.359175,496900
2017-05-10,18.35,18.6,17.9,18.200001,18.061459,688400
2017-05-11,18.1,18.299999,17.85,18.1,17.962221,333500
2017-05-12,18.0,18.200001,17.450001,17.700001,17.643248,417100
2017-05-15,17.75,18.25,17.68,17.950001,17.892445000000002,330400
2017-05-16,17.950001,17.950001,17.5,17.85,17.792765,346400
2017-05-17,17.5,17.6,16.950001,17.25,17.194689,348000
2017-05-18,17.15,17.93,17.049999,17.799999,17.742926,527100
2017-05-19,17.9,18.35,17.700001,18.0,17.942284,420300
2017-05-22,18.1,18.85,17.700001,18.85,18.789558,399600
2017-05-23,18.85,19.0,18.25,18.9,18.839397,299500
2017-05-24,18.950001,19.35,18.75,18.799999,18.739717000000002,320800
2017-05-25,18.950001,19.450001,18.690001000000002,19.25,19.188276000000002,285700
2017-05-26,19.299999,19.950001,18.65,18.85,18.789558,224100
2017-05-30,18.700001,19.1,18.5,18.950001,18.889238,222900
2017-05-31,19.0,19.4,18.450001,18.799999,18.739717000000002,169000
2017-06-01,18.85,19.5,18.6,19.299999,19.238115,176300
2017-06-02,19.35,19.799999,19.200001,19.5,19.437475,215500
2017-06-05,19.4,19.85,19.25,19.5,19.437475,220000
2017-06-06,19.4,19.65,19.0,19.450001,19.387635999999997,178100
2017-06-07,19.549999,20.049999,19.4,19.9,19.836191,143900
2017-06-08,19.950001,20.700001,19.799999,20.450001,20.38443,203400
2017-06-09,20.5,20.799999,19.700001,20.450001,20.38443,331900
2017-06-12,20.5,20.950001,20.15,20.35,20.28475,339500
2017-06-13,20.5,21.0,20.4,20.85,20.783146,232000
2017-06-14,20.85,20.85,19.91,20.25,20.18507,217900
2017-06-15,20.15,20.549999,19.5,20.549999,20.484108,210900
2017-06-16,20.4,20.4,19.450001,19.9,19.836191,421100
2017-06-19,20.049999,20.85,20.049999,20.299999,20.234909,195600
2017-06-20,20.25,20.25,19.4,19.549999,19.487314,128500
2017-06-21,19.549999,19.75,19.35,19.4,19.337795,142800
2017-06-22,19.4,19.530001000000002,19.1,19.35,19.287956,184400
2017-06-23,19.299999,19.950001,19.200001,19.799999,19.736511,346500
2017-06-26,19.799999,20.15,19.549999,19.85,19.786351999999997,111200
2017-06-27,19.6,20.65,19.6,20.0,19.935871,148200
2017-06-28,20.15,20.6,19.75,20.450001,20.38443,157200
2017-06-29,20.450001,20.75,20.049999,20.4,20.334589,101300
2017-06-30,20.5,20.700001,20.0,20.6,20.533947,147000
2017-07-03,20.75,21.6,20.4,21.35,21.281544,97600
2017-07-05,21.35,21.35,20.700001,21.0,20.932665,247800
2017-07-06,20.700001,21.030001000000002,20.65,20.75,20.683466,182600
2017-07-07,20.9,21.65,20.549999,21.6,21.530741,186900
2017-07-10,21.6,22.08,21.4,21.85,21.77994,312500
2017-07-11,21.799999,22.049999,21.280001000000002,21.6,21.530741,296800
2017-07-12,21.950001,22.25,21.549999,21.75,21.68026,266900
2017-07-13,21.799999,22.129998999999998,21.450001,22.049999,21.979298,179900
2017-07-14,22.0,22.35,21.450001,22.299999,22.228497,160400
2017-07-17,22.25,22.4,21.65,22.200001,22.128819,162300
2017-07-18,22.15,22.15,21.65,22.0,21.929459,151200
2017-07-19,22.049999,22.25,21.75,22.200001,22.128819,159600
2017-07-20,22.200001,22.299999,21.700001,21.799999,21.730099,162300
