Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,14.4,14.9,14.3,14.7,14.7,964800
2017-01-04,14.8,15.1,14.7,15.0,15.0,1937800
2017-01-05,15.5,15.6,15.0,15.1,15.1,1407700
2017-01-06,15.4,15.4,15.0,15.1,15.1,1166100
2017-01-09,15.2,15.3,14.6,14.8,14.8,1036800
2017-01-10,15.0,15.0,14.3,14.4,14.4,1064700
2017-01-11,14.4,14.7,14.0,14.1,14.1,2275800
2017-01-12,14.0,15.0,14.0,14.5,14.5,2632500
2017-01-13,14.4,14.8,14.1,14.2,14.2,1962800
2017-01-17,14.4,14.5,13.8,13.8,13.8,3093200
2017-01-18,13.8,14.0,13.5,13.7,13.7,3660700
2017-01-19,13.8,13.9,13.5,13.6,13.6,2138800
2017-01-20,13.5,14.0,13.4,13.7,13.7,1868400
2017-01-23,13.7,14.2,13.5,14.0,14.0,1392100
2017-01-24,14.1,14.5,14.0,14.4,14.4,2464500
2017-01-25,14.6,14.7,14.3,14.5,14.5,1506100
2017-01-26,14.7,14.8,14.3,14.4,14.4,924100
2017-01-27,14.4,14.9,14.3,14.8,14.8,1502200
2017-01-30,14.6,14.8,14.3,14.5,14.5,1304700
2017-01-31,14.3,15.5,14.2,15.4,15.4,2947300
2017-02-01,15.5,16.4,15.1,16.1,16.1,3939100
2017-02-02,16.299999,16.6,15.8,16.4,16.4,2143400
2017-02-03,16.6,16.6,16.0,16.5,16.5,1004800
2017-02-06,16.299999,16.5,15.9,16.0,16.0,1398500
2017-02-07,16.1,16.200001,14.8,14.9,14.9,1625600
2017-02-08,14.9,15.1,14.5,14.7,14.7,976100
2017-02-09,14.7,15.1,14.5,14.9,14.9,1269300
2017-02-10,14.9,15.0,14.6,14.7,14.7,975100
2017-02-13,14.9,14.9,14.5,14.6,14.6,733100
2017-02-14,14.5,14.8,14.4,14.6,14.6,898000
2017-02-15,14.6,15.4,14.5,15.4,15.4,84300
2017-02-16,15.4,15.6,14.8,14.9,14.9,1603500
2017-02-17,15.1,15.5,14.6,14.9,14.9,981100
2017-02-21,15.0,15.2,14.5,14.5,14.5,1158800
2017-02-22,14.5,14.7,14.2,14.2,14.2,908200
2017-02-23,14.2,14.4,14.0,14.2,14.2,626800
2017-02-24,15.0,15.0,14.3,14.7,14.7,886700
2017-02-27,14.5,15.9,14.5,15.7,15.7,2023000
2017-02-28,15.9,15.9,15.1,15.8,15.8,1165300
2017-03-01,15.9,16.200001,15.6,16.0,16.0,1583500
2017-03-02,16.0,16.299999,15.2,15.2,15.2,1119200
2017-03-03,15.3,15.6,15.2,15.4,15.4,729200
2017-03-06,15.3,15.5,15.2,15.3,15.3,73100
2017-03-07,15.3,15.4,14.7,14.7,14.7,80100
2017-03-08,14.7,15.1,14.4,14.4,14.4,63300
2017-03-09,14.5,14.8,14.4,14.4,14.4,53200
2017-03-10,14.5,15.0,14.4,14.8,14.8,101100
2017-03-13,15.0,15.0,14.4,14.4,14.4,57800
2017-03-14,14.4,14.6,14.2,14.2,14.2,207400
2017-03-15,16.6,17.0,15.5,16.0,16.0,1481100
2017-03-16,16.0,16.0,15.2,15.7,15.7,230200
2017-03-17,15.4,15.5,15.0,15.5,15.5,344700
2017-03-20,15.5,15.5,15.0,15.1,15.1,141600
2017-03-21,15.0,15.1,14.3,14.4,14.4,343600
2017-03-22,14.4,14.6,14.2,14.3,14.3,227500
2017-03-23,14.3,14.7,14.1,14.5,14.5,146900
2017-03-24,14.6,14.7,14.5,14.6,14.6,119400
2017-03-27,14.5,15.0,14.5,14.9,14.9,134100
2017-03-28,14.8,15.0,14.6,14.6,14.6,132000
2017-03-29,14.6,14.8,14.4,14.4,14.4,127400
2017-03-30,14.4,14.8,14.4,14.7,14.7,157400
2017-03-31,14.6,14.8,14.5,14.6,14.6,96800
2017-04-03,14.5,14.9,14.3,14.3,14.3,254900
2017-04-04,14.4,14.8,14.4,14.5,14.5,185900
2017-04-05,14.5,14.7,14.0,14.1,14.1,198900
2017-04-06,14.1,14.3,14.1,14.3,14.3,129200
2017-04-07,14.3,14.5,14.0,14.1,14.1,162300
2017-04-10,14.3,14.4,14.0,14.1,14.1,88100
2017-04-11,14.0,14.4,14.0,14.3,14.3,97000
2017-04-12,14.4,14.5,14.1,14.2,14.2,102700
2017-04-13,14.2,14.3,13.9,14.3,14.3,181400
2017-04-17,14.3,14.8,14.2,14.8,14.8,157900
2017-04-18,12.3,12.9,12.0,12.8,12.8,2661900
2017-04-19,12.6,12.9,12.5,12.7,12.7,295200
2017-04-20,12.7,12.9,12.5,12.9,12.9,188300
2017-04-21,12.8,13.2,12.7,13.0,13.0,320400
2017-04-24,13.2,14.1,13.1,13.6,13.6,274500
2017-04-25,13.7,14.1,13.7,13.9,13.9,311600
2017-04-26,14.1,14.1,13.9,13.9,13.9,162300
2017-04-27,14.1,14.1,13.8,13.8,13.8,119100
2017-04-28,13.9,14.0,13.3,13.4,13.4,759100
2017-05-01,13.8,14.0,13.4,13.8,13.8,190900
2017-05-02,13.8,13.9,13.4,13.6,13.6,333400
2017-05-03,13.5,13.5,13.2,13.3,13.3,129900
2017-05-04,13.4,13.4,12.4,12.5,12.5,213900
2017-05-05,12.4,12.6,12.1,12.2,12.2,181400
2017-05-08,12.2,12.5,12.0,12.2,12.2,185100
2017-05-09,12.3,12.9,12.3,12.9,12.9,227300
2017-05-10,12.1,12.5,11.9,11.9,11.9,243400
2017-05-11,11.8,12.1,11.7,11.8,11.8,225500
2017-05-12,11.8,12.2,11.7,12.0,12.0,198000
2017-05-15,12.3,12.3,11.9,12.0,12.0,166200
2017-05-16,11.9,12.2,11.8,11.9,11.9,100800
2017-05-17,11.7,11.9,11.5,11.5,11.5,157600
2017-05-18,11.7,11.8,11.3,11.5,11.5,273900
2017-05-19,12.7,13.9,12.2,13.3,13.3,701300
2017-05-22,13.4,13.7,13.1,13.4,13.4,201000
2017-05-23,13.6,13.8,13.5,13.6,13.6,106500
2017-05-24,13.7,14.0,13.6,13.8,13.8,142900
2017-05-25,13.9,14.0,13.6,13.6,13.6,128800
2017-05-26,13.6,13.7,13.0,13.1,13.1,121300
2017-05-30,13.4,13.5,13.0,13.2,13.2,80600
2017-05-31,13.1,13.4,12.7,13.0,13.0,117300
2017-06-01,13.2,13.8,13.2,13.8,13.8,221800
2017-06-02,13.8,13.9,13.2,13.5,13.5,225800
2017-06-05,13.5,14.1,13.1,13.9,13.9,291500
2017-06-06,14.0,14.0,13.6,13.9,13.9,181100
2017-06-07,13.9,13.9,13.6,13.7,13.7,71900
2017-06-08,13.8,14.3,13.7,14.0,14.0,185400
2017-06-09,14.0,14.2,13.6,13.6,13.6,152100
2017-06-12,13.6,14.0,13.5,13.9,13.9,142200
2017-06-13,13.9,13.9,13.4,13.6,13.6,94100
2017-06-14,13.3,13.7,13.3,13.5,13.5,108000
2017-06-15,12.7,13.3,12.2,12.6,12.6,464300
2017-06-16,12.5,13.1,12.3,13.1,13.1,544900
2017-06-19,12.9,14.07,12.51,14.03,14.03,927200
2017-06-20,13.97,15.93,13.69,15.75,15.75,1230600
2017-06-21,15.6,16.790001,15.4,16.6,16.6,958400
2017-06-22,16.799999,17.75,16.09,16.190001000000002,16.190001000000002,1159100
2017-06-23,16.190001000000002,16.5,14.54,14.88,14.88,971100
2017-06-26,14.88,15.35,14.65,15.08,15.08,574200
2017-06-27,15.85,16.17,14.92,15.23,15.23,875200
2017-06-28,15.37,16.59,15.31,16.530001000000002,16.530001000000002,657400
2017-06-29,16.790001,17.24,16.129998999999998,16.52,16.52,753500
2017-06-30,16.440001000000002,17.370001000000002,15.97,16.870001000000002,16.870001000000002,752500
2017-07-03,17.0,17.51,16.950001,17.48,17.48,290400
2017-07-05,17.459999,17.93,17.040001,17.52,17.52,840800
2017-07-06,17.379998999999998,18.639999,17.209999,17.99,17.99,1043500
