Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,9.9,10.1,9.9,9.9,9.9,2000
2017-01-04,9.95,10.3,9.85,10.0,10.0,13000
2017-01-05,10.1,10.1,9.85,9.85,9.85,3500
2017-01-06,10.05,10.2,10.05,10.05,10.05,1500
2017-01-09,10.1,10.15,9.99,10.1,10.1,30300
2017-01-10,10.15,10.2,10.1,10.1,10.1,37300
2017-01-11,10.15,10.15,10.05,10.05,10.05,37000
2017-01-12,10.05,10.15,10.05,10.1,10.1,70400
2017-01-13,10.15,10.15,10.05,10.05,10.05,39900
2017-01-17,10.1,10.2,10.07,10.2,10.2,40400
2017-01-18,10.15,10.2,10.15,10.2,10.2,28700
2017-01-19,10.2,10.3,10.2,10.25,10.25,34700
2017-01-20,10.2,10.3,10.2,10.2,10.2,2200
2017-01-23,10.3,10.3,10.2,10.2,10.2,16100
2017-01-24,10.25,10.3,10.2,10.2,10.2,25500
2017-01-25,10.2,10.25,10.2,10.2,10.2,5600
2017-01-26,10.25,10.3,10.24,10.3,10.3,37100
2017-01-27,10.3,10.3,10.2,10.25,10.25,62600
2017-01-30,10.3,10.35,10.25,10.25,10.25,21800
2017-01-31,10.25,10.3,10.2,10.2,10.2,7400
2017-02-01,10.3,10.3,10.25,10.25,10.25,4000
2017-02-02,10.25,10.3,10.21,10.3,10.3,48100
2017-02-03,10.3,10.3,10.2,10.25,10.25,6200
2017-02-06,10.25,10.25,10.2,10.25,10.25,27200
2017-02-07,10.25,10.3,10.25,10.28,10.28,12100
2017-02-08,10.25,10.35,10.2,10.2,10.2,33900
2017-02-09,10.35,10.35,10.2,10.25,10.25,38900
2017-02-10,10.25,10.25,10.2,10.25,10.25,20800
2017-02-13,10.2,10.3,10.2,10.25,10.25,28900
2017-02-14,10.25,10.35,10.25,10.28,10.28,13300
2017-02-15,10.25,10.3,10.25,10.3,10.3,16600
2017-02-16,10.2,10.2,10.1,10.15,10.15,28000
2017-02-17,10.1,10.1,9.9,9.9,9.9,9700
2017-02-21,9.8,9.8,9.35,9.35,9.35,32700
2017-02-22,9.5,9.5,9.0,9.05,9.05,43000
2017-02-23,9.25,9.4,8.95,9.25,9.25,95800
2017-02-24,9.3,10.05,9.2,9.2,9.2,22100
2017-02-27,9.35,9.4,9.25,9.4,9.4,13100
2017-02-28,9.32,9.4,9.05,9.3,9.3,28800
2017-03-01,9.4,9.4,9.2,9.2,9.2,12900
2017-03-02,9.2,9.2,8.95,8.95,8.95,52100
2017-03-03,8.95,9.15,8.95,8.95,8.95,41300
2017-03-06,9.0,9.0,8.95,9.0,9.0,6700
2017-03-07,8.95,9.0,8.75,8.75,8.75,4500
2017-03-08,8.9,8.95,8.7,8.8,8.8,27300
2017-03-09,8.85,9.05,8.65,8.78,8.78,44900
2017-03-10,8.8,9.0,8.55,8.55,8.55,29400
2017-03-13,8.5,8.5,8.35,8.45,8.45,8200
2017-03-14,8.38,8.4,8.3,8.3,8.3,2300
2017-03-15,8.3,8.35,8.3,8.3,8.3,2000
2017-03-16,8.45,8.5,8.26,8.45,8.45,9000
2017-03-17,8.5,8.7,8.35,8.7,8.7,9500
2017-03-20,8.65,8.65,8.5,8.6,8.6,33000
2017-03-21,8.6,8.63,8.5,8.5,8.5,800
2017-03-22,8.5,8.5,8.5,8.5,8.5,300
2017-03-23,8.5,8.6,8.5,8.5,8.5,2700
2017-03-24,8.6,8.6,8.6,8.6,8.6,2000
2017-03-27,8.6,8.6,8.55,8.55,8.55,2400
2017-03-28,8.62,8.65,8.5,8.55,8.55,26500
2017-03-29,8.5,8.5,7.75,8.0,8.0,27700
2017-03-30,8.35,8.35,7.95,8.1,8.1,16400
2017-03-31,8.19,8.25,8.15,8.15,8.15,3200
2017-04-03,8.3,8.3,8.05,8.1,8.1,6700
2017-04-04,8.05,8.1,7.85,7.85,7.85,11800
2017-04-05,7.86,7.86,7.75,7.75,7.75,6100
2017-04-06,7.8,7.9,7.78,7.8,7.8,5200
2017-04-07,7.8,7.85,7.6,7.6,7.6,8000
2017-04-10,7.55,7.55,7.2,7.2,7.2,18400
2017-04-11,7.3,7.5,7.2,7.4,7.4,82200
2017-04-12,7.45,8.05,7.45,7.9,7.9,100300
2017-04-13,8.0,8.38,7.45,8.0,8.0,38600
2017-04-17,8.0,8.4,7.9,8.15,8.15,22900
2017-04-18,8.25,8.3,8.2,8.2,8.2,1000
2017-04-19,8.05,8.4,7.65,8.3,8.3,49600
2017-04-20,8.05,9.05,8.05,8.7,8.7,85300
2017-04-21,8.8,9.0,8.1,8.6,8.6,77600
2017-04-24,8.7,8.93,8.47,8.55,8.55,27800
2017-04-25,8.7,8.7,8.35,8.4,8.4,25200
2017-04-26,8.8,8.85,8.25,8.5,8.5,54400
2017-04-27,8.65,8.65,8.4,8.4,8.4,18400
2017-04-28,8.3,8.5,8.25,8.4,8.4,2900
2017-05-01,8.1,8.25,7.55,7.6,7.6,67900
2017-05-02,7.75,7.85,7.1,7.15,7.15,62200
2017-05-03,7.25,7.4,6.65,6.75,6.75,63100
2017-05-04,6.85,7.3,6.7,6.7,6.7,41200
2017-05-05,6.75,7.45,6.25,7.35,7.35,50700
2017-05-08,7.3,7.3,7.05,7.25,7.25,11400
2017-05-09,7.15,7.2,6.9,7.05,7.05,24000
2017-05-10,7.1,7.15,6.62,7.15,7.15,24300
2017-05-11,7.05,7.05,6.95,7.0,7.0,1100
2017-05-12,7.0,7.3,6.95,7.25,7.25,17200
2017-05-15,7.1,7.2,7.05,7.2,7.2,1700
2017-05-16,7.1,7.1,6.8,6.95,6.95,9100
2017-05-17,6.86,6.93,6.8,6.85,6.85,9900
2017-05-18,6.8,7.04,6.76,7.0,7.0,2200
2017-05-19,6.95,7.0,6.85,7.0,7.0,4000
2017-05-22,6.95,7.05,6.55,6.95,6.95,15700
2017-05-23,6.9,6.95,6.8,6.85,6.85,2300
2017-05-24,6.8,6.95,6.75,6.75,6.75,1600
2017-05-25,6.7,6.75,6.55,6.7,6.7,4800
2017-05-26,6.73,6.85,6.7,6.7,6.7,1300
2017-05-30,6.8,6.85,6.78,6.85,6.85,4400
2017-05-31,6.35,6.55,6.3,6.5,6.5,5100
2017-06-01,6.45,6.7,6.45,6.5,6.5,6300
2017-06-02,6.5,6.75,6.5,6.65,6.65,3600
2017-06-05,6.6,6.85,6.15,6.75,6.75,12800
2017-06-06,6.75,6.75,6.5,6.6,6.6,2100
2017-06-07,6.55,6.65,6.55,6.55,6.55,3000
2017-06-08,6.55,6.6,6.5,6.6,6.6,2400
2017-06-09,6.55,6.7,6.55,6.65,6.65,5400
2017-06-12,6.8,6.85,6.75,6.85,6.85,4700
2017-06-13,6.85,7.3,6.85,7.2,7.2,17600
2017-06-14,7.25,7.25,7.05,7.25,7.25,8100
2017-06-15,7.2,7.95,7.1,7.95,7.95,52300
2017-06-16,7.9,8.75,7.63,8.6,8.6,110600
2017-06-19,8.23,8.6,8.21,8.45,8.45,5000
2017-06-20,8.4,8.45,8.2,8.45,8.45,5400
2017-06-21,8.45,8.69,8.45,8.65,8.65,17600
2017-06-22,8.75,8.8,8.55,8.55,8.55,22200
2017-06-23,8.5,8.7,8.4,8.6,8.6,17000
2017-06-26,8.5,9.05,8.5,8.95,8.95,45900
2017-06-27,8.9,8.9,7.35,8.25,8.25,1200
2017-06-28,8.3,8.8,8.3,8.7,8.7,4200
2017-06-29,8.65,8.74,8.35,8.45,8.45,5800
2017-06-30,8.25,8.25,8.1,8.1,8.1,400
2017-07-03,8.1,8.2,7.95,8.05,8.05,900
2017-07-05,8.05,8.07,7.85,7.85,7.85,9100
2017-07-06,7.8,7.8,7.51,7.65,7.65,1600
2017-07-07,7.7,7.75,7.4,7.5,7.5,12400
2017-07-10,7.45,7.45,7.2,7.25,7.25,1100
2017-07-11,7.2,7.3,7.0,7.0,7.0,4200
2017-07-12,7.0,7.0,6.8,6.8,6.8,19600
2017-07-13,6.9,7.0,6.9,7.0,7.0,7300
2017-07-14,6.95,7.4,6.95,7.15,7.15,13900
2017-07-17,7.15,7.4,7.15,7.4,7.4,1200
2017-07-18,7.3,7.3,7.2,7.25,7.25,3500
2017-07-19,7.25,7.25,7.05,7.15,7.15,1900
2017-07-20,7.15,7.15,7.0,7.05,7.05,1500
2017-07-21,7.0,7.15,7.0,7.1,7.1,900
2017-07-24,7.05,7.25,7.05,7.25,7.25,700
2017-07-25,7.2,7.3,7.1,7.1,7.1,3800
2017-07-26,7.1,7.2,7.1,7.2,7.2,700
2017-07-27,7.2,7.3,7.15,7.2,7.2,6100
2017-07-28,7.2,7.2,7.2,7.2,7.2,0
2017-07-31,7.2,7.2,7.2,7.2,7.2,0
2017-08-01,7.25,7.3,7.05,7.05,7.05,4000
2017-08-02,7.23,7.45,7.05,7.25,7.25,11100
2017-08-03,7.05,7.45,7.05,7.25,7.25,34400
2017-08-04,7.44,7.46,7.15,7.25,7.25,19000
2017-08-07,7.35,7.35,7.15,7.3,7.3,10700
2017-08-08,7.25,7.3,7.2,7.2,7.2,4800
2017-08-09,7.23,7.79,7.2,7.5,7.5,27800
2017-08-10,7.2,7.55,7.2,7.4,7.4,3400
2017-08-11,7.45,7.55,7.45,7.55,7.55,2700
2017-08-14,7.5,7.6,7.5,7.6,7.6,400
2017-08-15,7.5,7.5,7.5,7.5,7.5,200
2017-08-16,7.55,7.6,7.5,7.5,7.5,4900
2017-08-17,7.55,7.56,7.5,7.5,7.5,4700
2017-08-18,7.55,7.6,7.45,7.5,7.5,5200
2017-08-21,7.45,7.55,7.2,7.55,7.55,32400
2017-08-22,7.2,7.6,7.2,7.5,7.5,1100
2017-08-23,7.3,7.55,7.3,7.55,7.55,4800
2017-08-24,7.5,8.25,7.5,8.1,8.1,18200
2017-08-25,8.1,8.4,8.1,8.15,8.15,17700
2017-08-28,8.05,8.05,8.05,8.05,8.05,400
2017-08-29,8.2,8.2,8.15,8.15,8.15,500
2017-08-30,8.15,8.2,8.15,8.2,8.2,300
2017-08-31,8.2,8.2,8.05,8.05,8.05,1000
2017-09-01,8.0,8.0,7.8,7.95,7.95,3700
2017-09-05,8.15,8.15,7.8,7.83,7.83,1400
2017-09-06,8.0,8.0,7.5,7.6,7.6,5400
2017-09-07,8.05,8.05,7.3,7.55,7.55,23000
2017-09-08,7.75,7.75,7.5,7.65,7.65,10600
2017-09-11,7.5,7.9,7.5,7.8,7.8,3800
2017-09-12,7.7,7.7,7.45,7.6,7.6,18100
2017-09-13,7.45,7.78,7.25,7.45,7.45,3900
2017-09-14,7.4,7.5,7.3,7.5,7.5,3800
2017-09-15,7.45,7.7,7.45,7.7,7.7,9500
2017-09-18,7.8,7.8,7.75,7.75,7.75,1200
2017-09-19,7.8,7.9,7.75,7.8,7.8,4100
2017-09-20,7.85,7.85,7.6,7.7,7.7,4900
2017-09-21,7.7,7.7,7.7,7.7,7.7,0
2017-09-22,7.8,7.8,7.8,7.8,7.8,400
2017-09-25,7.55,7.75,7.4,7.75,7.75,4500
2017-09-26,7.65,7.65,7.65,7.65,7.65,3200
2017-09-27,7.55,7.65,7.55,7.65,7.65,4100
2017-09-28,7.8,7.83,7.6,7.6,7.6,4800
2017-09-29,7.6,7.6,7.55,7.55,7.55,1914
