Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.48,1.51,1.44,1.45,1.45,30200
2017-01-04,1.43,1.5,1.35,1.36,1.36,62300
2017-01-05,1.46,1.46,1.37,1.42,1.42,19700
2017-01-06,1.42,1.45,1.39,1.4,1.4,29400
2017-01-09,1.42,1.44,1.28,1.39,1.39,72600
2017-01-10,1.41,1.48,1.37,1.39,1.39,188600
2017-01-11,1.41,1.43,1.41,1.42,1.42,14900
2017-01-12,1.42,1.45,1.35,1.41,1.41,42400
2017-01-13,1.49,1.49,1.35,1.44,1.44,21600
2017-01-17,1.46,1.49,1.38,1.49,1.49,12400
2017-01-18,1.47,1.48,1.35,1.47,1.47,65100
2017-01-19,1.41,1.63,1.39,1.48,1.48,136500
2017-01-20,1.47,1.59,1.38,1.5,1.5,123100
2017-01-23,1.52,1.62,1.52,1.54,1.54,13900
2017-01-24,1.55,1.58,1.4,1.58,1.58,88200
2017-01-25,1.56,1.66,1.45,1.6,1.6,88200
2017-01-26,1.55,1.64,1.5,1.5,1.5,93000
2017-01-27,1.49,1.6,1.48,1.53,1.53,39100
2017-01-30,1.51,1.52,1.46,1.49,1.49,17400
2017-01-31,1.47,1.52,1.4,1.43,1.43,41200
2017-02-01,1.42,1.63,1.39,1.54,1.54,83200
2017-02-02,1.44,1.57,1.44,1.53,1.53,10000
2017-02-03,1.55,1.57,1.48,1.57,1.57,10700
2017-02-06,1.55,1.64,1.42,1.5,1.5,69100
2017-02-07,1.44,1.64,1.44,1.48,1.48,77500
2017-02-08,1.52,1.8,1.52,1.59,1.59,219700
2017-02-09,1.6,1.68,1.47,1.5,1.5,93500
2017-02-10,1.4,1.54,1.4,1.53,1.53,85600
2017-02-13,1.52,1.53,1.47,1.53,1.53,13600
2017-02-14,1.52,1.55,1.45,1.47,1.47,90800
2017-02-15,1.45,1.53,1.42,1.52,1.52,26100
2017-02-16,1.53,1.73,1.52,1.59,1.59,209300
2017-02-17,1.52,1.61,1.51,1.55,1.55,33100
2017-02-21,1.54,1.64,1.54,1.59,1.59,105200
2017-02-22,1.6,1.63,1.58,1.6,1.6,7400
2017-02-23,1.59,1.61,1.5,1.5,1.5,21300
2017-02-24,1.51,1.61,1.51,1.52,1.52,13300
2017-02-27,1.54,1.61,1.53,1.61,1.61,15100
2017-02-28,1.6,1.63,1.53,1.59,1.59,17200
2017-03-01,1.61,1.63,1.57,1.57,1.57,14700
2017-03-02,1.58,1.58,1.47,1.5,1.5,60400
2017-03-03,1.52,1.54,1.43,1.53,1.53,41500
2017-03-06,1.62,1.62,1.43,1.52,1.52,86000
2017-03-07,1.48,1.5,1.4,1.46,1.46,57700
2017-03-08,1.44,1.51,1.39,1.4,1.4,103300
2017-03-09,1.4,1.41,1.3,1.4,1.4,69600
2017-03-10,1.36,1.5,1.36,1.37,1.37,201500
2017-03-13,1.35,1.36,1.3,1.31,1.31,61100
2017-03-14,1.3,1.35,1.2,1.3,1.3,66900
2017-03-15,1.27,1.39,1.2,1.36,1.36,63600
2017-03-16,1.35,1.38,1.29,1.37,1.37,9700
2017-03-17,1.37,1.37,1.27,1.36,1.36,35400
2017-03-20,1.36,1.44,1.3,1.37,1.37,64100
2017-03-21,1.4,1.4,1.28,1.32,1.32,35500
2017-03-22,1.32,1.33,1.25,1.27,1.27,110300
2017-03-23,1.25,1.32,1.25,1.26,1.26,17600
2017-03-24,1.29,1.3,1.29,1.29,1.29,2500
2017-03-27,1.29,1.32,1.29,1.31,1.31,14700
2017-03-28,1.32,1.35,1.29,1.29,1.29,6600
2017-03-29,1.32,1.33,1.29,1.31,1.31,10100
2017-03-30,1.35,1.35,1.29,1.33,1.33,21500
2017-03-31,1.32,1.36,1.3,1.31,1.31,17400
2017-04-03,1.32,1.32,1.22,1.28,1.28,53300
2017-04-04,1.26,1.28,1.23,1.25,1.25,26600
2017-04-05,1.23,1.31,1.19,1.27,1.27,44100
2017-04-06,1.25,1.28,1.21,1.23,1.23,9500
2017-04-07,1.23,1.43,1.19,1.19,1.19,113600
2017-04-10,1.2,1.3,1.19,1.28,1.28,60700
2017-04-11,1.27,1.34,1.24,1.26,1.26,54700
2017-04-12,1.22,1.33,1.22,1.26,1.26,27900
2017-04-13,1.26,1.42,1.25,1.32,1.32,62900
2017-04-17,1.29,1.38,1.29,1.33,1.33,42500
2017-04-18,1.36,1.38,1.26,1.28,1.28,38900
2017-04-19,1.31,1.34,1.25,1.28,1.28,16000
2017-04-20,1.31,1.32,1.24,1.25,1.25,19500
2017-04-21,1.23,1.29,1.23,1.27,1.27,3000
2017-04-24,1.25,1.26,1.2,1.21,1.21,93200
2017-04-25,1.22,1.24,1.21,1.21,1.21,20000
2017-04-26,1.22,1.25,1.19,1.21,1.21,27900
2017-04-27,1.22,1.25,1.15,1.16,1.16,31400
2017-04-28,1.16,1.21,1.16,1.18,1.18,19000
2017-05-01,1.2,1.21,1.15,1.17,1.17,13200
2017-05-02,1.15,1.15,1.08,1.1,1.1,60300
2017-05-03,1.07,1.1,1.03,1.06,1.06,71000
2017-05-04,1.07,1.1,1.05,1.05,1.05,18300
2017-05-05,1.03,1.1,1.02,1.09,1.09,165000
2017-05-08,1.11,1.11,1.07,1.1,1.1,27500
2017-05-09,1.07,1.12,1.05,1.06,1.06,114700
2017-05-10,1.09,1.11,1.06,1.1,1.1,44100
2017-05-11,1.15,1.2,1.0,1.15,1.15,62300
2017-05-12,1.14,1.14,1.11,1.13,1.13,8100
2017-05-15,1.09,1.12,1.06,1.09,1.09,46500
2017-05-16,1.11,1.14,1.0,1.12,1.12,93500
2017-05-17,1.11,1.11,1.04,1.07,1.07,18300
2017-05-18,1.05,1.09,1.05,1.06,1.06,7100
2017-05-19,1.05,1.1,1.04,1.1,1.1,16300
2017-05-22,1.1,1.25,1.1,1.16,1.16,76800
2017-05-23,1.16,1.19,1.14,1.15,1.15,25700
2017-05-24,1.14,1.21,1.12,1.17,1.17,152700
2017-05-25,1.15,1.27,1.09,1.16,1.16,149300
2017-05-26,1.17,1.17,1.1,1.14,1.14,26700
2017-05-30,1.13,1.15,1.1,1.11,1.11,6200
2017-05-31,1.14,1.14,1.06,1.08,1.08,67900
2017-06-01,1.07,1.1,1.06,1.07,1.07,15500
2017-06-02,1.06,1.11,1.06,1.06,1.06,26700
2017-06-05,1.1,1.12,1.06,1.12,1.12,22800
2017-06-06,1.06,1.08,1.03,1.04,1.04,58000
2017-06-07,1.03,1.15,0.97,0.97,0.97,199800
2017-06-08,0.97,1.05,0.97,1.03,1.03,47400
2017-06-09,1.05,1.05,0.98,1.0,1.0,13700
2017-06-12,1.0,1.05,1.0,1.01,1.01,19800
2017-06-13,1.04,1.04,1.0,1.01,1.01,44800
2017-06-14,1.03,1.06,1.0,1.05,1.05,46700
2017-06-15,1.05,1.14,1.0,1.02,1.02,135900
2017-06-16,1.03,1.05,1.0,1.03,1.03,22000
2017-06-19,1.02,1.03,1.0,1.0,1.0,60700
2017-06-20,1.02,1.03,1.0,1.01,1.01,67400
2017-06-21,1.02,1.02,0.94,0.99,0.99,40700
2017-06-22,0.97,1.0,0.93,1.0,1.0,55700
2017-06-23,0.93,1.02,0.93,0.94,0.94,69200
2017-06-26,0.99,1.0,0.93,0.95,0.95,14500
2017-06-27,1.0,1.0,0.92,0.97,0.97,47000
2017-06-28,0.99,0.99,0.95,0.97,0.97,24300
2017-06-29,0.98,0.98,0.92,0.98,0.98,41600
2017-06-30,0.94,0.98,0.88,0.91,0.91,128500
2017-07-03,0.88,0.95,0.88,0.94,0.94,16300
2017-07-05,0.91,0.93,0.86,0.92,0.92,45700
2017-07-06,0.88,0.95,0.88,0.94,0.94,30900
2017-07-07,0.95,1.02,0.95,1.01,1.01,79400
2017-07-10,1.04,1.04,0.97,1.02,1.02,25500
2017-07-11,1.01,1.01,0.98,0.98,0.98,11500
2017-07-12,1.0,1.04,1.0,1.0,1.0,15200
2017-07-13,0.98,1.02,0.95,0.95,0.95,19300
2017-07-14,0.99,1.0,0.94,0.97,0.97,32100
2017-07-17,0.94,0.97,0.87,0.93,0.93,66600
2017-07-18,0.9,0.93,0.88,0.93,0.93,18000
2017-07-19,0.9,0.95,0.88,0.91,0.91,40800
2017-07-20,0.94,0.99,0.9,0.91,0.91,28500
2017-07-21,0.9,0.96,0.88,0.94,0.94,41800
2017-07-24,0.92,0.94,0.9,0.91,0.91,19000
2017-07-25,0.9,0.95,0.89,0.91,0.91,23700
2017-07-26,0.89,0.94,0.87,0.92,0.92,34700
2017-07-27,0.91,0.91,0.89,0.91,0.91,16500
2017-07-28,0.91,0.91,0.86,0.89,0.89,41900
2017-07-31,0.88,0.93,0.86,0.88,0.88,25300
2017-08-01,0.87,0.88,0.8,0.82,0.82,117100
2017-08-02,0.83,0.9,0.83,0.86,0.86,40300
2017-08-03,0.86,0.86,0.82,0.82,0.82,27300
2017-08-04,0.81,0.83,0.68,0.73,0.73,227100
2017-08-07,0.71,0.78,0.71,0.72,0.72,108700
2017-08-08,0.73,0.8,0.73,0.79,0.79,53600
2017-08-09,0.79,0.84,0.79,0.81,0.81,14900
2017-08-10,0.82,0.86,0.8,0.81,0.81,57000
2017-08-11,0.8,0.82,0.78,0.81,0.81,27500
2017-08-14,0.78,0.81,0.7,0.81,0.81,65000
