Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.81,3.94,3.63,3.94,3.526854,1900
2017-01-04,3.88,3.99,3.78,3.99,3.571611,5400
2017-01-05,3.82,3.9,3.82,3.9,3.491049,600
2017-01-06,3.98,3.98,3.8,3.8,3.401534,1900
2017-01-09,3.66,3.69,3.66,3.69,3.3030690000000003,1000
2017-01-10,3.69,3.69,3.63,3.65,3.2672630000000003,2600
2017-01-11,3.61,3.61,3.33,3.54,3.168798,13600
2017-01-12,3.58,3.7,3.4,3.4,3.043478,12100
2017-01-13,3.41,3.44,3.29,3.41,3.0524299999999998,4500
2017-01-17,3.45,3.45,3.28,3.3,2.953964,9100
2017-01-18,3.46,3.49,3.22,3.22,2.8823529999999997,1600
2017-01-19,3.25,3.25,3.11,3.11,2.783887,6500
2017-01-20,3.12,3.19,2.96,2.97,2.658568,25200
2017-01-23,3.2,3.2,3.08,3.1,2.774936,13200
2017-01-24,3.11,3.12,2.98,2.98,2.667519,10900
2017-01-25,3.02,3.14,3.02,3.02,2.703325,1200
2017-01-26,3.05,3.14,3.05,3.06,2.73913,2500
2017-01-27,3.09,3.09,3.05,3.05,2.730179,5400
2017-01-30,3.05,3.09,2.97,2.97,2.658568,3600
2017-01-31,3.02,3.04,3.01,3.04,2.721228,1700
2017-02-01,2.97,3.33,2.97,3.16,2.828645,29000
2017-02-02,3.25,3.75,3.25,3.52,3.1508950000000002,33000
2017-02-03,3.74,3.74,3.13,3.43,3.070333,5200
2017-02-06,3.49,3.49,3.36,3.45,3.088235,500
2017-02-07,3.18,3.35,3.18,3.23,2.891304,4700
2017-02-08,3.23,3.23,3.0,3.18,2.846547,20100
2017-02-09,3.27,3.47,3.25,3.44,3.079284,13900
2017-02-10,3.47,3.54,3.38,3.54,3.168798,19100
2017-02-13,3.65,3.88,3.6,3.69,3.3030690000000003,62900
2017-02-14,3.79,3.79,3.66,3.75,3.3567769999999997,3700
2017-02-15,3.75,3.81,3.66,3.66,3.276215,7500
2017-02-16,3.69,3.72,3.65,3.65,3.2672630000000003,6200
2017-02-17,3.7,3.71,3.7,3.71,3.3209720000000003,6200
2017-02-21,3.65,3.95,3.65,3.94,3.526854,8700
2017-02-22,3.91,3.94,3.69,3.91,3.5,15000
2017-02-23,3.9,4.1,3.78,3.91,3.5,47800
2017-02-24,3.85,3.85,3.82,3.83,3.428389,5300
2017-02-27,3.82,3.91,3.82,3.91,3.5,10200
2017-02-28,3.82,3.83,3.71,3.77,3.37468,14900
2017-03-01,3.83,3.91,3.71,3.74,3.3478260000000004,6000
2017-03-02,3.7,3.85,3.64,3.84,3.4373400000000003,37600
2017-03-03,3.76,3.83,3.66,3.71,3.3209720000000003,39700
2017-03-06,3.87,3.98,3.7,3.71,3.3209720000000003,16800
2017-03-07,3.68,3.78,3.42,3.58,3.204603,18900
2017-03-08,3.56,3.62,3.5,3.56,3.186701,16400
2017-03-09,3.56,3.75,3.51,3.75,3.3567769999999997,22100
2017-03-10,3.71,3.94,3.7,3.7,3.312021,28700
2017-03-13,3.7,3.7,3.6,3.65,3.2672630000000003,3500
2017-03-14,3.61,3.69,3.48,3.65,3.2672630000000003,16100
2017-03-15,3.64,3.72,3.57,3.58,3.204603,14400
2017-03-16,3.69,3.79,3.69,3.77,3.37468,5100
2017-03-17,3.74,3.79,3.55,3.66,3.276215,25000
2017-03-20,3.66,3.75,3.53,3.63,3.249361,16500
2017-03-21,3.72,3.75,3.64,3.64,3.258312,11200
2017-03-22,3.7,3.79,3.54,3.76,3.365729,9200
2017-03-23,3.76,3.99,3.75,3.96,3.544757,25900
2017-03-24,3.98,4.08,3.95,3.95,3.5358059999999996,20600
2017-03-27,3.88,4.06,3.75,3.81,3.410486,17400
2017-03-28,3.91,3.94,3.9,3.94,3.526854,1000
2017-03-29,3.82,3.95,3.82,3.9,3.491049,2800
2017-03-30,3.9,3.93,3.72,3.93,3.517903,12700
2017-03-31,3.85,3.94,3.8,3.8,3.401534,6000
2017-04-03,3.76,3.83,3.74,3.82,3.4194370000000003,8000
2017-04-04,4.16,4.16,3.84,3.9,3.491049,13800
2017-04-05,4.03,4.03,3.73,3.86,3.455243,15000
2017-04-06,3.81,3.97,3.81,3.85,3.4462910000000004,47600
2017-04-07,4.12,4.12,3.87,3.89,3.482097,26600
2017-04-10,4.15,4.15,3.86,3.9,3.491049,21600
2017-04-11,3.9,3.93,3.71,3.83,3.428389,18900
2017-04-12,3.92,3.92,3.65,3.65,3.2672630000000003,9800
2017-04-13,3.74,3.74,3.67,3.67,3.2851660000000003,400
2017-04-17,3.62,3.73,3.62,3.67,3.2851660000000003,4700
2017-04-18,3.67,3.72,3.66,3.68,3.294118,6900
2017-04-19,3.74,3.79,3.65,3.66,3.276215,28200
2017-04-20,3.7,3.87,3.7,3.75,3.3567769999999997,6300
2017-04-21,3.77,3.77,3.7,3.7,3.312021,14100
2017-04-24,3.72,4.05,3.72,3.99,3.571611,39000
2017-04-25,3.93,3.93,3.72,3.78,3.383632,19600
2017-04-26,3.78,4.05,3.68,3.7,3.312021,25300
2017-04-27,3.81,3.81,3.68,3.7,3.312021,10500
2017-04-28,3.99,3.99,3.65,3.65,3.2672630000000003,12300
2017-05-01,3.66,3.71,3.66,3.7,3.312021,7300
2017-05-02,3.74,3.78,3.65,3.7,3.312021,33200
2017-05-03,3.66,3.74,3.66,3.7,3.312021,7300
2017-05-04,3.67,3.67,3.53,3.63,3.249361,26100
2017-05-05,3.63,3.92,3.61,3.66,3.276215,34300
2017-05-08,3.75,3.9,3.62,3.83,3.428389,44500
2017-05-09,3.71,3.8,3.65,3.8,3.401534,15800
2017-05-10,3.66,3.67,3.47,3.6,3.222506,41800
2017-05-11,3.6,3.6,3.52,3.6,3.222506,8800
2017-05-12,3.53,3.73,3.53,3.56,3.186701,65900
2017-05-15,3.75,3.75,3.58,3.58,3.204603,1000
2017-05-16,3.52,3.56,3.5,3.51,3.141944,10600
2017-05-17,3.59,3.59,3.51,3.52,3.1508950000000002,4600
2017-05-18,3.6,3.6,3.52,3.53,3.159847,1500
2017-05-19,3.51,3.6,3.51,3.57,3.195652,28500
2017-05-22,3.6,3.61,3.51,3.51,3.141944,3200
2017-05-23,3.5,3.5,3.42,3.45,3.088235,13200
2017-05-24,3.53,3.53,3.5,3.53,3.159847,3300
2017-05-25,3.54,3.56,3.5,3.54,3.168798,5700
2017-05-26,3.52,3.57,3.46,3.55,3.1777490000000004,14600
2017-05-30,3.48,3.55,3.4,3.46,3.097187,15800
2017-05-31,3.48,3.55,3.48,3.55,3.1777490000000004,10200
2017-06-01,3.62,3.71,3.61,3.67,3.2851660000000003,5300
2017-06-02,3.82,3.82,3.55,3.67,3.2851660000000003,15100
2017-06-05,3.62,3.97,3.54,3.8,3.401534,34500
2017-06-06,3.73,3.88,3.58,3.6,3.222506,94500
2017-06-07,3.63,3.97,3.61,3.91,3.5,90300
2017-06-08,3.72,4.0,3.61,3.98,3.98,129600
2017-06-09,4.0,4.9,3.95,4.89,4.89,295300
2017-06-12,4.4,4.98,4.22,4.95,4.95,75000
2017-06-13,5.0,5.0,4.63,4.9,4.9,67400
2017-06-14,4.9,4.9,4.7,4.76,4.76,9600
2017-06-15,4.77,4.83,4.61,4.83,4.83,24200
2017-06-16,4.75,4.9,4.63,4.63,4.63,51200
2017-06-19,4.65,4.9,4.65,4.87,4.87,27100
2017-06-20,4.89,4.89,4.79,4.84,4.84,10600
2017-06-21,4.83,4.85,4.83,4.84,4.84,12400
2017-06-22,4.86,4.86,4.73,4.84,4.84,5100
2017-06-23,4.84,4.84,4.74,4.83,4.83,7000
2017-06-26,4.82,4.84,4.72,4.82,4.82,4300
2017-06-27,4.82,4.82,4.82,4.82,4.82,200
2017-06-28,4.82,4.82,4.81,4.82,4.82,1600
2017-06-29,4.8,4.8,4.72,4.72,4.72,5400
2017-06-30,4.73,4.73,4.22,4.54,4.54,15100
2017-07-03,4.56,4.72,4.56,4.72,4.72,3600
2017-07-05,4.61,4.72,4.37,4.72,4.72,4600
2017-07-06,4.7,4.7,4.38,4.57,4.57,400
2017-07-07,4.7,4.7,4.6,4.62,4.62,1700
2017-07-10,4.4,4.4,4.4,4.4,4.4,400
2017-07-11,4.41,4.65,4.41,4.62,4.62,8700
2017-07-12,4.65,4.65,4.46,4.53,4.53,12400
2017-07-13,4.54,4.54,4.51,4.53,4.53,3400
2017-07-14,4.71,4.71,4.59,4.59,4.59,2000
2017-07-17,4.61,4.8,4.54,4.62,4.62,2200
2017-07-18,4.51,4.75,4.5,4.57,4.57,4000
2017-07-19,4.6,4.7,4.58,4.69,4.69,6400
2017-07-20,4.72,4.82,4.69,4.82,4.82,17800
2017-07-21,4.81,4.82,4.81,4.82,4.82,300
2017-07-24,4.82,4.82,4.49,4.61,4.61,22000
2017-07-25,4.79,4.8,4.54,4.65,4.65,1400
2017-07-26,4.66,4.66,4.56,4.66,4.66,3400
