Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.0,7.1,6.2,6.45,6.45,19700
2017-01-04,6.6,6.65,6.25,6.35,6.35,13400
2017-01-05,6.45,6.531,6.25,6.35,6.35,31700
2017-01-06,6.4,6.4,6.0,6.05,6.05,59500
2017-01-09,6.1,6.15,6.0,6.0,6.0,45900
2017-01-10,6.1,6.1,5.7,5.8,5.8,83900
2017-01-11,5.95,5.95,5.525,5.6,5.6,43300
2017-01-12,5.65,5.74,5.3,5.45,5.45,126400
2017-01-13,5.5,5.7,5.35,5.55,5.55,58800
2017-01-17,5.55,5.603,4.8,5.4,5.4,153600
2017-01-18,5.45,5.55,4.912,5.4,5.4,25400
2017-01-19,5.45,5.45,4.8,5.05,5.05,64800
2017-01-20,5.0,5.0,4.8,4.95,4.95,54100
2017-01-23,4.9,4.945,4.55,4.8,4.8,45600
2017-01-24,4.834,4.95,4.75,4.85,4.85,11600
2017-01-25,4.85,4.94,4.775,4.9,4.9,11300
2017-01-26,4.9,4.9,4.75,4.85,4.85,19200
2017-01-27,4.995,5.0,4.8,4.8,4.8,14600
2017-01-30,4.65,4.75,4.65,4.7,4.7,13900
2017-01-31,4.8,4.9,4.55,4.9,4.9,30800
2017-02-01,4.9,4.95,4.75,4.75,4.75,33500
2017-02-02,4.7,4.7,4.5,4.55,4.55,62800
2017-02-03,4.6,4.7,4.5,4.7,4.7,28100
2017-02-06,4.7,4.75,4.6,4.6,4.6,9000
2017-02-07,4.55,4.85,4.429,4.55,4.55,68300
2017-02-08,4.5,4.6,4.25,4.45,4.45,59000
2017-02-09,4.4,4.55,4.375,4.45,4.45,29100
2017-02-10,4.65,4.75,4.4,4.55,4.55,117800
2017-02-13,4.65,4.8,4.5,4.6,4.6,26200
2017-02-14,5.35,5.35,4.619,4.75,4.75,215200
2017-02-15,4.85,4.85,4.5,4.7,4.7,128000
2017-02-16,4.65,4.776,4.25,4.3,4.3,68800
2017-02-17,4.4,4.4,4.1,4.175,4.175,62900
2017-02-21,4.3,4.45,4.0,4.35,4.35,172400
2017-02-22,4.35,4.35,4.16,4.3,4.3,39300
2017-02-23,4.4,4.4,4.05,4.05,4.05,84700
2017-02-24,4.1,4.35,4.0,4.3,4.3,67500
2017-02-27,4.35,4.75,4.323,4.55,4.55,99500
2017-02-28,4.55,4.677,4.417,4.55,4.55,36200
2017-03-01,4.7,4.75,4.55,4.65,4.65,51300
2017-03-02,4.75,5.15,4.7,5.0,5.0,60500
2017-03-03,4.95,5.3,4.85,5.05,5.05,73900
2017-03-06,5.0,5.1,4.85,4.9,4.9,58500
2017-03-07,4.9,4.9,4.4,4.45,4.45,44700
2017-03-08,4.65,5.0,4.6,4.7,4.7,120500
2017-03-09,4.75,5.1,4.65,5.0,5.0,117400
2017-03-10,5.05,5.3,4.95,5.2,5.2,145900
2017-03-13,5.1,5.25,5.02,5.25,5.25,36200
2017-03-14,5.25,5.3,4.9,5.05,5.05,42300
2017-03-15,4.95,5.05,4.75,4.95,4.95,106600
2017-03-16,4.9,5.05,4.845,4.9,4.9,26600
2017-03-17,4.8,4.9,4.5,4.55,4.55,82900
2017-03-20,4.55,4.66,4.3,4.4,4.4,98800
2017-03-21,3.65,3.725,3.55,3.6,3.6,1302000
2017-03-22,3.65,3.65,3.55,3.55,3.55,282700
2017-03-23,3.6,3.85,3.55,3.7,3.7,283000
2017-03-24,3.75,3.8,3.6,3.65,3.65,138800
2017-03-27,3.65,3.85,3.6,3.85,3.85,228000
2017-03-28,3.9,4.2,3.85,4.15,4.15,401700
2017-03-29,4.1,4.25,4.094,4.2,4.2,172800
2017-03-30,4.1,4.225,4.1,4.2,4.2,236400
2017-03-31,4.2,4.25,3.85,3.9,3.9,384600
2017-04-03,4.0,4.0,3.7,3.7,3.7,197300
2017-04-04,3.75,3.8,3.6,3.65,3.65,191200
2017-04-05,3.75,3.75,3.55,3.6,3.6,230800
2017-04-06,3.65,3.65,3.55,3.55,3.55,142400
2017-04-07,3.6,3.8,3.6,3.7,3.7,222500
2017-04-10,3.75,3.85,3.65,3.75,3.75,468200
2017-04-11,3.8,4.15,3.8,4.0,4.0,463600
2017-04-12,4.05,4.15,4.0,4.05,4.05,283900
2017-04-13,4.1,4.1,3.85,3.9,3.9,293900
2017-04-17,3.9,3.9,3.6,3.625,3.625,238100
2017-04-18,3.65,3.7,3.525,3.6,3.6,243800
2017-04-19,3.6,3.85,3.6,3.7,3.7,200800
2017-04-20,3.75,4.0,3.705,3.95,3.95,298800
2017-04-21,4.0,4.0,3.85,3.85,3.85,149000
2017-04-24,3.9,4.0,3.7,4.0,4.0,192200
2017-04-25,4.05,4.1,3.9,4.0,4.0,168700
2017-04-26,4.0,4.2,3.916,4.05,4.05,341100
2017-04-27,4.05,4.15,4.0,4.1,4.1,115000
2017-04-28,4.05,4.2,4.0,4.1,4.1,185800
2017-05-01,4.05,4.15,3.9,3.9,3.9,137300
2017-05-02,3.9,3.95,3.8,3.95,3.95,117800
2017-05-03,3.9,4.0,3.75,3.8,3.8,103800
2017-05-04,3.8,3.9,3.76,3.85,3.85,78800
2017-05-05,3.85,3.95,3.75,3.9,3.9,141000
2017-05-08,4.4,4.682,4.01,4.2,4.2,2444500
2017-05-09,4.25,4.29,4.06,4.2,4.2,399500
2017-05-10,4.25,4.35,4.15,4.15,4.15,162600
2017-05-11,4.15,4.175,3.85,4.05,4.05,289500
2017-05-12,4.05,4.2,3.9,4.15,4.15,164700
2017-05-15,4.1,4.2,4.1,4.2,4.2,155700
2017-05-16,4.25,4.25,4.05,4.1,4.1,220300
2017-05-17,4.05,4.15,3.75,3.75,3.75,349300
2017-05-18,3.8,3.934,3.75,3.8,3.8,197900
2017-05-19,4.1,4.4,4.0,4.1,4.1,733000
2017-05-22,4.2,4.4,4.2,4.4,4.4,384800
2017-05-23,4.45,4.45,4.1,4.2,4.2,272600
2017-05-24,4.15,4.2,4.1,4.1,4.1,124000
2017-05-25,4.1,4.15,3.925,3.95,3.95,276300
2017-05-26,3.9,4.079,3.9,3.95,3.95,125100
2017-05-30,4.0,4.1,3.75,4.05,4.05,298100
2017-05-31,4.1,4.1,3.85,3.85,3.85,163800
2017-06-01,3.85,4.125,3.83,4.05,4.05,132900
2017-06-02,4.1,4.2,3.955,4.1,4.1,178400
2017-06-05,4.05,4.15,3.95,3.95,3.95,126800
2017-06-06,4.0,4.25,3.95,4.15,4.15,212500
2017-06-07,4.2,4.2,4.06,4.15,4.15,76900
2017-06-08,4.2,4.25,3.95,4.0,4.0,211300
2017-06-09,3.95,4.05,3.95,4.05,4.05,182500
2017-06-12,4.05,4.1,3.967,4.05,4.05,105000
2017-06-13,4.1,4.1,4.0,4.05,4.05,84500
2017-06-14,4.1,4.1,3.85,4.05,4.05,308200
2017-06-15,4.0,4.1,3.9,4.05,4.05,150900
2017-06-16,3.95,4.1,3.95,4.1,4.1,203000
2017-06-19,4.1,4.685,4.05,4.6,4.6,542600
2017-06-20,4.6,5.3,4.6,5.1,5.1,928900
2017-06-21,5.0,5.45,4.9,5.25,5.25,488900
2017-06-22,5.25,5.6,5.05,5.4,5.4,550000
2017-06-23,5.4,5.55,5.2,5.25,5.25,1567200
2017-06-26,5.3,5.45,5.05,5.4,5.4,222800
2017-06-27,5.4,6.09,5.255,5.45,5.45,462500
2017-06-28,5.55,5.8,5.4,5.8,5.8,188100
2017-06-29,5.7,5.795,5.6,5.75,5.75,219000
2017-06-30,5.75,5.8,5.15,5.5,5.5,263100
2017-07-03,5.5,5.5,5.15,5.3,5.3,121800
2017-07-05,5.3,5.435,5.05,5.15,5.15,362000
2017-07-06,5.25,5.3,5.1,5.3,5.3,118500
2017-07-07,5.45,5.5,5.3,5.5,5.5,273400
2017-07-10,5.5,5.75,5.4,5.5,5.5,146500
2017-07-11,5.5,5.8,5.4,5.75,5.75,142700
2017-07-12,5.65,6.1,5.6,5.95,5.95,375300
2017-07-13,6.05,6.15,5.7,6.0,6.0,143600
2017-07-14,6.0,6.075,5.9,5.95,5.95,128800
2017-07-17,6.0,6.05,5.7,5.85,5.85,143600
2017-07-18,5.7,5.82,5.45,5.45,5.45,291500
2017-07-19,5.5,5.6,5.45,5.45,5.45,198700
2017-07-20,5.5,5.65,5.46,5.55,5.55,189200
2017-07-21,5.55,5.75,5.55,5.6,5.6,92800
2017-07-24,5.65,5.731,5.55,5.7,5.7,113400
2017-07-25,5.9,5.925,5.65,5.7,5.7,92100
2017-07-26,5.8,6.26,5.7,6.15,6.15,377100
2017-07-27,6.25,6.4,5.81,5.95,5.95,251700
2017-07-28,5.9,6.25,5.81,6.15,6.15,103000
2017-07-31,6.25,6.381,6.025,6.1,6.1,124500
2017-08-01,6.15,6.185,5.7,5.7,5.7,205300
2017-08-02,5.75,6.001,5.25,5.65,5.65,343700
2017-08-03,5.7,5.85,5.5,5.6,5.6,100200
2017-08-04,5.6,6.19,5.5,5.9,5.9,106800
2017-08-07,5.9,6.05,5.6,5.7,5.7,77700
2017-08-08,5.75,6.0,5.51,5.95,5.95,150200
2017-08-09,6.4,6.4,5.7,5.85,5.85,279800
2017-08-10,5.85,5.9,5.35,5.65,5.65,156200
2017-08-11,5.65,5.703,5.2,5.4,5.4,228200
2017-08-14,5.35,5.45,5.074,5.2,5.2,177900
2017-08-15,5.25,5.25,4.9,5.0,5.0,221000
2017-08-16,5.0,5.2,4.85,5.0,5.0,130800
2017-08-17,4.95,5.1,4.755,4.95,4.95,106500
2017-08-18,4.9,5.1,4.85,5.0,5.0,78700
2017-08-21,5.05,5.2,4.75,5.0,5.0,93100
2017-08-22,5.05,5.14,4.8,4.875,4.875,78800
2017-08-23,4.85,4.94,4.7,4.7,4.7,122700
2017-08-24,4.75,4.95,4.705,4.85,4.85,76300
2017-08-25,4.95,5.04,4.8,4.8,4.8,60300
2017-08-28,4.8,4.9,4.7,4.75,4.75,81600
2017-08-29,4.8,5.05,4.7,4.9,4.9,104700
2017-08-30,4.95,5.1,4.917,5.05,5.05,127200
2017-08-31,5.2,5.3,4.975,5.1,5.1,116500
2017-09-01,5.15,5.15,4.9,5.0,5.0,67100
2017-09-05,5.05,5.15,4.9,5.05,5.05,139000
2017-09-06,5.0,5.1,5.0,5.05,5.05,71400
2017-09-07,5.05,5.05,4.45,4.9,4.9,637500
2017-09-08,4.95,4.95,4.75,4.8,4.8,78500
2017-09-11,4.8,4.875,4.6,4.65,4.65,118000
2017-09-12,4.55,4.75,4.5,4.7,4.7,133600
2017-09-13,4.75,4.9,4.65,4.85,4.85,69400
2017-09-14,4.85,4.85,4.75,4.75,4.75,38200
2017-09-15,4.7,4.95,4.65,4.95,4.95,104600
2017-09-18,5.0,5.29,4.86,5.1,5.1,153400
2017-09-19,5.15,5.55,5.15,5.4,5.4,158400
2017-09-20,5.35,5.55,5.25,5.55,5.55,84100
2017-09-21,5.6,5.64,5.45,5.6,5.6,81800
2017-09-22,5.65,5.65,5.275,5.55,5.55,80500
2017-09-25,5.55,5.65,5.5,5.5,5.5,74000
2017-09-26,5.45,5.55,5.25,5.45,5.45,69600
2017-09-27,5.4,5.55,5.35,5.5,5.5,61200
2017-09-28,5.45,5.75,5.35,5.5,5.5,114700
2017-09-29,5.55,5.6,5.357,5.55,5.55,101659
