Date,Open,High,Low,Close,Adj Close,Volume
2017-07-05,10.0,10.0,10.0,10.0,10.0,5000.0
2017-07-06,9.9,9.9,9.75,9.75,9.75,7000.0
2017-07-07,9.75,9.75,9.75,9.75,9.75,5000.0
2017-07-10,9.75,9.75,9.75,9.75,9.75,0.0
2017-07-11,9.585,9.6,9.5,9.5,9.5,5700.0
2017-07-12,9.5,9.5,9.5,9.5,9.5,0.0
2017-07-13,,,,,,
2017-07-14,,,,,,
2017-07-17,,,,,,
2017-07-18,9.77,9.78,9.73,9.78,9.78,216300.0
2017-07-19,9.79,9.79,9.79,9.79,9.79,361000.0
2017-07-20,9.82,9.84,9.79,9.84,9.84,161100.0
2017-07-21,9.9,9.9,9.81,9.81,9.81,204200.0
2017-07-24,9.81,9.81,9.81,9.81,9.81,0.0
2017-07-25,9.81,9.81,9.81,9.81,9.81,0.0
2017-07-26,9.81,9.81,9.81,9.81,9.81,0.0
2017-07-27,9.83,9.87,9.79,9.8,9.8,6800.0
2017-07-28,9.8,9.8,9.8,9.8,9.8,100000.0
2017-07-31,9.84,9.84,9.82,9.82,9.82,6600.0
2017-08-01,9.82,9.82,9.82,9.82,9.82,0.0
2017-08-02,9.82,9.82,9.82,9.82,9.82,0.0
2017-08-03,9.82,9.82,9.82,9.82,9.82,0.0
2017-08-04,9.82,9.82,9.81,9.82,9.82,9900.0
2017-08-07,9.82,9.835,9.82,9.82,9.82,4900.0
2017-08-08,9.82,9.82,9.82,9.82,9.82,0.0
2017-08-09,9.82,9.82,9.82,9.82,9.82,0.0
2017-08-10,9.82,9.88,9.79,9.79,9.79,67800.0
2017-08-11,9.82,9.82,9.8,9.82,9.82,64900.0
2017-08-14,9.82,9.84,9.79,9.8,9.8,17100.0
2017-08-15,9.8,9.8,9.8,9.8,9.8,0.0
2017-08-16,9.84,9.84,9.84,9.84,9.84,100.0
2017-08-17,9.8,9.85,9.8,9.8,9.8,4500.0
2017-08-18,9.8,9.8,9.8,9.8,9.8,0.0
2017-08-21,9.8,9.8,9.79,9.8,9.8,4600.0
2017-08-22,9.8,9.8,9.8,9.8,9.8,0.0
2017-08-23,9.8,9.8,9.8,9.8,9.8,0.0
2017-08-24,9.8,9.8,9.79,9.8,9.8,8000.0
2017-08-25,9.8,9.8,9.8,9.8,9.8,0.0
2017-08-28,9.8,9.8,9.8,9.8,9.8,0.0
2017-08-29,9.839,9.839,9.839,9.839,9.839,1400.0
2017-08-30,9.839,9.839,9.839,9.839,9.839,0.0
2017-08-31,9.839,9.839,9.839,9.839,9.839,0.0
2017-09-01,9.839,9.839,9.839,9.839,9.839,0.0
2017-09-05,9.839,9.839,9.839,9.839,9.839,0.0
2017-09-06,9.839,9.839,9.839,9.839,9.839,0.0
2017-09-07,9.84,9.84,9.82,9.821,9.821,16800.0
2017-09-08,9.821,9.821,9.821,9.821,9.821,0.0
2017-09-11,9.82,9.82,9.82,9.82,9.82,15100.0
2017-09-12,9.85,9.853,9.85,9.85,9.85,49700.0
2017-09-13,9.85,9.85,9.85,9.85,9.85,0.0
2017-09-14,9.85,9.85,9.85,9.85,9.85,0.0
2017-09-15,9.85,9.85,9.85,9.85,9.85,0.0
2017-09-18,9.85,9.85,9.85,9.85,9.85,0.0
2017-09-19,9.85,9.85,9.85,9.85,9.85,0.0
2017-09-20,9.85,9.85,9.85,9.85,9.85,0.0
2017-09-21,9.85,9.85,9.85,9.85,9.85,0.0
2017-09-22,9.85,9.85,9.85,9.85,9.85,0.0
2017-09-25,9.87,9.87,9.87,9.87,9.87,100.0
2017-09-26,9.87,9.87,9.87,9.87,9.87,100.0
2017-09-26,9.87,9.87,9.87,9.87,9.87,100.0
2017-09-27,9.87,9.87,9.87,9.87,9.87,0.0
2017-09-28,9.87,9.87,9.87,9.87,9.87,0.0
