Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,10.4,10.44,10.29,10.43,9.985114,1470200
2017-01-04,10.49,10.7,10.46,10.64,10.186156,998200
2017-01-05,10.62,10.65,10.43,10.49,10.042555,1863500
2017-01-06,10.54,10.66,10.44,10.61,10.157435000000001,1091200
2017-01-09,10.53,10.68,10.48,10.66,10.205303,1161100
2017-01-10,10.66,10.92,10.62,10.91,10.444639,1741000
2017-01-11,10.94,10.95,10.78,10.86,10.396772,1196700
2017-01-12,10.85,10.86,10.72,10.8,10.339332,905600
2017-01-13,10.82,10.96,10.81,10.91,10.444639,1046400
2017-01-17,10.84,10.92,10.72,10.76,10.301039,1120400
2017-01-18,10.81,10.89,10.72,10.88,10.415919,849300
2017-01-19,10.9,10.94,10.75,10.77,10.310611999999999,1042400
2017-01-20,10.77,10.87,10.77,10.84,10.377626,1032800
2017-01-23,10.81,10.86,10.75,10.8,10.339332,739500
2017-01-24,10.83,10.99,10.79,10.92,10.454213000000001,886900
2017-01-25,11.0,11.19,10.97,11.15,10.674403,1432200
2017-01-26,11.19,11.27,11.15,11.22,10.741417,1424300
2017-01-27,11.23,11.25,11.1,11.22,10.741417,915800
2017-01-30,11.2,11.2,10.97,11.15,10.674403,921500
2017-01-31,11.11,11.17,11.06,11.07,10.597814999999999,1287100
2017-02-01,11.19,11.28,11.06,11.11,10.636108,1012000
2017-02-02,11.06,11.16,11.0,11.04,10.569094999999999,890800
2017-02-03,11.13,11.22,11.1,11.21,10.731844,1420900
2017-02-06,11.15,11.28,11.13,11.28,10.798857,1633200
2017-02-07,11.32,11.32,11.06,11.11,10.636108,1346100
2017-02-08,11.09,11.09,10.87,11.01,10.540375,1847100
2017-02-09,11.42,11.58,11.31,11.35,10.865872,2621000
2017-02-10,11.34,11.39,11.27,11.3,10.818005,2262300
2017-02-13,11.38,11.59,11.38,11.56,11.066914,2646800
2017-02-14,11.52,11.67,11.5,11.6,11.105208,1238100
2017-02-15,11.62,11.82,11.6,11.78,11.27753,975000
2017-02-16,11.78,11.85,11.7,11.75,11.24881,1053500
2017-02-17,11.76,11.76,11.61,11.69,11.191369,979300
2017-02-21,11.67,11.84,11.67,11.73,11.229663,780900
2017-02-22,11.72,11.79,11.7,11.78,11.27753,584500
2017-02-23,11.83,11.85,11.62,11.79,11.287105,1184200
2017-02-24,11.52,11.69,11.45,11.57,11.228873,1345000
2017-02-27,11.53,11.56,11.45,11.48,11.141525999999999,1039100
2017-02-28,11.41,11.47,11.23,11.28,10.947422999999999,1610600
2017-03-01,11.48,11.61,11.46,11.57,11.228873,1519100
2017-03-02,11.51,11.55,11.36,11.38,11.044476,1597600
2017-03-03,11.43,11.45,11.27,11.35,11.015361,1309100
2017-03-06,11.27,11.44,11.25,11.41,11.07359,936200
2017-03-07,11.35,11.43,11.31,11.36,11.025064,793600
2017-03-08,11.44,11.47,11.31,11.32,10.986243,812000
2017-03-09,11.36,11.42,11.27,11.29,10.957129,776900
2017-03-10,11.36,11.39,11.26,11.31,10.97654,774500
2017-03-13,11.27,11.4,11.25,11.39,11.05418,787300
2017-03-14,11.38,11.41,11.24,11.28,10.947422999999999,819400
2017-03-15,11.3,11.41,11.24,11.4,11.063885,861500
2017-03-16,11.45,11.5,11.4,11.49,11.151232,663800
2017-03-17,11.43,11.52,11.41,11.47,11.131822,1755800
2017-03-20,11.47,11.52,11.35,11.35,11.015361,943900
2017-03-21,11.43,11.43,10.95,10.97,10.646564,1483900
2017-03-22,11.19,11.19,10.62,10.91,10.588332000000001,1583800
2017-03-23,10.86,11.07,10.81,10.88,10.559217,837700
2017-03-24,10.93,11.02,10.79,10.84,10.520396,854700
2017-03-27,10.64,10.92,10.39,10.9,10.578627000000001,1169800
2017-03-28,10.83,11.06,10.52,11.02,10.695089999999999,713100
2017-03-29,10.99,11.02,10.83,10.84,10.520396,1271800
2017-03-30,10.85,11.29,10.85,11.26,10.928013,1853100
2017-03-31,11.27,11.5,11.25,11.36,11.025064,2184400
2017-04-03,11.35,11.38,11.19,11.25,10.918308,1579300
2017-04-04,11.21,11.27,11.15,11.18,10.850372,892700
2017-04-05,11.27,11.31,10.92,10.96,10.636859,1444500
2017-04-06,10.97,11.11,10.92,11.05,10.724205,1119300
2017-04-07,11.02,11.07,10.94,11.02,10.695089999999999,1606000
2017-04-10,11.05,11.11,10.87,10.91,10.588332000000001,1090500
2017-04-11,10.85,10.94,10.78,10.93,10.607743,1461200
2017-04-12,10.92,10.94,10.79,10.85,10.530102000000001,964300
2017-04-13,10.83,10.86,10.72,10.72,10.403934,958800
2017-04-17,10.73,10.81,10.64,10.72,10.403934,991100
2017-04-18,10.6,10.88,10.6,10.86,10.539806,1246900
2017-04-19,10.89,11.02,10.89,10.97,10.646564,817400
2017-04-20,11.03,11.18,10.96,11.18,10.850372,829700
2017-04-21,11.17,11.22,11.11,11.16,10.830961,1150900
2017-04-24,11.31,11.42,11.3,11.36,11.025064,1146800
2017-04-25,11.44,11.55,11.4,11.43,11.093001,977100
2017-04-26,11.42,11.5,11.31,11.32,10.986243,1411900
2017-04-27,11.33,11.36,11.25,11.31,10.97654,1003500
2017-04-28,11.3,11.52,11.24,11.38,11.044476,1486900
2017-05-01,11.4,11.42,11.27,11.38,11.044476,1248800
2017-05-02,11.36,11.47,11.26,11.44,11.102706,1306500
2017-05-03,11.36,11.46,11.34,11.45,11.112411,1107400
2017-05-04,11.47,11.7,11.47,11.64,11.29681,1312100
2017-05-05,11.65,11.68,11.54,11.59,11.248283,935300
2017-05-08,11.58,11.6,11.47,11.57,11.228873,848100
2017-05-09,11.58,11.59,11.46,11.52,11.180347,909800
2017-05-10,11.5,11.56,11.43,11.54,11.199758000000001,648300
2017-05-11,11.49,11.53,11.34,11.45,11.112411,1183300
2017-05-12,11.39,11.45,11.34,11.42,11.083296,710400
2017-05-15,11.45,11.57,11.45,11.54,11.199758000000001,992600
2017-05-16,11.54,11.64,11.42,11.59,11.248283,1452800
2017-05-17,11.23,11.31,11.03,11.07,10.913102,1812500
2017-05-18,11.04,11.32,11.04,11.23,11.070834,1727700
2017-05-19,11.24,11.36,11.23,11.28,11.120125999999999,1178200
2017-05-22,11.31,11.54,11.31,11.52,11.356725,1348600
2017-05-23,11.54,11.6,11.45,11.53,11.366583,1243000
2017-05-24,11.54,11.59,11.5,11.55,11.3863,1374800
2017-05-25,11.59,11.77,11.55,11.74,11.573606,1186400
2017-05-26,11.67,11.83,11.65,11.76,11.593324,895900
2017-05-30,11.72,11.81,11.69,11.75,11.583464999999999,1237100
2017-05-31,11.78,11.8,11.55,11.79,11.622898,2108900
2017-06-01,11.81,12.05,11.77,11.99,11.820063000000001,1502700
2017-06-02,12.02,12.19,11.87,12.09,11.918646,1482000
2017-06-05,12.1,12.29,12.08,12.14,11.967937,1306800
2017-06-06,12.05,12.17,11.98,12.09,11.918646,1004800
2017-06-07,12.15,12.28,12.14,12.26,12.086236999999999,1059300
2017-06-08,12.23,12.56,12.23,12.46,12.283401,1552400
2017-06-09,12.49,12.69,12.47,12.62,12.441134,1329800
2017-06-12,12.62,12.68,12.48,12.5,12.322835000000001,1557800
2017-06-13,12.5,12.53,12.36,12.41,12.234110000000001,1702800
2017-06-14,12.33,12.44,12.25,12.43,12.253827000000001,1235000
2017-06-15,12.29,12.4,12.29,12.33,12.155244,1131700
2017-06-16,12.18,12.37,12.09,12.35,12.174961,3160300
2017-06-19,12.38,12.48,12.34,12.39,12.214395,2956500
2017-06-20,12.39,12.39,12.14,12.15,11.977796000000001,1532300
2017-06-21,12.19,12.2,12.01,12.01,11.839780000000001,1228300
2017-06-22,12.0,12.01,11.79,11.9,11.731339,2082200
2017-06-23,11.92,12.06,11.88,11.89,11.721480999999999,25550500
2017-06-26,11.98,12.19,11.96,12.12,11.94822,2017500
2017-06-27,12.15,12.23,12.02,12.1,11.928505,1077600
2017-06-28,12.12,12.19,12.08,12.16,11.987654,2000300
2017-06-29,12.3,12.56,12.19,12.55,12.372127,4842100
2017-06-30,12.6,12.69,12.54,12.64,12.460851,2976200
2017-07-03,12.72,12.8,12.64,12.75,12.569291,1740900
2017-07-05,12.8,12.87,12.62,12.75,12.569291,1709100
2017-07-06,12.7,12.81,12.63,12.67,12.490425,2991500
2017-07-07,12.7,12.72,12.53,12.59,12.411559,1879600
2017-07-10,12.56,12.61,12.46,12.58,12.401701,1607700
2017-07-11,12.54,12.76,12.53,12.65,12.470709,1504400
2017-07-12,12.66,12.86,12.61,12.84,12.658016,1466000
2017-07-13,12.85,13.01,12.82,12.93,12.746739999999999,1454800
2017-07-14,12.89,13.02,12.87,12.94,12.756598,921200
2017-07-17,12.94,13.06,12.88,13.05,12.865039999999999,1370200
2017-07-18,13.03,13.23,12.97,13.2,13.012914,1962400
2017-07-19,13.25,13.28,13.13,13.23,13.042488,1365600
2017-07-20,13.23,13.35,13.2,13.33,13.141070999999998,1221700
2017-07-21,13.33,13.4,13.29,13.34,13.150929000000001,1490300
2017-07-24,13.36,13.42,13.28,13.31,13.121355,1132500
2017-07-25,13.41,13.44,13.28,13.37,13.180504,1743500
2017-07-26,13.15,13.22,12.36,12.51,12.332692999999999,3002400
2017-07-27,12.52,12.78,12.5,12.69,12.510141,3091800
2017-07-28,12.63,12.72,12.54,12.71,12.529859,1360300
2017-07-31,12.71,12.73,12.54,12.61,12.431275,1508100
2017-08-01,12.71,12.73,12.52,12.61,12.431275,1122000
2017-08-02,12.61,12.65,12.38,12.56,12.381985,1329200
2017-08-03,12.53,12.68,12.52,12.65,12.470709,1252900
2017-08-04,12.72,12.75,12.63,12.72,12.539717,986800
2017-08-07,12.72,12.99,12.72,12.85,12.667874000000001,2104400
2017-08-08,12.8,12.86,12.67,12.76,12.57915,947700
2017-08-09,12.7,12.71,12.51,12.7,12.52,1051300
2017-08-10,12.48,12.56,12.44,12.46,12.46,844700
2017-08-11,12.45,12.49,12.35,12.47,12.47,1278200
2017-08-14,12.55,12.81,12.55,12.74,12.74,938400
2017-08-15,12.76,12.87,12.73,12.75,12.75,863400
2017-08-16,12.76,12.91,12.76,12.79,12.79,742500
2017-08-17,12.73,12.79,12.62,12.64,12.64,890100
2017-08-18,12.6,12.61,12.5,12.51,12.51,1724800
2017-08-21,12.51,12.72,12.46,12.64,12.64,853400
2017-08-22,12.64,12.81,12.64,12.79,12.79,649700
2017-08-23,12.72,12.89,12.72,12.77,12.77,844800
2017-08-24,12.81,12.96,12.81,12.85,12.85,686500
2017-08-25,12.87,13.0,12.86,12.94,12.94,1229500
2017-08-28,13.0,13.0,12.85,12.93,12.93,1132800
2017-08-29,12.83,13.15,12.8,13.08,13.08,1141700
2017-08-30,13.07,13.32,13.04,13.09,13.09,1665500
2017-08-31,13.17,13.19,12.92,12.99,12.99,1700500
2017-09-01,13.01,13.1,12.93,12.98,12.98,1288100
2017-09-05,12.93,12.97,12.73,12.74,12.74,1209100
2017-09-06,12.79,13.01,12.77,12.95,12.95,1855400
2017-09-07,12.97,12.97,12.78,12.86,12.86,1116700
2017-09-08,12.84,13.01,12.82,12.93,12.93,689900
