Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,16.0,16.5,15.75,16.5,16.5,21100
2017-01-04,16.75,17.25,15.5,15.75,15.75,35700
2017-01-05,16.5,16.75,16.5,16.5,16.5,7800
2017-01-06,16.5,17.5,16.5,16.75,16.75,71400
2017-01-09,17.5,17.75,16.75,16.75,16.75,79300
2017-01-10,17.5,17.75,17.0,17.5,17.5,30600
2017-01-11,17.75,19.5,17.5,18.5,18.5,337700
2017-01-12,18.5,18.5,17.0,17.5,17.5,51400
2017-01-13,17.5,18.5,17.5,18.0,18.0,29000
2017-01-17,18.75,18.75,17.0,18.25,18.25,66300
2017-01-18,18.25,18.25,16.75,17.25,17.25,1200
2017-01-19,18.25,18.25,17.25,18.0,18.0,23900
2017-01-20,18.0,18.0,17.25,17.25,17.25,45500
2017-01-23,17.5,19.25,17.5,18.5,18.5,170900
2017-01-24,18.75,19.5,18.0,19.0,19.0,149600
2017-01-25,19.5,19.5,18.5,18.75,18.75,40500
2017-01-26,19.25,19.25,18.25,18.5,18.5,45800
2017-01-27,19.0,19.5,18.25,19.25,19.25,50300
2017-01-30,19.5,19.5,16.75,17.5,17.5,228800
2017-01-31,17.5,17.5,16.5,17.5,17.5,114100
2017-02-01,17.5,17.75,15.5,15.75,15.75,107500
2017-02-02,15.75,17.5,15.75,16.0,16.0,46200
2017-02-03,15.75,16.5,15.5,15.75,15.75,46000
2017-02-06,16.0,16.5,15.5,16.25,16.25,53800
2017-02-07,16.0,16.0,15.5,16.0,16.0,64300
2017-02-08,15.5,16.25,15.5,15.75,15.75,36300
2017-02-09,16.5,16.5,15.75,15.75,15.75,43800
2017-02-10,16.25,16.25,15.75,15.75,15.75,41600
2017-02-13,16.0,17.0,16.0,16.75,16.75,144600
2017-02-14,19.0,19.0,17.25,17.5,17.5,359700
2017-02-15,18.25,18.5,17.5,17.75,17.75,2600
2017-02-16,18.25,18.25,16.75,16.75,16.75,134600
2017-02-17,17.0,17.25,16.25,16.25,16.25,93000
2017-02-21,16.25,16.75,15.5,16.0,16.0,109400
2017-02-22,15.75,16.5,15.75,15.75,15.75,39300
2017-02-23,16.5,16.5,15.75,16.25,16.25,32000
2017-02-24,15.75,17.75,15.5,15.5,15.5,787700
2017-02-27,16.0,17.5,15.5,17.5,17.5,247200
