Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.46,1.5,1.42,1.45,1.45,69300
2017-01-04,1.46,1.53,1.43,1.51,1.51,135000
2017-01-05,1.48,1.51,1.43,1.45,1.45,121900
2017-01-06,1.45,1.5,1.41,1.41,1.41,91700
2017-01-09,1.39,1.45,1.35,1.36,1.36,159000
2017-01-10,1.37,1.4,1.3,1.32,1.32,129400
2017-01-11,1.33,1.4,1.31,1.38,1.38,56700
2017-01-12,1.39,1.43,1.3,1.31,1.31,183400
2017-01-13,1.29,1.35,1.27,1.33,1.33,103400
2017-01-17,1.31,1.35,1.27,1.28,1.28,102800
2017-01-18,1.27,1.32,1.27,1.29,1.29,85700
2017-01-19,1.28,1.3,1.27,1.27,1.27,79900
2017-01-20,1.29,1.32,1.27,1.28,1.28,69100
2017-01-23,1.28,1.3,1.27,1.28,1.28,100300
2017-01-24,1.3,1.3,1.28,1.3,1.3,35700
2017-01-25,1.31,1.35,1.28,1.28,1.28,47500
2017-01-26,1.28,1.3,1.25,1.27,1.27,53100
2017-01-27,1.27,1.29,1.21,1.27,1.27,120000
2017-01-30,1.27,1.27,1.13,1.21,1.21,164500
2017-01-31,1.21,1.21,1.14,1.18,1.18,85400
2017-02-01,1.2,1.3,1.16,1.25,1.25,188300
2017-02-02,1.22,1.28,1.17,1.18,1.18,91500
2017-02-03,1.18,1.3,1.15,1.16,1.16,304800
2017-02-06,1.16,1.16,1.06,1.12,1.12,136200
2017-02-07,1.13,1.14,1.05,1.08,1.08,142300
2017-02-08,1.1,1.11,1.05,1.1,1.1,120000
2017-02-09,1.11,1.38,1.11,1.25,1.25,924900
2017-02-10,1.23,1.23,1.13,1.19,1.19,257600
2017-02-13,1.16,1.16,1.11,1.13,1.13,90400
2017-02-14,1.11,1.18,1.11,1.14,1.14,106100
2017-02-15,1.13,1.17,1.11,1.11,1.11,117500
2017-02-16,1.11,1.16,1.11,1.11,1.11,56100
2017-02-17,1.12,1.15,1.11,1.15,1.15,44000
2017-02-21,1.17,1.23,1.15,1.2,1.2,142500
2017-02-22,1.22,1.25,1.2,1.23,1.23,161200
2017-02-23,1.25,1.25,1.2,1.23,1.23,117000
2017-02-24,1.25,1.27,1.23,1.25,1.25,33500
2017-02-27,1.21,1.34,1.21,1.23,1.23,72300
2017-02-28,1.29,1.29,1.2,1.2,1.2,88400
2017-03-01,1.2,1.25,1.19,1.19,1.19,41200
2017-03-02,1.19,1.22,1.12,1.13,1.13,139500
2017-03-03,1.05,1.19,1.05,1.07,1.07,203800
2017-03-06,1.08,1.11,1.06,1.09,1.09,173800
2017-03-07,1.1,1.1,1.08,1.08,1.08,16900
2017-03-08,1.08,1.09,1.06,1.08,1.08,78900
2017-03-09,1.07,1.09,1.06,1.08,1.08,94800
2017-03-10,1.11,1.14,1.04,1.04,1.04,57000
2017-03-13,1.06,1.1,1.04,1.08,1.08,93500
2017-03-14,1.12,1.22,1.07,1.07,1.07,457900
2017-03-15,1.08,1.08,1.0,1.01,1.01,219100
2017-03-16,1.0,1.03,0.95,1.02,1.02,191200
2017-03-17,1.03,1.1,0.95,0.95,0.95,389300
2017-03-20,0.95,0.95,0.87,0.87,0.87,284800
2017-03-21,0.85,0.89,0.74,0.8,0.8,338400
2017-03-22,0.75,0.8,0.72,0.72,0.72,175200
2017-03-23,0.72,0.75,0.64,0.66,0.66,297700
2017-03-24,0.63,0.72,0.63,0.71,0.71,157800
2017-03-27,0.7,0.71,0.66,0.66,0.66,52200
2017-03-28,0.67,0.7,0.67,0.69,0.69,49100
2017-03-29,0.69,0.79,0.69,0.77,0.77,210400
2017-03-30,0.77,0.93,0.77,0.88,0.88,260700
2017-03-31,0.86,0.93,0.84,0.84,0.84,141800
2017-04-03,0.84,0.87,0.69,0.72,0.72,161000
2017-04-04,0.78,0.82,0.68,0.69,0.69,79200
2017-04-05,0.68,0.75,0.63,0.63,0.63,112100
2017-04-06,0.63,0.7,0.63,0.63,0.63,151600
2017-04-07,0.64,0.69,0.6,0.61,0.61,162300
2017-04-10,0.62,0.66,0.6,0.65,0.65,93100
2017-04-11,0.65,0.65,0.61,0.61,0.61,47300
2017-04-12,0.64,0.65,0.6,0.61,0.61,75500
2017-04-13,0.61,0.61,0.6,0.6,0.6,46800
2017-04-17,0.61,0.61,0.6,0.61,0.61,74900
2017-04-18,0.61,0.65,0.61,0.62,0.62,45700
2017-04-19,0.65,0.65,0.6,0.6,0.6,54800
2017-04-20,0.61,0.64,0.61,0.62,0.62,39000
2017-04-21,0.63,0.63,0.6,0.6,0.6,59500
2017-04-24,0.6,0.62,0.59,0.6,0.6,117100
2017-04-25,0.58,0.6,0.58,0.6,0.6,81100
2017-04-26,0.6,0.61,0.59,0.6,0.6,43300
2017-04-27,0.61,0.62,0.58,0.59,0.59,26900
2017-04-28,0.58,0.61,0.58,0.58,0.58,60200
2017-05-01,0.6,0.71,0.6,0.66,0.66,330900
2017-05-02,0.79,0.89,0.66,0.83,0.83,267800
2017-05-03,0.9,0.94,0.82,0.86,0.86,260000
2017-05-04,0.85,0.87,0.8,0.86,0.86,81000
2017-05-05,0.88,0.89,0.81,0.87,0.87,63300
2017-05-08,0.88,0.94,0.84,0.86,0.86,54100
2017-05-09,0.65,0.93,0.65,0.86,0.86,106300
2017-05-10,0.84,0.88,0.84,0.85,0.85,44800
2017-05-11,0.87,0.87,0.83,0.84,0.84,42000
2017-05-12,0.83,0.88,0.75,0.77,0.77,168200
2017-05-15,0.74,0.79,0.71,0.76,0.76,30000
2017-05-16,0.79,0.8,0.75,0.75,0.75,16000
2017-05-17,0.75,0.75,0.69,0.7,0.7,86800
2017-05-18,0.75,0.75,0.68,0.69,0.69,55900
2017-05-19,0.7,0.7,0.67,0.68,0.68,40800
2017-05-22,0.67,0.7,0.61,0.62,0.62,84000
2017-05-23,0.61,0.62,0.58,0.58,0.58,139600
2017-05-24,0.57,0.61,0.55,0.58,0.58,126300
2017-05-25,0.58,0.64,0.5,0.54,0.54,130400
2017-05-26,0.55,0.61,0.53,0.6,0.6,89800
2017-05-30,0.57,0.6,0.54,0.56,0.56,101300
2017-05-31,0.56,0.56,0.48,0.49,0.49,309200
2017-06-01,0.53,0.54,0.49,0.5,0.5,289500
2017-06-02,0.53,0.53,0.45,0.49,0.49,139300
2017-06-05,0.5,0.5,0.46,0.5,0.5,27200
2017-06-06,0.48,0.52,0.46,0.51,0.51,145500
2017-06-07,0.5,0.51,0.46,0.48,0.48,36600
2017-06-08,0.49,0.5,0.46,0.5,0.5,34000
2017-06-09,0.48,0.51,0.48,0.49,0.49,69300
2017-06-12,0.5,0.5,0.45,0.49,0.49,75000
2017-06-13,0.53,0.53,0.47,0.49,0.49,46800
2017-06-14,0.49,0.49,0.46,0.48,0.48,80900
2017-06-15,0.47,0.5,0.46,0.48,0.48,16600
2017-06-16,0.49,0.5,0.45,0.49,0.49,319600
2017-06-19,0.49,0.53,0.46,0.52,0.52,84900
2017-06-20,0.52,0.53,0.51,0.52,0.52,110700
2017-06-21,0.52,0.55,0.48,0.51,0.51,117600
2017-06-22,0.5,0.51,0.47,0.49,0.49,39800
2017-06-23,0.51,0.53,0.49,0.49,0.49,81900
2017-06-26,0.49,0.52,0.46,0.48,0.48,155700
2017-06-27,0.5,0.5,0.46,0.48,0.48,31600
2017-06-28,0.47,0.49,0.44,0.45,0.45,219600
2017-06-29,0.43,0.46,0.39,0.42,0.42,198000
2017-06-30,0.43,0.46,0.4,0.44,0.44,79200
2017-07-03,0.49,0.49,0.42,0.43,0.43,53200
2017-07-05,0.43,0.46,0.43,0.45,0.45,38200
2017-07-06,0.45,0.45,0.44,0.45,0.45,95000
2017-07-07,0.44,0.45,0.4,0.4,0.4,100000
2017-07-10,0.42,0.43,0.36,0.36,0.36,129000
2017-07-11,0.37,0.38,0.36,0.36,0.36,76100
2017-07-12,0.36,0.36,0.31,0.32,0.32,141600
2017-07-13,0.31,0.97,0.31,0.77,0.77,11836500
2017-07-14,0.7,0.97,0.66,0.79,0.79,6736900
2017-07-17,0.79,0.8,0.59,0.64,0.64,973700
2017-07-18,0.62,0.62,0.5,0.57,0.57,841400
2017-07-19,0.55,0.73,0.53,0.61,0.61,851200
2017-07-20,0.61,0.75,0.61,0.68,0.68,1442000
2017-07-21,0.72,0.88,0.68,0.8,0.8,3993200
2017-07-24,0.85,0.88,0.65,0.65,0.65,1177700
2017-07-25,0.65,0.72,0.62,0.64,0.64,457600
2017-07-26,0.66,0.66,0.61,0.63,0.63,234800
2017-07-27,0.63,0.69,0.57,0.64,0.64,548200
2017-07-28,0.62,0.64,0.6,0.62,0.62,148400
2017-07-31,0.59,0.61,0.55,0.56,0.56,170600
2017-08-01,0.59,0.59,0.55,0.56,0.56,101500
2017-08-02,0.55,0.75,0.53,0.68,0.68,1916100
2017-08-03,0.66,0.68,0.6,0.63,0.63,378900
2017-08-04,0.63,0.68,0.61,0.62,0.62,313400
2017-08-07,0.62,0.72,0.62,0.7,0.7,772700
2017-08-08,0.69,0.73,0.67,0.67,0.67,505000
2017-08-09,0.64,0.7,0.62,0.64,0.64,139200
2017-08-10,0.64,0.68,0.62,0.62,0.62,254800
2017-08-11,0.62,0.64,0.56,0.6,0.6,133900
2017-08-14,0.58,0.66,0.55,0.64,0.64,213800
2017-08-15,0.61,0.69,0.59,0.68,0.68,308700
2017-08-16,0.69,0.77,0.61,0.7,0.7,826500
2017-08-17,0.65,0.74,0.63,0.69,0.69,215500
2017-08-18,0.66,0.69,0.62,0.67,0.67,149800
2017-08-21,0.62,0.67,0.62,0.62,0.62,134000
2017-08-22,0.62,0.66,0.61,0.63,0.63,121100
2017-08-23,0.67,0.67,0.63,0.64,0.64,39200
2017-08-24,0.67,0.73,0.64,0.65,0.65,311800
2017-08-25,0.66,0.72,0.65,0.69,0.69,157600
2017-08-28,0.73,0.89,0.68,0.7,0.7,1376800
2017-08-29,0.68,0.75,0.68,0.69,0.69,164500
2017-08-30,0.67,0.69,0.65,0.66,0.66,147700
2017-08-31,0.67,0.71,0.65,0.66,0.66,183500
2017-09-01,0.68,0.7,0.67,0.68,0.68,96300
2017-09-05,0.68,0.69,0.66,0.66,0.66,47500
2017-09-06,0.66,0.68,0.64,0.65,0.65,114300
2017-09-07,0.67,0.75,0.65,0.7,0.7,870300
2017-09-08,0.7,0.71,0.6,0.6,0.6,316600
2017-09-11,0.6,0.6,0.5,0.52,0.52,999900
2017-09-12,0.49,0.54,0.47,0.49,0.49,333500
2017-09-13,0.51,0.51,0.45,0.48,0.48,300700
2017-09-14,0.48,0.5,0.43,0.48,0.48,257700
2017-09-15,0.48,0.49,0.43,0.46,0.46,224000
2017-09-18,0.49,0.49,0.45,0.45,0.45,229500
2017-09-19,0.43,0.47,0.43,0.45,0.45,299200
2017-09-20,0.44,0.46,0.42,0.42,0.42,130400
2017-09-21,0.45,0.45,0.39,0.44,0.44,312400
2017-09-22,0.44,0.44,0.39,0.44,0.44,248300
2017-09-25,0.41,0.44,0.39,0.42,0.42,140400
2017-09-26,0.42,0.43,0.42,0.42,0.42,171200
2017-09-27,0.42,0.43,0.4,0.41,0.41,110300
2017-09-28,0.41,0.47,0.4,0.43,0.43,922400
2017-09-29,0.425,0.445,0.411,0.43,0.43,356979
