Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,17.1,17.4,16.75,17.1,17.1,141900
2017-01-04,17.1,17.35,17.0,17.25,17.25,109000
2017-01-05,17.25,17.25,16.75,17.049999,17.049999,80700
2017-01-06,17.1,17.129998999999998,16.5,16.75,16.75,94900
2017-01-09,16.700001,16.75,16.0,16.049999,16.049999,121600
2017-01-10,16.049999,16.25,15.51,15.85,15.85,110300
2017-01-11,15.8,15.85,14.8,14.9,14.9,189600
2017-01-12,14.8,14.85,13.9,14.5,14.5,299900
2017-01-13,14.65,15.85,14.65,15.5,15.5,169100
2017-01-17,15.45,15.45,14.85,15.0,15.0,120200
2017-01-18,15.0,15.29,14.9,15.15,15.15,85500
2017-01-19,15.2,15.2,14.98,15.0,15.0,110100
2017-01-20,15.05,15.85,15.05,15.45,15.45,104400
2017-01-23,15.45,15.7,15.1,15.2,15.2,68400
2017-01-24,15.25,16.02,15.2,15.95,15.95,134700
2017-01-25,16.0,16.01,15.45,15.65,15.65,84300
2017-01-26,15.6,15.65,15.25,15.3,15.3,66300
2017-01-27,15.25,15.55,15.1,15.25,15.25,59400
2017-01-30,15.15,15.35,14.86,15.05,15.05,68100
2017-01-31,15.05,15.35,14.95,15.2,15.2,90300
2017-02-01,15.25,15.6,14.6,14.9,14.9,113500
2017-02-02,15.0,15.6,15.0,15.2,15.2,72300
2017-02-03,15.35,15.9,15.15,15.45,15.45,79100
2017-02-06,15.35,15.55,15.22,15.4,15.4,33600
2017-02-07,15.4,15.65,15.3,15.5,15.5,62400
2017-02-08,15.4,15.5,15.25,15.35,15.35,111000
2017-02-09,15.3,16.4,15.25,16.200001,16.200001,105300
2017-02-10,16.0,16.049999,15.65,15.75,15.75,94400
2017-02-13,15.85,15.85,15.65,15.8,15.8,50800
2017-02-14,15.9,16.5,15.6,15.65,15.65,195400
2017-02-15,15.55,16.0,15.5,15.85,15.85,64800
2017-02-16,15.9,16.1,15.6,15.75,15.75,43900
2017-02-17,15.6,15.95,15.6,15.85,15.85,68400
2017-02-21,16.0,16.0,15.6,15.65,15.65,52900
2017-02-22,15.65,15.9,15.55,15.85,15.85,89700
2017-02-23,15.9,15.9,15.5,15.6,15.6,91200
2017-02-24,15.65,15.65,15.0,15.3,15.3,147500
2017-02-27,15.2,15.3,14.8,14.9,14.9,95400
2017-02-28,14.8,15.1,14.3,14.7,14.7,190600
2017-03-01,15.0,15.35,14.8,15.2,15.2,151100
2017-03-02,15.2,15.2,14.5,14.65,14.65,123800
2017-03-03,14.6,14.8,14.35,14.8,14.8,95400
2017-03-06,14.7,14.7,14.2,14.3,14.3,85600
2017-03-07,14.3,14.35,14.05,14.25,14.25,55000
2017-03-08,14.15,14.15,13.2,13.75,13.75,195900
2017-03-09,13.75,13.75,13.3,13.45,13.45,119900
2017-03-10,13.5,13.6,13.36,13.55,13.55,91200
2017-03-13,13.5,14.1,13.3,13.85,13.85,145200
2017-03-14,13.85,14.1,13.56,13.95,13.95,118600
2017-03-15,14.0,14.58,14.0,14.5,14.5,117400
2017-03-16,14.65,14.7,14.45,14.55,14.55,147900
2017-03-17,13.75,15.1,13.15,14.65,14.65,419900
2017-03-20,14.6,14.6,13.45,13.45,13.45,281200
2017-03-21,13.6,13.62,12.75,12.8,12.8,171700
2017-03-22,12.7,12.9,12.35,12.4,12.4,161400
2017-03-23,12.5,13.65,12.5,13.2,13.2,203500
2017-03-24,13.2,13.25,12.95,13.1,13.1,97700
2017-03-27,12.9,13.2,12.82,13.05,13.05,86900
2017-03-28,13.05,13.15,12.95,13.05,13.05,92900
2017-03-29,12.95,13.3,12.9,13.05,13.05,113600
2017-03-30,13.05,13.55,13.05,13.55,13.55,145700
2017-03-31,13.5,13.5,13.2,13.35,13.35,97300
2017-04-03,13.4,13.55,13.15,13.2,13.2,97900
2017-04-04,13.2,13.25,12.95,13.25,13.25,129500
2017-04-05,13.35,13.4,12.95,13.2,13.2,198700
2017-04-06,13.15,13.3,13.0,13.1,13.1,128900
2017-04-07,13.1,13.2,13.0,13.1,13.1,64300
2017-04-10,13.1,13.2,12.98,13.0,13.0,71000
2017-04-11,13.0,13.2,12.85,13.1,13.1,86300
2017-04-12,13.05,13.15,12.95,13.0,13.0,94200
2017-04-13,12.95,13.0,12.5,12.6,12.6,151000
2017-04-17,12.65,12.7,12.15,12.25,12.25,101700
2017-04-18,12.1,12.4,12.0,12.25,12.25,107800
2017-04-19,12.3,13.1,12.25,12.95,12.95,156700
2017-04-20,12.95,13.0,12.5,12.55,12.55,123700
2017-04-21,12.5,12.65,12.4,12.5,12.5,84800
2017-04-24,12.75,13.25,12.55,13.2,13.2,124900
2017-04-25,13.3,13.4,12.7,12.9,12.9,165900
2017-04-26,12.95,13.45,12.85,13.35,13.35,139000
2017-04-27,13.4,13.65,13.2,13.55,13.55,115700
2017-04-28,13.6,13.8,13.4,13.6,13.6,126600
2017-05-01,13.65,13.8,13.58,13.75,13.75,132500
2017-05-02,13.75,13.95,13.65,13.65,13.65,109000
2017-05-03,13.55,13.84,13.35,13.4,13.4,125900
2017-05-04,13.45,16.549999,13.45,16.450001,16.450001,732200
2017-05-05,16.4,17.25,16.200001,16.85,16.85,389100
2017-05-08,16.799999,17.0,16.370001000000002,17.0,17.0,171500
2017-05-09,17.0,17.0,16.6,16.9,16.9,120600
2017-05-10,16.65,17.0,16.0,16.75,16.75,233100
2017-05-11,16.65,17.0,16.450001,16.950001,16.950001,137300
2017-05-12,16.85,16.9,15.85,16.1,16.1,175800
2017-05-15,16.200001,16.549999,16.200001,16.450001,16.450001,94400
2017-05-16,16.549999,16.700001,16.200001,16.700001,16.700001,91700
2017-05-17,16.4,16.530001000000002,16.200001,16.200001,16.200001,102200
2017-05-18,16.15,16.299999,15.7,15.8,15.8,79000
2017-05-19,15.8,16.0,15.6,15.95,15.95,81800
2017-05-22,16.049999,16.200001,15.83,15.85,15.85,75700
2017-05-23,15.9,16.25,15.85,16.049999,16.049999,90300
2017-05-24,16.15,16.299999,15.8,15.85,15.85,77500
2017-05-25,15.95,16.1,15.83,15.95,15.95,79300
2017-05-26,15.9,17.1,15.8,16.85,16.85,256400
2017-05-30,16.75,16.85,16.4,16.65,16.65,88500
2017-05-31,16.700001,16.9,16.6,16.700001,16.700001,85500
2017-06-01,16.799999,17.700001,16.66,17.450001,17.450001,232300
2017-06-02,17.450001,17.700001,17.299999,17.35,17.35,125400
2017-06-05,17.4,17.43,16.860001,17.15,17.15,84600
2017-06-06,17.0,17.450001,16.9,17.15,17.15,106600
2017-06-07,17.15,17.25,16.65,16.75,16.75,121300
2017-06-08,16.75,16.950001,16.4,16.700001,16.700001,104500
2017-06-09,16.75,17.200001,16.5,16.85,16.85,127500
2017-06-12,16.9,17.1,16.85,17.1,17.1,76200
2017-06-13,17.200001,17.200001,16.700001,16.799999,16.799999,80900
2017-06-14,16.85,16.85,16.51,16.75,16.75,46400
2017-06-15,16.6,17.0,16.58,16.9,16.9,56800
2017-06-16,16.799999,16.92,16.5,16.65,16.65,77100
2017-06-19,16.700001,17.25,16.549999,17.200001,17.200001,119600
2017-06-20,17.15,17.299999,16.549999,16.65,16.65,90000
2017-06-21,16.65,16.950001,16.51,16.65,16.65,56500
2017-06-22,16.65,16.9,16.5,16.700001,16.700001,44600
2017-06-23,16.65,16.9,16.549999,16.549999,16.549999,375600
2017-06-26,16.6,17.450001,16.6,17.200001,17.200001,148700
2017-06-27,17.200001,17.25,16.85,16.9,16.9,46900
2017-06-28,17.0,17.67,16.799999,17.450001,17.450001,117900
2017-06-29,17.5,17.950001,16.85,17.0,17.0,147400
2017-06-30,17.0,17.450001,16.799999,16.85,16.85,155300
2017-07-03,17.0,17.799999,17.0,17.75,17.75,118400
2017-07-05,17.799999,17.799999,17.08,17.5,17.5,218000
2017-07-06,17.35,17.5,17.200001,17.200001,17.200001,63700
2017-07-07,17.299999,17.299999,17.049999,17.200001,17.200001,54900
2017-07-10,17.15,17.200001,16.83,16.85,16.85,59600
2017-07-11,16.799999,17.200001,16.5,17.15,17.15,68700
2017-07-12,17.25,17.6,17.200001,17.4,17.4,66000
2017-07-13,17.4,17.6,17.200001,17.5,17.5,80600
2017-07-14,17.450001,17.700001,17.4,17.549999,17.549999,52900
2017-07-17,17.5,17.6,17.450001,17.549999,17.549999,76900
2017-07-18,17.5,17.6,17.379998999999998,17.5,17.5,64900
2017-07-19,17.5,17.85,17.4,17.700001,17.700001,185100
2017-07-20,17.700001,18.35,17.700001,18.15,18.15,295800
2017-07-21,18.299999,18.5,17.799999,18.450001,18.450001,186800
2017-07-24,18.450001,18.450001,18.0,18.299999,18.299999,138000
2017-07-25,18.4,18.459999,18.200001,18.4,18.4,160500
2017-07-26,18.5,18.76,18.35,18.4,18.4,115500
2017-07-27,18.549999,18.85,18.4,18.65,18.65,182000
2017-07-28,18.549999,18.9,18.25,18.6,18.6,104700
2017-07-31,18.549999,18.549999,17.4,17.5,17.5,210900
2017-08-01,17.549999,17.98,16.700001,16.75,16.75,162700
2017-08-02,16.75,17.200001,16.549999,17.049999,17.049999,161700
