Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.7,3.75,3.582,3.582,3.582,8600
2017-01-04,3.75,3.75,3.75,3.75,3.75,200
2017-01-05,3.75,3.75,3.75,3.75,3.75,600
2017-01-06,3.75,3.75,3.75,3.75,3.75,0
2017-01-09,3.8,3.8,3.8,3.8,3.8,300
2017-01-10,3.79,3.8,3.79,3.8,3.8,1100
2017-01-11,3.745,3.75,3.72,3.75,3.75,800
2017-01-12,3.8,7.4,3.77,3.96,3.96,920900
2017-01-13,4.01,4.1,3.65,3.71,3.71,99400
2017-01-17,4.43,5.8,4.2,5.23,5.23,490500
2017-01-18,5.4,5.5,5.0,5.25,5.25,197500
2017-01-19,4.91,5.0,4.5,4.6,4.6,41800
2017-01-20,4.4,4.7,4.27,4.56,4.56,18100
2017-01-23,4.5,4.54,4.27,4.3,4.3,16900
2017-01-24,4.298,4.4,4.27,4.32,4.32,3900
2017-01-25,5.14,5.14,4.5,4.64,4.64,16700
2017-01-26,5.14,5.53,4.597,4.77,4.77,43200
2017-01-27,4.73,4.77,4.6,4.6,4.6,7600
2017-01-30,4.89,4.89,4.685,4.71,4.71,1700
2017-01-31,4.65,5.05,4.65,5.05,5.05,5400
2017-02-01,5.0,5.049,4.945,5.049,5.049,8200
2017-02-02,5.01,5.01,4.757,4.9,4.9,6900
2017-02-03,5.029,5.029,4.764,5.0,5.0,2200
2017-02-06,4.95,5.25,4.94,5.1,5.1,33000
2017-02-07,5.0,5.181,4.745,5.17,5.17,18800
2017-02-08,5.195,5.195,5.0,5.1,5.1,14500
2017-02-09,5.23,5.5,5.03,5.45,5.45,49100
2017-02-10,5.7,5.7,5.3,5.471,5.471,21300
2017-02-13,5.65,5.75,5.5,5.51,5.51,43100
2017-02-14,5.53,5.71,5.53,5.55,5.55,25800
2017-02-15,5.597,5.63,5.516,5.61,5.61,4100
2017-02-16,5.55,5.66,5.4,5.65,5.65,9800
2017-02-17,5.75,5.75,5.51,5.74,5.74,16300
2017-02-21,5.6,5.77,5.58,5.69,5.69,17200
2017-02-22,5.8,5.9,5.75,5.8,5.8,16300
2017-02-23,5.75,5.85,5.65,5.65,5.65,5900
2017-02-24,5.74,6.01,5.7,6.0,6.0,46000
2017-02-27,5.97,6.1,5.86,6.0,6.0,15600
2017-02-28,6.0,6.043,6.0,6.0,6.0,18600
2017-03-01,6.049,6.1,6.0,6.0,6.0,3500
2017-03-02,6.01,6.048,6.0,6.0,6.0,11300
2017-03-03,6.0,6.1,5.45,5.991,5.991,4000
2017-03-06,5.7,5.7,5.55,5.59,5.59,8000
2017-03-07,5.5,5.68,5.35,5.5,5.5,23800
2017-03-08,5.37,5.51,5.37,5.37,5.37,6100
2017-03-09,5.449,5.449,5.449,5.449,5.449,500
2017-03-10,5.625,5.625,5.52,5.54,5.54,3000
2017-03-13,5.6,5.63,5.33,5.42,5.42,20800
2017-03-14,5.43,5.464,5.37,5.37,5.37,3100
2017-03-15,5.47,5.47,5.25,5.33,5.33,12500
2017-03-16,5.31,5.58,5.31,5.54,5.54,3900
2017-03-17,5.52,5.53,5.37,5.53,5.53,8700
2017-03-20,5.4,5.402,5.28,5.29,5.29,5400
2017-03-21,5.365,5.365,5.365,5.365,5.365,400
2017-03-22,5.365,5.365,5.365,5.365,5.365,0
2017-03-23,5.4,5.44,5.34,5.34,5.34,1400
2017-03-24,5.15,5.5,5.15,5.191,5.191,2000
2017-03-27,5.35,5.35,5.35,5.35,5.35,300
2017-03-28,5.65,5.66,5.62,5.634,5.634,3800
2017-03-29,6.11,6.11,5.65,5.67,5.67,38000
2017-03-30,7.63,7.87,6.2,6.21,6.21,2892800
2017-03-31,6.47,6.47,5.7,5.8,5.8,127000
2017-04-03,6.3,6.85,6.12,6.8,6.8,146200
