Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.5,3.5,3.35,3.42,3.42,2700
2017-01-04,3.41,3.45,3.41,3.45,3.45,4300
2017-01-05,3.4,3.43,3.4,3.42,3.42,1700
2017-01-06,3.42,3.42,3.42,3.42,3.42,400
2017-01-09,3.38,3.5,3.38,3.45,3.45,2100
2017-01-10,3.44,3.5,3.44,3.48,3.48,4800
2017-01-11,3.6,3.6,3.57,3.58,3.58,5500
2017-01-12,3.56,3.56,3.37,3.46,3.46,8200
2017-01-13,3.47,3.47,3.45,3.45,3.45,700
2017-01-17,3.42,3.43,3.41,3.42,3.42,2300
2017-01-18,3.42,3.76,3.4,3.63,3.63,3400
2017-01-19,3.58,3.58,3.46,3.48,3.48,3400
2017-01-20,3.5,3.5,3.48,3.49,3.49,6900
2017-01-23,3.49,3.54,3.42,3.43,3.43,3000
2017-01-24,3.45,3.5,3.43,3.44,3.44,1400
2017-01-25,3.58,3.58,3.42,3.44,3.44,2300
2017-01-26,3.45,3.47,3.42,3.46,3.46,1500
2017-01-27,3.44,3.56,3.19,3.56,3.56,10600
2017-01-30,3.54,3.7,3.41,3.68,3.68,17400
2017-01-31,3.57,3.65,3.57,3.64,3.64,1800
2017-02-01,3.65,3.7,3.65,3.69,3.69,3700
2017-02-02,3.62,3.62,3.62,3.62,3.62,300
2017-02-03,3.65,3.67,3.64,3.67,3.67,7800
2017-02-06,3.6,3.6,3.6,3.6,3.6,5600
2017-02-07,3.65,3.65,3.55,3.55,3.55,2300
2017-02-08,3.5,3.5,3.5,3.5,3.5,2100
2017-02-09,3.5,3.5,3.35,3.43,3.43,4900
2017-02-10,3.4,3.45,3.37,3.44,3.44,3800
2017-02-13,3.38,3.45,3.27,3.42,3.42,4000
2017-02-14,3.42,3.44,3.36,3.4,3.4,4600
2017-02-15,3.35,3.48,3.35,3.44,3.44,7700
2017-02-16,3.38,3.74,3.37,3.74,3.74,7700
2017-02-17,3.7,3.98,3.62,3.67,3.67,34900
2017-02-21,3.73,3.87,3.73,3.87,3.87,2200
2017-02-22,3.79,3.86,3.67,3.77,3.77,4400
2017-02-23,3.73,3.73,3.55,3.57,3.57,5100
2017-02-24,3.56,3.78,3.53,3.59,3.59,4100
2017-02-27,3.55,3.72,3.54,3.65,3.65,2200
2017-02-28,3.63,3.7,3.34,3.58,3.58,23900
2017-03-01,3.64,3.7,3.36,3.36,3.36,61100
2017-03-02,3.46,3.46,2.03,2.35,2.35,318000
2017-03-03,2.5,2.59,2.16,2.29,2.29,121000
2017-03-06,2.24,2.3,2.15,2.19,2.19,17300
2017-03-07,2.29,2.3,2.06,2.24,2.24,67100
2017-03-08,2.16,2.16,1.87,2.0,2.0,72000
2017-03-09,2.0,2.0,1.45,1.57,1.57,237400
2017-03-10,1.58,1.65,1.48,1.49,1.49,25400
2017-03-13,1.52,1.71,1.49,1.65,1.65,62900
2017-03-14,1.66,1.73,1.61,1.62,1.62,29700
2017-03-15,1.63,1.66,1.6,1.6,1.6,14900
2017-03-16,1.65,1.65,1.56,1.59,1.59,19100
2017-03-17,1.55,1.63,1.55,1.58,1.58,14700
2017-03-20,1.6,1.6,1.55,1.56,1.56,18000
2017-03-21,1.57,1.64,1.57,1.62,1.62,25600
2017-03-22,1.61,1.62,1.56,1.58,1.58,8500
2017-03-23,1.57,1.61,1.53,1.54,1.54,5600
2017-03-24,1.53,1.64,1.53,1.54,1.54,10500
2017-03-27,1.54,1.54,1.3,1.47,1.47,41200
2017-03-28,1.59,1.69,1.42,1.49,1.49,64800
2017-03-29,1.56,1.56,1.45,1.51,1.51,44100
2017-03-30,1.65,1.65,1.51,1.52,1.52,12400
2017-03-31,1.59,1.59,1.51,1.51,1.51,10400
2017-04-03,1.54,1.98,1.52,1.84,1.84,323200
2017-04-04,1.92,3.61,1.92,2.85,2.85,3039400
2017-04-05,3.05,4.69,2.86,4.04,4.04,14368900
2017-04-06,3.67,3.87,3.04,3.19,3.19,1976000
2017-04-07,2.98,3.71,2.8,3.15,3.15,1264000
2017-04-10,3.03,3.35,3.0,3.05,3.05,246700
2017-04-11,2.99,3.2,2.6,2.69,2.69,328700
2017-04-12,2.6,2.6,2.28,2.39,2.39,454800
2017-04-13,2.36,3.25,2.25,2.99,2.99,5184900
2017-04-17,2.61,2.75,2.33,2.36,2.36,968300
2017-04-18,2.32,2.55,2.3,2.47,2.47,494300
2017-04-19,2.44,3.08,2.44,2.73,2.73,2484900
2017-04-20,2.72,2.96,2.53,2.66,2.66,656800
2017-04-21,2.62,2.74,2.57,2.62,2.62,225500
2017-04-24,2.67,2.75,2.66,2.67,2.67,152500
2017-04-25,2.73,3.67,2.73,3.45,3.45,2917900
2017-04-26,3.3,3.64,3.05,3.35,3.35,969300
2017-04-27,3.34,3.65,3.13,3.25,3.25,681900
2017-04-28,3.3,3.3,2.92,2.98,2.98,313300
2017-05-01,3.08,3.3,2.98,3.06,3.06,526000
2017-05-02,3.1,3.12,2.91,2.93,2.93,223500
2017-05-03,2.93,2.95,2.7,2.74,2.74,228900
2017-05-04,2.76,2.79,2.65,2.75,2.75,94600
2017-05-05,2.73,2.93,2.73,2.78,2.78,156500
2017-05-08,2.81,2.96,2.75,2.8,2.8,92700
2017-05-09,2.82,3.1,2.76,2.88,2.88,504700
2017-05-10,2.85,2.96,2.8,2.81,2.81,112100
2017-05-11,2.7,2.8,2.6,2.67,2.67,129500
2017-05-12,2.8,2.8,2.66,2.7,2.7,59400
2017-05-15,2.66,2.71,2.61,2.64,2.64,73500
2017-05-16,2.7,2.71,2.64,2.66,2.66,58600
2017-05-17,2.64,2.68,2.43,2.43,2.43,147700
2017-05-18,2.5,2.5,2.37,2.42,2.42,58100
2017-05-19,2.42,2.42,2.25,2.37,2.37,76700
2017-05-22,2.3,2.6,2.3,2.42,2.42,88600
2017-05-23,2.37,2.42,2.29,2.3,2.3,45900
2017-05-24,2.33,2.39,2.27,2.32,2.32,55700
2017-05-25,2.4,2.52,2.32,2.4,2.4,206400
2017-05-26,2.35,2.57,2.35,2.4,2.4,124800
2017-05-30,2.35,2.65,2.34,2.5,2.5,221900
2017-05-31,2.41,2.5,2.4,2.41,2.41,42300
2017-06-01,2.4,2.48,2.36,2.37,2.37,45500
2017-06-02,2.37,2.41,2.31,2.32,2.32,35600
2017-06-05,2.28,2.38,2.28,2.32,2.32,33100
2017-06-06,2.26,2.35,2.25,2.26,2.26,68000
2017-06-07,2.33,2.4,2.06,2.22,2.22,96600
2017-06-08,2.22,2.22,2.12,2.15,2.15,64900
2017-06-09,2.15,2.28,2.12,2.14,2.14,28400
2017-06-12,2.16,2.16,2.01,2.04,2.04,67600
2017-06-13,2.02,2.13,2.02,2.05,2.05,39800
2017-06-14,2.14,2.25,2.07,2.11,2.11,169600
2017-06-15,2.11,2.12,1.93,2.05,2.05,73300
2017-06-16,1.97,2.06,1.97,2.03,2.03,34200
2017-06-19,2.0,2.03,1.98,2.02,2.02,42600
2017-06-20,1.98,2.24,1.98,2.18,2.18,103100
2017-06-21,2.15,2.19,2.06,2.08,2.08,64900
2017-06-22,2.05,2.15,1.98,2.02,2.02,21000
2017-06-23,1.99,2.11,1.98,2.03,2.03,27400
2017-06-26,2.12,2.28,2.02,2.06,2.06,232900
2017-06-27,2.04,2.13,2.04,2.06,2.06,28700
2017-06-28,2.09,2.11,2.04,2.04,2.04,22300
2017-06-29,2.02,2.11,2.01,2.05,2.05,28600
2017-06-30,2.03,2.1,2.0,2.05,2.05,37300
2017-07-03,2.05,2.17,2.02,2.04,2.04,48500
2017-07-05,2.02,2.12,2.02,2.03,2.03,9100
2017-07-06,2.05,2.25,2.04,2.16,2.16,276100
2017-07-07,2.14,2.16,2.03,2.07,2.07,56800
2017-07-10,2.04,2.04,2.0,2.02,2.02,27100
2017-07-11,2.04,2.15,2.0,2.07,2.07,83200
2017-07-12,2.08,2.08,2.02,2.04,2.04,63300
2017-07-13,2.05,2.05,2.0,2.04,2.04,50100
2017-07-14,2.02,2.07,2.02,2.05,2.05,27900
2017-07-17,2.03,2.19,2.0,2.06,2.06,225600
2017-07-18,2.06,2.09,2.06,2.06,2.06,20500
2017-07-19,2.08,2.16,2.06,2.07,2.07,83300
2017-07-20,2.06,2.1,2.06,2.09,2.09,9500
2017-07-21,2.06,2.12,2.05,2.07,2.07,24400
2017-07-24,2.07,2.07,2.04,2.05,2.05,9200
2017-07-25,2.04,2.08,2.04,2.06,2.06,8300
2017-07-26,2.09,2.09,2.01,2.02,2.02,11900
2017-07-27,2.05,2.07,2.01,2.02,2.02,17500
2017-07-28,2.01,2.03,2.01,2.01,2.01,18500
2017-07-31,2.01,2.02,1.98,1.98,1.98,16700
2017-08-01,2.0,2.0,1.88,1.96,1.96,45300
2017-08-02,1.96,2.0,1.9,1.92,1.92,12000
2017-08-03,1.92,1.92,1.7,1.78,1.78,51400
2017-08-04,1.77,1.8,1.5,1.6,1.6,185100
2017-08-07,1.61,1.94,1.52,1.88,1.88,269100
2017-08-08,1.7,1.97,1.7,1.97,1.97,85600
2017-08-09,1.96,2.05,1.91,1.95,1.95,71600
2017-08-10,1.93,1.97,1.85,1.91,1.91,41600
2017-08-11,1.92,2.0,1.92,1.94,1.94,26600
2017-08-14,1.9,2.02,1.9,1.95,1.95,22800
2017-08-15,1.95,2.12,1.91,2.1,2.1,44800
2017-08-16,2.11,2.16,2.02,2.11,2.11,67300
2017-08-17,2.11,2.28,2.03,2.04,2.04,48000
2017-08-18,2.1,2.19,2.1,2.1,2.1,6700
2017-08-21,2.05,2.17,2.05,2.06,2.06,10400
2017-08-22,2.13,2.17,2.03,2.03,2.03,7100
2017-08-23,2.06,2.08,2.05,2.05,2.05,9300
2017-08-24,2.05,2.09,2.03,2.05,2.05,18500
2017-08-25,2.05,2.15,2.03,2.14,2.14,29900
2017-08-28,2.18,2.18,2.05,2.06,2.06,28000
2017-08-29,2.02,2.1,1.88,2.03,2.03,22900
2017-08-30,2.07,2.07,1.96,2.01,2.01,8500
2017-08-31,2.0,2.04,1.97,2.01,2.01,16500
2017-09-01,2.01,2.07,2.0,2.0,2.0,35000
2017-09-05,2.03,2.07,1.81,1.81,1.81,32800
2017-09-06,1.95,2.02,1.81,2.0,2.0,52500
2017-09-07,2.01,2.07,2.01,2.05,2.05,16800
2017-09-08,2.05,2.08,2.04,2.05,2.05,16400
2017-09-11,2.1,2.1,2.02,2.05,2.05,9000
2017-09-12,2.02,2.09,1.87,2.06,2.06,27500
2017-09-13,2.02,2.2,2.02,2.18,2.18,84700
2017-09-14,2.25,2.25,2.09,2.14,2.14,29800
2017-09-15,2.11,2.2,2.11,2.18,2.18,7400
2017-09-18,2.18,2.19,2.12,2.13,2.13,11600
