Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.26,3.39,3.1,3.32,3.32,101000
2017-01-04,3.35,3.45,3.31,3.41,3.41,95400
2017-01-05,3.38,3.41,3.26,3.29,3.29,21700
2017-01-06,3.25,3.38,3.22,3.25,3.25,51500
2017-01-09,3.35,3.39,3.27,3.27,3.27,55600
2017-01-10,3.37,3.42,3.32,3.41,3.41,40800
2017-01-11,3.43,3.43,3.35,3.39,3.39,43400
2017-01-12,3.39,3.39,3.19,3.24,3.24,19400
2017-01-13,3.28,3.37,3.24,3.32,3.32,26600
2017-01-17,3.34,3.34,3.25,3.29,3.29,18300
2017-01-18,3.31,3.33,3.25,3.27,3.27,20400
2017-01-19,3.28,3.32,3.2,3.3,3.3,70800
2017-01-20,3.31,3.31,3.27,3.3,3.3,20300
2017-01-23,3.3,3.39,3.3,3.35,3.35,26600
2017-01-24,3.39,3.4,3.37,3.4,3.4,27200
2017-01-25,3.4,3.4,3.2,3.3,3.3,36000
2017-01-26,3.28,3.35,3.28,3.31,3.31,28300
2017-01-27,3.34,3.39,3.26,3.36,3.36,28800
2017-01-30,3.39,3.4,3.26,3.28,3.28,31100
2017-01-31,3.25,3.37,3.0,3.32,3.32,183000
2017-02-01,3.4,3.65,3.38,3.63,3.63,322900
2017-02-02,3.65,3.85,3.58,3.69,3.69,162600
2017-02-03,3.68,3.84,3.68,3.79,3.79,110800
2017-02-06,3.73,3.83,3.73,3.75,3.75,54100
2017-02-07,3.81,3.85,3.61,3.62,3.62,146800
2017-02-08,3.9,3.9,3.47,3.74,3.74,723600
2017-02-09,3.73,3.99,3.6,3.83,3.83,589200
2017-02-10,3.87,3.9,3.72,3.83,3.83,182300
2017-02-13,3.83,3.84,3.66,3.75,3.75,152200
2017-02-14,3.76,3.83,3.61,3.82,3.82,191100
2017-02-15,3.81,3.84,3.75,3.78,3.78,136100
2017-02-16,3.8,3.81,3.72,3.77,3.77,39200
2017-02-17,3.75,3.83,3.71,3.72,3.72,68500
2017-02-21,3.71,3.79,3.62,3.67,3.67,69700
2017-02-22,3.64,3.77,3.6,3.61,3.61,65900
2017-02-23,3.6,3.63,3.53,3.6,3.6,69900
2017-02-24,3.6,3.65,3.48,3.53,3.53,65300
2017-02-27,3.6,3.65,3.5,3.61,3.61,87200
2017-02-28,3.58,3.6,3.44,3.55,3.55,91600
2017-03-01,3.56,3.63,3.51,3.54,3.54,28500
2017-03-02,3.6,3.62,3.51,3.53,3.53,83600
2017-03-03,3.6,3.66,3.55,3.61,3.61,64300
2017-03-06,3.6,3.6,3.51,3.56,3.56,48000
2017-03-07,3.6,3.61,3.5,3.55,3.55,64800
2017-03-08,3.6,3.76,3.6,3.74,3.74,105300
2017-03-09,3.76,3.86,3.7,3.78,3.78,163100
2017-03-10,3.8,3.8,3.75,3.8,3.8,26100
2017-03-13,3.84,4.06,3.8,3.99,3.99,375300
2017-03-14,3.96,3.98,3.86,3.93,3.93,107400
2017-03-15,3.89,3.97,3.83,3.95,3.95,40400
2017-03-16,3.98,4.1,3.95,4.07,4.07,171600
2017-03-17,4.1,4.1,3.95,4.04,4.04,57900
2017-03-20,4.0,4.06,3.96,3.99,3.99,47200
2017-03-21,4.0,4.02,3.83,3.88,3.88,137500
2017-03-22,3.85,3.87,3.71,3.76,3.76,65800
2017-03-23,3.77,3.92,3.77,3.86,3.86,48200
2017-03-24,3.79,3.88,3.74,3.84,3.84,46600
2017-03-27,3.7,3.78,3.61,3.76,3.76,120200
2017-03-28,3.74,3.83,3.7,3.78,3.78,57900
2017-03-29,3.75,3.78,3.66,3.73,3.73,69200
2017-03-30,3.72,3.8,3.68,3.72,3.72,43700
2017-03-31,3.75,3.82,3.7,3.81,3.81,26400
2017-04-03,3.81,3.82,3.76,3.78,3.78,27700
2017-04-04,3.81,3.81,3.71,3.72,3.72,29600
2017-04-05,3.72,3.82,3.68,3.8,3.8,43000
2017-04-06,3.82,3.85,3.71,3.73,3.73,48300
2017-04-07,3.77,3.86,3.73,3.82,3.82,27800
2017-04-10,3.85,3.94,3.71,3.8,3.8,43300
2017-04-11,3.8,3.82,3.71,3.77,3.77,16700
2017-04-12,3.8,3.8,3.66,3.68,3.68,15000
2017-04-13,3.7,3.78,3.67,3.73,3.73,18600
2017-04-17,3.77,3.78,3.63,3.77,3.77,26300
2017-04-18,3.65,3.74,3.5,3.65,3.65,70200
2017-04-19,3.68,3.75,3.64,3.7,3.7,34100
2017-04-20,3.7,3.77,3.68,3.7,3.7,41900
2017-04-21,3.73,3.79,3.56,3.69,3.69,32500
2017-04-24,3.69,3.79,3.67,3.71,3.71,58100
2017-04-25,3.75,3.78,3.71,3.73,3.73,16100
2017-04-26,3.74,3.85,3.71,3.77,3.77,32600
2017-04-27,3.8,3.82,3.75,3.79,3.79,9700
2017-04-28,3.78,3.85,3.72,3.72,3.72,28600
2017-05-01,3.77,3.89,3.77,3.82,3.82,52100
2017-05-02,3.81,3.85,3.77,3.82,3.82,13200
2017-05-03,3.88,3.9,3.82,3.82,3.82,26300
2017-05-04,3.83,3.88,3.83,3.84,3.84,12300
