Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2.72,2.72,2.51,2.55,2.55,14800
2017-01-04,2.63,2.67,2.47,2.64,2.64,13900
2017-01-05,2.62,2.73,2.58,2.7,2.7,9200
2017-01-06,2.68,2.7,2.57,2.64,2.64,30900
2017-01-09,2.66,2.87,2.59,2.78,2.78,33500
2017-01-10,2.71,2.71,2.59,2.65,2.65,15900
2017-01-11,2.62,2.65,2.51,2.64,2.64,20400
2017-01-12,2.66,2.66,2.46,2.53,2.53,54000
2017-01-13,2.56,2.63,2.42,2.47,2.47,56000
2017-01-17,2.5,2.62,2.17,2.32,2.32,107300
2017-01-18,2.28,2.38,2.25,2.36,2.36,37600
2017-01-19,2.35,2.54,2.22,2.44,2.44,200000
2017-01-20,2.42,2.73,2.29,2.37,2.37,122800
2017-01-23,2.41,2.41,2.21,2.29,2.29,61000
2017-01-24,2.25,2.35,2.15,2.28,2.28,51600
2017-01-25,2.27,2.27,2.2,2.27,2.27,46100
2017-01-26,2.22,2.3,2.19,2.26,2.26,21100
2017-01-27,2.26,2.29,2.2,2.26,2.26,6500
2017-01-30,2.24,2.24,2.12,2.18,2.18,80700
2017-01-31,2.2,2.44,2.16,2.44,2.44,13700
2017-02-01,2.42,2.48,2.27,2.48,2.48,60900
2017-02-02,2.4,2.46,2.28,2.42,2.42,20300
2017-02-03,2.38,2.56,2.34,2.45,2.45,46600
2017-02-06,2.43,2.46,2.33,2.4,2.4,23800
2017-02-07,2.41,2.48,2.31,2.48,2.48,19600
2017-02-08,2.47,2.48,2.34,2.4,2.4,6400
2017-02-09,2.39,2.72,2.34,2.72,2.72,63400
2017-02-10,2.81,2.88,2.43,2.64,2.64,38200
2017-02-13,2.75,2.97,2.51,2.82,2.82,138400
2017-02-14,2.92,3.05,2.82,2.99,2.99,89800
2017-02-15,3.01,3.2,2.95,3.15,3.15,145100
2017-02-16,3.26,3.37,3.15,3.16,3.16,59300
2017-02-17,3.21,3.25,3.04,3.11,3.11,102300
2017-02-21,3.18,3.18,3.0,3.09,3.09,20400
2017-02-22,3.17,3.34,3.07,3.12,3.12,29200
2017-02-23,3.08,3.11,2.94,2.94,2.94,25900
2017-02-24,2.94,3.32,2.8,3.07,3.07,90300
2017-02-27,3.13,3.25,3.02,3.25,3.25,35900
2017-02-28,3.26,3.26,2.9,2.9,2.9,59400
2017-03-01,2.99,3.0,2.75,2.75,2.75,30000
2017-03-02,2.77,2.91,2.66,2.84,2.84,67500
2017-03-03,2.79,2.86,2.61,2.61,2.61,74900
2017-03-06,2.64,2.73,2.51,2.58,2.58,24700
2017-03-07,2.65,2.7,2.51,2.51,2.51,42600
2017-03-08,2.6,2.68,2.35,2.61,2.61,60900
2017-03-09,2.67,2.76,2.62,2.72,2.72,39100
2017-03-10,2.72,2.88,2.72,2.83,2.83,35000
2017-03-13,2.85,3.05,2.85,2.92,2.92,53000
2017-03-14,2.94,3.08,2.92,3.0,3.0,61100
2017-03-15,3.03,3.04,2.73,3.04,3.04,49800
2017-03-16,3.1,3.3,3.0,3.24,3.24,144300
2017-03-17,3.21,3.3,3.13,3.3,3.3,59300
2017-03-20,3.27,3.27,3.08,3.1,3.1,65000
2017-03-21,3.12,3.21,3.0,3.1,3.1,43500
2017-03-22,3.13,3.26,3.01,3.18,3.18,68500
2017-03-23,3.23,3.3,3.07,3.21,3.21,160600
2017-03-24,3.21,3.64,3.21,3.37,3.37,531400
2017-03-27,3.37,3.43,3.24,3.26,3.26,158600
2017-03-28,3.26,3.45,3.26,3.4,3.4,139600
2017-03-29,3.46,3.61,3.18,3.25,3.25,266100
2017-03-30,3.35,3.45,3.18,3.22,3.22,68000
2017-03-31,3.26,3.38,3.18,3.38,3.38,55300
2017-04-03,3.3,3.4,3.01,3.23,3.23,112200
2017-04-04,3.2,3.24,3.06,3.06,3.06,44400
2017-04-05,3.08,3.15,2.9,2.91,2.91,37800
2017-04-06,2.93,3.04,2.86,2.86,2.86,60600
2017-04-07,2.89,2.99,2.82,2.88,2.88,27100
2017-04-10,2.89,3.1,2.89,3.03,3.03,39200
2017-04-11,2.92,3.07,2.9,3.01,3.01,58000
2017-04-12,3.1,3.21,3.01,3.21,3.21,45600
2017-04-13,3.16,3.2,3.05,3.15,3.15,22200
2017-04-17,3.05,3.19,3.05,3.05,3.05,43100
2017-04-18,3.08,3.15,2.95,3.03,3.03,54700
2017-04-19,3.01,3.07,2.97,3.07,3.07,18000
2017-04-20,3.09,3.15,3.06,3.13,3.13,42600
2017-04-21,3.1,3.12,3.0,3.01,3.01,42500
2017-04-24,3.1,3.12,3.02,3.09,3.09,63400
2017-04-25,3.45,3.99,3.15,3.23,3.23,3241600
2017-04-26,3.25,3.29,3.02,3.23,3.23,171900
2017-04-27,3.23,3.25,3.1,3.16,3.16,78400
2017-04-28,3.14,3.2,2.86,3.12,3.12,193000
2017-05-01,3.15,3.21,3.03,3.17,3.17,137700
2017-05-02,3.2,3.39,3.12,3.29,3.29,137800
2017-05-03,3.38,3.4,3.15,3.26,3.26,23900
2017-05-04,3.2,3.29,3.2,3.23,3.23,19700
2017-05-05,3.26,3.27,3.02,3.1,3.1,42200
2017-05-08,3.36,3.36,3.03,3.08,3.08,86500
2017-05-09,3.06,3.1,2.9,2.9,2.9,48700
2017-05-10,2.95,3.0,2.9,2.97,2.97,45300
2017-05-11,2.97,3.05,2.92,3.05,3.05,64900
2017-05-12,1.28,1.38,1.13,1.16,1.16,1962400
2017-05-15,1.18,1.3,1.11,1.19,1.19,554100
2017-05-16,1.2,1.2,1.0,1.0,1.0,703900
2017-05-17,1.01,1.03,0.91,0.93,0.93,436900
2017-05-18,0.95,0.98,0.9,0.94,0.94,121300
2017-05-19,0.95,0.95,0.91,0.91,0.91,112400
2017-05-22,0.95,0.95,0.81,0.9,0.9,108200
2017-05-23,0.87,0.87,0.8,0.83,0.83,175600
2017-05-24,0.83,0.83,0.75,0.79,0.79,261500
2017-05-25,0.75,0.85,0.72,0.83,0.83,258000
2017-05-26,0.85,0.85,0.75,0.82,0.82,114900
2017-05-30,0.82,0.85,0.8,0.83,0.83,58000
2017-05-31,0.82,0.85,0.77,0.82,0.82,158400
2017-06-01,0.8,0.85,0.8,0.83,0.83,43900
2017-06-02,0.81,0.86,0.81,0.83,0.83,68900
2017-06-05,0.81,0.88,0.8,0.84,0.84,123000
2017-06-06,0.85,0.85,0.8,0.83,0.83,54400
2017-06-07,0.81,0.85,0.75,0.81,0.81,109700
2017-06-08,0.79,0.81,0.78,0.8,0.8,31700
2017-06-09,0.78,0.81,0.75,0.77,0.77,81000
2017-06-12,0.8,0.8,0.75,0.78,0.78,80900
2017-06-13,0.76,0.8,0.74,0.76,0.76,210000
2017-06-14,0.75,0.8,0.72,0.77,0.77,96500
2017-06-15,0.78,0.8,0.67,0.75,0.75,141300
2017-06-16,0.75,0.75,0.69,0.7,0.7,56400
2017-06-19,0.74,0.74,0.67,0.73,0.73,112700
2017-06-20,0.73,0.74,0.7,0.71,0.71,67300
2017-06-21,0.7,0.72,0.68,0.7,0.7,55900
2017-06-22,0.69,0.7,0.67,0.68,0.68,61700
2017-06-23,0.7,0.7,0.63,0.63,0.63,114300
2017-06-26,0.66,0.7,0.65,0.68,0.68,108100
2017-06-27,0.67,0.79,0.67,0.78,0.78,221800
2017-06-28,0.8,0.82,0.75,0.79,0.79,114500
2017-06-29,0.8,0.84,0.8,0.8,0.8,110200
2017-06-30,0.83,0.83,0.79,0.83,0.83,71000
2017-07-03,0.83,0.84,0.8,0.8,0.8,54900
2017-07-05,0.8,0.84,0.8,0.81,0.81,73400
2017-07-06,0.83,0.83,0.75,0.76,0.76,94400
2017-07-07,0.76,0.77,0.67,0.67,0.67,194900
2017-07-10,0.67,0.75,0.66,0.67,0.67,71300
2017-07-11,0.67,0.8,0.67,0.7,0.7,58500
2017-07-12,0.7,0.7,0.68,0.7,0.7,38800
2017-07-13,0.7,0.73,0.68,0.7,0.7,574900
2017-07-14,0.68,0.7,0.67,0.68,0.68,110400
2017-07-17,0.68,0.69,0.67,0.68,0.68,11100
2017-07-18,0.96,1.62,0.9,1.36,1.36,32144200
2017-07-19,1.3,1.53,1.13,1.16,1.16,7010200
2017-07-20,1.17,1.35,1.13,1.27,1.27,3645600
2017-07-21,1.3,1.39,1.22,1.31,1.31,3501800
2017-07-24,1.3,1.35,1.1,1.12,1.12,1800100
2017-07-25,1.11,1.12,0.91,0.93,0.93,1133400
2017-07-26,0.92,1.03,0.92,1.01,1.01,592800
2017-07-27,1.47,1.64,1.2,1.3,1.3,20525700
2017-07-28,1.28,1.28,1.09,1.14,1.14,1726000
2017-07-31,1.12,1.12,1.01,1.06,1.06,663200
2017-08-01,1.05,1.13,1.01,1.09,1.09,456800
2017-08-02,1.06,1.11,1.03,1.1,1.1,337000
2017-08-03,1.1,1.28,1.1,1.22,1.22,1499600
2017-08-04,1.2,1.22,1.13,1.14,1.14,294200
2017-08-07,1.17,1.17,1.09,1.13,1.13,337200
2017-08-08,1.12,1.17,1.1,1.17,1.17,243500
2017-08-09,1.16,1.21,1.1,1.13,1.13,258500
2017-08-10,1.14,1.14,1.0,1.07,1.07,583800
2017-08-11,1.02,1.06,1.0,1.05,1.05,276400
2017-08-14,1.05,1.3,0.98,1.15,1.15,2064700
2017-08-15,1.15,1.17,1.02,1.06,1.06,495100
2017-08-16,1.05,1.19,1.04,1.09,1.09,457200
2017-08-17,1.1,1.14,1.03,1.05,1.05,299800
2017-08-18,1.04,1.07,1.03,1.07,1.07,121000
2017-08-21,1.05,1.07,1.02,1.03,1.03,305000
2017-08-22,1.02,1.07,0.98,1.02,1.02,215300
2017-08-23,1.01,1.03,1.0,1.03,1.03,174400
2017-08-24,1.02,1.03,1.0,1.03,1.03,131500
2017-08-25,1.02,1.07,1.01,1.06,1.06,161400
2017-08-28,1.05,1.09,1.01,1.03,1.03,138500
2017-08-29,1.04,1.07,1.01,1.05,1.05,78900
2017-08-30,1.05,1.05,1.01,1.04,1.04,97100
2017-08-31,1.02,1.07,1.01,1.02,1.02,76300
2017-09-01,1.05,1.06,1.01,1.02,1.02,166000
2017-09-05,1.01,1.04,1.0,1.04,1.04,101000
2017-09-06,1.03,1.04,1.0,1.04,1.04,85200
2017-09-07,1.03,1.03,1.0,1.03,1.03,65800
2017-09-08,1.07,1.07,0.99,1.03,1.03,110600
2017-09-11,1.0,1.03,1.0,1.02,1.02,42400
2017-09-12,1.01,1.03,0.99,1.01,1.01,113200
2017-09-13,1.0,1.03,0.99,1.03,1.03,100900
2017-09-14,1.02,1.03,0.96,0.97,0.97,190000
2017-09-15,1.02,1.14,1.0,1.0,1.0,1080100
2017-09-18,1.1,1.34,1.02,1.32,1.32,4045400
