Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.32,4.72,4.32,4.68,4.68,192600
2017-01-04,4.73,5.24,4.65,5.1,5.1,219700
2017-01-05,5.09,5.12,4.73,4.9,4.9,83800
2017-01-06,4.91,4.99,4.82,4.85,4.85,26300
2017-01-09,4.87,5.03,4.82,4.97,4.97,46800
2017-01-10,4.99,4.99,4.74,4.77,4.77,100000
2017-01-11,4.78,4.78,4.53,4.64,4.64,63900
2017-01-12,4.6,4.74,4.5,4.56,4.56,49300
2017-01-13,4.57,4.8,4.51,4.63,4.63,87700
2017-01-17,4.56,4.56,4.15,4.21,4.21,287100
2017-01-18,4.22,4.34,4.03,4.05,4.05,154400
2017-01-19,4.04,4.1,3.72,3.77,3.77,245100
2017-01-20,3.78,3.93,3.62,3.67,3.67,186100
2017-01-23,3.67,3.72,3.62,3.65,3.65,172900
2017-01-24,3.49,3.84,3.49,3.72,3.72,4123200
2017-01-25,3.73,3.85,3.65,3.79,3.79,521400
2017-01-26,3.8,3.84,3.68,3.73,3.73,250900
2017-01-27,3.68,3.86,3.6,3.84,3.84,324800
2017-01-30,3.84,4.26,3.76,4.19,4.19,664900
2017-01-31,4.17,4.27,3.95,4.14,4.14,289000
2017-02-01,4.22,4.44,4.12,4.21,4.21,521100
2017-02-02,4.17,4.4,4.17,4.32,4.32,359200
2017-02-03,4.36,4.49,4.26,4.26,4.26,646300
2017-02-06,4.28,4.45,4.26,4.42,4.42,270900
2017-02-07,4.42,4.48,4.16,4.2,4.2,175900
2017-02-08,4.16,4.34,4.02,4.32,4.32,207600
2017-02-09,4.29,4.35,4.24,4.3,4.3,228800
2017-02-10,4.31,4.34,4.07,4.12,4.12,184200
2017-02-13,4.12,4.24,4.0,4.21,4.21,330700
2017-02-14,4.14,4.35,4.12,4.32,4.32,229900
2017-02-15,4.29,4.4,4.21,4.31,4.31,216400
2017-02-16,4.31,4.33,4.15,4.3,4.3,161200
2017-02-17,4.25,4.36,4.14,4.33,4.33,221700
2017-02-21,4.38,4.4,4.25,4.31,4.31,163000
2017-02-22,4.3,4.32,4.11,4.19,4.19,156800
2017-02-23,4.23,4.23,3.86,3.88,3.88,251500
2017-02-24,3.84,4.07,3.7,4.05,4.05,276500
2017-02-27,4.05,4.33,4.01,4.29,4.29,265700
2017-02-28,4.27,4.32,4.17,4.24,4.24,201000
2017-03-01,4.3,4.35,4.26,4.28,4.28,406100
2017-03-02,4.27,4.35,4.2,4.22,4.22,143100
2017-03-03,4.22,4.33,4.18,4.25,4.25,77800
2017-03-06,4.25,4.28,4.08,4.14,4.14,115800
2017-03-07,4.08,4.16,4.01,4.1,4.1,94400
2017-03-08,4.1,4.26,4.1,4.24,4.24,168500
2017-03-09,4.25,4.28,4.11,4.14,4.14,108400
2017-03-10,4.2,4.56,4.2,4.35,4.35,381800
2017-03-13,4.35,4.43,4.06,4.29,4.29,254200
2017-03-14,4.26,4.29,4.03,4.16,4.16,105400
2017-03-15,4.17,4.2,4.0,4.01,4.01,111000
2017-03-16,4.0,4.05,3.89,3.92,3.92,180200
2017-03-17,3.9,3.99,3.86,3.97,3.97,191600
2017-03-20,3.96,3.96,3.83,3.91,3.91,234900
2017-03-21,3.87,3.98,3.6,3.64,3.64,316100
2017-03-22,3.68,3.92,3.51,3.89,3.89,239000
2017-03-23,3.88,3.95,3.8,3.91,3.91,93000
2017-03-24,3.92,4.1,3.79,4.08,4.08,146900
2017-03-27,4.0,4.18,3.98,4.16,4.16,146900
2017-03-28,4.16,4.17,4.01,4.12,4.12,127600
2017-03-29,4.12,4.25,4.06,4.15,4.15,143200
2017-03-30,4.15,4.22,4.07,4.12,4.12,113200
2017-03-31,4.16,4.29,4.08,4.14,4.14,150500
2017-04-03,4.17,4.2,4.0,4.02,4.02,219700
2017-04-04,4.0,4.09,3.86,3.88,3.88,128400
2017-04-05,3.92,4.05,3.75,3.76,3.76,163500
2017-04-06,3.73,3.83,3.61,3.82,3.82,141300
2017-04-07,3.8,4.04,3.76,3.88,3.88,202800
2017-04-10,3.91,4.0,3.8,3.9,3.9,63600
2017-04-11,3.89,3.97,3.76,3.91,3.91,63100
2017-04-12,3.91,4.07,3.88,3.98,3.98,94800
2017-04-13,3.96,4.09,3.91,4.0,4.0,83600
2017-04-17,4.0,4.07,3.92,3.95,3.95,53400
2017-04-18,3.94,3.99,3.83,3.88,3.88,70800
2017-04-19,3.92,4.06,3.88,3.94,3.94,96200
2017-04-20,3.94,4.08,3.9,3.92,3.92,73700
2017-04-21,4.11,4.37,4.03,4.1,4.1,641700
2017-04-24,4.12,4.2,4.11,4.18,4.18,130400
2017-04-25,4.21,4.28,4.08,4.21,4.21,129600
2017-04-26,4.2,4.32,4.2,4.27,4.27,145500
2017-04-27,4.27,4.32,4.15,4.26,4.26,110000
2017-04-28,4.28,4.28,4.2,4.25,4.25,95300
2017-05-01,4.26,4.32,4.23,4.27,4.27,84900
2017-05-02,4.27,4.3,4.14,4.17,4.17,112100
