Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.18,1.24,1.17,1.24,1.24,125200
2017-01-04,1.24,1.29,1.21,1.22,1.22,42200
2017-01-05,1.26,1.29,1.25,1.28,1.28,10700
2017-01-06,1.27,1.32,1.27,1.28,1.28,48900
2017-01-09,1.29,1.31,1.24,1.25,1.25,13400
2017-01-10,1.28,1.3,1.23,1.25,1.25,9500
2017-01-11,1.27,1.27,1.24,1.27,1.27,7900
2017-01-12,1.22,1.25,1.21,1.24,1.24,9100
2017-01-13,1.26,1.26,1.21,1.25,1.25,5800
2017-01-17,1.24,1.24,1.18,1.2,1.2,24000
2017-01-18,1.2,1.27,1.2,1.23,1.23,3300
2017-01-19,1.23,1.24,1.21,1.22,1.22,24900
2017-01-20,1.21,1.23,1.18,1.21,1.21,19600
2017-01-23,1.16,1.24,1.16,1.22,1.22,21300
2017-01-24,1.22,1.26,1.05,1.26,1.26,71700
2017-01-25,1.25,1.3,1.24,1.29,1.29,13900
2017-01-26,1.27,1.3,1.26,1.3,1.3,17200
2017-01-27,1.28,1.58,1.28,1.43,1.43,334400
2017-01-30,1.43,1.46,1.33,1.33,1.33,68600
2017-01-31,1.33,1.44,1.3,1.44,1.44,22800
2017-02-01,1.43,1.47,1.35,1.38,1.38,70900
2017-02-02,1.37,1.37,1.31,1.35,1.35,19200
2017-02-03,1.35,1.36,1.33,1.33,1.33,2400
2017-02-06,1.33,1.34,1.3,1.34,1.34,3900
2017-02-07,1.34,1.42,1.31,1.39,1.39,39500
2017-02-08,1.34,1.41,1.3,1.35,1.35,19800
2017-02-09,1.32,1.41,1.31,1.31,1.31,19300
2017-02-10,1.31,1.34,1.3,1.34,1.34,8000
2017-02-13,1.36,1.36,1.3,1.33,1.33,36300
2017-02-14,1.33,1.36,1.3,1.3,1.3,13000
2017-02-15,1.3,1.31,1.3,1.3,1.3,12400
2017-02-16,1.31,1.36,1.31,1.33,1.33,30700
2017-02-17,1.31,1.34,1.3,1.34,1.34,44400
2017-02-21,1.38,1.7,1.35,1.45,1.45,300900
2017-02-22,1.53,1.53,1.39,1.41,1.41,91600
2017-02-23,1.51,1.51,1.4,1.45,1.45,22500
2017-02-24,1.45,1.45,1.39,1.41,1.41,34500
2017-02-27,1.42,1.5,1.42,1.5,1.5,18300
2017-02-28,1.5,1.5,1.42,1.42,1.42,24000
2017-03-01,1.47,1.48,1.42,1.43,1.43,22600
2017-03-02,1.43,1.49,1.43,1.48,1.48,15400
2017-03-03,1.5,1.5,1.45,1.48,1.48,14300
2017-03-06,1.42,1.49,1.4,1.44,1.44,22000
2017-03-07,1.44,1.52,1.43,1.47,1.47,122700
2017-03-08,1.44,1.51,1.44,1.44,1.44,52200
2017-03-09,1.45,1.49,1.42,1.45,1.45,18800
2017-03-10,1.49,1.49,1.44,1.44,1.44,9300
2017-03-13,1.49,1.49,1.42,1.44,1.44,8200
2017-03-14,1.45,1.48,1.4,1.41,1.41,106700
2017-03-15,1.4,1.45,1.4,1.42,1.42,19100
2017-03-16,1.45,1.45,1.38,1.38,1.38,20200
2017-03-17,1.4,1.5,1.4,1.5,1.5,37200
2017-03-20,1.5,1.55,1.42,1.42,1.42,43900
2017-03-21,1.45,1.45,1.4,1.4,1.4,36000
2017-03-22,1.45,1.49,1.38,1.38,1.38,85100
2017-03-23,1.39,1.47,1.37,1.43,1.43,19200
2017-03-24,1.44,1.46,1.36,1.38,1.38,20400
2017-03-27,1.41,1.43,1.37,1.41,1.41,6500
2017-03-28,1.36,1.41,1.36,1.37,1.37,7100
2017-03-29,1.39,1.44,1.34,1.44,1.44,43500
2017-03-30,1.39,1.43,1.37,1.37,1.37,11000
2017-03-31,1.36,1.42,1.35,1.42,1.42,15600
2017-04-03,1.41,1.41,1.34,1.34,1.34,24600
2017-04-04,1.33,1.37,1.32,1.35,1.35,16300
2017-04-05,1.35,1.35,1.3,1.3,1.3,27000
