Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.72,3.79,3.6,3.7,3.7,129100
2017-01-04,3.8,4.2,3.736,4.08,4.08,189900
2017-01-05,4.29,4.496,4.2,4.45,4.45,239400
2017-01-06,4.42,4.533,4.07,4.24,4.24,197100
2017-01-09,4.24,4.301,4.11,4.13,4.13,129700
2017-01-10,4.15,4.469,4.01,4.41,4.41,183100
2017-01-11,4.44,4.672,4.2,4.36,4.36,140400
2017-01-12,4.39,4.455,4.2,4.24,4.24,89200
2017-01-13,4.21,4.48,4.21,4.29,4.29,77400
2017-01-17,4.3,4.4,4.15,4.29,4.29,104600
2017-01-18,4.35,4.369,4.12,4.15,4.15,68200
2017-01-19,4.54,5.51,4.41,4.97,4.97,3991800
2017-01-20,5.0,5.0,4.47,4.5,4.5,531400
2017-01-23,4.5,4.53,4.065,4.16,4.16,257800
2017-01-24,4.22,4.6,4.22,4.56,4.56,213600
2017-01-25,4.54,5.0,4.46,4.5,4.5,228200
2017-01-26,4.46,4.649,4.25,4.27,4.27,178400
2017-01-27,4.3,4.3,3.8,4.04,4.04,279800
2017-01-30,4.01,4.052,3.847,3.93,3.93,102300
2017-01-31,3.9,4.05,3.81,4.04,4.04,1037400
2017-02-01,1.28,1.3,1.08,1.18,1.18,7641000
2017-02-02,1.25,1.33,1.17,1.2,1.2,3330700
2017-02-03,1.29,1.29,1.15,1.24,1.24,1139600
2017-02-06,1.24,1.25,1.2,1.23,1.23,594300
2017-02-07,1.25,1.25,1.19,1.22,1.22,489000
2017-02-08,1.23,1.24,1.16,1.24,1.24,572400
2017-02-09,1.23,1.399,1.18,1.23,1.23,2644800
2017-02-10,1.24,1.27,1.19,1.22,1.22,605600
2017-02-13,1.24,1.26,1.2,1.25,1.25,436700
2017-02-14,1.24,1.25,1.18,1.24,1.24,483200
2017-02-15,1.24,1.25,1.197,1.23,1.23,442000
2017-02-16,1.22,1.26,1.2,1.25,1.25,244100
2017-02-17,1.24,1.25,1.21,1.25,1.25,283500
2017-02-21,1.24,1.27,1.2,1.23,1.23,484300
2017-02-22,1.22,1.25,1.19,1.21,1.21,451700
2017-02-23,1.21,1.22,1.16,1.19,1.19,524800
2017-02-24,1.19,1.22,1.16,1.22,1.22,249200
2017-02-27,1.25,1.27,1.18,1.24,1.24,661100
2017-02-28,1.23,1.23,1.19,1.2,1.2,196600
2017-03-01,1.23,1.23,1.17,1.19,1.19,185700
2017-03-02,1.17,1.22,1.15,1.17,1.17,362700
2017-03-03,1.17,1.17,1.11,1.13,1.13,547900
2017-03-06,1.15,1.189,1.14,1.18,1.18,244400
2017-03-07,1.18,1.19,1.14,1.15,1.15,160200
2017-03-08,1.16,1.17,1.14,1.16,1.16,126800
2017-03-09,1.16,1.33,1.14,1.33,1.33,3672000
2017-03-10,1.69,2.76,1.58,2.04,2.04,59565700
2017-03-13,1.9,1.95,1.6,1.67,1.67,6177800
2017-03-14,1.61,1.85,1.55,1.61,1.61,4130500
2017-03-15,1.66,1.75,1.52,1.75,1.75,2195600
2017-03-16,1.75,1.8,1.63,1.7,1.7,2379800
2017-03-17,1.75,1.75,1.55,1.55,1.55,1411200
2017-03-20,1.61,1.61,1.41,1.45,1.45,1244400
2017-03-21,1.56,1.58,1.41,1.51,1.51,781200
2017-03-22,1.51,1.51,1.31,1.405,1.405,767900
2017-03-23,1.4,1.4,1.3,1.32,1.32,1054100
2017-03-24,1.32,1.5,1.3,1.47,1.47,1416100
2017-03-27,1.47,1.59,1.4,1.56,1.56,1689400
2017-03-28,1.56,1.56,1.43,1.55,1.55,1359800
2017-03-29,1.55,1.66,1.55,1.62,1.62,1435400
2017-03-30,1.63,1.63,1.55,1.59,1.59,533200
2017-03-31,1.56,1.6,1.5,1.6,1.6,490500
2017-04-03,1.61,1.63,1.5,1.53,1.53,417400
2017-04-04,1.5,1.53,1.41,1.41,1.41,675500
2017-04-05,1.38,1.48,1.32,1.39,1.39,484700
2017-04-06,1.38,1.39,1.27,1.35,1.35,493200
2017-04-07,1.33,1.43,1.33,1.43,1.43,368700
2017-04-10,1.46,1.46,1.38,1.43,1.43,223500
2017-04-11,1.4,1.44,1.385,1.43,1.43,239100
2017-04-12,1.44,1.57,1.38,1.47,1.47,727500
2017-04-13,1.5,1.5,1.44,1.45,1.45,320000
2017-04-17,1.44,1.48,1.41,1.47,1.47,257500
2017-04-18,1.47,1.64,1.45,1.62,1.62,1804700
2017-04-19,1.65,1.651,1.5,1.57,1.57,578700
2017-04-20,1.57,1.57,1.49,1.52,1.52,242900
2017-04-21,1.52,1.54,1.42,1.45,1.45,272900
2017-04-24,1.49,1.52,1.411,1.5,1.5,570500
2017-04-25,2.0,2.05,1.46,1.48,1.48,14342200
2017-04-26,1.45,1.464,1.35,1.45,1.45,1560600
2017-04-27,1.43,1.47,1.39,1.43,1.43,489700
2017-04-28,1.41,1.43,1.39,1.43,1.43,546300
2017-05-01,1.43,1.44,1.39,1.43,1.43,326600
2017-05-02,1.41,1.43,1.34,1.34,1.34,1068900
2017-05-03,1.34,1.39,1.34,1.37,1.37,360700
2017-05-04,1.36,1.39,1.31,1.32,1.32,424200
2017-05-05,1.32,1.4,1.31,1.38,1.38,281800
2017-05-08,1.4,1.4,1.32,1.33,1.33,273800
2017-05-09,1.33,1.37,1.32,1.36,1.36,154400
2017-05-10,1.34,1.38,1.33,1.37,1.37,250500
2017-05-11,1.39,1.4,1.32,1.4,1.4,459500
2017-05-12,1.35,1.44,1.34,1.35,1.35,503200
2017-05-15,1.33,1.39,1.3,1.37,1.37,570000
2017-05-16,1.36,1.38,1.31,1.32,1.32,604700
2017-05-17,1.33,1.34,1.33,1.34,1.34,218100
2017-05-18,1.35,1.37,1.33,1.34,1.34,119600
2017-05-19,1.34,1.37,1.33,1.35,1.35,227600
2017-05-22,1.35,1.39,1.33,1.36,1.36,143600
2017-05-23,1.35,1.36,1.34,1.35,1.35,189900
2017-05-24,1.35,1.37,1.35,1.35,1.35,122100
2017-05-25,1.35,1.36,1.35,1.36,1.36,127500
2017-05-26,1.35,1.36,1.33,1.33,1.33,174600
2017-05-30,1.35,1.37,1.32,1.34,1.34,166200
2017-05-31,1.33,1.34,1.33,1.34,1.34,65500
2017-06-01,1.33,1.35,1.32,1.33,1.33,202200
2017-06-02,1.34,1.42,1.34,1.36,1.36,517600
2017-06-05,1.35,1.38,1.34,1.36,1.36,127200
2017-06-06,1.36,1.38,1.36,1.37,1.37,95200
2017-06-07,1.35,1.39,1.3,1.35,1.35,318300
2017-06-08,1.34,1.47,1.327,1.355,1.355,760100
2017-06-09,1.35,1.38,1.32,1.35,1.35,157600
2017-06-12,1.34,1.36,1.33,1.34,1.34,103300
2017-06-13,1.34,1.35,1.31,1.35,1.35,68100
2017-06-14,1.34,1.35,1.33,1.33,1.33,49700
2017-06-15,1.32,1.34,1.31,1.315,1.315,111800
2017-06-16,1.31,1.327,1.3,1.3,1.3,151400
2017-06-19,1.3,1.35,1.23,1.32,1.32,239400
2017-06-20,1.32,1.34,1.32,1.33,1.33,90100
2017-06-21,1.35,1.36,1.29,1.31,1.31,314400
2017-06-22,1.31,1.35,1.3,1.3,1.3,192800
2017-06-23,1.32,1.355,1.32,1.35,1.35,266800
2017-06-26,1.35,1.44,1.35,1.37,1.37,536700
2017-06-27,1.37,1.42,1.37,1.38,1.38,186400
2017-06-28,1.4,1.47,1.39,1.45,1.45,793900
