Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,15.7,15.7,15.26,15.42,15.42,449400
2017-01-04,15.39,15.52,15.24,15.45,15.45,377800
2017-01-05,15.47,15.47,15.2,15.28,15.28,187000
2017-01-06,15.28,15.37,14.98,15.11,15.11,138200
2017-01-09,15.14,15.31,14.91,15.1,15.1,204900
2017-01-10,15.23,15.24,15.05,15.06,15.06,159300
2017-01-11,15.14,15.3,14.83,15.05,15.05,193300
2017-01-12,15.02,15.02,14.47,14.52,14.52,121300
2017-01-13,14.62,14.97,14.61,14.71,14.71,167000
2017-01-17,14.82,14.87,14.31,14.42,14.42,177600
2017-01-18,14.44,14.51,14.09,14.5,14.5,243200
2017-01-19,14.57,14.6,14.12,14.18,14.18,158600
2017-01-20,14.33,15.05,14.33,14.58,14.58,253100
2017-01-23,14.54,14.59,13.99,14.1,14.1,223700
2017-01-24,13.5,14.19,13.31,14.06,14.06,379500
2017-01-25,14.06,14.47,14.06,14.42,14.42,292400
2017-01-26,14.34,14.78,14.2,14.31,14.31,129900
2017-01-27,14.18,14.46,14.11,14.2,14.2,198200
2017-01-30,14.13,14.19,13.55,14.03,14.03,264300
2017-01-31,14.01,14.53,14.01,14.47,14.47,368700
2017-02-01,14.56,15.16,14.56,14.78,14.78,312500
2017-02-02,14.71,14.95,14.54,14.59,14.59,182800
2017-02-03,14.75,14.99,14.62,14.97,14.97,152800
2017-02-06,14.8,15.09,14.8,14.95,14.95,289100
2017-02-07,15.02,15.05,14.57,14.8,14.8,177400
2017-02-08,14.73,14.75,14.33,14.42,14.42,98400
2017-02-09,14.44,14.94,14.44,14.93,14.93,190500
2017-02-10,15.0,15.15,14.79,14.92,14.92,176800
2017-02-13,15.03,15.16,14.78,14.79,14.79,131600
2017-02-14,14.79,15.14,14.71,14.94,14.94,143900
2017-02-15,15.05,15.32,14.86,15.28,15.28,128600
2017-02-16,15.26,15.33,15.04,15.26,15.26,166800
2017-02-17,15.26,15.66,15.2,15.6,15.6,165400
2017-02-21,15.7,16.049999,15.61,16.030001000000002,16.030001000000002,215100
2017-02-22,16.0,16.32,15.94,16.26,16.26,225400
2017-02-23,16.290001,16.379998999999998,15.65,15.89,15.89,206000
2017-02-24,15.73,15.99,15.61,15.73,15.73,113300
2017-02-27,15.75,16.02,15.69,15.92,15.92,277800
2017-02-28,15.92,15.92,15.45,15.47,15.47,195600
2017-03-01,15.68,15.99,15.53,15.84,15.84,277700
2017-03-02,15.05,16.129998999999998,14.18,15.99,15.99,735000
2017-03-03,15.86,16.139999,14.86,15.44,15.44,480600
2017-03-06,15.22,15.39,14.56,14.65,14.65,316800
2017-03-07,14.57,14.57,14.06,14.31,14.31,248800
2017-03-08,14.36,14.43,14.04,14.14,14.14,163300
2017-03-09,14.16,14.26,14.02,14.07,14.07,119100
2017-03-10,14.17,14.35,14.01,14.31,14.31,202000
2017-03-13,14.29,14.5,14.21,14.29,14.29,146000
2017-03-14,14.24,14.35,14.14,14.32,14.32,137300
2017-03-15,14.38,14.57,14.3,14.47,14.47,151400
2017-03-16,14.5,14.62,14.29,14.58,14.58,107400
2017-03-17,14.51,14.98,14.47,14.83,14.83,422700
2017-03-20,14.87,14.87,14.28,14.38,14.38,154100
2017-03-21,14.45,14.62,13.96,13.96,13.96,225400
2017-03-22,13.92,14.03,13.55,13.59,13.59,131400
2017-03-23,13.64,13.79,13.5,13.57,13.57,122100
2017-03-24,13.58,13.66,13.49,13.55,13.55,139600
2017-03-27,13.37,13.78,13.37,13.53,13.53,277100
2017-03-28,13.55,14.05,13.31,14.02,14.02,220800
2017-03-29,13.91,13.99,13.59,13.78,13.78,260900
2017-03-30,13.79,14.28,13.79,14.25,14.25,291200
2017-03-31,14.23,14.52,14.17,14.36,14.36,189500
2017-04-03,14.42,14.51,14.02,14.08,14.08,221200
2017-04-04,14.06,14.18,13.82,13.96,13.96,126600
2017-04-05,14.05,14.17,13.75,13.84,13.84,248100
2017-04-06,13.83,13.94,13.67,13.88,13.88,126400
2017-04-07,13.81,14.04,13.77,13.85,13.85,278600
2017-04-10,13.88,14.29,13.75,13.81,13.81,181400
2017-04-11,13.79,14.37,13.59,14.23,14.23,204800
2017-04-12,14.16,14.29,14.02,14.1,14.1,145600
2017-04-13,14.12,14.29,13.93,14.09,14.09,160500
2017-04-17,14.12,14.25,14.03,14.23,14.23,164100
2017-04-18,14.13,14.2,13.97,14.0,14.0,133500
2017-04-19,14.12,14.29,14.05,14.1,14.1,157000
2017-04-20,14.19,14.33,14.0,14.15,14.15,188400
2017-04-21,14.13,14.27,13.95,14.14,14.14,158700
2017-04-24,14.34,14.53,14.13,14.42,14.42,268700
2017-04-25,14.54,14.7,14.35,14.38,14.38,153900
2017-04-26,14.41,15.09,14.33,14.92,14.92,314000
2017-04-27,14.94,14.99,14.54,14.75,14.75,184600
2017-04-28,14.73,14.73,13.92,13.97,13.97,511500
2017-05-01,14.04,14.18,13.83,14.05,14.05,374100
2017-05-02,14.18,14.39,14.18,14.27,14.27,157000
2017-05-03,14.19,14.32,14.05,14.23,14.23,162800
2017-05-04,13.5,13.8,11.68,12.42,12.42,871000
2017-05-05,12.32,12.32,11.91,12.14,12.14,424700
2017-05-08,12.14,12.39,12.04,12.11,12.11,265300
2017-05-09,12.17,12.55,12.07,12.19,12.19,357500
2017-05-10,12.15,12.48,12.04,12.29,12.29,306200
2017-05-11,12.22,12.27,12.09,12.21,12.21,110100
2017-05-12,12.16,12.64,12.0,12.14,12.14,178500
2017-05-15,12.15,12.34,12.0,12.01,12.01,233100
2017-05-16,12.05,12.09,11.95,12.06,12.06,271500
2017-05-17,11.97,12.21,11.91,12.03,12.03,343800
2017-05-18,11.98,12.22,11.74,12.05,12.05,364900
2017-05-19,12.01,12.21,11.99,12.05,12.05,251000
2017-05-22,12.05,12.07,11.85,11.87,11.87,275100
2017-05-23,11.91,11.91,11.36,11.38,11.38,199800
2017-05-24,11.38,11.49,11.21,11.36,11.36,254700
2017-05-25,11.36,11.55,11.07,11.25,11.25,178100
2017-05-26,11.22,11.37,11.11,11.36,11.36,178600
2017-05-30,11.31,11.39,11.12,11.36,11.36,175200
2017-05-31,11.42,11.56,11.2,11.55,11.55,349100
2017-06-01,11.57,11.85,11.5,11.82,11.82,307500
2017-06-02,11.77,12.18,11.77,11.89,11.89,202300
2017-06-05,11.92,12.04,11.65,11.76,11.76,222800
2017-06-06,11.7,11.84,11.57,11.79,11.79,356500
