Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,0.89,0.913,0.87,0.89,0.89,62300
2017-01-04,0.896,0.95,0.827,0.883,0.883,44900
2017-01-05,0.88,1.235,0.85,1.19,1.19,1246100
2017-01-06,1.24,1.24,1.02,1.07,1.07,480500
2017-01-09,1.15,1.177,1.04,1.09,1.09,247300
2017-01-10,1.1,1.19,0.99,1.072,1.072,77100
2017-01-11,1.06,1.11,0.972,0.972,0.972,361200
2017-01-12,0.98,1.05,0.9,0.91,0.91,127600
2017-01-13,0.92,1.039,0.906,0.94,0.94,110800
2017-01-17,0.96,0.97,0.88,0.884,0.884,127000
2017-01-18,0.9,0.92,0.862,0.89,0.89,134500
2017-01-19,0.93,0.93,0.87,0.88,0.88,135000
2017-01-20,0.871,0.937,0.84,0.852,0.852,76300
2017-01-23,0.86,0.938,0.82,0.84,0.84,47200
2017-01-24,0.85,0.87,0.8,0.86,0.86,56500
2017-01-25,0.86,0.9,0.84,0.865,0.865,98100
2017-01-26,0.85,0.87,0.8,0.87,0.87,190100
2017-01-27,0.87,0.99,0.86,0.92,0.92,51500
2017-01-30,0.89,0.92,0.84,0.86,0.86,37500
2017-01-31,0.87,0.87,0.8,0.845,0.845,67700
2017-02-01,0.801,0.848,0.801,0.84,0.84,28500
2017-02-02,0.83,0.887,0.811,0.866,0.866,78800
2017-02-03,0.84,0.878,0.83,0.84,0.84,25700
2017-02-06,0.84,0.844,0.8,0.83,0.83,69100
2017-02-07,0.83,0.875,0.78,0.797,0.797,397100
2017-02-08,0.799,0.85,0.781,0.803,0.803,647600
2017-02-09,0.81,0.85,0.8,0.82,0.82,238700
2017-02-10,0.82,0.82,0.78,0.789,0.789,101000
2017-02-13,0.782,0.825,0.78,0.8,0.8,99500
2017-02-14,0.8,0.82,0.78,0.82,0.82,177400
2017-02-15,0.82,0.825,0.785,0.8,0.8,276500
2017-02-16,0.819,0.82,0.78,0.8,0.8,104500
2017-02-17,0.803,0.82,0.8,0.82,0.82,146700
2017-02-21,0.82,0.879,0.8,0.81,0.81,655800
2017-02-22,0.82,0.835,0.78,0.794,0.794,189000
2017-02-23,0.8,0.8,0.743,0.759,0.759,256000
2017-02-24,0.756,0.8,0.73,0.77,0.77,118500
2017-02-27,0.77,0.8,0.73,0.76,0.76,193400
