Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2.92,3.1,2.9,3.09,3.09,2447100
2017-01-04,3.12,3.29,3.12,3.23,3.23,2630800
2017-01-05,3.25,3.26,3.13,3.14,3.14,1292500
2017-01-06,3.12,3.14,3.05,3.06,3.06,1061300
2017-01-09,3.04,3.06,2.91,2.91,2.91,1804100
2017-01-10,2.91,2.94,2.89,2.9,2.9,1893900
2017-01-11,2.9,2.96,2.87,2.96,2.96,2465900
2017-01-12,2.97,2.99,2.88,2.94,2.94,2122600
2017-01-13,2.94,2.96,2.82,2.83,2.83,1772700
2017-01-17,2.87,2.9,2.71,2.72,2.72,1794700
2017-01-18,2.72,2.76,2.66,2.73,2.73,1197000
2017-01-19,2.76,2.79,2.66,2.67,2.67,1291700
2017-01-20,2.68,2.71,2.64,2.67,2.67,1002800
2017-01-23,2.68,2.7,2.63,2.68,2.68,1065800
2017-01-24,2.7,2.79,2.67,2.76,2.76,1093800
2017-01-25,2.79,2.81,2.75,2.8,2.8,1602100
2017-01-26,2.82,2.88,2.72,2.73,2.73,1110400
2017-01-27,2.71,2.76,2.67,2.68,2.68,825200
2017-01-30,2.67,2.67,2.5,2.55,2.55,2106900
2017-01-31,2.54,2.61,2.49,2.59,2.59,1490800
2017-02-01,2.6,2.62,2.5,2.53,2.53,1431600
2017-02-02,2.52,2.55,2.38,2.39,2.39,2147900
2017-02-03,2.41,2.55,2.4,2.53,2.53,1382200
2017-02-06,2.51,2.57,2.46,2.48,2.48,651600
2017-02-07,2.53,2.55,2.45,2.49,2.49,1120900
2017-02-08,2.46,2.52,2.43,2.52,2.52,1190100
2017-02-09,2.54,2.59,2.52,2.55,2.55,899500
2017-02-10,2.55,2.59,2.51,2.57,2.57,673700
2017-02-13,2.56,2.59,2.54,2.55,2.55,1005300
2017-02-14,2.55,2.63,2.53,2.61,2.61,789800
2017-02-15,2.59,2.61,2.54,2.56,2.56,805600
2017-02-16,2.55,2.56,2.5,2.51,2.51,1086100
2017-02-17,2.51,2.54,2.46,2.49,2.49,1049800
2017-02-21,2.53,2.6,2.49,2.59,2.59,1032600
2017-02-22,2.6,2.61,2.5,2.53,2.53,1407100
2017-02-23,2.54,2.57,2.48,2.56,2.56,1158700
2017-02-24,2.53,2.54,2.47,2.49,2.49,1157600
2017-02-27,2.49,2.55,2.46,2.54,2.54,716800
2017-02-28,2.51,2.54,2.45,2.45,2.45,1535000
2017-03-01,3.02,3.12,2.67,2.86,2.86,9939400
2017-03-02,2.87,2.88,2.6,2.61,2.61,2352700
2017-03-03,2.61,2.63,2.51,2.53,2.53,1851100
2017-03-06,2.51,2.74,2.48,2.7,2.7,2460600
2017-03-07,2.73,2.73,2.54,2.57,2.57,3048400
2017-03-08,2.65,2.8,2.55,2.59,2.59,4223900
2017-03-09,2.61,2.62,2.45,2.57,2.57,2994800
2017-03-10,2.58,2.65,2.56,2.6,2.6,1470900
2017-03-13,2.62,2.66,2.52,2.59,2.59,1511700
2017-03-14,2.54,2.54,2.41,2.44,2.44,2929100
2017-03-15,2.44,2.48,2.4,2.47,2.47,1410900
2017-03-16,2.48,2.54,2.44,2.51,2.51,1324800
2017-03-17,2.5,2.52,2.45,2.47,2.47,4355400
2017-03-20,2.48,2.59,2.45,2.58,2.58,1300900
2017-03-21,2.58,2.65,2.48,2.49,2.49,1035600
2017-03-22,2.48,2.5,2.41,2.43,2.43,1235500
2017-03-23,2.44,2.48,2.4,2.4,2.4,1053600
2017-03-24,2.43,2.48,2.41,2.42,2.42,698200
2017-03-27,2.4,2.51,2.38,2.5,2.5,1052700
2017-03-28,2.49,2.55,2.47,2.54,2.54,804900
2017-03-29,2.54,2.68,2.51,2.6,2.6,1637100
2017-03-30,2.61,2.68,2.59,2.61,2.61,1300000
2017-03-31,2.59,2.63,2.55,2.55,2.55,1630600
2017-04-03,2.57,2.62,2.52,2.55,2.55,1116000
2017-04-04,2.54,2.63,2.52,2.55,2.55,1129500
2017-04-05,2.59,2.65,2.51,2.54,2.54,2531300
2017-04-06,2.54,2.58,2.5,2.54,2.54,828000
2017-04-07,2.53,2.56,2.49,2.51,2.51,1205500
2017-04-10,2.52,2.59,2.51,2.56,2.56,642900
2017-04-11,2.56,2.62,2.56,2.58,2.58,777000
2017-04-12,2.59,2.62,2.52,2.53,2.53,502900
2017-04-13,2.52,2.56,2.46,2.48,2.48,1540700
2017-04-17,2.5,2.5,2.41,2.47,2.47,1114000
2017-04-18,2.46,2.49,2.4,2.48,2.48,846600
2017-04-19,2.49,2.5,2.4,2.45,2.45,1218200
2017-04-20,2.44,2.49,2.42,2.48,2.48,727400
2017-04-21,2.47,2.51,2.46,2.49,2.49,866900
2017-04-24,2.51,2.52,2.43,2.44,2.44,1034400
2017-04-25,2.44,2.5,2.44,2.46,2.46,697800
2017-04-26,2.45,2.53,2.44,2.49,2.49,910500
2017-04-27,2.48,2.51,2.45,2.48,2.48,470300
2017-04-28,2.48,2.5,2.42,2.44,2.44,683900
2017-05-01,2.44,2.46,2.4,2.45,2.45,846000
2017-05-02,2.46,2.46,2.41,2.42,2.42,773500
2017-05-03,2.42,2.43,2.4,2.41,2.41,755600
2017-05-04,2.4,2.43,2.35,2.36,2.36,1638500
