Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,15.75,15.75,15.5,15.7,13.43281,1100
2017-01-04,15.6,15.78,15.6,15.65,13.390029,2200
2017-01-05,15.65,15.65,15.6,15.6,13.347251000000002,4600
2017-01-06,15.65,15.72,15.65,15.7,13.43281,800
2017-01-09,15.95,15.95,15.7,15.7,13.43281,700
2017-01-10,15.7,15.7,15.7,15.7,13.43281,300
2017-01-11,15.7,15.7,15.7,15.7,13.43281,0
2017-01-12,15.7,15.7,15.7,15.7,13.43281,200
2017-01-13,15.8,15.8,15.8,15.8,13.51837,500
2017-01-17,15.73,15.75,15.6,15.75,13.475589999999999,700
2017-01-18,15.77,15.77,15.77,15.77,13.492702,100
2017-01-19,15.65,15.65,15.65,15.65,13.390029,400
2017-01-20,15.65,15.65,15.65,15.65,13.390029,0
2017-01-23,15.65,15.65,15.65,15.65,13.390029,0
2017-01-24,15.61,15.65,15.6,15.6,13.347251000000002,800
2017-01-25,15.6,15.61,15.45,15.6,13.347251000000002,3000
2017-01-26,15.55,15.55,15.55,15.55,13.304471,100
2017-01-27,15.5,15.52,15.5,15.5,13.261691,3300
2017-01-30,15.7,15.7,15.7,15.7,13.43281,400
2017-01-31,15.25,15.45,15.2,15.45,13.218910999999999,2600
2017-02-01,15.65,15.7,15.55,15.55,13.304471,4700
2017-02-02,15.64,15.7,15.64,15.7,13.43281,700
2017-02-03,15.7,15.7,15.7,15.7,13.43281,0
2017-02-06,15.4,15.5,15.4,15.5,13.261691,2000
2017-02-07,15.5,15.5,15.5,15.5,13.261691,0
2017-02-08,15.6,15.6,15.6,15.6,13.347251000000002,300
2017-02-09,15.46,15.46,15.46,15.46,13.227467,200
2017-02-10,15.65,15.65,15.63,15.65,13.390029,1100
2017-02-13,15.7,15.7,15.59,15.65,13.390029,800
2017-02-14,15.63,15.63,15.52,15.52,13.278803,600
2017-02-15,15.65,15.65,15.63,15.63,13.372917999999999,500
2017-02-16,15.7,15.7,15.4,15.4,13.176132,1800
2017-02-17,15.67,15.67,15.5,15.6,13.347251000000002,5600
