Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,10.05,10.29,9.8,10.29,10.136409,1300
2017-01-04,10.0,10.41,9.86,10.4,10.244767,7800
2017-01-05,10.4,10.4,10.4,10.4,10.244767,0
2017-01-06,10.31,10.31,10.1,10.1,9.949245,1000
2017-01-09,10.1,10.12,10.1,10.12,9.968947,1000
2017-01-10,10.25,10.45,10.25,10.45,10.294022,400
2017-01-11,10.15,10.15,10.1,10.15,9.998499,2300
2017-01-12,10.15,10.15,10.15,10.15,9.998499,300
2017-01-13,10.1,10.15,10.1,10.15,9.998499,400
2017-01-17,10.1,10.1,10.1,10.1,9.949245,200
2017-01-18,10.5,10.5,9.9,9.9,9.75223,10000
2017-01-19,9.95,9.95,9.95,9.95,9.801484,100
2017-01-20,10.15,10.15,10.15,10.15,9.998499,500
2017-01-23,10.15,10.26,10.06,10.06,9.909842999999999,1500
2017-01-24,10.15,10.15,10.06,10.15,9.998499,800
2017-01-25,10.14,10.14,10.14,10.14,9.988648,100
2017-01-26,10.15,10.15,10.15,10.15,9.998499,900
2017-01-27,10.15,10.15,10.15,10.15,9.998499,0
2017-01-30,10.25,10.26,10.25,10.26,10.106858,2700
2017-01-31,10.26,10.26,10.26,10.26,10.106858,0
2017-02-01,10.1,10.5,10.1,10.5,10.343276,600
2017-02-02,10.5,10.5,10.5,10.5,10.343276,0
2017-02-03,10.4,10.4,10.2,10.3,10.146261,700
2017-02-06,10.05,10.05,10.05,10.05,9.899992,300
2017-02-07,10.05,10.05,10.05,10.05,9.899992,0
2017-02-08,10.26,10.26,10.26,10.26,10.106858,400
2017-02-09,10.1,10.2,10.1,10.2,10.047753,600
2017-02-10,10.18,10.3,10.18,10.2,10.047753,1600
2017-02-13,10.2,10.2,10.2,10.2,10.047753,0
2017-02-14,10.35,10.4,10.0,10.05,9.899992,900
2017-02-15,10.05,10.05,10.05,10.05,9.899992,0
2017-02-16,10.18,10.25,10.18,10.25,10.097007000000001,5300
2017-02-17,10.25,10.25,10.25,10.25,10.097007000000001,0
2017-02-21,10.4,10.41,10.3,10.3,10.146261,6000
2017-02-22,10.35,10.35,10.2,10.2,10.047753,7700
