Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.15,3.25,3.07,3.24,3.24,418100
2017-01-04,3.25,3.38,3.16,3.33,3.33,428800
2017-01-05,3.33,3.35,3.06,3.12,3.12,637900
2017-01-06,3.17,3.19,3.1,3.15,3.15,597300
2017-01-09,3.15,3.18,3.1,3.12,3.12,355200
2017-01-10,3.14,3.19,3.06,3.13,3.13,297600
2017-01-11,3.13,3.17,2.87,3.01,3.01,755400
2017-01-12,3.01,3.06,2.91,2.97,2.97,371800
2017-01-13,2.99,3.07,2.93,2.97,2.97,430000
2017-01-17,2.98,3.06,2.77,2.79,2.79,492800
2017-01-18,2.8,2.86,2.75,2.82,2.82,360200
2017-01-19,2.83,2.88,2.66,2.7,2.7,399400
2017-01-20,2.69,2.73,2.58,2.6,2.6,331400
2017-01-23,2.61,2.7,2.52,2.58,2.58,481700
2017-01-24,2.59,2.78,2.49,2.77,2.77,618500
2017-01-25,2.79,2.86,2.72,2.86,2.86,483200
2017-01-26,2.86,2.86,2.78,2.81,2.81,272900
2017-01-27,2.83,2.9,2.79,2.86,2.86,219800
2017-01-30,2.82,2.82,2.68,2.7,2.7,235000
2017-01-31,2.68,2.89,2.63,2.87,2.87,360900
2017-02-01,2.9,2.94,2.79,2.91,2.91,370000
2017-02-02,2.92,2.95,2.83,2.85,2.85,260700
2017-02-03,2.88,2.89,2.82,2.85,2.85,320500
2017-02-06,2.85,2.9,2.8,2.81,2.81,240400
2017-02-07,2.82,2.83,2.7,2.73,2.73,290300
2017-02-08,2.71,2.71,2.53,2.62,2.62,418400
2017-02-09,2.62,2.74,2.62,2.71,2.71,232700
2017-02-10,2.69,2.72,2.59,2.62,2.62,459400
2017-02-13,2.72,2.72,2.53,2.59,2.59,403000
2017-02-14,2.58,2.66,2.45,2.63,2.63,821700
2017-02-15,2.62,2.71,2.55,2.71,2.71,403500
2017-02-16,2.72,2.73,2.62,2.64,2.64,620800
2017-02-17,2.67,2.72,2.65,2.68,2.68,358700
2017-02-21,2.7,2.72,2.64,2.66,2.66,262400
2017-02-22,2.66,2.7,2.5,2.53,2.53,612000
2017-02-23,2.51,2.56,2.38,2.41,2.41,453000
2017-02-24,2.37,2.4,2.29,2.37,2.37,668500
2017-02-27,2.37,2.45,2.33,2.4,2.4,427000
2017-02-28,2.43,2.45,2.3,2.31,2.31,556200
2017-03-01,2.39,2.43,2.32,2.35,2.35,491300
2017-03-02,2.35,2.47,2.24,2.41,2.41,489800
2017-03-03,2.39,2.47,2.35,2.38,2.38,399600
2017-03-06,2.37,2.42,2.31,2.4,2.4,467400
2017-03-07,2.38,2.46,2.3,2.43,2.43,434700
2017-03-08,2.45,2.64,2.45,2.55,2.55,589400
2017-03-09,2.61,3.09,2.61,3.08,3.08,3197000
2017-03-10,3.21,3.22,2.77,2.96,2.96,2373100
2017-03-13,2.95,3.0,2.75,2.95,2.95,508300
2017-03-14,2.91,2.91,2.81,2.87,2.87,391500
2017-03-15,2.88,3.01,2.87,2.98,2.98,727200
2017-03-16,2.97,3.02,2.9,2.95,2.95,687000
2017-03-17,2.88,3.01,2.85,2.97,2.97,713300
2017-03-20,2.94,3.02,2.91,2.98,2.98,345800
2017-03-21,3.0,3.01,2.79,2.8,2.8,532400
2017-03-22,2.8,2.85,2.69,2.83,2.83,409800
2017-03-23,2.84,2.94,2.8,2.86,2.86,231900
2017-03-24,2.89,3.0,2.89,2.96,2.96,1127500
2017-03-27,2.93,2.99,2.83,2.88,2.88,291600
2017-03-28,2.88,2.92,2.82,2.88,2.88,295600
2017-03-29,2.85,2.92,2.82,2.85,2.85,442500
2017-03-30,2.84,2.88,2.77,2.78,2.78,402900
2017-03-31,2.78,2.82,2.74,2.78,2.78,528300
2017-04-03,2.79,2.87,2.76,2.8,2.8,344400
2017-04-04,2.79,2.85,2.69,2.77,2.77,611200
2017-04-05,2.78,2.78,2.53,2.55,2.55,937500
2017-04-06,2.55,2.61,2.5,2.55,2.55,574700
2017-04-07,2.53,2.6,2.48,2.6,2.6,477300
2017-04-10,2.6,2.68,2.51,2.52,2.52,342900
2017-04-11,2.52,2.58,2.48,2.55,2.55,284000
2017-04-12,2.55,2.58,2.51,2.52,2.52,217100
2017-04-13,2.5,2.61,2.48,2.55,2.55,250700
2017-04-17,2.56,2.67,2.52,2.63,2.63,628800
2017-04-18,2.61,2.65,2.5,2.63,2.63,267900
2017-04-19,2.65,2.72,2.58,2.64,2.64,313700
2017-04-20,2.65,2.69,2.6,2.67,2.67,280300
2017-04-21,2.66,2.67,2.52,2.53,2.53,468600
2017-04-24,2.6,2.6,2.53,2.55,2.55,371900
2017-04-25,2.58,2.63,2.54,2.61,2.61,372200
2017-04-26,2.6,2.7,2.57,2.67,2.67,402300
2017-04-27,2.67,2.68,2.51,2.52,2.52,383400
2017-04-28,2.53,2.58,2.4,2.42,2.42,500000
2017-05-01,2.45,2.48,2.34,2.37,2.37,427300
2017-05-02,2.38,2.39,2.25,2.3,2.3,534300
2017-05-03,2.27,2.28,2.13,2.14,2.14,482700
2017-05-04,2.08,2.22,1.91,1.94,1.94,940100
2017-05-05,1.96,2.0,1.85,1.89,1.89,523700
2017-05-08,1.9,1.93,1.8,1.86,1.86,736500
2017-05-09,1.89,2.0,1.8,1.97,1.97,939300
2017-05-10,2.05,2.3,2.05,2.11,2.11,1134600
2017-05-11,2.08,2.12,1.86,1.88,1.88,680800
2017-05-12,1.88,1.95,1.81,1.91,1.91,414700
2017-05-15,1.94,1.96,1.8,1.81,1.81,556100
2017-05-16,1.85,1.88,1.76,1.82,1.82,402500
2017-05-17,1.8,1.8,1.68,1.7,1.7,645000
2017-05-18,1.72,1.73,1.65,1.67,1.67,581400
2017-05-19,1.67,1.76,1.62,1.66,1.66,605100
2017-05-22,1.66,1.73,1.6,1.73,1.73,562400
2017-05-23,1.75,1.78,1.68,1.74,1.74,531900
2017-05-24,1.73,1.74,1.7,1.71,1.71,242000
2017-05-25,1.74,1.74,1.69,1.7,1.7,465200
2017-05-26,1.7,1.73,1.68,1.72,1.72,332700
2017-05-30,1.72,1.77,1.69,1.75,1.75,916100
2017-05-31,1.78,1.81,1.69,1.71,1.71,862400
2017-06-01,1.73,1.75,1.68,1.73,1.73,533100
2017-06-02,1.73,1.91,1.73,1.91,1.91,1583400
2017-06-05,1.91,1.92,1.71,1.76,1.76,791700
2017-06-06,1.77,1.79,1.68,1.69,1.69,753000
2017-06-07,1.71,1.76,1.61,1.73,1.73,528500
2017-06-08,1.73,1.85,1.7,1.78,1.78,596700
2017-06-09,1.78,1.84,1.73,1.78,1.78,503100
2017-06-12,1.75,1.81,1.73,1.74,1.74,464800
2017-06-13,1.74,1.78,1.71,1.73,1.73,310100
2017-06-14,1.73,1.83,1.7,1.74,1.74,497600
2017-06-15,1.74,1.79,1.73,1.75,1.75,418900
2017-06-16,1.71,1.8,1.69,1.77,1.77,759000
2017-06-19,1.75,1.87,1.75,1.84,1.84,534100
2017-06-20,1.82,1.94,1.81,1.93,1.93,1155500
2017-06-21,1.92,2.2,1.9,2.04,2.04,1240800
2017-06-22,2.06,2.16,2.0,2.11,2.11,596600
2017-06-23,2.11,2.2,2.05,2.1,2.1,1349600
2017-06-26,2.12,2.24,2.09,2.22,2.22,858700
2017-06-27,2.23,2.25,1.99,2.0,2.0,707900
2017-06-28,2.03,2.1,2.0,2.04,2.04,506300
2017-06-29,2.02,2.03,1.94,1.97,1.97,566000
2017-06-30,1.96,1.96,1.86,1.89,1.89,367600
2017-07-03,1.88,1.97,1.88,1.95,1.95,134300
2017-07-05,1.92,2.0,1.92,1.98,1.98,353500
2017-07-06,1.96,1.97,1.89,1.9,1.9,210500
2017-07-07,1.91,2.02,1.88,1.99,1.99,264300
2017-07-10,1.95,2.04,1.92,1.95,1.95,246800
2017-07-11,1.99,2.03,1.92,1.97,1.97,353500
2017-07-12,1.98,2.09,1.97,2.08,2.08,346000
2017-07-13,2.06,2.16,2.0,2.14,2.14,254400
2017-07-14,2.1,2.19,2.06,2.15,2.15,233600
2017-07-17,2.14,2.21,2.12,2.14,2.14,257200
2017-07-18,2.13,2.17,2.01,2.05,2.05,348000
2017-07-19,2.08,2.15,2.03,2.07,2.07,288200
2017-07-20,2.06,2.09,2.01,2.04,2.04,233200
2017-07-21,2.09,2.13,1.97,1.99,1.99,471400
2017-07-24,2.0,2.1,1.98,2.06,2.06,286100
2017-07-25,2.05,2.12,2.01,2.05,2.05,431300
2017-07-26,2.05,2.1,2.01,2.04,2.04,199100
2017-07-27,2.06,2.06,1.92,1.96,1.96,339700
2017-07-28,1.96,2.05,1.93,2.02,2.02,206500
2017-07-31,2.0,2.04,1.92,1.95,1.95,236900
2017-08-01,1.98,1.98,1.67,1.67,1.67,1173500
2017-08-02,1.7,1.83,1.7,1.72,1.72,1331500
2017-08-03,1.67,1.71,1.47,1.49,1.49,1363900
2017-08-04,1.52,1.74,1.49,1.72,1.72,653900
2017-08-07,1.67,1.75,1.66,1.71,1.71,419300
2017-08-08,1.7,1.73,1.69,1.7,1.7,341000
2017-08-09,1.7,1.7,1.61,1.64,1.64,383500
2017-08-10,1.63,1.67,1.58,1.63,1.63,576800
2017-08-11,1.66,1.73,1.62,1.72,1.72,427500
2017-08-14,1.73,1.82,1.71,1.82,1.82,369100
2017-08-15,1.82,1.87,1.77,1.84,1.84,396700
2017-08-16,1.86,1.86,1.71,1.73,1.73,345700
2017-08-17,1.73,1.79,1.71,1.74,1.74,584600
2017-08-18,1.69,1.77,1.68,1.73,1.73,635300
2017-08-21,1.71,1.72,1.6,1.62,1.62,863300
2017-08-22,1.64,1.72,1.64,1.65,1.65,854400
2017-08-23,1.65,1.72,1.63,1.63,1.63,485600
2017-08-24,1.64,1.7,1.62,1.66,1.66,462900
2017-08-25,1.67,1.69,1.62,1.67,1.67,312500
2017-08-28,1.69,1.83,1.69,1.77,1.77,1112500
2017-08-29,1.74,1.86,1.73,1.83,1.83,453200
2017-08-30,1.82,1.91,1.75,1.86,1.86,425300
2017-08-31,1.86,2.06,1.83,2.04,2.04,630400
2017-09-01,2.06,2.18,1.96,2.09,2.09,807700
2017-09-05,2.1,2.16,2.05,2.15,2.15,579900
2017-09-06,2.18,2.21,2.1,2.16,2.16,464300
2017-09-07,2.16,2.2,2.09,2.16,2.16,232000
2017-09-08,2.2,2.27,2.13,2.16,2.16,527300
2017-09-11,2.23,2.26,1.96,2.0,2.0,667900
2017-09-12,2.0,2.09,1.96,2.02,2.02,378900
2017-09-13,2.03,2.08,1.95,2.0,2.0,355900
2017-09-14,2.0,2.0,1.82,1.84,1.84,2583900
2017-09-15,1.84,1.88,1.7,1.72,1.72,1455300
2017-09-18,1.76,1.86,1.72,1.76,1.76,760700
2017-09-19,1.78,1.82,1.68,1.69,1.69,699600
2017-09-20,1.71,1.73,1.67,1.7,1.7,477600
