Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,10.59,10.88,10.4,10.71,10.71,113700
2017-01-04,10.75,11.58,10.665,11.36,11.36,110300
2017-01-05,11.37,11.57,10.94,11.0,11.0,48200
2017-01-06,11.04,11.3,10.77,11.13,11.13,61000
2017-01-09,11.04,11.91,10.96,11.22,11.22,37100
2017-01-10,12.44,12.44,11.05,11.36,11.36,45800
2017-01-11,11.43,11.69,10.85,11.13,11.13,87800
2017-01-12,11.59,11.59,10.635,11.44,11.44,87700
2017-01-13,11.39,11.75,11.058,11.59,11.59,123900
2017-01-17,11.61,11.73,11.2,11.42,11.42,141200
2017-01-18,11.52,11.6,11.29,11.45,11.45,107800
2017-01-19,11.4,11.64,11.32,11.5,11.5,111000
2017-01-20,11.46,11.64,11.4,11.5,11.5,360000
2017-01-23,11.5,11.67,11.321,11.57,11.57,180000
2017-01-24,11.58,11.75,11.421,11.63,11.63,575000
2017-01-25,11.77,12.03,11.62,11.94,11.94,92700
2017-01-26,12.02,12.19,11.62,11.64,11.64,50300
2017-01-27,11.89,12.03,11.61,12.0,12.0,44600
2017-01-30,11.86,11.86,11.14,11.33,11.33,721300
2017-01-31,11.3,11.75,11.11,11.62,11.62,66800
2017-02-01,11.63,12.07,11.545,11.63,11.63,77900
2017-02-02,11.5,11.82,11.485,11.65,11.65,70400
2017-02-03,11.7,12.01,11.56,11.81,11.81,89300
2017-02-06,11.65,11.93,11.49,11.52,11.52,61600
2017-02-07,11.61,11.65,11.39,11.5,11.5,65700
2017-02-08,11.44,11.47,11.2,11.28,11.28,67400
2017-02-09,11.2,11.56,11.117,11.4,11.4,52200
2017-02-10,11.5,11.61,11.35,11.54,11.54,64200
2017-02-13,11.6,11.65,11.4,11.63,11.63,65300
2017-02-14,11.51,11.64,11.38,11.58,11.58,38300
2017-02-15,11.5,11.69,11.46,11.57,11.57,52100
2017-02-16,11.55,11.802,11.4,11.62,11.62,361500
2017-02-17,11.63,11.99,11.52,11.84,11.84,126300
2017-02-21,11.8,11.96,11.63,11.93,11.93,96900
2017-02-22,11.95,12.12,11.639,11.74,11.74,48600
2017-02-23,11.84,11.84,11.44,11.66,11.66,50200
2017-02-24,11.51,11.65,11.49,11.52,11.52,23500
2017-02-27,11.58,12.58,11.57,12.31,12.31,217400
2017-02-28,12.36,12.69,12.102,12.5,12.5,103400
2017-03-01,12.62,13.402,12.525,13.29,13.29,286800
2017-03-02,13.78,14.9,13.5,14.5,14.5,282900
2017-03-03,14.52,15.776,14.49,15.57,15.57,446600
2017-03-06,15.42,15.65,13.21,13.3,13.3,200600
2017-03-07,12.67,13.87,12.5,13.52,13.52,99400
2017-03-08,13.52,14.19,13.42,13.54,13.54,107600
2017-03-09,13.72,13.85,13.13,13.31,13.31,107400
2017-03-10,13.36,15.36,12.51,15.09,15.09,374300
2017-03-13,15.09,15.27,14.58,15.21,15.21,93600
2017-03-14,15.02,15.35,14.62,15.25,15.25,116800
2017-03-15,14.79,14.96,14.3,14.68,14.68,462900
2017-03-16,14.73,15.16,14.5,15.0,15.0,206400
2017-03-17,14.63,15.3,14.533,15.18,15.18,279800
2017-03-20,19.6,20.02,18.049999,18.889999,18.889999,2327900
2017-03-21,19.5,19.780001000000002,17.629998999999998,18.25,18.25,490600
2017-03-22,18.32,18.91,18.0,18.610001,18.610001,183400
2017-03-23,18.540001,18.98,16.25,17.42,17.42,1823400
2017-03-24,17.5,18.48,17.395,17.790001,17.790001,303600
2017-03-27,18.280001000000002,19.0,17.98,18.110001,18.110001,1142300
2017-03-28,17.77,17.780001000000002,16.84,17.17,17.17,548800
2017-03-29,17.190001000000002,17.809998999999998,16.4,17.0,17.0,385100
2017-03-30,16.959999,17.4,16.790001,17.26,17.26,224900
2017-03-31,17.309998999999998,17.459999,17.0,17.27,17.27,175600
2017-04-03,17.17,17.41,16.6,17.02,17.02,262300
2017-04-04,17.059998999999998,17.690001000000002,17.059998999999998,17.540001,17.540001,183700
2017-04-05,17.51,18.01,16.59,16.780001000000002,16.780001000000002,261700
2017-04-06,16.799999,16.93,16.27,16.92,16.92,168400
2017-04-07,16.889999,17.219998999999998,16.709999,17.139999,17.139999,127000
2017-04-10,17.25,17.35,16.709999,16.75,16.75,134100
2017-04-11,16.65,16.870001000000002,16.32,16.469998999999998,16.469998999999998,190200
2017-04-12,16.43,16.549999,15.725,15.96,15.96,293600
2017-04-13,16.01,16.5,15.63,15.68,15.68,260700
