Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,35.900002,36.049999,34.299999,34.549999,34.549999,347800
2017-01-04,34.75,35.25,34.009997999999996,35.0,35.0,65900
2017-01-05,34.849998,34.849998,33.75,34.0,34.0,66200
2017-01-06,34.099998,34.349998,33.799999,34.200001,34.200001,48800
2017-01-09,34.0,34.849998,33.400002,34.650002,34.650002,47400
2017-01-10,34.599998,35.25,34.599998,34.700001,34.700001,38800
2017-01-11,34.950001,35.0,34.529999,35.0,35.0,40800
2017-01-12,34.799999,34.799999,34.25,34.5,34.5,68100
2017-01-13,34.700001,35.400002,34.700001,35.400002,35.400002,48800
2017-01-17,35.049999,35.400002,34.549999,35.049999,35.049999,86700
2017-01-18,35.0,35.549999,34.900002,35.25,35.25,77800
2017-01-19,35.450001,35.450001,35.0,35.049999,35.049999,29100
2017-01-20,35.299999,35.549999,35.200001,35.25,35.25,31700
2017-01-23,35.049999,35.400002,34.950001,35.25,35.25,27500
2017-01-24,35.400002,35.799999,35.299999,35.349998,35.349998,59000
2017-01-25,35.5,35.959998999999996,35.400002,35.799999,35.799999,48600
2017-01-26,35.75,36.400002,35.549999,36.349998,36.349998,86700
2017-01-27,36.599998,38.099998,36.599998,37.150002,37.150002,106900
2017-01-30,36.150002,36.700001,35.549999,36.349998,36.349998,102800
2017-01-31,36.25,36.450001,35.799999,36.25,36.25,167900
2017-02-01,36.5,36.700001,36.299999,36.599998,36.599998,70300
2017-02-02,36.5,37.0,36.150002,36.599998,36.599998,95800
2017-02-03,36.900002,37.549999,36.549999,37.450001,37.450001,50800
2017-02-06,37.200001,37.799999,37.099998,37.150002,37.150002,41400
2017-02-07,37.349998,37.599998,37.25,37.599998,37.599998,116500
2017-02-08,37.400002,37.549999,37.049999,37.299999,37.299999,61000
2017-02-09,37.349998,37.900002,37.349998,37.900002,37.900002,41800
2017-02-10,38.200001,38.5,37.849998,38.5,38.5,55300
2017-02-13,38.5,38.75,38.299999,38.5,38.5,91100
2017-02-14,38.5,38.75,38.299999,38.549999,38.549999,69100
2017-02-15,38.450001,38.849998,38.150002,38.799999,38.799999,36800
2017-02-16,38.849998,39.099998,38.599998,39.0,39.0,24300
2017-02-17,39.0,39.349998,38.509997999999996,39.200001,39.200001,34600
2017-02-21,39.5,39.650002,39.299999,39.549999,39.549999,55000
2017-02-22,39.5,40.279999,39.25,39.75,39.75,143700
2017-02-23,39.799999,39.849998,39.299999,39.599998,39.599998,37000
2017-02-24,39.25,39.650002,39.25,39.5,39.5,48100
2017-02-27,39.299999,39.700001,39.299999,39.450001,39.450001,35400
2017-02-28,39.450001,39.450001,38.950001,39.299999,39.299999,69100
2017-03-01,39.549999,40.299999,39.549999,40.0,40.0,84800
2017-03-02,40.0,40.0,38.0,38.299999,38.299999,54500
2017-03-03,38.099998,38.400002,37.900002,38.400002,38.400002,47300
2017-03-06,38.099998,38.200001,37.549999,38.099998,38.099998,33200
2017-03-07,38.0,38.400002,38.0,38.200001,38.200001,21400
2017-03-08,38.5,38.650002,38.0,38.049999,38.049999,29000
2017-03-09,38.200001,38.549999,37.950001,38.029999,38.029999,18900
2017-03-10,38.299999,38.299999,37.900002,38.200001,38.200001,33300
2017-03-13,38.049999,38.599998,37.900002,38.450001,38.450001,23900
2017-03-14,38.450001,39.200001,38.200001,39.0,39.0,56000
2017-03-15,39.0,39.549999,39.0,39.400002,39.400002,38000
2017-03-16,39.650002,39.650002,39.0,39.299999,39.299999,40600
2017-03-17,39.099998,40.0,38.700001,40.0,40.0,105200
2017-03-20,39.700001,40.0,38.900002,38.950001,38.950001,27900
2017-03-21,39.299999,39.349998,37.549999,37.650002,37.650002,59900
2017-03-22,37.650002,38.049999,37.400002,37.849998,37.849998,41500
2017-03-23,37.799999,38.650002,37.799999,38.299999,38.299999,17300
2017-03-24,38.700001,38.700001,37.900002,38.200001,38.200001,39800
2017-03-27,37.900002,38.849998,37.549999,38.599998,38.599998,23500
2017-03-28,38.599998,38.869999,38.299999,38.650002,38.650002,20000
2017-03-29,38.650002,38.799999,38.099998,38.099998,38.099998,16700
2017-03-30,38.200001,39.779999,38.200001,39.700001,39.700001,39900
2017-03-31,39.650002,39.75,39.299999,39.650002,39.650002,48200
2017-04-03,39.849998,40.0,39.25,39.5,39.5,26200
2017-04-04,39.450001,39.75,39.25,39.75,39.75,46100
2017-04-05,40.0,40.0,39.200001,39.5,39.5,71300
2017-04-06,39.200001,39.349998,38.5,38.75,38.75,1043200
2017-04-07,38.400002,39.200001,38.400002,38.900002,38.900002,543400
2017-04-10,38.950001,39.299999,38.799999,38.900002,38.900002,173600
2017-04-11,38.849998,39.0,38.630001,38.950001,38.950001,412400
