Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.25,4.25,3.75,4.2,4.2,144100
2017-01-04,4.25,4.25,4.0,4.1,4.1,42400
2017-01-05,4.1,4.25,4.08,4.25,4.25,56800
2017-01-06,4.15,4.22,4.15,4.15,4.15,11500
2017-01-09,4.2,4.2,4.05,4.2,4.2,23000
2017-01-10,4.16,4.2,4.13,4.16,4.16,6900
2017-01-11,4.2,4.35,4.11,4.35,4.35,147400
2017-01-12,4.35,4.35,4.05,4.1,4.1,40600
2017-01-13,4.2,4.2,4.1,4.1,4.1,32000
2017-01-17,4.25,4.35,4.15,4.25,4.25,76900
2017-01-18,4.3,4.3,4.2,4.22,4.22,10700
2017-01-19,4.25,4.8,4.25,4.7,4.7,333100
2017-01-20,4.8,5.35,4.8,5.15,5.15,336100
2017-01-23,5.2,5.29,4.76,5.1,5.1,146200
2017-01-24,5.15,5.2,4.9,5.0,5.0,59200
2017-01-25,5.0,5.0,4.8,4.9,4.9,41200
2017-01-26,4.9,4.95,4.6,4.6,4.6,46800
2017-01-27,4.6,4.85,4.6,4.7,4.7,26500
2017-01-30,5.0,6.0,5.0,5.75,5.75,923800
2017-01-31,5.8,5.8,5.4,5.45,5.45,226000
2017-02-01,5.4,5.68,5.05,5.15,5.15,196800
2017-02-02,5.2,5.3,5.05,5.05,5.05,78300
2017-02-03,5.0,5.2,5.0,5.1,5.1,28500
2017-02-06,5.1,5.1,4.9,4.9,4.9,64500
2017-02-07,4.9,5.0,4.55,4.6,4.6,91700
2017-02-08,4.7,4.87,4.6,4.85,4.85,51500
2017-02-09,4.77,5.0,4.75,4.95,4.95,53400
2017-02-10,5.0,5.0,4.75,4.8,4.8,49500
2017-02-13,4.95,4.95,4.65,4.75,4.75,53300
2017-02-14,4.7,4.73,4.45,4.6,4.6,141500
2017-02-15,4.6,4.65,4.4,4.65,4.65,89100
2017-02-16,4.6,4.88,4.6,4.8,4.8,56000
2017-02-17,4.7,4.85,4.6,4.7,4.7,32200
2017-02-21,4.65,4.9,4.6,4.85,4.85,76800
2017-02-22,4.75,5.0,4.6,4.8,4.8,71500
2017-02-23,4.7,4.8,4.67,4.8,4.8,27800
2017-02-24,4.88,4.94,4.65,4.65,4.65,31300
2017-02-27,4.9,4.9,4.65,4.75,4.75,22100
2017-02-28,4.75,4.83,4.65,4.65,4.65,35900
2017-03-01,4.75,4.8,4.65,4.75,4.75,44200
2017-03-02,4.6,4.75,4.55,4.7,4.7,60100
2017-03-03,4.6,4.7,4.6,4.65,4.65,24700
2017-03-06,4.7,4.7,4.6,4.65,4.65,37500
2017-03-07,4.8,4.8,4.45,4.47,4.47,63300
2017-03-08,4.45,4.55,4.4,4.4,4.4,52500
2017-03-09,4.45,4.55,4.35,4.45,4.45,49300
2017-03-10,4.4,4.4,4.3,4.3,4.3,70200
2017-03-13,4.45,4.45,4.15,4.4,4.4,33100
2017-03-14,4.3,4.4,4.25,4.25,4.25,22100
2017-03-15,4.35,4.35,4.15,4.2,4.2,58900
2017-03-16,4.3,4.3,4.1,4.15,4.15,28700
2017-03-17,4.2,4.3,4.1,4.2,4.2,46000
2017-03-20,4.25,4.3,4.1,4.1,4.1,70900
2017-03-21,4.1,4.17,3.9,4.0,4.0,77600
2017-03-22,3.9,4.25,3.85,4.05,4.05,66300
2017-03-23,4.15,4.2,4.1,4.13,4.13,10900
2017-03-24,4.15,4.25,4.05,4.11,4.11,23700
2017-03-27,4.15,4.7,4.15,4.6,4.6,159000
2017-03-28,4.0,4.4,3.9,4.2,4.2,201900
2017-03-29,4.1,4.3,4.1,4.2,4.2,45000
2017-03-30,4.16,4.25,4.16,4.25,4.25,47400
2017-03-31,4.15,4.3,4.15,4.3,4.3,34900
2017-04-03,4.25,4.3,4.25,4.25,4.25,33000
2017-04-04,4.1,4.3,4.1,4.25,4.25,31300
2017-04-05,4.2,4.45,4.1,4.2,4.2,186200
2017-04-06,4.1,4.25,3.95,4.0,4.0,105900
2017-04-07,4.0,4.1,3.95,3.95,3.95,87600
2017-04-10,3.9,3.98,3.85,3.85,3.85,26600
2017-04-11,3.9,4.05,3.85,3.95,3.95,40500
2017-04-12,4.05,4.1,3.9,3.93,3.93,20800
2017-04-13,3.9,4.0,3.85,3.85,3.85,52200
2017-04-17,3.9,4.0,3.9,3.9,3.9,24000
2017-04-18,3.95,4.15,3.9,4.05,4.05,23600
2017-04-19,4.0,4.1,4.0,4.05,4.05,11300
2017-04-20,4.1,4.1,3.85,4.05,4.05,38000
2017-04-21,4.0,4.1,3.95,4.1,4.1,13300
2017-04-24,4.1,4.15,4.05,4.1,4.1,20800
2017-04-25,4.1,4.2,4.0,4.0,4.0,40500
2017-04-26,4.1,4.25,4.08,4.25,4.25,39800
2017-04-27,4.5,4.5,4.2,4.25,4.25,42700
2017-04-28,4.2,4.2,4.0,4.2,4.2,11900
2017-05-01,4.15,4.16,4.1,4.15,4.15,10300
2017-05-02,4.15,4.3,4.1,4.15,4.15,15100
2017-05-03,4.15,4.2,4.05,4.05,4.05,17800
2017-05-04,4.1,4.1,3.98,4.0,4.0,33100
2017-05-05,4.0,4.08,3.95,4.05,4.05,14000
2017-05-08,4.08,4.1,4.0,4.0,4.0,10000
2017-05-09,4.05,4.1,4.0,4.0,4.0,24600
2017-05-10,4.05,4.1,4.0,4.1,4.1,17400
2017-05-11,4.08,4.15,4.0,4.05,4.05,20600
2017-05-12,4.05,4.15,4.0,4.15,4.15,35000
2017-05-15,4.15,4.15,3.9,4.0,4.0,78300
2017-05-16,4.0,4.7,3.8,4.26,4.26,745500
2017-05-17,4.0,4.15,3.85,3.9,3.9,180600
2017-05-18,3.95,3.95,3.85,3.9,3.9,38200
2017-05-19,3.85,4.02,3.75,3.85,3.85,63900
2017-05-22,3.75,3.9,3.6,3.7,3.7,127500
2017-05-23,3.75,3.8,3.65,3.65,3.65,57900
2017-05-24,3.65,3.8,3.65,3.75,3.75,62400
2017-05-25,3.75,3.8,3.65,3.75,3.75,51600
2017-05-26,3.7,3.75,3.65,3.65,3.65,45300
2017-05-30,3.65,3.7,3.6,3.65,3.65,45500
2017-05-31,3.65,3.7,3.6,3.7,3.7,29700
2017-06-01,3.75,3.85,3.69,3.7,3.7,50000
2017-06-02,3.75,3.85,3.65,3.7,3.7,19900
2017-06-05,3.75,3.8,3.7,3.75,3.75,7600
