Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,30.35,30.360001,29.35,29.65,29.65,117900
2017-01-04,30.049999,30.6,30.049999,30.25,30.25,29500
2017-01-05,30.25,30.35,29.450001,29.700001,29.700001,30900
2017-01-06,29.85,29.85,28.549999,29.25,29.25,72100
2017-01-09,29.15,29.15,28.25,28.299999,28.299999,46000
2017-01-10,28.4,29.700001,28.35,29.549999,29.549999,42100
2017-01-11,29.65,30.35,29.049999,29.200001,29.200001,62100
2017-01-12,29.1,29.370001000000002,28.4,28.9,28.9,63300
2017-01-13,29.1,29.940001000000002,28.74,29.299999,29.299999,49600
2017-01-17,28.700001,28.700001,25.799999,26.35,26.35,198700
2017-01-18,26.5,26.549999,25.65,26.1,26.1,112700
2017-01-19,26.25,26.25,25.450001,25.6,25.6,110400
2017-01-20,25.799999,26.1,25.15,25.450001,25.450001,72900
2017-01-23,25.200001,26.0,24.4,24.950001,24.950001,123600
2017-01-24,25.0,26.0,24.5,25.950001,25.950001,56300
2017-01-25,26.0,27.15,25.799999,26.200001,26.200001,61400
2017-01-26,26.35,26.4,25.15,26.15,26.15,50800
2017-01-27,26.15,27.15,25.950001,26.700001,26.700001,44700
2017-01-30,26.700001,26.700001,25.65,26.15,26.15,47400
2017-01-31,26.25,26.75,26.0,26.4,26.4,47500
2017-02-01,26.6,26.6,25.5,25.6,25.6,37200
2017-02-02,25.6,26.1,25.450001,25.549999,25.549999,26100
2017-02-03,25.799999,27.9,25.700001,26.0,26.0,42000
2017-02-06,25.75,25.75,25.049999,25.1,25.1,35700
2017-02-07,25.15,25.24,24.6,25.1,25.1,38400
2017-02-08,24.85,25.15,24.6,25.1,25.1,30700
2017-02-09,25.0,25.629998999999998,24.85,25.049999,25.049999,47700
2017-02-10,25.299999,25.299999,24.9,25.049999,25.049999,23100
2017-02-13,25.049999,25.049999,24.780001000000002,24.950001,24.950001,25900
2017-02-14,25.15,25.15,24.65,25.0,25.0,30200
2017-02-15,25.0,25.15,24.700001,25.15,25.15,21300
2017-02-16,25.15,25.5,25.15,25.35,25.35,17800
2017-02-17,25.299999,26.6,25.299999,26.5,26.5,33200
2017-02-21,26.6,27.1,25.35,25.65,25.65,43900
2017-02-22,25.1,26.200001,24.6,24.65,24.65,58200
2017-02-23,24.549999,27.25,24.549999,26.5,26.5,85200
2017-02-24,26.1,26.530001000000002,25.379998999999998,25.950001,25.950001,42700
2017-02-27,26.139999,26.950001,26.0,26.1,26.1,49700
2017-02-28,26.0,26.049999,25.15,25.200001,25.200001,53800
