Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.35,4.65,4.35,4.5,4.5,71000
2017-01-04,4.55,4.6,4.2,4.35,4.35,582500
2017-01-05,4.4,4.4,4.15,4.3,4.3,71100
2017-01-06,4.35,4.55,4.15,4.45,4.45,309600
2017-01-09,4.45,4.7,4.25,4.3,4.3,155900
2017-01-10,4.35,4.675,4.3,4.55,4.55,133800
2017-01-11,4.6,4.85,4.55,4.7,4.7,121900
2017-01-12,4.8,4.8,4.65,4.7,4.7,56000
2017-01-13,4.7,4.95,4.7,4.8,4.8,93000
2017-01-17,4.75,4.84,4.35,4.4,4.4,95400
2017-01-18,4.45,4.8,4.45,4.6,4.6,76800
2017-01-19,4.65,4.75,4.4,4.45,4.45,26500
2017-01-20,4.45,4.5,4.35,4.4,4.4,38700
2017-01-23,4.447,4.447,4.25,4.3,4.3,32600
2017-01-24,4.4,4.525,4.15,4.5,4.5,54800
2017-01-25,4.6,4.633,4.487,4.5,4.5,52200
2017-01-26,4.55,4.6,4.25,4.55,4.55,48800
2017-01-27,4.6,4.6,4.35,4.4,4.4,12700
2017-01-30,4.5,4.5,4.15,4.25,4.25,69900
2017-01-31,2.75,2.81,1.9,1.95,1.95,1674300
2017-02-01,1.95,1.975,1.8,1.9,1.9,551100
2017-02-02,1.95,1.95,1.9,1.9,1.9,205300
2017-02-03,1.9,2.0,1.85,1.9,1.9,557600
2017-02-06,1.9,1.995,1.8,1.9,1.9,291800
2017-02-07,1.9,1.9,1.65,1.65,1.65,484600
2017-02-08,1.7,1.75,1.65,1.65,1.65,145700
2017-02-09,1.65,1.9,1.65,1.9,1.9,254100
2017-02-10,1.85,1.9,1.8,1.85,1.85,95500
2017-02-13,1.9,1.9,1.8,1.85,1.85,69500
2017-02-14,1.85,1.9,1.8,1.9,1.9,133800
2017-02-15,1.9,2.1,1.86,2.0,2.0,302700
2017-02-16,2.0,2.05,1.85,1.9,1.9,161700
2017-02-17,1.9,1.9,1.8,1.9,1.9,96300
2017-02-21,1.9,1.9,1.85,1.9,1.9,58400
2017-02-22,1.85,1.85,1.75,1.85,1.85,55800
2017-02-23,1.8,1.85,1.65,1.75,1.75,160000
2017-02-24,1.75,1.75,1.65,1.675,1.675,135100
2017-02-27,1.75,1.75,1.65,1.75,1.75,72500
2017-02-28,1.65,1.75,1.65,1.7,1.7,66800
2017-03-01,1.8,2.0,1.8,1.95,1.95,404900
2017-03-02,1.95,1.95,1.9,1.9,1.9,74100
2017-03-03,1.9,1.9,1.825,1.85,1.85,38300
2017-03-06,1.9,1.9,1.8,1.8,1.8,48900
2017-03-07,1.8,1.85,1.8,1.8,1.8,95600
2017-03-08,1.85,1.85,1.7,1.7,1.7,203100
2017-03-09,1.7,1.9,1.7,1.75,1.75,167900
2017-03-10,1.95,2.05,1.8,2.0,2.0,386100
2017-03-13,2.05,2.25,2.0,2.2,2.2,309000
