Date,Open,High,Low,Close,Adj Close,Volume
2017-06-29,19.25,20.799999,18.184998999999998,19.809998999999998,19.809998999999998,2054800
2017-06-30,20.200001,22.4,19.540001,22.290001,22.290001,426100
2017-07-03,22.700001,23.5,22.51,23.33,23.33,195400
2017-07-05,23.33,23.67,22.077999,22.709999,22.709999,143300
2017-07-06,22.74,23.709999,22.01,23.32,23.32,264300
2017-07-07,23.4,25.25,22.98,25.17,25.17,112800
2017-07-10,24.959999,28.59,24.867001000000002,27.469998999999998,27.469998999999998,186300
2017-07-11,27.370001000000002,27.82,25.9,26.809998999999998,26.809998999999998,122300
2017-07-12,26.5,26.5,25.101,25.4,25.4,126200
2017-07-13,25.610001,26.252001,22.809998999999998,24.99,24.99,161000
2017-07-14,25.0,25.25,24.0,24.030001000000002,24.030001000000002,99900
2017-07-17,24.370001000000002,25.700001,23.02,23.9,23.9,108000
2017-07-18,24.17,24.75,23.566999,24.0,24.0,122800
2017-07-19,24.27,24.576,22.5,23.07,23.07,210200
2017-07-20,22.809998999999998,23.49,21.700001,22.77,22.77,150700
2017-07-21,22.950001,22.950001,21.950001,22.75,22.75,138700
2017-07-24,22.43,23.011,21.700001,22.27,22.27,156000
2017-07-25,22.1,22.969998999999998,20.26,21.33,21.33,196500
2017-07-26,21.26,21.26,20.049999,20.049999,20.049999,254700
2017-07-27,19.84,20.815001000000002,19.25,19.870001000000002,19.870001000000002,249400
2017-07-28,19.77,20.49,19.049999,19.5,19.5,274000
2017-07-31,19.41,19.802999,18.1,18.5,18.5,200900
2017-08-01,18.559998999999998,19.389999,16.98,18.27,18.27,210800
2017-08-02,18.15,18.65,17.1,18.5,18.5,127700
2017-08-03,18.57,20.200001,18.57,20.0,20.0,152400
2017-08-04,20.0,20.75,19.5,19.91,19.91,214400
2017-08-07,19.73,19.73,19.73,19.73,19.73,0
2017-08-08,19.84,19.84,19.84,19.84,19.84,0
2017-08-09,18.24,20.219998999999998,18.200001,18.6,18.6,119800
2017-08-10,18.74,18.864,17.549999,18.200001,18.200001,96200
2017-08-11,18.139999,18.393,17.92,18.25,18.25,66400
2017-08-14,18.68,21.809998999999998,18.57,21.809998999999998,21.809998999999998,272200
2017-08-15,21.57,27.18,20.51,26.610001,26.610001,205200
2017-08-16,26.41,27.5,23.299999,26.209999,26.209999,207000
2017-08-17,24.219998999999998,26.200001,24.0,25.629998999999998,25.629998999999998,89600
2017-08-18,26.139999,26.82,24.701,25.799999,25.799999,87000
2017-08-21,26.25,27.83,25.198,26.33,26.33,116300
2017-08-22,19.700001,19.700001,19.700001,19.700001,19.700001,0
2017-08-23,25.610001,26.889999,25.038,25.77,25.77,81600
2017-08-24,26.16,26.268,24.75,25.32,25.32,163500
2017-08-25,25.200001,26.348,23.5,24.889999,24.889999,126100
2017-08-28,24.77,25.299999,23.907,24.98,24.98,64100
2017-08-29,25.0,25.940001000000002,24.18,24.940001000000002,24.940001000000002,92600
2017-08-30,25.219998999999998,26.0,24.000999,24.75,24.75,95000
2017-08-31,24.5,26.009001,24.347,24.700001,24.700001,116600
2017-09-01,24.450001,25.379998999999998,23.200001,24.700001,24.700001,116700
2017-09-05,25.73,28.243999,23.917,26.040001,26.040001,193400
2017-09-06,26.24,26.879998999999998,25.299999,26.209999,26.209999,83500
2017-09-07,26.1,27.674999,25.719998999999998,26.639999,26.639999,88500
2017-09-08,26.43,27.5,26.41,26.9,26.9,72000
2017-09-11,27.639999,27.93,26.17,26.809998999999998,26.809998999999998,83100
2017-09-12,26.799999,27.42,26.41,26.74,26.74,101400
2017-09-13,26.57,27.372,25.4,26.24,26.24,119900
2017-09-14,26.5,27.469998999999998,25.5,26.5,26.5,76300
2017-09-15,26.49,27.549999,26.120001000000002,26.379998999999998,26.379998999999998,601500
2017-09-18,26.35,27.188,24.85,26.16,26.16,107800
2017-09-19,26.35,26.959999,25.17,25.83,25.83,117700
2017-09-20,26.521998999999997,26.74,25.01,25.610001,25.610001,115600
2017-09-21,25.42,26.27,25.1,25.370001000000002,25.370001000000002,82000
2017-09-22,25.629998999999998,26.0,24.0,24.540001,24.540001,257100
2017-09-25,24.4,25.299999,21.825001,22.450001,22.450001,170900
2017-09-26,23.799999,24.450001,23.190001000000002,24.07,24.07,148300
2017-09-27,24.190001000000002,24.780001000000002,23.559998999999998,24.469998999999998,24.469998999999998,126700
2017-09-28,24.67,25.0,24.040001,24.48,24.48,84400
2017-09-29,24.5,24.799999,23.91,24.280001000000002,24.280001000000002,108929
