Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.25,4.3,4.1,4.15,4.15,74400
2017-01-04,4.15,4.25,4.1,4.15,4.15,52300
2017-01-05,4.15,4.15,3.85,3.9,3.9,87100
2017-01-06,3.95,3.95,3.72,3.8,3.8,92400
2017-01-09,3.5,3.6,3.15,3.25,3.25,442200
2017-01-10,3.25,3.5,3.25,3.5,3.5,112900
2017-01-11,3.43,3.75,3.43,3.55,3.55,117600
2017-01-12,3.58,3.65,3.55,3.6,3.6,74600
2017-01-13,3.65,3.85,3.55,3.7,3.7,312800
2017-01-17,3.75,3.75,3.5,3.55,3.55,141300
2017-01-18,3.6,3.6,3.4,3.45,3.45,140800
2017-01-19,3.4,3.5,3.35,3.4,3.4,65500
2017-01-20,3.35,3.4,3.35,3.35,3.35,63900
2017-01-23,3.35,3.4,3.25,3.3,3.3,217700
2017-01-24,3.3,3.33,3.15,3.25,3.25,112000
2017-01-25,3.25,3.35,3.2,3.3,3.3,172500
2017-01-26,3.3,3.35,3.2,3.3,3.3,74600
2017-01-27,3.4,3.4,3.25,3.3,3.3,28100
2017-01-30,3.3,3.3,3.25,3.25,3.25,46100
2017-01-31,3.25,3.7,3.18,3.55,3.55,350300
2017-02-01,3.6,3.6,3.2,3.2,3.2,97600
2017-02-02,3.2,3.25,3.1,3.2,3.2,95400
2017-02-03,3.25,3.25,3.05,3.25,3.25,117800
2017-02-06,3.25,3.35,3.05,3.1,3.1,167300
2017-02-07,3.1,3.1,3.03,3.05,3.05,46300
2017-02-08,3.0,3.1,2.9,3.0,3.0,180400
2017-02-09,3.0,3.2,3.0,3.15,3.15,74500
2017-02-10,3.15,3.3,3.15,3.3,3.3,68100
2017-02-13,3.3,3.3,3.15,3.25,3.25,79300
2017-02-14,3.25,3.25,3.05,3.15,3.15,127500
2017-02-15,3.15,3.15,3.05,3.15,3.15,44700
2017-02-16,3.1,3.3,3.03,3.25,3.25,97700
2017-02-17,3.25,3.4,3.12,3.35,3.35,169200
