Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,29.049999,29.65,28.6,29.25,29.25,328900
2017-01-04,29.4,30.299999,29.049999,30.200001,30.200001,396700
2017-01-05,30.0,30.4,28.9,28.9,28.9,288900
2017-01-06,29.049999,29.35,28.25,28.299999,28.299999,174200
2017-01-09,28.25,28.950001,27.799999,28.85,28.85,335100
2017-01-10,29.0,29.85,27.950001,29.799999,29.799999,456300
2017-01-11,29.799999,30.200001,29.1,30.1,30.1,265900
2017-01-12,29.950001,30.450001,29.450001,30.299999,30.299999,417700
2017-01-13,30.35,30.799999,30.35,30.65,30.65,284100
2017-01-17,30.5,30.9,30.0,30.6,30.6,358700
2017-01-18,30.6,30.950001,30.35,30.9,30.9,328400
2017-01-19,31.0,31.35,30.299999,30.450001,30.450001,306300
2017-01-20,30.35,30.9,30.049999,30.85,30.85,308600
2017-01-23,30.700001,31.25,30.65,31.0,31.0,294200
2017-01-24,31.15,31.18,30.65,30.950001,30.950001,192300
2017-01-25,31.049999,31.4,30.799999,30.9,30.9,184000
2017-01-26,30.950001,31.5,30.65,30.700001,30.700001,148700
2017-01-27,30.799999,31.15,29.85,30.5,30.5,278600
2017-01-30,30.25,30.25,29.4,29.75,29.75,316600
2017-01-31,29.700001,31.049999,29.700001,30.950001,30.950001,298100
2017-02-01,31.15,31.84,31.1,31.799999,31.799999,309600
2017-02-02,31.700001,31.700001,31.0,31.4,31.4,120000
2017-02-03,31.6,32.200001,31.6,32.200001,32.200001,169500
2017-02-06,32.099998,32.799999,32.099998,32.799999,32.799999,234500
2017-02-07,32.849998,33.0,32.400002,32.900002,32.900002,271300
2017-02-08,32.700001,33.200001,32.25,32.950001,32.950001,475900
2017-02-09,33.0,33.650002,32.849998,33.200001,33.200001,241600
2017-02-10,33.299999,33.779999,32.950001,33.0,33.0,123200
2017-02-13,33.200001,33.799999,33.150002,33.400002,33.400002,155700
2017-02-14,33.299999,33.75,32.900002,33.5,33.5,294400
2017-02-15,33.450001,34.049999,33.349998,33.950001,33.950001,257900
2017-02-16,33.900002,34.0,33.450001,33.700001,33.700001,266300
2017-02-17,33.599998,33.900002,33.200001,33.849998,33.849998,147400
2017-02-21,33.900002,34.299999,33.599998,33.849998,33.849998,231700
2017-02-22,33.799999,34.650002,33.349998,34.5,34.5,713200
2017-02-23,34.75,34.799999,34.049999,34.549999,34.549999,477400
2017-02-24,31.299999,35.919998,31.299999,35.150002,35.150002,729900
2017-02-27,34.799999,35.400002,33.099998,35.049999,35.049999,1193400
2017-02-28,35.0,35.0,33.049999,33.299999,33.299999,923400
2017-03-01,33.700001,33.700001,32.099998,32.169998,32.169998,772800
2017-03-02,32.150002,32.400002,31.65,32.400002,32.400002,731500
2017-03-03,32.200001,32.849998,31.85,32.099998,32.099998,482600
2017-03-06,32.0,32.0,31.15,31.799999,31.799999,481900
2017-03-07,31.65,31.83,31.1,31.25,31.25,292300
2017-03-08,31.25,31.75,30.950001,31.200001,31.200001,326700
2017-03-09,31.049999,31.4,30.799999,30.950001,30.950001,235300
2017-03-10,31.049999,31.450001,30.9,31.200001,31.200001,392100
