Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.49,7.53,7.44,7.52,7.52,6100
2017-01-04,7.53,7.53,7.39,7.39,7.39,1100
2017-01-05,7.39,7.39,7.39,7.39,7.39,0
2017-01-06,7.35,7.41,7.25,7.39,7.39,15100
2017-01-09,7.4,7.4,7.24,7.25,7.25,1600
2017-01-10,7.36,7.36,7.36,7.36,7.36,300
2017-01-11,7.31,7.45,7.21,7.45,7.45,4500
2017-01-12,7.29,7.5,7.27,7.5,7.5,11600
2017-01-13,7.3,7.5,7.27,7.49,7.49,4600
2017-01-17,7.39,7.44,7.38,7.38,7.38,800
2017-01-18,7.39,7.39,7.39,7.39,7.39,200
2017-01-19,7.39,7.39,7.39,7.39,7.39,0
2017-01-20,7.32,7.32,7.31,7.31,7.31,600
2017-01-23,7.31,7.34,7.3,7.34,7.34,3700
2017-01-24,7.3,7.34,7.3,7.3,7.3,1500
2017-01-25,7.3,7.31,7.2,7.2,7.2,2900
2017-01-26,7.09,7.25,6.93,7.17,7.17,6700
2017-01-27,7.1,7.17,7.03,7.03,7.03,696600
2017-01-30,7.14,7.14,6.77,6.82,6.82,16800
2017-01-31,6.77,7.09,6.7,7.0,7.0,39500
2017-02-01,7.0,7.2,6.96,6.96,6.96,23500
2017-02-02,7.0,7.05,6.86,6.89,6.89,5900
2017-02-03,6.66,6.8,6.65,6.69,6.69,12600
2017-02-06,6.6,6.73,6.35,6.63,6.63,76600
2017-02-07,6.77,6.77,6.51,6.65,6.65,24100
2017-02-08,6.6,6.97,6.51,6.58,6.58,16800
2017-02-09,6.52,6.75,6.52,6.73,6.73,8200
2017-02-10,6.73,6.73,6.33,6.72,6.72,14500
2017-02-13,6.62,6.62,6.52,6.57,6.57,1900
2017-02-14,6.54,6.7,6.54,6.64,6.64,12200
2017-02-15,6.59,6.67,6.59,6.66,6.66,1000
2017-02-16,6.61,6.61,6.26,6.45,6.45,14300
2017-02-17,6.45,6.5,6.43,6.5,6.5,2900
2017-02-21,6.45,6.63,6.39,6.61,6.61,6100
2017-02-22,6.62,7.0,6.46,6.93,6.93,37300
2017-02-23,6.75,6.98,6.7,6.7,6.7,78000
2017-02-24,6.74,7.14,6.71,6.92,6.92,130300
2017-02-27,6.93,7.04,6.9,7.01,7.01,21900
2017-02-28,6.71,7.04,6.68,6.94,6.94,10100
2017-03-01,7.0,7.11,6.85,7.0,7.0,26000
2017-03-02,7.0,7.11,6.81,7.02,7.02,19900
2017-03-03,7.0,7.12,6.5,6.55,6.55,410700
2017-03-06,6.69,6.83,6.48,6.54,6.54,228000
2017-03-07,6.65,6.92,6.46,6.57,6.57,204100
2017-03-08,6.66,7.12,6.61,7.01,7.01,107000
2017-03-09,7.05,7.05,6.76,6.92,6.92,22000
2017-03-10,6.88,7.12,6.71,7.07,7.07,19600
2017-03-13,7.0,7.12,7.0,7.06,7.06,15400
2017-03-14,7.03,7.14,6.9,7.12,7.12,67700
2017-03-15,7.05,7.13,6.98,7.06,7.06,59500
2017-03-16,7.09,7.5,7.07,7.37,7.37,40100
2017-03-17,7.43,7.46,7.19,7.27,7.27,85500
2017-03-20,7.32,7.68,7.2,7.65,7.65,70700
2017-03-21,7.7,7.87,7.54,7.73,7.73,15600
2017-03-22,7.71,7.98,7.52,7.79,7.79,88700
2017-03-23,7.56,7.78,7.55,7.68,7.68,23900
2017-03-24,7.67,7.69,7.48,7.62,7.62,2600
2017-03-27,7.53,7.63,7.3,7.54,7.54,22300
2017-03-28,7.48,7.8,7.38,7.69,7.69,55800
2017-03-29,7.61,7.61,7.27,7.34,7.34,16800
2017-03-30,7.34,7.54,7.26,7.35,7.35,14700
2017-03-31,7.41,7.55,7.38,7.45,7.45,10100
2017-04-03,7.4,7.58,7.4,7.44,7.44,12300
2017-04-04,7.25,7.32,7.14,7.17,7.17,6200
2017-04-05,7.31,7.31,6.99,7.02,7.02,22400
2017-04-06,7.1,7.1,7.03,7.05,7.05,1500
2017-04-07,6.94,7.22,6.93,7.09,7.09,5800
2017-04-10,7.02,7.25,7.02,7.24,7.24,3400
2017-04-11,7.19,7.38,7.04,7.29,7.29,5500
2017-04-12,7.08,7.27,7.04,7.21,7.21,2000
2017-04-13,6.96,7.33,6.96,7.32,7.32,389600
2017-04-17,7.41,7.5,7.35,7.5,7.5,5100
