Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,14.5,14.75,14.25,14.6,14.6,582100
2017-01-04,14.7,14.9,14.35,14.75,14.75,666700
2017-01-05,14.4,14.75,14.35,14.6,14.6,426000
2017-01-06,14.7,14.7,14.35,14.5,14.5,478100
2017-01-09,14.5,14.6,14.35,14.45,14.45,327900
2017-01-10,14.4,14.9,14.35,14.8,14.8,289100
2017-01-11,14.8,14.95,14.63,14.95,14.95,254600
2017-01-12,14.85,15.53,14.6,15.4,15.4,855000
2017-01-13,15.5,15.54,14.95,15.2,15.2,331600
2017-01-17,15.05,15.15,14.75,14.95,14.95,619500
2017-01-18,15.05,15.65,14.95,15.45,15.45,840200
2017-01-19,15.4,15.9,15.2,15.65,15.65,806600
2017-01-20,15.7,16.15,15.43,15.75,15.75,843600
2017-01-23,15.75,16.549999,15.7,16.450001,16.450001,1064200
2017-01-24,16.6,16.700001,16.02,16.5,16.5,936000
2017-01-25,16.549999,16.700001,16.23,16.4,16.4,797400
2017-01-26,16.200001,16.65,14.95,16.200001,16.200001,2115400
2017-01-27,16.15,16.27,15.65,16.049999,16.049999,634300
2017-01-30,15.95,16.1,15.75,15.8,15.8,801500
2017-01-31,15.65,15.95,15.6,15.85,15.85,507000
2017-02-01,16.0,16.4,15.65,15.7,15.7,439100
2017-02-02,15.5,15.95,15.33,15.8,15.8,613200
2017-02-03,16.0,16.02,15.75,15.85,15.85,435500
2017-02-06,15.75,15.95,15.33,15.45,15.45,533500
2017-02-07,15.5,15.75,15.2,15.6,15.6,656600
2017-02-08,15.5,15.65,15.1,15.3,15.3,844700
2017-02-09,15.35,15.75,15.2,15.7,15.7,657700
2017-02-10,15.8,15.8,15.45,15.6,15.6,805400
2017-02-13,15.65,15.7,15.05,15.15,15.15,525800
2017-02-14,15.05,15.1,14.9,15.0,15.0,635400
2017-02-15,14.9,15.2,14.66,14.85,14.85,1992700
2017-02-16,14.8,14.93,14.35,14.5,14.5,1132800
2017-02-17,14.5,15.0,14.45,15.0,15.0,678500
2017-02-21,14.95,15.15,14.65,14.75,14.75,458800
