Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.38,3.38,3.32,3.36,3.36,9800
2017-01-04,3.42,3.42,3.36,3.41,3.41,1800
2017-01-05,3.42,3.46,3.42,3.46,3.46,1200
2017-01-06,3.48,3.74,3.4,3.41,3.41,17700
2017-01-09,3.38,3.41,3.32,3.33,3.33,7100
2017-01-10,3.3,3.39,3.3,3.37,3.37,6300
2017-01-11,3.32,3.35,3.32,3.35,3.35,1700
2017-01-12,3.33,3.33,3.31,3.31,3.31,1100
2017-01-13,3.3,3.4,3.3,3.31,3.31,13600
2017-01-17,3.28,3.4,3.28,3.33,3.33,5300
2017-01-18,3.33,3.33,3.33,3.33,3.33,200
2017-01-19,3.28,3.37,3.28,3.37,3.37,14000
2017-01-20,3.32,3.32,3.32,3.32,3.32,100
2017-01-23,3.25,3.28,3.21,3.23,3.23,6300
2017-01-24,3.23,3.49,3.23,3.49,3.49,900
2017-01-25,3.34,3.35,3.24,3.33,3.33,14600
2017-01-26,3.3,3.31,3.22,3.28,3.28,5500
2017-01-27,3.36,3.36,3.36,3.36,3.36,100
2017-01-30,3.39,3.5,3.36,3.49,3.49,30600
2017-01-31,3.53,3.72,3.45,3.48,3.48,13100
2017-02-01,3.46,3.49,3.46,3.46,3.46,900
2017-02-02,3.49,3.67,3.49,3.49,3.49,3700
2017-02-03,3.55,3.61,3.53,3.53,3.53,3300
2017-02-06,3.57,3.57,3.47,3.56,3.56,1100
2017-02-07,3.51,3.6,3.51,3.58,3.58,2300
2017-02-08,3.54,3.54,3.54,3.54,3.54,200
2017-02-09,3.57,3.6,3.57,3.6,3.6,600
2017-02-10,3.45,3.59,3.45,3.59,3.59,400
2017-02-13,3.52,3.54,3.5,3.54,3.54,2600
2017-02-14,3.54,3.54,3.54,3.54,3.54,0
2017-02-15,3.39,3.44,3.38,3.41,3.41,3200
2017-02-16,3.34,3.38,3.34,3.38,3.38,600
2017-02-17,3.33,3.39,3.33,3.39,3.39,200
2017-02-21,3.3,3.4,3.3,3.4,3.4,1600
2017-02-22,3.29,3.38,3.29,3.3,3.3,4900
2017-02-23,3.27,3.4,3.27,3.4,3.4,1600
2017-02-24,3.33,3.47,3.05,3.28,3.28,9600
2017-02-27,3.36,3.44,3.36,3.37,3.37,3300
2017-02-28,3.4,3.46,3.13,3.45,3.45,19700
