Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2.49,2.8,2.43,2.77,2.77,598700
2017-01-04,2.77,2.78,2.58,2.65,2.65,216600
2017-01-05,2.65,2.89,2.52,2.79,2.79,412100
2017-01-06,2.8,2.8,2.51,2.52,2.52,201300
2017-01-09,2.61,2.66,2.55,2.61,2.61,180900
2017-01-10,2.63,2.63,1.99,2.33,2.33,478300
2017-01-11,2.35,2.45,2.31,2.41,2.41,44900
2017-01-12,2.42,2.45,2.31,2.32,2.32,57200
2017-01-13,2.28,2.39,2.02,2.36,2.36,144300
2017-01-17,2.23,2.3,2.05,2.22,2.22,186600
2017-01-18,2.25,2.43,2.22,2.33,2.33,87000
2017-01-19,2.35,2.4,2.29,2.32,2.32,36900
2017-01-20,2.21,2.39,2.16,2.33,2.33,29200
2017-01-23,2.24,2.37,2.16,2.16,2.16,118300
2017-01-24,2.2,2.5,2.17,2.41,2.41,245200
2017-01-25,2.44,2.74,2.42,2.67,2.67,465300
2017-01-26,2.71,2.95,2.7,2.92,2.92,359600
2017-01-27,2.9,2.96,2.72,2.88,2.88,225600
2017-01-30,2.82,2.85,2.65,2.75,2.75,117000
2017-01-31,2.77,2.8,2.67,2.78,2.78,106700
2017-02-01,2.76,2.85,2.66,2.74,2.74,119000
2017-02-02,2.76,2.78,2.68,2.71,2.71,68400
2017-02-03,2.74,2.78,2.68,2.69,2.69,103700
2017-02-06,2.68,2.73,2.65,2.68,2.68,74000
2017-02-07,2.71,2.75,2.67,2.67,2.67,83400
2017-02-08,2.66,2.72,2.66,2.67,2.67,103200
2017-02-09,2.71,3.1,2.67,2.89,2.89,655900
2017-02-10,2.97,3.07,2.75,2.81,2.81,375900
2017-02-13,2.89,2.99,2.82,2.87,2.87,178300
2017-02-14,2.85,2.95,2.79,2.89,2.89,90600
2017-02-15,2.92,2.92,2.82,2.83,2.83,79200
2017-02-16,2.81,2.81,2.53,2.65,2.65,151100
2017-02-17,2.59,2.61,2.5,2.55,2.55,165200
2017-02-21,2.55,2.55,2.36,2.42,2.42,177200
2017-02-22,2.4,2.46,2.35,2.42,2.42,84900
2017-02-23,2.43,2.44,2.25,2.34,2.34,115300
2017-02-24,2.26,2.29,2.07,2.18,2.18,170400
2017-02-27,2.25,2.44,2.25,2.38,2.38,124700
