Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.25,7.25,7.06,7.2,7.2,75500
2017-01-04,7.3,7.4,7.21,7.3,7.3,44400
2017-01-05,7.35,7.44,7.3,7.35,7.35,8900
2017-01-06,7.45,7.45,7.35,7.43,7.43,5700
2017-01-09,7.36,7.4,7.3,7.35,7.35,16400
2017-01-10,7.3,7.31,7.2,7.2,7.2,25200
2017-01-11,7.2,7.35,7.15,7.2,7.2,3500
2017-01-12,7.3,7.3,7.15,7.2,7.2,7800
2017-01-13,7.1,7.25,7.01,7.25,7.25,14200
2017-01-17,7.25,7.25,7.0,7.15,7.15,20200
2017-01-18,7.1,7.3,7.1,7.2,7.2,15600
2017-01-19,7.3,7.35,7.28,7.3,7.3,17300
2017-01-20,7.26,7.42,7.25,7.4,7.4,5700
2017-01-23,7.39,7.4,7.35,7.4,7.4,4900
2017-01-24,7.4,7.45,7.3,7.45,7.45,11100
2017-01-25,7.45,7.5,7.4,7.45,7.45,18200
2017-01-26,7.45,7.6,7.08,7.55,7.55,39800
2017-01-27,7.55,7.65,7.35,7.4,7.4,21300
2017-01-30,7.45,7.55,7.25,7.5,7.5,8800
2017-01-31,7.55,7.55,7.35,7.5,7.5,16600
2017-02-01,7.5,7.5,7.3,7.5,7.5,22200
2017-02-02,7.45,7.56,7.4,7.55,7.55,23300
2017-02-03,7.65,7.7,7.58,7.6,7.6,25100
2017-02-06,7.7,7.75,7.67,7.75,7.75,19700
2017-02-07,7.8,7.85,7.75,7.85,7.85,53900
2017-02-08,7.75,7.8,7.65,7.8,7.8,182500
2017-02-09,7.8,7.95,7.7,7.8,7.8,66800
2017-02-10,7.85,8.1,7.83,8.1,8.1,20100
2017-02-13,8.2,8.2,8.0,8.1,8.1,39900
2017-02-14,8.15,8.15,8.06,8.1,8.1,28800
2017-02-15,8.15,8.15,8.0,8.05,8.05,23300
2017-02-16,8.05,8.05,7.85,7.85,7.85,13600
2017-02-17,7.9,8.0,7.9,8.0,8.0,15600
2017-02-21,7.95,8.03,7.8,8.0,8.0,20500
2017-02-22,8.05,8.05,7.95,8.0,8.0,31800
2017-02-23,8.0,8.0,7.92,8.0,8.0,8500
2017-02-24,8.0,8.0,7.9,8.0,8.0,7600
2017-02-27,8.05,8.05,7.95,8.05,8.05,15300
2017-02-28,8.05,8.05,7.71,7.95,7.95,27100
2017-03-01,8.05,8.05,7.95,8.0,8.0,19800
2017-03-02,8.05,8.05,7.85,7.95,7.95,18500
2017-03-03,7.9,8.0,7.78,7.98,7.98,27700
2017-03-06,7.95,8.1,7.9,8.1,8.1,56300
2017-03-07,8.05,8.1,8.0,8.05,8.05,16200
2017-03-08,8.05,8.2,7.98,8.1,8.1,36800
2017-03-09,8.15,8.25,8.02,8.05,8.05,81500
2017-03-10,8.15,8.2,8.1,8.15,8.15,38400
2017-03-13,8.2,8.25,8.1,8.15,8.15,30700
2017-03-14,8.2,8.2,8.05,8.05,8.05,47200
2017-03-15,8.15,8.2,8.05,8.05,8.05,24700
2017-03-16,8.08,8.1,8.0,8.1,8.1,17200
2017-03-17,8.13,8.5,8.13,8.45,8.45,369500
2017-03-20,8.4,8.4,8.1,8.1,8.1,28400
2017-03-21,8.2,8.2,7.9,8.1,8.1,57100
2017-03-22,8.1,8.15,8.0,8.0,8.0,28000
2017-03-23,8.05,8.1,7.95,8.1,8.1,28200
2017-03-24,8.05,8.2,7.95,8.1,8.1,22300
2017-03-27,7.85,8.2,7.85,8.15,8.15,43700
2017-03-28,8.2,8.2,7.82,8.0,8.0,53900
2017-03-29,7.95,8.25,7.95,8.1,8.1,115000
2017-03-30,8.15,8.2,7.95,7.95,7.95,101100
2017-03-31,8.0,8.07,7.71,8.0,8.0,48200
2017-04-03,8.1,8.1,7.8,7.95,7.95,24000
