Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,13.94,14.14,13.94,14.03,13.063251,19000
2017-01-04,14.3,14.45,14.28,14.37,13.379824,8100
2017-01-05,14.39,14.56,14.39,14.51,13.510178,10900
2017-01-06,14.35,14.42,14.25,14.36,13.370512,15600
2017-01-09,14.55,14.57,14.41,14.41,13.417067000000001,15600
2017-01-10,14.65,14.65,14.43,14.47,13.472934,100000
2017-01-11,14.65,14.73,14.25,14.72,13.705707,36900
2017-01-12,15.05,15.13,14.97,15.05,14.012967999999999,6200
2017-01-13,14.89,14.96,14.74,14.83,13.808126999999999,81700
2017-01-17,15.19,15.19,14.76,15.06,14.022279000000001,19000
2017-01-18,14.93,15.07,14.77,14.84,13.817438000000001,38400
2017-01-19,14.98,15.01,14.81,14.93,13.901235999999999,12700
2017-01-20,15.02,15.19,14.97,15.19,14.143320999999998,15000
2017-01-23,15.25,15.75,15.25,15.62,14.543692000000002,59800
2017-01-24,15.79,15.86,15.58,15.67,14.590245999999999,38500
2017-01-25,15.72,15.87,15.69,15.74,14.655422,19600
2017-01-26,15.97,15.97,15.51,15.8,14.711288,139100
2017-01-27,15.75,15.91,15.75,15.83,14.739220999999999,55200
2017-01-30,15.83,15.83,15.45,15.52,14.450582999999998,92600
2017-01-31,15.79,15.79,15.45,15.52,14.450582999999998,17200
2017-02-01,15.84,15.84,15.55,15.77,14.683356,33200
2017-02-02,15.9,15.96,15.79,15.95,14.850952,165500
2017-02-03,16.0,16.110001,15.84,15.92,14.823020000000001,143300
2017-02-06,15.88,15.88,15.59,15.63,14.553003,17900
2017-02-07,15.75,15.79,15.57,15.63,14.553003,27400
2017-02-08,15.68,15.9,15.64,15.77,14.683356,7300
2017-02-09,15.83,15.84,15.73,15.79,14.701978,5800
2017-02-10,15.94,16.299999,15.94,16.25,15.130279999999999,37300
2017-02-13,16.459999,16.48,16.309998999999998,16.35,15.223391000000001,23900
2017-02-14,16.48,16.530001000000002,16.120001000000002,16.440001000000002,15.307188,18600
2017-02-15,16.530001000000002,16.950001,16.530001000000002,16.870001000000002,15.707560999999998,51000
2017-02-16,17.0,17.02,16.610001,16.65,15.502718,80800
2017-02-17,16.540001,16.709999,16.48,16.629998999999998,15.484096,136500
2017-02-21,16.9,17.059998999999998,16.9,17.059998999999998,15.884464999999999,18900
2017-02-22,17.07,17.07,16.870001000000002,16.99,15.819289000000001,16500
2017-02-23,17.07,17.26,16.639999,16.66,15.512029,25000
2017-02-24,16.440001000000002,16.49,16.18,16.32,15.195457000000001,104000
2017-02-27,16.4,16.49,16.33,16.48,15.344432000000001,16600
2017-02-28,16.51,16.51,16.129998999999998,16.129998999999998,15.018548000000001,12100
2017-03-01,16.549999,16.690001000000002,16.32,16.610001,15.465476,205500
2017-03-02,16.469998999999998,16.469998999999998,16.059998999999998,16.059998999999998,14.953373000000001,22200
2017-03-03,16.200001,16.559998999999998,16.16,16.450001,15.316498999999999,14700
2017-03-06,16.42,16.57,16.299999,16.309998999999998,15.186145000000002,22300
2017-03-07,16.469998999999998,16.52,16.290001,16.290001,15.167525,15000
2017-03-08,16.16,16.16,15.67,15.68,14.599557999999998,54900
2017-03-09,15.73,15.77,15.39,15.45,14.385406,11700
2017-03-10,15.76,15.76,15.56,15.74,14.655422,18100
2017-03-13,15.69,15.99,15.69,15.99,14.888197,7900
2017-03-14,15.88,15.93,15.65,15.78,14.692666000000001,44500
2017-03-15,15.7,16.370001000000002,15.55,16.24,15.120970000000002,20900
2017-03-16,16.299999,16.370001000000002,16.16,16.190001000000002,15.074416000000001,8700
2017-03-17,16.25,16.25,15.86,16.049999,14.944060999999998,30100
2017-03-20,15.93,16.23,15.93,16.209999,15.093035999999998,45300
2017-03-21,16.0,16.059998999999998,15.56,15.6,14.525069,48200
2017-03-22,15.47,15.72,15.42,15.67,14.590245999999999,15000
2017-03-23,15.4,15.57,15.27,15.42,14.439484,34500
2017-03-24,15.42,15.6,15.42,15.6,14.608039000000002,17100
2017-03-27,15.41,15.56,15.28,15.56,14.570580999999999,19900
2017-03-28,15.39,15.55,15.36,15.53,14.542489000000002,9000
2017-03-29,15.45,15.78,15.45,15.78,14.776592,11000
2017-03-30,15.59,15.71,15.46,15.46,14.476941,7900
2017-03-31,15.43,15.75,15.33,15.65,14.654859,22200
2017-04-03,15.75,15.82,15.59,15.8,14.795321,28100
2017-04-04,15.66,15.95,15.61,15.9,14.888962,5800
2017-04-05,16.049999,16.129998999999998,15.65,15.67,14.673587,71500
2017-04-06,15.57,15.61,15.3,15.3,14.327115,9200
2017-04-07,15.24,15.5,15.23,15.31,14.336479,6000
2017-04-10,15.3,15.32,15.19,15.32,14.345842000000001,5400
2017-04-11,15.23,15.42,15.06,15.42,14.439484,31100
2017-04-12,15.19,15.25,15.07,15.19,14.224109,16100
2017-04-13,15.07,15.23,14.83,14.83,13.887,12100
2017-04-17,15.19,15.36,15.16,15.31,14.336479,175500
2017-04-18,15.17,15.39,15.16,15.18,14.214746,16000
2017-04-19,15.15,15.17,14.92,14.95,13.99937,8800
2017-04-20,14.86,15.08,14.84,14.92,13.971278,47800
2017-04-21,14.92,14.96,14.82,14.83,13.887,27500
2017-04-24,15.17,15.26,15.07,15.14,14.177288,6800
2017-04-25,14.99,15.22,14.91,15.16,14.196017000000001,76400
2017-04-26,14.99,15.16,14.85,15.05,14.093012,21800
2017-04-27,15.1,15.1,14.88,14.97,14.018098,11900
2017-04-28,14.85,15.27,14.85,15.15,14.186651999999999,20300
2017-05-01,15.23,15.4,15.23,15.35,14.373935999999999,11300
2017-05-02,15.41,15.75,15.41,15.71,14.711043,36000
2017-05-03,15.73,15.73,15.47,15.61,14.617401999999998,55300
2017-05-04,15.41,15.41,15.0,15.09,14.130467000000001,32000
2017-05-05,15.36,15.43,15.31,15.36,14.383299,70600
2017-05-08,15.17,15.29,15.05,15.05,14.093012,7900
2017-05-09,15.27,15.49,15.27,15.49,14.505033,6000
2017-05-10,15.85,15.86,15.68,15.68,14.682951999999998,40600
2017-05-11,15.78,15.89,15.76,15.83,14.823413,45600
2017-05-12,16.040001,16.209999,16.040001,16.110001,15.085609,15800
2017-05-15,16.309998999999998,16.35,16.23,16.290001,15.254164000000001,28300
2017-05-16,16.35,16.49,16.32,16.49,15.441446,16900
2017-05-17,16.24,16.33,15.94,15.94,14.926418,26500
2017-05-18,13.91,14.4,12.96,13.36,12.510473,153600
2017-05-19,14.22,14.48,13.98,14.48,13.559256,474300
2017-05-22,14.1,14.23,13.81,14.01,13.119143,150600
2017-05-23,14.16,14.46,14.16,14.45,13.531164000000002,33400
2017-05-24,14.51,14.71,14.38,14.38,13.465614000000002,20800
2017-05-25,14.61,14.61,14.35,14.52,13.596713000000001,18800
2017-05-26,14.76,14.82,14.7,14.76,13.821451999999999,25400
2017-05-30,14.86,14.88,14.73,14.85,13.905728,23200
2017-05-31,14.83,14.83,14.63,14.65,13.718445999999998,21100
2017-06-01,14.84,14.85,14.38,14.38,13.465614000000002,74600
2017-06-02,14.5,14.54,14.36,14.45,13.531164000000002,11300
2017-06-05,14.33,14.43,14.28,14.31,13.400066,10700
2017-06-06,14.42,14.51,14.3,14.51,13.587349,9700
2017-06-07,14.51,14.56,14.34,14.46,13.540528,2332000
2017-06-08,14.33,14.37,14.16,14.34,13.428158999999999,179600
2017-06-09,14.39,14.39,14.01,14.05,13.156599,10115500
2017-06-12,14.03,14.12,13.83,13.98,13.091049,337100
2017-06-13,13.88,14.04,13.82,14.0,13.109778,368100
2017-06-14,14.14,14.23,14.0,14.12,13.222147,80400
2017-06-15,14.02,14.02,13.86,14.0,13.109778,127000
