Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,30.1,30.200001,29.299999,29.450001,29.450001,291900
2017-01-04,29.700001,29.950001,28.75,29.15,29.15,516300
2017-01-05,29.049999,29.35,28.65,29.049999,29.049999,195400
2017-01-06,29.0,29.0,27.9,28.0,28.0,323600
2017-01-09,27.9,28.35,27.65,27.799999,27.799999,160500
2017-01-10,27.9,28.049999,27.700001,28.0,28.0,224100
2017-01-11,28.049999,28.200001,27.6,28.0,28.0,190400
2017-01-12,27.9,27.950001,27.530001000000002,27.9,27.9,176300
2017-01-13,27.85,28.15,27.549999,27.65,27.65,142300
2017-01-17,27.549999,27.65,26.85,26.950001,26.950001,294400
2017-01-18,27.0,27.450001,26.780001000000002,26.9,26.9,193500
2017-01-19,26.85,27.15,26.6,27.0,27.0,252400
2017-01-20,27.0,27.25,26.65,27.0,27.0,260100
2017-01-23,27.0,27.0,26.5,26.6,26.6,156300
2017-01-24,26.65,27.0,26.450001,26.75,26.75,120100
2017-01-25,26.85,27.4,26.25,26.4,26.4,326900
2017-01-26,26.299999,26.65,26.299999,26.4,26.4,193600
2017-01-27,26.35,26.4,25.700001,25.9,25.9,214300
2017-01-30,25.799999,26.5,25.549999,26.200001,26.200001,211700
2017-01-31,26.15,26.65,26.049999,26.299999,26.299999,158300
2017-02-01,26.4,27.030001000000002,26.15,26.35,26.35,228500
2017-02-02,26.35,26.9,26.299999,26.75,26.75,176600
2017-02-03,26.9,27.1,26.549999,27.0,27.0,179400
2017-02-06,27.0,27.200001,26.9,27.15,27.15,193300
2017-02-07,27.1,27.4,26.98,27.0,27.0,172300
2017-02-08,26.85,27.549999,26.440001000000002,27.450001,27.450001,332300
2017-02-09,27.5,28.549999,27.5,28.450001,28.450001,347800
2017-02-10,28.6,28.85,27.9,28.700001,28.700001,249000
2017-02-13,28.799999,28.799999,28.049999,28.15,28.15,249400
2017-02-14,28.1,28.6,28.049999,28.450001,28.450001,192600
2017-02-15,28.299999,28.549999,27.85,28.4,28.4,164800
2017-02-16,28.299999,28.780001000000002,28.15,28.4,28.4,145900
2017-02-17,28.35,28.6,27.950001,28.0,28.0,170800
2017-02-21,27.950001,28.6,27.950001,28.5,28.5,161600
2017-02-22,28.35,28.35,27.5,27.65,27.65,183100
2017-02-23,27.5,27.5,26.75,26.950001,26.950001,319200
2017-02-24,26.700001,26.85,26.1,26.35,26.35,465400
2017-02-27,26.299999,26.35,25.6,25.950001,25.950001,891000
2017-02-28,20.9,21.5,19.4,19.85,19.85,3878900
2017-03-01,19.9,20.950001,19.75,20.85,20.85,1302300
2017-03-02,20.9,21.0,20.35,20.450001,20.450001,747800
2017-03-03,20.4,20.4,19.68,19.799999,19.799999,546800
2017-03-06,20.700001,20.950001,20.48,20.75,20.75,1105100
2017-03-07,20.6,21.35,20.6,20.9,20.9,682100
2017-03-08,21.049999,21.1,20.5,20.799999,20.799999,629600
2017-03-09,20.85,21.6,20.700001,21.299999,21.299999,607200
2017-03-10,21.4,21.9,21.200001,21.700001,21.700001,462100
2017-03-13,21.700001,21.83,21.450001,21.65,21.65,350100
2017-03-14,21.6,21.950001,21.35,21.6,21.6,361500
2017-03-15,21.65,22.0,21.4,21.799999,21.799999,729400
2017-03-16,22.0,22.35,21.9,22.049999,22.049999,374200
2017-03-17,22.1,22.700001,22.1,22.6,22.6,792900
2017-03-20,22.6,22.6,21.700001,22.15,22.15,584800
2017-03-21,22.25,22.5,21.950001,22.15,22.15,544100
2017-03-22,22.1,22.450001,21.85,22.25,22.25,343600
2017-03-23,22.200001,22.700001,21.9,22.35,22.35,314300
2017-03-24,22.450001,22.85,22.25,22.6,22.6,392000
2017-03-27,22.35,22.950001,22.25,22.85,22.85,253800
2017-03-28,22.799999,23.549999,22.65,23.5,23.5,224400
2017-03-29,23.6,23.9,23.4,23.799999,23.799999,313500
2017-03-30,23.85,24.049999,23.65,23.950001,23.950001,315800
2017-03-31,23.950001,24.4,23.75,24.200001,24.200001,485400
2017-04-03,24.200001,24.5,23.549999,23.6,23.6,898900
2017-04-04,23.5,23.65,23.200001,23.4,23.4,308700
2017-04-05,23.6,23.85,23.25,23.5,23.5,362400
2017-04-06,23.549999,24.200001,23.549999,23.950001,23.950001,406300
2017-04-07,23.9,24.25,23.65,23.85,23.85,423800
2017-04-10,23.9,24.25,23.65,23.700001,23.700001,251400
2017-04-11,23.65,23.950001,23.450001,23.700001,23.700001,446400
2017-04-12,23.65,24.0,23.299999,23.75,23.75,262100
2017-04-13,23.65,23.65,23.299999,23.549999,23.549999,158200
2017-04-17,23.549999,23.799999,22.950001,23.4,23.4,382600
2017-04-18,23.25,23.700001,23.200001,23.6,23.6,279600
2017-04-19,23.700001,24.200001,23.700001,23.9,23.9,247700
