Date,Open,High,Low,Close,Adj Close,Volume
2017-05-16,2.66,2.85,2.66,2.72,2.72,32446
2017-05-17,2.67,2.75,2.5601,2.71,2.71,72513
2017-05-18,2.74,2.756,2.55,2.61,2.61,56976
2017-05-19,2.65,2.75,2.55,2.55,2.55,25296
2017-05-22,2.6,2.697,2.55,2.6014,2.6014,31405
2017-05-23,2.66,2.66,2.55,2.55,2.55,29555
2017-05-24,2.56,2.6551,2.53,2.54,2.54,25426
2017-05-25,2.54,2.8,2.54,2.71,2.71,111807
2017-05-26,2.75,2.85,2.57,2.6521,2.6521,140166
2017-05-30,2.6521,2.9,2.65,2.68,2.68,74215
2017-05-31,2.71,2.85,2.68,2.69,2.69,29975
2017-06-01,2.69,2.84,2.68,2.69,2.69,68208
2017-06-02,2.71,2.7899,2.68,2.76,2.76,45272
2017-06-05,2.68,2.7549,2.68,2.69,2.69,36557
2017-06-06,2.68,2.72,2.57,2.57,2.57,33615
2017-06-07,2.53,2.67,2.53,2.55,2.55,32779
2017-06-08,2.56,2.6344,2.5262,2.58,2.58,29324
2017-06-09,2.58,2.81,2.54,2.6,2.6,112685
2017-06-12,2.6242,2.705,2.55,2.705,2.705,3111
2017-06-13,2.89,2.89,2.51,2.7,2.7,53935
2017-06-14,2.6,2.8,2.41,2.62,2.62,13586
2017-06-15,2.46,2.65,2.45,2.61,2.61,25765
2017-06-16,2.8,2.8,2.44,2.53,2.53,38328
2017-06-19,2.4301,2.59,2.4,2.4868,2.4868,28830
2017-06-20,2.4,2.53,2.4,2.41,2.41,22135
2017-06-21,2.51,2.5321,2.42,2.42,2.42,36942
2017-06-22,2.44,2.55,2.42,2.46,2.46,6686
2017-06-23,2.42,2.49,2.42,2.43,2.43,17020
2017-06-26,2.42,2.45,2.32,2.33,2.33,19717
2017-06-27,2.4,2.4465,2.32,2.32,2.32,14042
2017-06-28,2.45,2.45,2.31,2.32,2.32,9329
2017-06-29,2.5,2.59,2.3064,2.35,2.35,29532
2017-06-30,2.36,2.5,2.35,2.41,2.41,14210
2017-07-03,2.37,2.45,2.37,2.39,2.39,23225
2017-07-05,2.39,2.4417,2.38,2.38,2.38,10838
2017-07-06,2.38,2.5,2.35,2.36,2.36,41793
2017-07-07,2.5,2.51,2.36,2.36,2.36,25695
2017-07-10,2.37,2.37,2.25,2.25,2.25,25409
2017-07-11,2.3,2.3,2.12,2.16,2.16,39553
2017-07-12,2.18,2.2,2.14,2.1802,2.1802,66438
2017-07-13,2.14,2.2,2.14,2.2,2.2,16378
2017-07-14,2.07,2.2,2.07,2.2,2.2,49407
2017-07-17,2.19,2.52,2.1871,2.49,2.49,62210
2017-07-18,2.5,2.5,2.2111,2.39,2.39,42882
2017-07-19,2.39,2.4,2.3,2.39,2.39,9108
2017-07-20,2.4,2.4,2.26,2.39,2.39,9069
2017-07-21,2.26,2.36,2.26,2.31,2.31,12792
2017-07-24,2.36,2.4,2.2301,2.4,2.4,17144
2017-07-25,2.4,2.4,2.36,2.39,2.39,11855
2017-07-26,2.25,2.36,2.21,2.28,2.28,36675
2017-07-27,2.26,2.34,2.23,2.33,2.33,15181
2017-07-28,2.25,2.33,2.2,2.22,2.22,13836
2017-07-31,2.21,2.21,2.03,2.12,2.12,36248
2017-08-01,2.11,2.172,1.95,2.0886,2.0886,31722
2017-08-02,2.04,2.08,1.97,2.01,2.01,9545
2017-08-03,1.96,2.05,1.59,1.7501,1.7501,123318
2017-08-04,1.61,1.8,1.61,1.77,1.77,26190
2017-08-07,1.87,2.55,1.87,2.33,2.33,331731
2017-08-08,2.6,2.6,2.1001,2.2,2.2,123245
2017-08-09,2.66,2.66,2.0101,2.2,2.2,67888
2017-08-10,2.17,2.2725,2.05,2.27,2.27,25940
2017-08-11,2.31,2.38,2.08,2.12,2.12,56528
2017-08-14,2.1908,2.26,2.08,2.1,2.1,48730
2017-08-15,2.09,2.1288,1.75,1.923,1.923,89856
2017-08-16,1.84,1.84,1.3,1.63,1.63,130912
2017-08-17,1.6671,1.714,1.61,1.61,1.61,30463
2017-08-18,1.69,1.72,1.51,1.53,1.53,9238
2017-08-21,1.73,1.73,1.4101,1.52,1.52,45744
2017-08-22,1.58,1.69,1.401,1.4876,1.4876,28017
2017-08-23,1.35,1.67,1.35,1.62,1.62,40928
2017-08-24,1.7,1.7,1.45,1.51,1.51,30620
2017-08-25,1.65,1.6546,1.52,1.61,1.61,15862
2017-08-28,1.6208,1.7063,1.6208,1.65,1.65,15555
2017-08-29,1.67,1.6701,1.6,1.61,1.61,10542
2017-08-30,1.61,1.6896,1.6,1.614,1.614,9778
2017-08-31,1.69,1.72,1.61,1.67,1.67,19781
2017-09-01,1.65,1.6714,1.62,1.66,1.66,3252
2017-09-05,1.66,1.67,1.61,1.62,1.62,12435
2017-09-06,1.6149,1.6651,1.6,1.601,1.601,5524
2017-09-07,1.6274,1.672,1.6,1.65,1.65,18567
2017-09-08,1.64,1.69,1.6,1.6,1.6,8413
2017-09-11,1.68,1.6857,1.62,1.6749,1.6749,12469
2017-09-12,1.6372,1.7,1.6,1.69,1.69,14205
2017-09-13,1.68,1.68,1.61,1.65,1.65,24573
2017-09-14,1.64,1.65,1.61,1.62,1.62,18175
2017-09-15,1.61,1.68,1.6,1.649,1.649,19324
2017-09-18,1.69,1.6901,1.65,1.66,1.66,8900
2017-09-19,1.6673,1.72,1.65,1.697,1.697,56584
2017-09-20,1.7,2.48,1.7,2.2578,2.2578,525119
2017-09-21,2.38,2.38,1.88,1.99,1.99,261299
2017-09-22,2.18,2.18,1.8,1.89,1.89,51072
2017-09-25,2.0,2.0989,1.96,1.9989,1.9989,18021
2017-09-26,1.97,2.0,1.85,1.94,1.94,22458
2017-09-27,2.0,2.13,1.95,2.06,2.06,64690
2017-09-28,2.22,2.22,1.97,2.0,2.0,116380
2017-09-29,1.9,2.001,1.86,1.87,1.87,40004
