Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.08,4.49,4.08,4.3,4.3,84100
2017-01-04,4.3,4.8,4.16,4.58,4.58,77700
2017-01-05,4.6,4.99,4.5,4.57,4.57,97400
2017-01-06,4.6,4.74,4.32,4.36,4.36,92600
2017-01-09,4.48,4.49,4.2,4.2,4.2,60500
2017-01-10,4.28,4.29,3.96,4.06,4.06,78100
2017-01-11,4.01,4.04,3.74,3.85,3.85,107200
2017-01-12,3.65,3.76,3.01,3.07,3.07,124700
2017-01-13,3.0,7.35,3.0,7.24,7.24,2728200
2017-01-17,5.35,6.89,4.35,4.85,4.85,1379200
2017-01-18,4.9,9.46,4.7,6.17,6.17,5991000
2017-01-19,7.65,9.47,6.89,7.36,7.36,5208900
2017-01-20,9.89,11.87,8.16,9.7,9.7,4130500
2017-01-23,11.2,12.5,9.21,10.77,10.77,5895400
2017-01-24,9.89,10.69,9.1,9.49,9.49,2230200
2017-01-25,8.8,9.02,7.62,7.8,7.8,1066900
2017-01-26,7.7,9.93,7.5,9.11,9.11,2639000
2017-01-27,9.08,10.41,9.01,9.43,9.43,2071900
2017-01-30,9.34,9.69,8.1,8.25,8.25,650200
2017-01-31,9.0,9.0,8.2,8.39,8.39,585500
2017-02-01,8.4,8.61,7.73,7.85,7.85,333200
2017-02-02,8.0,8.0,7.5,7.62,7.62,255400
2017-02-03,7.46,7.8,7.45,7.47,7.47,200400
2017-02-06,7.55,9.7,7.35,9.7,9.7,1480500
2017-02-07,9.7,10.1,8.22,8.37,8.37,685100
2017-02-08,8.6,8.6,8.13,8.27,8.27,151200
2017-02-09,8.21,8.51,5.14,7.21,7.21,2252000
2017-02-10,6.9,7.19,6.67,7.1,7.1,292900
2017-02-13,7.39,8.49,7.07,7.41,7.41,1068500
2017-02-14,7.5,7.59,7.2,7.45,7.45,170400
2017-02-15,7.3,7.36,7.03,7.27,7.27,79200
2017-02-16,7.23,7.54,7.23,7.25,7.25,75100
2017-02-17,7.88,7.9,7.32,7.44,7.44,191300
2017-02-21,7.44,7.7,7.28,7.45,7.45,95400
2017-02-22,7.7,7.7,7.25,7.55,7.55,81800
2017-02-23,7.7,7.7,7.31,7.48,7.48,81000
2017-02-24,7.34,7.5,7.0,7.34,7.34,70600
2017-02-27,7.48,7.48,7.05,7.11,7.11,31700
2017-02-28,7.36,7.4,7.01,7.11,7.11,47200
2017-03-01,7.06,7.25,6.25,6.27,6.27,141100
2017-03-02,6.69,6.69,6.26,6.53,6.53,60800
2017-03-03,6.15,6.51,6.05,6.3,6.3,83300
2017-03-06,6.02,6.18,5.76,5.95,5.95,65300
2017-03-07,6.05,6.08,5.77,5.92,5.92,47000
2017-03-08,5.9,6.03,5.36,5.44,5.44,62500
2017-03-09,5.5,5.63,5.18,5.45,5.45,172200
2017-03-10,5.4,5.42,4.9,4.95,4.95,99400
2017-03-13,5.1,5.1,4.55,4.63,4.63,87600
2017-03-14,4.64,4.72,4.42,4.46,4.46,42000
2017-03-15,4.45,4.58,4.3,4.32,4.32,55100
2017-03-16,4.55,7.94,4.4,6.74,6.74,3722900
2017-03-17,6.6,7.39,5.66,6.19,6.19,962700
2017-03-20,6.02,6.14,5.31,5.7,5.7,306400
2017-03-21,5.85,5.85,5.21,5.28,5.28,160000
2017-03-22,5.08,5.13,4.92,4.99,4.99,181900
2017-03-23,5.0,5.43,4.7,4.89,4.89,411400
2017-03-24,4.87,5.28,4.55,4.59,4.59,808300
2017-03-27,4.59,4.72,4.45,4.5,4.5,320000
2017-03-28,4.77,5.44,4.55,4.59,4.59,785300
2017-03-29,4.62,5.19,4.5,4.81,4.81,698700
2017-03-30,4.94,4.95,4.6,4.65,4.65,205900
2017-03-31,4.62,4.71,4.52,4.65,4.65,235800
2017-04-03,4.62,4.69,4.39,4.41,4.41,212500
2017-04-04,4.34,4.68,4.28,4.38,4.38,178800
2017-04-05,4.35,4.39,4.25,4.29,4.29,132300
2017-04-06,4.27,4.33,3.95,3.99,3.99,217000
2017-04-07,3.95,4.09,3.31,3.42,3.42,664700
2017-04-10,3.43,4.96,3.43,3.5,3.5,4222700
2017-04-11,3.6,3.79,3.05,3.29,3.29,1049800
2017-04-12,3.27,3.49,3.05,3.41,3.41,892300
