Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.35,4.5,4.3,4.5,4.5,207000
2017-01-04,4.5,4.7,4.5,4.7,4.7,265800
2017-01-05,4.65,4.7,4.28,4.47,4.47,238800
2017-01-06,4.55,4.55,4.4,4.45,4.45,116000
2017-01-09,4.35,4.45,4.26,4.35,4.35,142600
2017-01-10,4.4,4.5,4.35,4.5,4.5,98300
2017-01-11,4.5,4.5,4.4,4.45,4.45,101500
2017-01-12,4.4,4.5,4.35,4.4,4.4,166300
2017-01-13,4.45,4.55,4.45,4.5,4.5,116900
2017-01-17,4.5,4.5,4.35,4.35,4.35,123300
2017-01-18,4.4,4.55,4.3,4.55,4.55,251900
2017-01-19,4.55,4.55,4.4,4.45,4.45,147200
2017-01-20,4.45,4.65,4.45,4.55,4.55,218400
2017-01-23,4.55,4.6,4.45,4.55,4.55,213000
2017-01-24,4.6,5.0,4.58,5.0,5.0,332800
2017-01-25,5.15,5.45,5.0,5.05,5.05,388800
2017-01-26,5.05,5.2,4.95,5.15,5.15,351400
2017-01-27,5.2,5.4,5.15,5.3,5.3,470500
2017-01-30,5.25,5.25,5.05,5.2,5.2,205100
2017-01-31,5.2,5.25,5.1,5.2,5.2,189900
2017-02-01,5.25,5.3,5.1,5.15,5.15,205100
2017-02-02,5.15,5.15,4.9,4.95,4.95,144300
2017-02-03,5.0,5.15,4.95,5.1,5.1,135700
2017-02-06,5.05,5.05,4.8,4.85,4.85,184200
2017-02-07,4.85,5.0,4.8,4.8,4.8,162000
2017-02-08,4.8,4.9,4.65,4.9,4.9,234900
2017-02-09,4.9,5.05,4.8,4.95,4.95,93000
2017-02-10,4.95,5.05,4.85,5.0,5.0,115400
2017-02-13,5.05,5.15,5.0,5.05,5.05,116300
2017-02-14,5.0,5.05,4.9,4.95,4.95,319900
2017-02-15,4.95,5.14,4.88,5.0,5.0,314400
2017-02-16,5.05,5.05,4.9,4.95,4.95,207600
2017-02-17,4.95,4.97,4.85,4.95,4.95,221400
2017-02-21,5.0,5.0,4.75,4.85,4.85,226100
2017-02-22,4.75,4.75,4.4,4.65,4.65,497000
2017-02-23,4.65,4.65,4.25,4.55,4.55,350200
2017-02-24,4.5,4.55,4.4,4.5,4.5,138500
2017-02-27,4.5,4.65,4.27,4.45,4.45,313100
2017-02-28,4.4,4.5,4.25,4.35,4.35,356400
2017-03-01,4.35,4.55,4.35,4.45,4.45,310100
2017-03-02,4.6,4.7,4.55,4.55,4.55,365100
2017-03-03,4.6,4.74,4.47,4.5,4.5,286000
2017-03-06,4.45,4.7,4.41,4.65,4.65,245500
2017-03-07,4.65,4.7,4.45,4.5,4.5,332000
2017-03-08,4.45,4.5,4.3,4.3,4.3,328100
2017-03-09,4.4,4.5,4.25,4.25,4.25,308100
2017-03-10,4.3,4.5,4.3,4.4,4.4,283700
2017-03-13,4.45,4.45,4.2,4.28,4.28,251400
2017-03-14,4.3,4.3,4.1,4.2,4.2,143800
2017-03-15,4.2,4.35,4.15,4.3,4.3,100900
