Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.4,1.45,1.4,1.45,1.423524,10100
2017-01-04,1.4,1.47,1.39,1.39,1.3646200000000002,34500
2017-01-05,1.4,1.47,1.4,1.47,1.443159,52800
2017-01-06,1.47,1.54,1.45,1.47,1.443159,28800
2017-01-09,1.47,1.53,1.45,1.5,1.4726110000000001,43600
2017-01-10,1.5,1.51,1.48,1.51,1.482429,14100
2017-01-11,1.52,1.55,1.52,1.52,1.492246,63000
2017-01-12,1.53,1.59,1.52,1.57,1.544381,16400
2017-01-13,1.54,1.55,1.53,1.54,1.5148709999999999,28900
2017-01-17,1.53,1.53,1.51,1.52,1.4951969999999999,51200
2017-01-18,1.53,1.78,1.46,1.67,1.64275,149900
2017-01-19,1.7,1.7,1.57,1.63,1.603402,37200
2017-01-20,1.6,1.63,1.56,1.6,1.573892,19700
2017-01-23,1.63,1.69,1.63,1.68,1.6525869999999998,13300
2017-01-24,1.68,1.68,1.63,1.68,1.6525869999999998,19100
2017-01-25,1.68,1.76,1.65,1.66,1.6329129999999998,46000
2017-01-26,1.65,1.74,1.62,1.62,1.593566,13300
2017-01-27,1.63,1.7,1.63,1.67,1.64275,7200
2017-01-30,1.69,1.69,1.65,1.65,1.623076,7300
2017-01-31,1.7,1.75,1.68,1.75,1.721444,27100
2017-02-01,1.75,1.75,1.69,1.72,1.691934,12300
2017-02-02,1.75,1.86,1.69,1.85,1.8198130000000001,21800
2017-02-03,1.85,1.87,1.78,1.85,1.8198130000000001,38200
2017-02-06,1.83,2.04,1.83,1.96,1.928018,133000
2017-02-07,1.98,2.04,1.97,1.97,1.9378540000000002,38000
2017-02-08,2.02,2.05,1.95,1.97,1.9378540000000002,60700
2017-02-09,2.01,2.02,1.94,1.97,1.94081,12500
2017-02-10,2.0,2.0,1.85,1.86,1.83244,15100
2017-02-13,1.85,1.86,1.82,1.86,1.83244,60000
2017-02-14,1.86,1.86,1.81,1.83,1.802884,15700
2017-02-15,1.84,1.86,1.77,1.8,1.7733290000000002,44500
2017-02-16,1.78,1.86,1.74,1.86,1.83244,19400
2017-02-17,1.87,1.87,1.76,1.79,1.763477,30900
2017-02-21,1.81,1.81,1.73,1.73,1.704366,20500
2017-02-22,1.76,1.79,1.74,1.77,1.743773,10100
2017-02-23,1.78,1.83,1.78,1.82,1.793033,42000
