Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,9.9,9.9,9.829,9.829,9.829,700
2017-01-04,9.829,9.829,9.829,9.829,9.829,0
2017-01-05,9.829,9.829,9.829,9.829,9.829,0
2017-01-06,9.829,9.829,9.829,9.829,9.829,0
2017-01-09,9.829,9.829,9.829,9.829,9.829,0
2017-01-10,10.0,10.0,10.0,10.0,10.0,1000
2017-01-11,9.8,9.8,9.8,9.8,9.8,200
2017-01-12,9.8,9.8,9.8,9.8,9.8,0
2017-01-13,9.8,9.8,9.8,9.8,9.8,0
2017-01-17,9.8,9.8,9.8,9.8,9.8,500
2017-01-18,9.8,9.8,9.8,9.8,9.8,0
2017-01-19,9.8,9.8,9.8,9.8,9.8,0
2017-01-20,9.8,9.8,9.8,9.8,9.8,0
2017-01-23,9.8,9.8,9.8,9.8,9.8,0
2017-01-24,9.8,9.8,9.8,9.8,9.8,0
2017-01-25,9.8,9.8,9.8,9.8,9.8,0
2017-01-26,9.8,9.8,9.8,9.8,9.8,0
2017-01-27,9.8,9.8,9.8,9.8,9.8,0
2017-01-30,9.8,9.8,9.8,9.8,9.8,0
2017-01-31,9.8,9.8,9.8,9.8,9.8,0
2017-02-01,9.8,9.8,9.8,9.8,9.8,0
2017-02-02,9.85,9.855,9.85,9.855,9.855,4700
2017-02-03,9.855,9.855,9.855,9.855,9.855,0
2017-02-06,9.855,9.855,9.855,9.855,9.855,0
2017-02-07,9.855,9.855,9.855,9.855,9.855,0
2017-02-08,9.855,9.855,9.855,9.855,9.855,0
2017-02-09,9.9,9.9,9.9,9.9,9.9,200
2017-02-10,9.9,9.9,9.9,9.9,9.9,0
2017-02-13,9.9,9.9,9.9,9.9,9.9,0
2017-02-14,9.9,9.9,9.9,9.9,9.9,0
2017-02-15,9.9,9.9,9.9,9.9,9.9,0
2017-02-16,9.9,9.9,9.9,9.9,9.9,0
2017-02-17,9.9,9.9,9.9,9.9,9.9,0
2017-02-21,9.9,9.9,9.9,9.9,9.9,0
2017-02-22,9.9,9.9,9.9,9.9,9.9,0
2017-02-23,9.9,9.9,9.9,9.9,9.9,0
2017-02-24,9.9,9.9,9.9,9.9,9.9,0
2017-02-27,9.9,9.9,9.9,9.9,9.9,0
2017-02-28,9.9,9.9,9.9,9.9,9.9,0
2017-03-01,9.9,9.9,9.9,9.9,9.9,0
2017-03-02,9.9,9.9,9.9,9.9,9.9,0
2017-03-03,9.9,9.9,9.9,9.9,9.9,0
2017-03-06,9.9,9.9,9.9,9.9,9.9,0
2017-03-07,9.95,9.95,9.9,9.9,9.9,14200
2017-03-08,9.9,9.9,9.9,9.9,9.9,0
2017-03-09,9.9,9.9,9.9,9.9,9.9,0
2017-03-10,9.9,9.9,9.9,9.9,9.9,0
2017-03-13,11.5,11.5,10.35,10.35,10.35,2100
2017-03-14,10.35,10.35,10.35,10.35,10.35,0
2017-03-15,10.35,10.35,10.35,10.35,10.35,0
2017-03-16,10.35,10.35,10.35,10.35,10.35,0
2017-03-17,10.35,10.35,10.35,10.35,10.35,0
