Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,10.09,10.23,9.68,9.99,9.99,1082500
2017-01-04,10.02,10.79,9.98,10.69,10.69,1664500
2017-01-05,11.79,12.79,11.39,12.61,12.61,17061900
2017-01-06,12.35,13.77,12.3,13.38,13.38,9170400
2017-01-09,13.38,14.36,13.24,14.24,14.24,4130000
2017-01-10,13.93,14.03,12.66,12.89,12.89,4811400
2017-01-11,12.83,13.16,11.9,11.91,11.91,2929400
2017-01-12,11.71,12.25,11.34,11.86,11.86,1944900
2017-01-13,11.81,12.11,11.28,11.39,11.39,2193100
2017-01-17,11.22,11.3,10.78,10.89,10.89,1789800
2017-01-18,10.93,11.29,10.74,11.27,11.27,1538500
2017-01-19,11.26,11.3,10.81,11.08,11.08,1065300
2017-01-20,11.1,11.54,10.97,11.5,11.5,2028700
2017-01-23,11.5,12.05,11.38,11.59,11.59,2243800
2017-01-24,11.64,11.82,11.14,11.68,11.68,1868300
2017-01-25,11.82,11.89,11.48,11.78,11.78,1154700
2017-01-26,11.81,11.95,11.5,11.62,11.62,1167800
2017-01-27,11.58,11.72,11.42,11.51,11.51,725000
2017-01-30,11.45,11.45,10.79,11.23,11.23,2002200
2017-01-31,11.13,11.58,10.89,11.55,11.55,1800300
2017-02-01,11.64,12.01,11.45,11.99,11.99,2133600
2017-02-02,12.0,12.16,11.81,11.98,11.98,1774900
2017-02-03,12.15,12.27,11.93,12.26,12.26,1153400
2017-02-06,12.21,12.48,12.02,12.29,12.29,1014800
2017-02-07,12.31,12.5,12.1,12.23,12.23,985200
2017-02-08,12.15,12.39,12.01,12.1,12.1,1201100
2017-02-09,12.08,12.83,12.08,12.77,12.77,1759100
2017-02-10,12.82,12.85,12.45,12.47,12.47,712800
2017-02-13,12.59,12.67,12.19,12.31,12.31,754000
2017-02-14,12.27,12.61,12.05,12.6,12.6,1017100
2017-02-15,12.6,12.69,12.44,12.66,12.66,897000
2017-02-16,12.69,12.75,12.03,12.56,12.56,1205100
2017-02-17,12.49,12.78,12.18,12.61,12.61,1008600
2017-02-21,12.71,12.79,12.45,12.51,12.51,841700
2017-02-22,12.46,12.46,12.07,12.07,12.07,990500
2017-02-23,12.12,12.3,11.71,12.04,12.04,1106700
2017-02-24,11.84,12.27,11.82,12.27,12.27,1253600
2017-02-27,12.27,12.91,12.02,12.87,12.87,1538700
2017-02-28,12.78,13.66,12.51,12.82,12.82,2950500
2017-03-01,13.28,13.28,12.09,12.9,12.9,2247600
2017-03-02,12.88,13.96,12.61,13.36,13.36,2394500
2017-03-03,13.37,13.9,13.3,13.59,13.59,1377600
2017-03-06,13.52,13.59,13.1,13.46,13.46,1088200
2017-03-07,13.18,13.43,12.79,12.84,12.84,2228500
2017-03-08,12.92,13.4,12.84,13.21,13.21,1006200
2017-03-09,13.25,13.67,13.19,13.65,13.65,1265300
2017-03-10,13.72,13.81,13.39,13.77,13.77,846800
2017-03-13,13.79,13.85,13.41,13.51,13.51,1078600
2017-03-14,13.42,13.48,13.09,13.31,13.31,1121200
2017-03-15,13.36,13.98,13.3,13.86,13.86,1134000
2017-03-16,13.84,14.75,13.68,14.68,14.68,3042800
2017-03-17,14.42,15.2,14.4,14.54,14.54,2919700
2017-03-20,14.52,14.58,14.25,14.41,14.41,822800
2017-03-21,14.47,14.48,13.26,13.29,13.29,1613400
2017-03-22,13.6,13.62,13.1,13.49,13.49,1047400
2017-03-23,13.23,13.78,13.23,13.46,13.46,766200
2017-03-24,13.52,13.66,13.3,13.53,13.53,662000
2017-03-27,13.29,14.37,13.06,14.27,14.27,1239300
2017-03-28,14.25,14.46,13.96,14.21,14.21,717500
2017-03-29,14.25,14.72,14.05,14.29,14.29,798400
2017-03-30,12.9,13.29,12.44,13.03,13.03,5938900
2017-03-31,12.9,13.08,12.77,12.96,12.96,1230800
2017-04-03,12.96,13.14,12.91,12.99,12.99,1492300
2017-04-04,12.96,13.11,12.8,13.08,13.08,831800
2017-04-05,13.11,13.21,12.8,12.9,12.9,1630300
2017-04-06,13.0,13.09,12.35,12.53,12.53,1394300
2017-04-07,12.49,12.66,12.37,12.64,12.64,758000
2017-04-10,12.67,13.05,12.63,12.67,12.67,536200
2017-04-11,12.64,12.72,12.32,12.6,12.6,711000
2017-04-12,12.66,12.66,12.41,12.49,12.49,469000
2017-04-13,12.45,12.91,12.41,12.81,12.81,643400
2017-04-17,12.75,13.16,12.71,12.9,12.9,619500
2017-04-18,12.89,12.95,12.56,12.73,12.73,809100
2017-04-19,12.83,13.17,12.7,12.82,12.82,642500
2017-04-20,12.89,13.29,12.89,13.24,13.24,810800
2017-04-21,13.26,13.42,13.13,13.29,13.29,776700
2017-04-24,13.44,13.53,13.3,13.39,13.39,690700
2017-04-25,13.55,14.09,13.51,13.96,13.96,791800
2017-04-26,13.99,14.09,13.86,13.88,13.88,973600
2017-04-27,13.9,14.01,13.73,13.99,13.99,592700
2017-04-28,14.03,14.04,13.69,13.94,13.94,624900
2017-05-01,13.97,14.14,13.86,14.14,14.14,532300
2017-05-02,14.17,14.31,13.86,14.22,14.22,680800
2017-05-03,14.13,14.29,14.04,14.22,14.22,431000
2017-05-04,14.28,14.36,14.04,14.15,14.15,546400
2017-05-05,14.18,14.21,13.91,13.99,13.99,522600
2017-05-08,13.99,14.05,13.59,13.85,13.85,729400
2017-05-09,13.89,14.22,13.76,13.84,13.84,1210400
2017-05-10,13.34,13.77,12.64,13.63,13.63,1568900
2017-05-11,13.59,14.09,13.47,13.9,13.9,801000
2017-05-12,13.88,14.47,13.76,14.28,14.28,1213800
2017-05-15,14.31,14.7,14.21,14.29,14.29,1045100
2017-05-16,14.3,14.6,14.14,14.58,14.58,816000
2017-05-17,14.34,14.34,13.66,13.76,13.76,1041500
2017-05-18,13.88,14.28,13.76,14.16,14.16,915600
2017-05-19,13.07,13.45,12.8,12.91,12.91,7665100
2017-05-22,12.91,13.0,12.51,12.79,12.79,1900500
2017-05-23,12.82,13.01,12.59,12.75,12.75,1384000
2017-05-24,12.78,12.89,12.47,12.84,12.84,773100
2017-05-25,12.9,12.9,12.52,12.6,12.6,874300
2017-05-26,12.52,12.64,12.36,12.41,12.41,671000
2017-05-30,12.35,12.46,12.08,12.16,12.16,1021800
2017-05-31,12.22,12.27,11.51,11.8,11.8,1724300
2017-06-01,11.87,12.36,11.84,12.24,12.24,1182300
2017-06-02,12.28,12.71,12.05,12.68,12.68,1982400
2017-06-05,12.84,12.84,12.3,12.67,12.67,1474800
2017-06-06,12.61,12.93,12.6,12.78,12.78,745300
2017-06-07,12.85,12.9,12.58,12.71,12.71,618900
2017-06-08,12.73,12.94,12.53,12.84,12.84,715500
2017-06-09,12.84,13.23,12.78,12.9,12.9,715600
2017-06-12,12.87,13.12,12.49,12.85,12.85,1026000
2017-06-13,12.91,13.24,12.87,13.2,13.2,765500
2017-06-14,13.22,13.4,13.1,13.21,13.21,710400
2017-06-15,13.06,13.07,12.68,13.05,13.05,1042200
2017-06-16,12.94,13.5,12.87,13.44,13.44,2706400
2017-06-19,13.4,14.2,13.35,14.17,14.17,1596900
2017-06-20,14.25,14.92,14.15,14.32,14.32,2022800
2017-06-21,14.49,14.86,14.34,14.59,14.59,2274300
2017-06-22,14.66,15.0,14.42,14.83,14.83,3166800
2017-06-23,14.87,14.96,14.38,14.89,14.89,1680600
2017-06-26,15.0,15.05,14.5,14.59,14.59,1193700
2017-06-27,14.56,14.65,13.98,13.99,13.99,945200
2017-06-28,14.12,14.29,13.53,13.55,13.55,2611400
2017-06-29,13.58,13.64,12.81,12.98,12.98,2876200
2017-06-30,13.0,13.23,12.81,12.82,12.82,1002200
2017-07-03,12.86,13.11,12.8,12.94,12.94,496400
2017-07-05,12.89,13.29,12.88,13.17,13.17,651200
2017-07-06,13.07,13.11,12.65,12.86,12.86,913800
2017-07-07,12.94,13.12,12.89,13.03,13.03,493700
2017-07-10,13.03,13.12,12.72,12.92,12.92,621700
2017-07-11,12.94,13.09,12.86,13.0,13.0,565700
2017-07-12,13.11,13.13,12.66,13.02,13.02,514200
2017-07-13,13.05,13.31,12.8,13.21,13.21,1162700
2017-07-14,13.24,13.47,13.18,13.21,13.21,553300
2017-07-17,13.22,13.57,13.21,13.26,13.26,517600
2017-07-18,13.18,13.23,12.92,12.97,12.97,592600
2017-07-19,13.08,13.2,12.95,13.1,13.1,678000
2017-07-20,13.13,13.51,13.03,13.26,13.26,763200
2017-07-21,13.36,13.62,13.26,13.53,13.53,701000
2017-07-24,13.52,13.67,13.49,13.63,13.63,511800
2017-07-25,13.7,13.71,13.42,13.46,13.46,544600
2017-07-26,13.58,13.79,13.4,13.53,13.53,504200
2017-07-27,13.59,13.59,12.92,12.95,12.95,734100
2017-07-28,12.9,13.07,12.84,12.91,12.91,488400
2017-07-31,12.91,12.96,12.67,12.68,12.68,416800
2017-08-01,12.74,12.8,12.37,12.49,12.49,1006400
2017-08-02,12.51,12.65,12.15,12.53,12.53,711500
2017-08-03,12.54,12.98,12.52,12.82,12.82,761900
2017-08-04,12.85,13.17,12.68,13.06,13.06,714100
2017-08-07,13.05,13.25,12.94,13.18,13.18,606100
2017-08-08,13.24,13.51,12.98,13.04,13.04,1222800
2017-08-09,13.3,13.43,12.48,12.65,12.65,1539300
2017-08-10,12.55,12.55,12.08,12.13,12.13,1120500
2017-08-11,12.18,12.29,11.79,11.9,11.9,865000
2017-08-14,12.0,12.15,11.9,12.05,12.05,592800
2017-08-15,12.08,12.24,11.82,11.9,11.9,605600
2017-08-16,11.96,12.07,11.84,11.92,11.92,468400
2017-08-17,11.84,12.12,11.73,11.76,11.76,651800
2017-08-18,11.65,11.93,11.61,11.88,11.88,820300
2017-08-21,11.92,12.0,11.41,11.9,11.9,745600
2017-08-22,11.94,12.14,11.75,12.1,12.1,496100
2017-08-23,12.02,12.23,11.87,12.16,12.16,321400
2017-08-24,12.19,12.65,12.13,12.6,12.6,821200
2017-08-25,12.6,12.67,12.2,12.29,12.29,562600
2017-08-28,12.44,12.61,12.32,12.6,12.6,660500
2017-08-29,12.43,12.85,12.43,12.73,12.73,567400
2017-08-30,12.72,12.78,12.48,12.74,12.74,737900
2017-08-31,12.77,13.07,12.72,13.01,13.01,882000
2017-09-01,13.11,13.11,12.82,12.98,12.98,740100
2017-09-05,12.95,13.05,12.52,12.91,12.91,562100
2017-09-06,13.0,13.01,12.76,12.97,12.97,389000
2017-09-07,12.96,13.22,12.75,13.09,13.09,465000
2017-09-08,13.09,13.23,12.92,13.11,13.11,457800
2017-09-11,13.19,13.27,12.86,13.1,13.1,517200
2017-09-12,13.05,13.17,12.95,13.06,13.06,534900
2017-09-13,13.04,13.27,12.98,13.18,13.18,795000
2017-09-14,15.58,16.35,15.16,15.98,15.98,15822300
2017-09-15,16.030001000000002,16.65,15.66,16.25,16.25,5824400
2017-09-18,16.389999,17.549999,16.389999,16.719998999999998,16.719998999999998,5840300
2017-09-19,16.75,17.18,16.209999,16.42,16.42,2354400
2017-09-20,16.52,17.08,16.4,16.68,16.68,1501900
2017-09-21,16.6,16.77,16.309998999999998,16.6,16.6,1180400
2017-09-22,16.59,16.91,16.360001,16.780001000000002,16.780001000000002,1178100
2017-09-25,16.67,17.040001,16.459999,16.84,16.84,1697000
2017-09-26,16.9,16.9,16.27,16.57,16.57,1163900
2017-09-27,16.75,17.379998999999998,16.719998999999998,17.23,17.23,2163400
2017-09-28,17.25,17.559998999999998,17.07,17.4,17.4,1115900
2017-09-29,17.48,17.620001000000002,17.309998999999998,17.370001000000002,17.370001000000002,908426
