Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,14.22,14.5,14.22,14.5,14.5,18100
2017-01-04,14.56,14.7,14.56,14.7,14.7,4800
2017-01-05,14.61,14.65,14.61,14.65,14.65,700
2017-01-06,14.7,14.75,14.53,14.7,14.7,2400
2017-01-09,14.7,14.7,14.7,14.7,14.7,0
2017-01-10,14.7,14.7,14.7,14.7,14.7,0
2017-01-11,14.25,14.5,14.25,14.5,14.5,1100
2017-01-12,14.5,14.5,14.5,14.5,14.5,0
2017-01-13,14.52,14.68,14.52,14.53,14.53,1100
2017-01-17,14.53,14.53,14.53,14.53,14.53,0
2017-01-18,14.46,14.5,14.45,14.5,14.5,1500
2017-01-19,14.5,14.5,14.5,14.5,14.5,0
2017-01-20,14.5,14.5,14.5,14.5,14.5,0
2017-01-23,14.5,14.5,14.5,14.5,14.5,0
2017-01-24,14.5,14.5,14.5,14.5,14.5,0
2017-01-25,14.6,14.6,14.45,14.59,14.59,700
2017-01-26,14.3,14.3,14.25,14.28,14.28,2600
2017-01-27,14.6,14.65,14.55,14.65,14.65,7600
2017-01-30,14.65,14.8,14.65,14.75,14.75,2800
2017-01-31,14.8,14.8,14.8,14.8,14.8,500
2017-02-01,14.81,14.9,14.81,14.85,14.85,6800
2017-02-02,14.94,15.3,14.93,15.26,15.26,10300
2017-02-03,15.35,15.35,15.2,15.2,15.2,3900
2017-02-06,15.2,15.2,15.2,15.2,15.2,0
2017-02-07,15.25,15.35,15.25,15.3,15.3,6800
2017-02-08,15.2,15.2,15.2,15.2,15.2,800
2017-02-09,15.25,15.45,15.25,15.45,15.45,500
2017-02-10,15.45,15.45,15.45,15.45,15.45,200
2017-02-13,15.45,15.45,15.25,15.35,15.35,1400
2017-02-14,15.25,15.35,15.25,15.35,15.35,800
2017-02-15,15.35,15.35,15.35,15.35,15.35,100
2017-02-16,15.35,15.6,15.15,15.3,15.3,6300
2017-02-17,15.45,15.45,15.2,15.25,15.25,7000
2017-02-21,15.3,15.5,15.25,15.35,15.35,4300
2017-02-22,15.35,15.55,15.25,15.55,15.55,11800
2017-02-23,15.3,15.55,15.3,15.45,15.45,16600
2017-02-24,15.3,15.35,15.3,15.3,15.3,2900
2017-02-27,15.3,15.5,15.3,15.4,15.4,2200
2017-02-28,15.4,15.4,15.4,15.4,15.4,0
2017-03-01,15.4,15.4,15.39,15.4,15.4,3800
2017-03-02,15.35,15.55,15.35,15.4,15.4,22500
2017-03-03,15.39,15.45,15.35,15.4,15.4,6100
2017-03-06,15.35,15.4,15.35,15.35,15.35,4900
2017-03-07,15.3,15.3,15.25,15.25,15.25,700
2017-03-08,15.4,15.4,15.3,15.3,15.3,1600
2017-03-09,15.35,15.35,15.3,15.3,15.3,300
2017-03-10,15.4,15.4,15.35,15.35,15.35,500
2017-03-13,15.39,15.4,15.25,15.25,15.25,1100
2017-03-14,15.25,15.25,15.25,15.25,15.25,100
2017-03-15,15.25,15.25,15.25,15.25,15.25,300
2017-03-16,15.25,15.25,15.25,15.25,15.25,100
2017-03-17,15.25,15.25,15.25,15.25,15.25,300
2017-03-20,15.25,15.25,15.15,15.15,15.15,500
2017-03-21,15.2,15.35,15.15,15.15,15.15,1400
2017-03-22,15.15,15.15,15.15,15.15,15.15,0
2017-03-23,15.15,15.2,15.15,15.2,15.2,2400
2017-03-24,15.2,15.2,15.15,15.15,15.15,1200
2017-03-27,15.18,15.18,15.18,15.18,15.18,700
2017-03-28,15.18,15.18,15.18,15.18,15.18,0
2017-03-29,15.35,15.35,15.2,15.35,15.35,1300
2017-03-30,15.35,15.35,15.3,15.35,15.35,3000
2017-03-31,15.35,15.35,15.35,15.35,15.35,0
2017-04-03,15.1,15.1,15.1,15.1,15.1,200
2017-04-04,15.2,15.35,15.1,15.1,15.1,4200
2017-04-05,15.1,15.1,15.1,15.1,15.1,0
2017-04-06,15.16,15.16,15.1,15.1,15.1,900
2017-04-07,15.1,15.1,15.1,15.1,15.1,100
2017-04-10,15.1,15.1,15.1,15.1,15.1,100
2017-04-11,15.15,15.15,15.1,15.1,15.1,300
2017-04-12,15.1,15.15,15.05,15.05,15.05,400
2017-04-13,15.05,15.05,15.05,15.05,15.05,200
2017-04-17,15.05,15.1,15.05,15.1,15.1,700
2017-04-18,15.05,15.05,15.05,15.05,15.05,200
2017-04-19,15.05,15.05,15.0,15.0,15.0,300
2017-04-20,15.0,15.0,15.0,15.0,15.0,100
2017-04-21,15.1,15.1,15.05,15.05,15.05,700
2017-04-24,15.16,15.16,15.16,15.16,15.16,400
2017-04-25,15.2,15.25,15.2,15.25,15.25,1900
2017-04-26,15.25,15.25,15.25,15.25,15.25,0
2017-04-27,15.0,15.0,15.0,15.0,15.0,200
2017-04-28,15.25,15.25,15.0,15.0,15.0,1000
2017-05-01,15.15,15.15,15.15,15.15,15.15,300
2017-05-02,15.15,15.15,15.15,15.15,15.15,0
2017-05-03,15.15,15.15,15.1,15.1,15.1,400
2017-05-04,15.14,15.14,15.14,15.14,15.14,500
2017-05-05,15.15,15.15,15.12,15.12,15.12,900
2017-05-08,15.1,15.1,15.1,15.1,15.1,800
2017-05-09,15.1,15.1,15.1,15.1,15.1,0
2017-05-10,15.1,15.1,15.0,15.0,15.0,800
2017-05-11,15.1,15.1,15.0,15.0,15.0,300
2017-05-12,15.16,15.16,15.16,15.16,15.16,300
