Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.45,6.7,6.3,6.65,6.65,27400
2017-01-04,6.65,6.9,6.55,6.75,6.75,24400
2017-01-05,6.7,6.8,6.62,6.7,6.7,21400
2017-01-06,6.76,6.76,6.65,6.7,6.7,6200
2017-01-09,6.7,6.9,6.65,6.8,6.8,11800
2017-01-10,6.75,7.2,6.75,7.2,7.2,37600
2017-01-11,7.05,7.1,7.04,7.1,7.1,9000
2017-01-12,7.1,7.1,6.95,7.05,7.05,10800
2017-01-13,7.01,7.3,6.95,7.3,7.3,39100
2017-01-17,7.15,7.3,7.15,7.25,7.25,20300
2017-01-18,7.3,7.3,6.9,6.95,6.95,19400
2017-01-19,6.9,6.95,6.81,6.95,6.95,9600
2017-01-20,7.25,7.25,6.75,6.95,6.95,8200
2017-01-23,6.81,6.85,6.75,6.85,6.85,8800
2017-01-24,6.87,6.92,6.7,6.75,6.75,42900
2017-01-25,6.8,7.5,6.7,7.4,7.4,113300
2017-01-26,7.3,8.05,7.3,7.35,7.35,94200
2017-01-27,7.1,7.75,6.75,7.7,7.7,58500
2017-01-30,7.3,7.6,7.17,7.5,7.5,28100
2017-01-31,7.4,7.5,6.85,7.35,7.35,29500
2017-02-01,7.1,7.3,6.9,6.9,6.9,59000
2017-02-02,6.85,7.05,6.75,6.95,6.95,53800
2017-02-03,6.95,7.05,6.8,6.95,6.95,30500
2017-02-06,7.0,7.0,6.7,6.75,6.75,19300
2017-02-07,6.8,6.9,6.75,6.8,6.8,13100
2017-02-08,6.8,6.8,6.65,6.65,6.65,24300
2017-02-09,6.7,6.95,6.7,6.85,6.85,33300
2017-02-10,6.95,7.3,6.88,7.0,7.0,36500
2017-02-13,6.95,7.15,6.55,6.75,6.75,68300
2017-02-14,6.66,6.85,6.66,6.75,6.75,9700
2017-02-15,6.7,6.9,6.7,6.8,6.8,6000
2017-02-16,7.05,7.05,6.85,7.0,7.0,30600
2017-02-17,7.05,7.05,6.85,7.0,7.0,26300
2017-02-21,6.89,6.95,6.75,6.8,6.8,10000
2017-02-22,6.75,6.85,6.7,6.8,6.8,12600
2017-02-23,6.85,6.85,6.75,6.85,6.85,4600
2017-02-24,6.8,6.94,6.68,6.8,6.8,13400
2017-02-27,6.85,7.1,6.65,7.1,7.1,46400
2017-02-28,7.1,7.1,6.6,6.7,6.7,69800
2017-03-01,7.0,7.0,6.7,6.7,6.7,36700
2017-03-02,6.7,7.1,6.6,7.1,7.1,39300
2017-03-03,7.0,7.0,6.8,6.95,6.95,29300
2017-03-06,7.0,7.05,6.95,7.05,7.05,72200
2017-03-07,7.01,7.25,7.0,7.1,7.1,15500
2017-03-08,7.1,7.35,6.5,6.5,6.5,22600
2017-03-09,6.5,6.65,6.5,6.55,6.55,22700
2017-03-10,6.6,6.6,6.25,6.55,6.55,35500
2017-03-13,6.5,6.55,6.45,6.55,6.55,10400
2017-03-14,6.5,6.65,6.35,6.6,6.6,40200
2017-03-15,6.6,6.9,6.5,6.55,6.55,39400
2017-03-16,6.4,6.75,6.26,6.75,6.75,32400
2017-03-17,6.6,6.8,6.6,6.7,6.7,101900
2017-03-20,6.65,6.84,6.6,6.8,6.8,16300
2017-03-21,6.75,6.75,6.58,6.65,6.65,20900
2017-03-22,6.65,6.8,6.65,6.7,6.7,19900
2017-03-23,6.75,6.78,6.55,6.65,6.65,18700
2017-03-24,6.68,6.7,6.6,6.7,6.7,13100
2017-03-27,6.75,6.8,6.6,6.65,6.65,20500
2017-03-28,6.65,6.8,6.65,6.75,6.75,13700
2017-03-29,6.78,6.95,6.73,6.85,6.85,17100
2017-03-30,6.85,6.9,6.7,6.7,6.7,13100
2017-03-31,6.9,6.9,6.75,6.75,6.75,4900
2017-04-03,6.7,6.85,6.55,6.55,6.55,27600
2017-04-04,6.6,6.65,6.45,6.45,6.45,29200
2017-04-05,6.65,6.7,6.5,6.55,6.55,38300
2017-04-06,6.59,6.6,6.5,6.5,6.5,10100
2017-04-07,6.45,6.55,6.3,6.35,6.35,10400
2017-04-10,6.4,6.55,6.25,6.25,6.25,52000
2017-04-11,6.32,6.4,6.25,6.3,6.3,62200
2017-04-12,6.35,6.65,6.35,6.5,6.5,67600
2017-04-13,6.45,6.58,6.45,6.5,6.5,8100
2017-04-17,6.45,6.45,6.25,6.25,6.25,15900
2017-04-18,6.25,6.35,6.25,6.25,6.25,18000
2017-04-19,6.3,6.5,6.25,6.5,6.5,56200
2017-04-20,6.45,6.55,6.3,6.3,6.3,96500
2017-04-21,6.3,6.4,6.2,6.25,6.25,85100
2017-04-24,6.35,6.35,6.2,6.25,6.25,26800
2017-04-25,6.25,6.45,6.2,6.25,6.25,37400
2017-04-26,6.3,6.45,6.05,6.25,6.25,44500
2017-04-27,6.25,6.3,6.2,6.2,6.2,19500
2017-04-28,6.25,6.35,6.2,6.25,6.25,43100
2017-05-01,6.3,6.3,6.15,6.2,6.2,24900
2017-05-02,6.2,6.3,6.15,6.25,6.25,55500
2017-05-03,6.25,6.35,6.2,6.25,6.25,41500
2017-05-04,6.35,6.35,6.25,6.3,6.3,41900
