Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.99,2.02,1.71,1.94,1.94,41500
2017-01-04,1.98,2.09,1.92,2.08,2.08,13600
2017-01-05,2.11,2.15,2.06,2.14,2.14,15300
2017-01-06,2.13,2.14,2.06,2.13,2.13,8500
2017-01-09,2.1,2.1,2.02,2.07,2.07,2600
2017-01-10,2.04,2.05,2.02,2.04,2.04,19500
2017-01-11,2.03,2.05,2.03,2.05,2.05,3000
2017-01-12,2.05,2.1,2.05,2.09,2.09,4900
2017-01-13,2.05,2.2,2.05,2.15,2.15,8500
2017-01-17,2.18,2.18,2.07,2.11,2.11,28900
2017-01-18,2.07,2.59,2.07,2.21,2.21,277500
2017-01-19,2.24,2.38,2.09,2.09,2.09,34300
2017-01-20,2.12,2.17,2.1,2.15,2.15,10100
2017-01-23,2.18,2.18,2.12,2.12,2.12,6200
2017-01-24,2.16,2.37,2.03,2.33,2.33,39200
2017-01-25,2.25,2.4,2.2,2.38,2.38,41300
2017-01-26,2.32,2.38,2.25,2.3,2.3,23500
2017-01-27,2.3,2.3,2.21,2.21,2.21,6300
2017-01-30,2.24,2.24,2.1,2.17,2.17,23600
2017-01-31,2.1,2.2,2.1,2.2,2.2,4200
2017-02-01,2.21,2.24,2.18,2.23,2.23,11100
2017-02-02,2.24,2.24,2.18,2.21,2.21,4400
2017-02-03,2.24,2.34,2.17,2.31,2.31,20100
2017-02-06,2.26,2.4,2.26,2.39,2.39,12200
2017-02-07,2.4,2.4,2.26,2.34,2.34,62000
2017-02-08,2.38,2.38,2.37,2.37,2.37,500
2017-02-09,2.39,2.4,2.31,2.37,2.37,23300
2017-02-10,2.36,2.39,2.32,2.33,2.33,13100
2017-02-13,2.4,2.6,2.36,2.42,2.42,500600
2017-02-14,2.38,2.4,2.3,2.39,2.39,37900
2017-02-15,2.39,2.4,2.32,2.39,2.39,11800
2017-02-16,2.38,2.46,2.3,2.42,2.42,44100
2017-02-17,2.42,2.44,2.36,2.38,2.38,7100
2017-02-21,2.39,2.4,2.14,2.28,2.28,29900
2017-02-22,2.3,2.3,2.2,2.21,2.21,31600
2017-02-23,2.23,2.23,2.07,2.15,2.15,27900
2017-02-24,2.14,2.22,2.07,2.12,2.12,10000
2017-02-27,2.17,2.17,2.1,2.15,2.15,4600
2017-02-28,2.1,2.13,2.07,2.08,2.08,16600
2017-03-01,2.13,2.26,2.1,2.12,2.12,54100
2017-03-02,2.16,2.16,2.04,2.04,2.04,11200
2017-03-03,2.03,2.12,1.96,2.02,2.02,28300
2017-03-06,2.0,2.11,1.91,1.98,1.98,13300
2017-03-07,1.96,1.96,1.91,1.96,1.96,8400
2017-03-08,1.93,1.94,1.9,1.91,1.91,4900
2017-03-09,1.94,2.0,1.87,1.93,1.93,10100
