Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,11.1,11.37,10.96,11.18,11.18,1700
2017-01-04,12.0,12.0,10.98,11.15,11.15,5600
2017-01-05,11.15,11.15,11.15,11.15,11.15,0
2017-01-06,11.15,11.15,11.15,11.15,11.15,0
2017-01-09,11.08,11.59,11.05,11.15,11.15,31300
2017-01-10,11.15,11.15,11.15,11.15,11.15,0
2017-01-11,11.15,11.35,11.15,11.35,11.35,600
2017-01-12,11.14,11.14,10.97,10.97,10.97,600
2017-01-13,10.97,10.97,10.97,10.97,10.97,0
2017-01-17,11.04,11.1,11.04,11.1,11.1,1300
2017-01-18,11.1,11.1,11.07,11.09,11.09,1500
2017-01-19,11.09,11.09,11.09,11.09,11.09,0
2017-01-20,11.09,11.09,11.09,11.09,11.09,0
2017-01-23,11.09,11.09,11.09,11.09,11.09,0
2017-01-24,11.47,11.47,11.47,11.47,11.47,300
2017-01-25,11.25,11.33,11.2,11.2,11.2,1700
2017-01-26,11.02,11.02,10.85,10.85,10.85,6400
2017-01-27,10.9,10.9,10.85,10.85,10.85,500
2017-01-30,10.85,10.85,10.75,10.77,10.77,2200
2017-01-31,10.77,10.77,10.77,10.77,10.77,0
2017-02-01,10.92,10.92,10.92,10.92,10.92,1400
2017-02-02,11.19,11.19,10.95,10.95,10.95,400
2017-02-03,10.75,10.77,10.75,10.75,10.75,800
2017-02-06,10.75,10.75,10.75,10.75,10.75,0
2017-02-07,10.81,11.0,10.79,11.0,11.0,5300
2017-02-08,10.78,10.78,10.78,10.78,10.78,900
2017-02-09,10.75,10.8,9.5,10.24,10.24,7700
2017-02-10,10.3,10.3,10.3,10.3,10.3,100
2017-02-13,10.44,10.44,10.44,10.44,10.44,200
2017-02-14,10.5,10.5,10.5,10.5,10.5,500
2017-02-15,10.5,10.5,10.5,10.5,10.5,0
2017-02-16,10.2,10.2,10.2,10.2,10.2,400
2017-02-17,10.2,10.2,10.2,10.2,10.2,100
2017-02-21,10.25,10.25,10.25,10.25,10.25,200
2017-02-22,10.29,10.29,10.25,10.25,10.25,500
2017-02-23,10.26,10.3,10.25,10.25,10.25,600
2017-02-24,10.25,10.25,10.25,10.25,10.25,0
2017-02-27,10.1,10.1,10.1,10.1,10.1,200
2017-02-28,10.04,10.1,9.5,10.1,10.1,1200
2017-03-01,10.0,10.5,10.0,10.5,10.5,700
2017-03-02,10.5,10.5,10.09,10.1,10.1,500
2017-03-03,10.08,10.08,10.06,10.06,10.06,300
2017-03-06,10.1,10.1,10.1,10.1,10.1,100
2017-03-07,10.1,10.5,10.1,10.5,10.5,200
2017-03-08,10.0,10.05,10.0,10.0,10.0,1900
2017-03-09,10.07,10.1,10.0,10.0,10.0,1000
2017-03-10,9.8,9.8,9.8,9.8,9.8,300
2017-03-13,9.76,9.76,9.76,9.76,9.76,100
2017-03-14,9.75,9.75,9.75,9.75,9.75,500
2017-03-15,9.75,9.75,9.75,9.75,9.75,0
2017-03-16,9.74,9.9,9.74,9.9,9.9,2500
2017-03-17,9.9,9.9,9.9,9.9,9.9,0
2017-03-20,9.9,9.9,9.9,9.9,9.9,100
2017-03-21,9.9,9.9,9.9,9.9,9.9,1000
2017-03-22,9.9,9.9,9.9,9.9,9.9,0
2017-03-23,9.81,9.81,9.81,9.81,9.81,300
2017-03-24,9.81,9.81,9.81,9.81,9.81,0
2017-03-27,10.0,10.0,9.51,9.51,9.51,500
2017-03-28,9.79,9.79,9.72,9.72,9.72,600
2017-03-29,9.51,9.7,9.51,9.62,9.62,900
2017-03-30,9.62,9.62,9.62,9.62,9.62,0
2017-03-31,10.06,10.5,10.04,10.04,10.04,3600
2017-04-03,9.75,10.13,9.7,9.78,9.78,10600
2017-04-04,10.1,10.1,9.77,9.87,9.87,500
2017-04-05,9.78,9.79,9.78,9.79,9.79,200
2017-04-06,9.75,9.75,9.75,9.75,9.75,500
2017-04-07,9.75,9.75,9.75,9.75,9.75,0
2017-04-10,9.73,9.8,9.73,9.8,9.8,1300
2017-04-11,9.8,9.8,9.8,9.8,9.8,0
2017-04-12,9.8,9.8,9.8,9.8,9.8,0
2017-04-13,10.14,10.14,10.08,10.08,10.08,1200
2017-04-17,10.08,10.08,10.08,10.08,10.08,0
2017-04-18,9.76,9.76,9.3,9.3,9.3,4600
2017-04-19,9.43,9.43,9.43,9.43,9.43,400
2017-04-20,9.36,9.36,9.36,9.36,9.36,100
2017-04-21,9.4,9.47,8.81,8.82,8.82,1300
2017-04-24,8.99,8.99,8.85,8.85,8.85,500
2017-04-25,9.5,9.5,8.65,9.35,9.35,1700
2017-04-26,9.35,9.35,9.35,9.35,9.35,0
2017-04-27,8.95,8.95,8.91,8.91,8.91,1300
2017-04-28,8.95,8.95,8.7,8.78,8.78,1900
2017-05-01,8.77,8.77,8.72,8.72,8.72,1100
2017-05-02,8.71,8.71,8.71,8.71,8.71,300
2017-05-03,8.71,8.71,8.71,8.71,8.71,0
2017-05-04,8.71,8.71,8.71,8.71,8.71,0
2017-05-05,8.87,8.87,8.51,8.62,8.62,400
2017-05-08,8.62,8.62,8.62,8.62,8.62,0
2017-05-09,8.55,8.59,8.55,8.59,8.59,1100
2017-05-10,8.6,8.95,8.6,8.93,8.93,2900
2017-05-11,8.95,8.95,8.95,8.95,8.95,600
2017-05-12,8.95,8.95,8.95,8.95,8.95,0
2017-05-15,8.75,8.84,8.75,8.84,8.84,2800
2017-05-16,8.84,8.84,8.84,8.84,8.84,0
2017-05-17,9.0,9.04,8.75,8.82,8.82,5000
2017-05-18,8.5,8.5,8.45,8.48,8.48,1700
2017-05-19,8.23,8.47,8.08,8.08,8.08,17900
2017-05-22,8.14,8.35,8.0,8.0,8.0,4600
2017-05-23,8.0,8.0,8.0,8.0,8.0,600
2017-05-24,7.99,8.0,7.75,7.81,7.81,4000
2017-05-25,7.92,7.92,7.8,7.89,7.89,4400
2017-05-26,7.95,8.0,7.82,8.0,8.0,1200
2017-05-30,7.98,7.99,7.78,7.78,7.78,900
2017-05-31,7.78,7.78,7.78,7.78,7.78,0
2017-06-01,7.61,7.68,7.55,7.55,7.55,4100
2017-06-02,7.9,7.98,7.9,7.98,7.98,800
2017-06-05,7.97,7.97,7.49,7.49,7.49,5400
2017-06-06,7.94,7.94,7.79,7.79,7.79,300
2017-06-07,7.81,7.91,7.4,7.74,7.74,22400
2017-06-08,7.76,7.77,7.75,7.75,7.75,4900
2017-06-09,7.58,7.69,7.58,7.65,7.65,3700
2017-06-12,7.82,8.16,7.81,8.16,8.16,3500
