Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.1,7.25,6.95,7.25,7.25,145400.0
2017-01-04,7.25,7.6,7.2,7.4,7.4,171800.0
2017-01-05,7.3,7.45,7.1,7.25,7.25,90900.0
2017-01-06,7.35,7.45,7.1,7.15,7.15,93700.0
2017-01-09,7.2,7.35,7.1,7.25,7.25,107200.0
2017-01-10,7.25,7.35,7.15,7.3,7.3,57100.0
2017-01-11,7.3,7.4,7.05,7.2,7.2,164900.0
2017-01-12,7.1,7.35,7.05,7.15,7.15,105500.0
2017-01-13,7.2,7.4,7.15,7.2,7.2,111500.0
2017-01-17,7.15,7.18,6.8,6.9,6.9,208800.0
2017-01-18,7.0,7.2,6.85,7.15,7.15,268300.0
2017-01-19,7.1,7.18,6.85,7.0,7.0,254900.0
2017-01-20,7.0,7.15,6.95,7.1,7.1,148400.0
2017-01-23,7.05,7.2,6.95,7.15,7.15,143800.0
2017-01-24,7.2,7.55,7.1,7.55,7.55,247000.0
2017-01-25,7.55,7.7,7.15,7.3,7.3,224500.0
2017-01-26,7.3,7.35,7.1,7.15,7.15,127300.0
2017-01-27,7.15,7.15,6.85,7.0,7.0,200100.0
2017-01-30,7.0,7.0,6.75,6.9,6.9,388900.0
2017-01-31,6.85,7.35,6.6,7.25,7.25,209200.0
2017-02-01,7.25,7.45,7.05,7.1,7.1,163100.0
2017-02-02,7.15,7.2,7.0,7.1,7.1,198200.0
2017-02-03,7.15,7.35,7.0,7.3,7.3,115800.0
2017-02-06,7.25,7.35,7.1,7.2,7.2,79300.0
2017-02-07,7.3,7.3,7.05,7.1,7.1,136000.0
2017-02-08,7.05,7.15,6.9,7.05,7.05,169000.0
2017-02-09,7.0,7.5,7.0,7.35,7.35,215200.0
2017-02-10,7.35,7.45,7.2,7.35,7.35,120000.0
2017-02-13,7.45,7.45,7.15,7.2,7.2,108200.0
2017-02-14,7.25,7.25,7.05,7.15,7.15,184400.0
2017-02-15,7.25,7.25,7.0,7.25,7.25,153000.0
2017-02-16,7.15,7.25,7.05,7.18,7.18,161200.0
2017-02-17,7.2,7.35,7.05,7.15,7.15,256500.0
2017-02-21,7.2,7.3,7.0,7.1,7.1,186700.0
2017-02-22,7.15,7.2,7.05,7.15,7.15,122500.0
2017-02-23,7.1,7.28,6.9,7.2,7.2,210900.0
2017-02-24,7.1,7.45,7.1,7.2,7.2,195100.0
2017-02-27,7.2,7.9,7.2,7.7,7.7,323400.0
2017-02-28,7.7,7.9,7.5,7.65,7.65,233700.0
2017-03-01,7.7,8.15,7.7,8.05,8.05,342400.0
2017-03-02,8.05,8.3,7.8,8.05,8.05,478600.0
2017-03-03,8.0,8.1,7.6,7.65,7.65,202200.0
2017-03-06,7.7,7.9,7.4,7.45,7.45,129200.0
2017-03-07,7.4,7.8,7.3,7.35,7.35,124700.0
2017-03-08,7.35,7.8,7.0,7.35,7.35,253400.0
2017-03-09,7.35,7.7,7.25,7.6,7.6,697200.0
2017-03-10,7.75,7.75,7.5,7.65,7.65,167700.0
2017-03-13,7.6,7.95,7.5,7.6,7.6,267500.0
2017-03-14,7.6,7.6,7.3,7.35,7.35,127200.0
2017-03-15,7.4,7.7,7.3,7.65,7.65,111600.0
2017-03-16,7.65,7.65,7.35,7.45,7.45,143500.0
2017-03-17,7.55,8.05,7.25,7.95,7.95,831800.0
