Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.66,1.69,1.62,1.64,1.64,38500
2017-01-04,1.64,1.64,1.57,1.6,1.6,117400
2017-01-05,1.59,1.61,1.55,1.58,1.58,106900
2017-01-06,1.59,1.59,1.5,1.54,1.54,112300
2017-01-09,1.53,1.57,1.5,1.54,1.54,80000
2017-01-10,1.54,1.58,1.51,1.54,1.54,53800
2017-01-11,1.49,1.57,1.49,1.55,1.55,56100
2017-01-12,1.55,1.58,1.51,1.56,1.56,93500
2017-01-13,1.56,1.63,1.54,1.6,1.6,113400
2017-01-17,1.6,1.62,1.56,1.59,1.59,89900
2017-01-18,1.58,1.63,1.56,1.59,1.59,96800
2017-01-19,1.58,1.59,1.56,1.58,1.58,80900
2017-01-20,1.58,1.63,1.52,1.58,1.58,40100
2017-01-23,1.58,1.58,1.53,1.55,1.55,21600
2017-01-24,1.54,1.56,1.51,1.52,1.52,41400
2017-01-25,1.55,1.57,1.46,1.5,1.5,124400
2017-01-26,1.5,1.52,1.49,1.51,1.51,65100
2017-01-27,1.51,1.55,1.49,1.52,1.52,30900
2017-01-30,1.51,1.51,1.47,1.47,1.47,50400
2017-01-31,1.47,1.47,1.45,1.47,1.47,21700
2017-02-01,1.49,1.53,1.48,1.52,1.52,70500
2017-02-02,1.52,1.55,1.5,1.55,1.55,27100
2017-02-03,1.54,1.58,1.54,1.54,1.54,15300
2017-02-06,1.55,1.57,1.53,1.55,1.55,47600
2017-02-07,1.55,1.57,1.51,1.53,1.53,30200
2017-02-08,1.54,1.56,1.51,1.56,1.56,111300
2017-02-09,1.55,1.61,1.54,1.6,1.6,231000
2017-02-10,1.45,1.45,1.25,1.26,1.26,1337900
2017-02-13,1.26,1.3,1.26,1.29,1.29,288900
2017-02-14,1.3,1.33,1.26,1.3,1.3,406900
2017-02-15,1.3,1.31,1.26,1.28,1.28,262000
2017-02-16,1.28,1.33,1.28,1.29,1.29,178300
2017-02-17,1.3,1.3,1.28,1.3,1.3,270500
2017-02-21,1.29,1.34,1.28,1.31,1.31,114500
2017-02-22,1.32,1.34,1.3,1.32,1.32,113200
2017-02-23,1.34,1.35,1.29,1.31,1.31,91200
2017-02-24,1.29,1.32,1.28,1.31,1.31,116300
2017-02-27,1.31,1.34,1.28,1.3,1.3,168000
2017-02-28,1.29,1.3,1.28,1.28,1.28,68100
2017-03-01,1.28,1.3,1.28,1.29,1.29,38000
2017-03-02,1.28,1.29,1.26,1.26,1.26,38800
2017-03-03,1.28,1.29,1.26,1.28,1.28,32300
2017-03-06,1.27,1.29,1.26,1.27,1.27,56200
2017-03-07,1.26,1.28,1.26,1.26,1.26,162600
2017-03-08,1.28,1.28,1.27,1.27,1.27,21200
2017-03-09,1.27,1.28,1.26,1.27,1.27,7600
2017-03-10,1.26,1.27,1.16,1.18,1.18,332300
2017-03-13,1.18,1.2,1.08,1.1,1.1,331400
2017-03-14,1.07,1.09,1.01,1.04,1.04,720900
2017-03-15,1.05,1.1,0.98,1.01,1.01,923200
2017-03-16,1.01,1.23,1.01,1.19,1.19,603100
2017-03-17,1.19,1.23,1.14,1.19,1.19,208900
2017-03-20,1.21,1.23,1.17,1.17,1.17,58000
2017-03-21,1.16,1.17,1.11,1.14,1.14,44000
2017-03-22,1.13,1.16,1.13,1.14,1.14,42200
2017-03-23,1.12,1.19,1.09,1.15,1.15,29200
2017-03-24,1.15,1.17,1.15,1.17,1.17,77300
2017-03-27,1.15,1.2,1.15,1.2,1.2,38300
2017-03-28,1.19,1.23,1.16,1.19,1.19,73500
2017-03-29,1.18,1.21,1.14,1.21,1.21,112100
2017-03-30,1.22,1.22,1.16,1.17,1.17,26500
2017-03-31,1.19,1.2,1.15,1.17,1.17,71100
2017-04-03,1.17,1.21,1.14,1.14,1.14,247400
2017-04-04,1.14,1.21,1.09,1.17,1.17,108600
2017-04-05,1.19,1.21,1.15,1.15,1.15,104500
2017-04-06,1.18,1.21,1.16,1.2,1.2,86200
2017-04-07,1.19,1.3,1.19,1.21,1.21,167700
2017-04-10,1.23,1.26,1.21,1.22,1.22,83100
2017-04-11,1.23,1.29,1.23,1.25,1.25,120100
2017-04-12,1.26,1.3,1.26,1.28,1.28,66700
2017-04-13,1.27,1.32,1.25,1.31,1.31,132200
2017-04-17,1.31,1.32,1.23,1.28,1.28,73300
2017-04-18,1.26,1.28,1.19,1.24,1.24,37700
2017-04-19,1.25,1.3,1.24,1.26,1.26,32400
2017-04-20,1.27,1.31,1.25,1.26,1.26,24600
2017-04-21,1.26,1.3,1.2,1.23,1.23,73700
2017-04-24,1.22,1.3,1.22,1.25,1.25,79200
2017-04-25,1.3,1.3,1.25,1.25,1.25,187300
2017-04-26,1.32,1.32,1.26,1.27,1.27,73400
2017-04-27,1.27,1.3,1.22,1.24,1.24,90900
2017-04-28,1.28,1.29,1.22,1.24,1.24,38300
2017-05-01,1.26,1.3,1.25,1.26,1.26,87500
2017-05-02,1.26,1.29,1.26,1.26,1.26,128400
2017-05-03,1.26,1.29,1.25,1.29,1.29,79400
2017-05-04,1.25,1.27,1.16,1.23,1.23,238000
2017-05-05,1.22,1.25,1.18,1.22,1.22,109300
2017-05-08,1.2,1.24,1.19,1.23,1.23,181600
2017-05-09,1.24,1.24,1.21,1.22,1.22,69600
2017-05-10,1.19,1.26,1.19,1.25,1.25,251800
2017-05-11,1.27,1.27,1.24,1.25,1.25,202600
2017-05-12,1.24,1.26,1.24,1.25,1.25,119700
2017-05-15,1.24,1.26,1.24,1.26,1.26,167100
2017-05-16,1.25,1.26,1.23,1.26,1.26,43500
2017-05-17,1.26,1.26,1.22,1.22,1.22,29300
2017-05-18,1.22,1.26,1.22,1.25,1.25,42100
2017-05-19,1.25,1.28,1.25,1.28,1.28,299000
2017-05-22,1.27,1.36,1.27,1.32,1.32,240100
2017-05-23,1.32,1.4,1.32,1.38,1.38,347600
2017-05-24,1.41,1.49,1.41,1.45,1.45,583200
2017-05-25,1.5,1.51,1.45,1.45,1.45,223900
2017-05-26,1.44,1.45,1.36,1.41,1.41,176600
2017-05-30,1.39,1.46,1.39,1.44,1.44,180600
2017-05-31,1.47,1.48,1.43,1.46,1.46,135800
2017-06-01,1.45,1.48,1.43,1.45,1.45,79400
2017-06-02,1.46,1.46,1.42,1.45,1.45,51900
2017-06-05,1.44,1.46,1.41,1.46,1.46,58300
2017-06-06,1.4,1.46,1.4,1.46,1.46,20000
2017-06-07,1.46,1.46,1.43,1.44,1.44,29100
2017-06-08,1.43,1.44,1.39,1.44,1.44,55700
2017-06-09,1.44,1.44,1.42,1.42,1.42,27600
2017-06-12,1.4,1.42,1.37,1.4,1.4,87900
2017-06-13,1.39,1.42,1.37,1.41,1.41,78300
2017-06-14,1.42,1.45,1.4,1.41,1.41,88700
2017-06-15,1.41,1.43,1.38,1.41,1.41,57900
2017-06-16,1.4,1.45,1.38,1.44,1.44,111600
2017-06-19,1.44,1.46,1.38,1.39,1.39,55300
2017-06-20,1.38,1.4,1.35,1.38,1.38,54100
2017-06-21,1.39,1.41,1.38,1.38,1.38,58700
2017-06-22,1.4,1.41,1.29,1.33,1.33,92400
2017-06-23,1.35,1.41,1.35,1.37,1.37,53000
2017-06-26,1.35,1.38,1.34,1.34,1.34,61600
2017-06-27,1.36,1.37,1.34,1.36,1.36,98800
2017-06-28,1.37,1.38,1.36,1.37,1.37,26200
2017-06-29,1.37,1.39,1.31,1.32,1.32,47600
2017-06-30,1.32,1.37,1.31,1.32,1.32,13600
2017-07-03,1.35,1.36,1.32,1.36,1.36,17800
2017-07-05,1.3,1.35,1.29,1.32,1.32,64900
2017-07-06,1.32,1.36,1.32,1.32,1.32,69500
2017-07-07,1.33,1.34,1.32,1.33,1.33,30600
2017-07-10,1.32,1.34,1.3,1.31,1.31,148600
2017-07-11,1.32,1.34,1.29,1.3,1.3,91100
2017-07-12,1.31,1.33,1.3,1.31,1.31,44900
2017-07-13,1.32,1.32,1.3,1.32,1.32,54200
2017-07-14,1.29,1.33,1.28,1.29,1.29,67100
2017-07-17,1.29,1.32,1.28,1.32,1.32,32300
2017-07-18,1.33,1.33,1.26,1.28,1.28,67300
2017-07-19,1.27,1.31,1.27,1.29,1.29,36900
2017-07-20,1.3,1.32,1.26,1.29,1.29,62900
2017-07-21,1.28,1.31,1.25,1.29,1.29,143600
2017-07-24,1.26,1.31,1.26,1.28,1.28,50600
2017-07-25,1.27,1.29,1.24,1.24,1.24,47400
2017-07-26,1.26,1.28,1.25,1.26,1.26,56300
2017-07-27,1.27,1.27,1.22,1.22,1.22,21400
2017-07-28,1.21,1.25,1.19,1.24,1.24,54600
2017-07-31,1.24,1.25,1.21,1.22,1.22,18300
2017-08-01,1.21,1.21,1.16,1.17,1.17,67500
2017-08-02,1.17,1.22,1.17,1.2,1.2,53500
2017-08-03,0.62,0.74,0.61,0.67,0.67,1253800
2017-08-04,0.69,0.72,0.65,0.67,0.67,933800
2017-08-07,0.66,0.68,0.65,0.66,0.66,314600
2017-08-08,0.66,0.66,0.62,0.62,0.62,656300
2017-08-09,0.63,0.65,0.56,0.58,0.58,414200
2017-08-10,0.59,0.6,0.53,0.57,0.57,328100
2017-08-11,0.58,0.62,0.54,0.6,0.6,322500
2017-08-14,0.6,0.63,0.6,0.63,0.63,129700
2017-08-15,0.63,0.64,0.57,0.58,0.58,189500
2017-08-16,0.6,0.65,0.6,0.65,0.65,193800
2017-08-17,0.65,0.65,0.55,0.63,0.63,63100
2017-08-18,0.59,0.61,0.58,0.6,0.6,225700
2017-08-21,0.59,0.6,0.54,0.55,0.55,436300
2017-08-22,0.57,0.6,0.56,0.58,0.58,74000
2017-08-23,0.58,0.62,0.57,0.6,0.6,203600
2017-08-24,0.6,0.6,0.59,0.59,0.59,119300
2017-08-25,0.59,0.6,0.59,0.6,0.6,91100
2017-08-28,0.6,0.6,0.59,0.59,0.59,76300
2017-08-29,0.6,0.65,0.58,0.6,0.6,750600
2017-08-30,0.6,0.62,0.56,0.57,0.57,388900
2017-08-31,0.58,0.6,0.56,0.56,0.56,237400
2017-09-01,0.56,0.57,0.51,0.55,0.55,1347900
2017-09-05,0.56,0.58,0.55,0.56,0.56,394200
2017-09-06,0.55,0.56,0.53,0.54,0.54,296300
2017-09-07,0.55,0.56,0.53,0.53,0.53,171500
2017-09-08,0.53,0.56,0.53,0.53,0.53,359200
2017-09-11,0.55,0.57,0.53,0.55,0.55,1063000
2017-09-12,0.56,0.6,0.56,0.59,0.59,422700
2017-09-13,0.59,0.63,0.57,0.58,0.58,505700
2017-09-14,0.6,0.67,0.59,0.64,0.64,494600
2017-09-15,0.66,0.68,0.59,0.59,0.59,689100
2017-09-18,0.59,0.64,0.59,0.59,0.59,430200
2017-09-19,0.61,0.62,0.56,0.6,0.6,363400
2017-09-20,0.61,0.61,0.58,0.6,0.6,320000
2017-09-21,0.6,0.61,0.56,0.56,0.56,427700
2017-09-22,0.56,0.62,0.56,0.59,0.59,148000
2017-09-25,0.6,0.61,0.56,0.56,0.56,87200
2017-09-26,0.57,0.62,0.57,0.61,0.61,166600
2017-09-27,0.59,0.69,0.59,0.65,0.65,1391300
2017-09-28,0.62,0.67,0.62,0.67,0.67,249000
2017-09-29,0.6778,0.6799,0.6305,0.66,0.66,94127
