Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2.83,2.9,2.76,2.88,2.88,150300
2017-01-04,2.86,2.96,2.83,2.91,2.91,146100
2017-01-05,2.91,2.94,2.78,2.86,2.86,159500
2017-01-06,2.89,2.96,2.78,2.79,2.79,241900
2017-01-09,2.76,2.79,2.69,2.7,2.7,213900
2017-01-10,2.67,2.81,2.67,2.74,2.74,172400
2017-01-11,2.75,2.77,2.65,2.66,2.66,167700
2017-01-12,2.75,2.75,2.55,2.6,2.6,276200
2017-01-13,2.55,2.64,2.55,2.59,2.59,118600
2017-01-17,2.6,2.64,2.49,2.51,2.51,249400
2017-01-18,2.5,2.55,2.46,2.53,2.53,118300
2017-01-19,2.54,2.68,2.53,2.6,2.6,137700
2017-01-20,2.57,2.65,2.48,2.54,2.54,209900
2017-01-23,2.53,2.62,2.53,2.56,2.56,86600
2017-01-24,2.56,2.65,2.5,2.55,2.55,180800
2017-01-25,2.58,2.68,2.56,2.64,2.64,116900
2017-01-26,2.62,2.75,2.62,2.66,2.66,159900
2017-01-27,2.69,2.91,2.69,2.82,2.82,469100
2017-01-30,2.8,2.84,2.71,2.77,2.77,141700
2017-01-31,2.76,2.94,2.72,2.75,2.75,95500
2017-02-01,2.98,2.99,2.8,2.98,2.98,351500
2017-02-02,2.99,2.99,2.9,2.98,2.98,209500
2017-02-03,3.05,3.12,2.75,2.93,2.93,598600
2017-02-06,2.88,2.92,2.75,2.9,2.9,271500
2017-02-07,2.9,2.9,2.77,2.86,2.86,184600
2017-02-08,2.83,2.9,2.77,2.86,2.86,119200
2017-02-09,2.86,2.87,2.75,2.78,2.78,131100
2017-02-10,2.7,2.76,2.53,2.64,2.64,553100
2017-02-13,2.6,2.65,2.5,2.58,2.58,261500
2017-02-14,2.55,2.57,2.48,2.51,2.51,185700
2017-02-15,2.55,2.57,2.48,2.5,2.5,345700
2017-02-16,2.5,2.59,2.49,2.5,2.5,153800
2017-02-17,2.5,2.5,2.32,2.45,2.45,413000
2017-02-21,2.45,2.5,2.35,2.4,2.4,123600
2017-02-22,2.41,2.44,2.28,2.31,2.31,148700
2017-02-23,2.31,2.32,2.11,2.15,2.15,605200
2017-02-24,2.75,2.82,2.5,2.55,2.55,5915400
2017-02-27,2.81,2.81,2.49,2.59,2.59,996700
2017-02-28,2.56,2.58,2.45,2.53,2.53,306300
2017-03-01,2.49,2.53,2.4,2.43,2.43,290400
2017-03-02,2.43,2.44,2.37,2.38,2.38,199600
2017-03-03,2.39,2.63,2.33,2.63,2.63,675900
2017-03-06,2.68,2.69,2.52,2.6,2.6,376400
2017-03-07,2.67,2.67,2.51,2.58,2.58,272300
