Date,Open,High,Low,Close,Adj Close,Volume
2017-08-14,2.3,2.36,2.15,2.31,2.31,119600
2017-08-15,2.34,2.56,2.31,2.38,2.38,101400
2017-08-16,2.44,2.44,2.25,2.36,2.36,89200
2017-08-17,2.43,2.43,2.25,2.42,2.42,98900
2017-08-18,2.42,2.42,2.3,2.31,2.31,57900
2017-08-21,2.4,2.4,2.27,2.35,2.35,49600
2017-08-22,2.35,2.43,2.284,2.34,2.34,82600
2017-08-23,2.35,2.41,2.28,2.35,2.35,38900
2017-08-24,2.35,2.48,2.25,2.48,2.48,86500
2017-08-25,2.52,2.59,2.35,2.38,2.38,83000
2017-08-28,2.47,2.56,2.42,2.51,2.51,36100
2017-08-29,2.5,2.6,2.481,2.55,2.55,39000
2017-08-30,2.5,2.53,2.45,2.46,2.46,45600
2017-08-31,2.5,2.501,2.42,2.43,2.43,58000
2017-09-01,2.42,2.8,2.38,2.641,2.641,496400
2017-09-05,2.94,2.94,2.674,2.75,2.75,522600
2017-09-06,2.75,2.8,2.7,2.79,2.79,155500
2017-09-07,2.8,2.875,2.65,2.73,2.73,174800
2017-09-08,2.65,2.8,2.64,2.74,2.74,83100
2017-09-11,2.73,2.841,2.65,2.71,2.71,128700
2017-09-12,2.85,2.85,2.67,2.69,2.69,99900
2017-09-13,2.65,2.7,2.64,2.65,2.65,93600
2017-09-14,2.65,2.75,2.5,2.54,2.54,125100
2017-09-15,2.51,2.6,2.35,2.42,2.42,124300
2017-09-18,2.5,2.63,2.5,2.56,2.56,104900
2017-09-19,2.55,2.7,2.55,2.59,2.59,90600
2017-09-20,2.7,2.74,2.62,2.63,2.63,103300
2017-09-21,2.64,2.74,2.6,2.69,2.69,100100
2017-09-22,2.71,2.78,2.66,2.75,2.75,128100
2017-09-25,2.74,2.81,2.717,2.73,2.73,135500
2017-09-26,2.75,2.751,2.7,2.72,2.72,44500
2017-09-27,2.79,2.85,2.74,2.78,2.78,105200
2017-09-28,2.76,2.8,2.65,2.68,2.68,78200
2017-09-29,2.68,2.8,2.5,2.59,2.59,125588
