Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,14.15,14.22,13.92,14.02,13.776129000000001,1570100
2017-01-04,14.02,14.32,14.02,14.3,14.051259,2382300
2017-01-05,14.26,14.29,14.03,14.12,13.874389,1300200
2017-01-06,14.16,14.26,14.13,14.15,13.903867000000002,1656600
2017-01-09,14.07,14.09,13.9,13.95,13.707345000000002,1446200
2017-01-10,13.97,14.1,13.91,14.06,13.815434,1640800
2017-01-11,14.05,14.21,13.95,14.21,13.962823,1285500
2017-01-12,14.15,14.15,13.84,13.95,13.707345000000002,1835300
2017-01-13,14.04,14.28,14.02,14.12,13.874389,1670500
2017-01-17,14.01,14.01,13.69,13.7,13.461695,1623600
2017-01-18,13.8,13.85,13.61,13.85,13.609085999999998,1601500
2017-01-19,13.88,13.98,13.69,13.77,13.530478,2133200
2017-01-20,13.77,13.93,13.77,13.82,13.579607000000001,1419700
2017-01-23,13.79,13.87,13.7,13.78,13.540303,1851300
2017-01-24,13.81,14.08,13.77,14.01,13.766302,1678900
2017-01-25,14.1,14.19,13.98,14.1,13.854737,4388200
2017-01-26,14.14,14.15,13.99,14.1,13.854737,3260700
2017-01-27,14.3,14.93,14.29,14.46,14.208473999999999,8097100
2017-01-30,14.38,14.48,14.14,14.31,14.061085,6302400
2017-01-31,14.23,14.41,14.18,14.35,14.100389000000002,3217900
2017-02-01,14.48,14.61,14.02,14.25,14.002127999999999,2479200
2017-02-02,14.17,14.31,14.04,14.18,13.933345999999998,2364700
2017-02-03,14.37,14.48,14.33,14.46,14.208473999999999,1530800
2017-02-06,14.41,14.5,14.31,14.31,14.061085,1185000
2017-02-07,14.38,14.45,14.28,14.33,14.080735999999998,2307900
2017-02-08,14.2,14.28,14.08,14.24,14.070854999999998,1851600
2017-02-09,14.31,14.43,14.27,14.37,14.19931,1290400
2017-02-10,14.31,14.49,14.31,14.48,14.308003,1271400
2017-02-13,14.61,14.77,14.49,14.62,14.446342000000001,2166700
2017-02-14,14.65,14.82,14.53,14.8,14.624203,1937800
2017-02-15,14.85,14.89,14.74,14.86,14.683489999999999,1898200
2017-02-16,14.86,14.89,14.79,14.87,14.693372,1389300
2017-02-17,14.87,14.91,14.74,14.9,14.723015,1207400
2017-02-21,14.92,14.95,14.85,14.95,14.772422,1146400
2017-02-22,14.9,14.95,14.83,14.91,14.732895999999998,1216700
2017-02-23,14.9,14.99,14.78,14.92,14.742778,1668900
2017-02-24,14.72,14.81,14.66,14.75,14.574797,1718400
2017-02-27,14.74,14.89,14.72,14.86,14.683489999999999,2498400
2017-02-28,14.83,14.84,14.56,14.63,14.456223000000001,2099500
2017-03-01,14.75,15.11,14.75,15.01,14.831709,2421900
2017-03-02,15.04,15.04,14.62,14.62,14.446342000000001,1855100
2017-03-03,14.65,14.8,14.56,14.78,14.604441,1728500
2017-03-06,14.71,14.74,14.59,14.68,14.505629,1559100
2017-03-07,14.65,14.8,14.57,14.71,14.535273000000002,2168600
2017-03-08,14.84,14.86,14.56,14.56,14.387054000000001,1665100
2017-03-09,14.57,14.72,14.57,14.6,14.426579,1189700
2017-03-10,14.65,14.65,14.4,14.5,14.327766,1937000
2017-03-13,14.16,14.6,14.16,14.53,14.357409,1326000
2017-03-14,14.44,14.54,14.32,14.5,14.327766,1146600
2017-03-15,14.56,14.61,14.35,14.36,14.189428,1833300
2017-03-16,14.42,14.53,14.38,14.45,14.278360000000001,1521000
2017-03-17,14.38,14.59,14.3,14.59,14.416698,3194700
2017-03-20,14.56,14.59,14.33,14.34,14.169667,1674900
2017-03-21,14.45,14.46,13.74,13.76,13.596557,3431200
2017-03-22,13.39,13.71,13.39,13.68,13.517508,3417200
2017-03-23,13.66,13.9,13.56,13.78,13.616319,2267100
2017-03-24,13.87,13.94,13.75,13.82,13.655842999999999,1710200
2017-03-27,13.58,13.81,13.43,13.79,13.6262,1277000
2017-03-28,13.72,14.03,13.72,13.99,13.823823999999998,1836300
2017-03-29,13.94,14.05,13.84,13.85,13.685488000000001,3232000
2017-03-30,13.86,14.37,13.83,14.35,14.179548,4884100
2017-03-31,14.32,14.48,13.85,14.38,14.209192000000002,3178800
2017-04-03,14.37,14.4,14.12,14.29,14.120261,2004400
2017-04-04,14.2,14.38,14.2,14.32,14.149904000000001,1709600
2017-04-05,14.42,14.5,14.06,14.07,13.902873999999999,2084000
2017-04-06,14.06,14.32,13.98,14.26,14.090617000000002,1767500
2017-04-07,14.12,14.27,14.07,14.27,14.100499,2184800
2017-04-10,14.31,14.36,14.09,14.19,14.021448000000001,1697200
2017-04-11,14.13,14.32,14.09,14.31,14.140023000000001,1958000
2017-04-12,14.27,14.34,14.08,14.09,13.922635999999999,2357500
2017-04-13,13.96,14.15,13.83,13.83,13.665725,3813100
2017-04-17,13.87,14.1,13.82,14.1,13.932518,1017300
2017-04-18,13.75,14.49,13.75,14.08,13.912754999999999,1321700
2017-04-19,14.09,14.25,13.85,14.13,13.962162,1331900
2017-04-20,14.22,14.4,14.14,14.39,14.219073000000002,1824700
2017-04-21,14.38,14.46,14.09,14.41,14.238835,1285300
2017-04-24,14.73,14.82,14.59,14.61,14.43646,1534000
2017-04-25,14.75,14.78,14.62,14.62,14.446342000000001,1301600
2017-04-26,14.6,14.85,14.59,14.69,14.515509,1763600
2017-04-27,14.76,14.76,14.49,14.53,14.357409,1690300
2017-04-28,14.51,14.83,13.85,13.85,13.685488000000001,3465700
2017-05-01,13.88,13.95,13.73,13.78,13.616319,2332800
2017-05-02,13.83,13.83,13.51,13.64,13.477982,2643700
2017-05-03,13.55,13.66,13.5,13.61,13.448338,2024400
2017-05-04,13.69,13.76,13.52,13.54,13.379169000000001,1991600
2017-05-05,13.57,13.61,13.45,13.45,13.290238,2795100
2017-05-08,13.42,13.67,13.33,13.64,13.558628,5980200
2017-05-09,13.73,13.89,13.6,13.81,13.727614,6444100
2017-05-10,13.78,13.95,13.69,13.83,13.747494,3553100
2017-05-11,13.78,13.81,13.5,13.57,13.489045,2938000
2017-05-12,13.5,13.68,13.41,13.65,13.568567000000002,3790900
2017-05-15,13.69,13.81,13.62,13.71,13.628210000000001,2386400
2017-05-16,13.72,13.76,13.49,13.62,13.538747,1536600
