Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.38,3.54,3.37,3.48,3.48,22600
2017-01-04,3.49,3.55,3.48,3.51,3.51,11500
2017-01-05,3.61,3.62,3.54,3.62,3.62,16300
2017-01-06,3.65,3.65,3.6,3.6,3.6,4800
2017-01-09,3.65,3.75,3.62,3.75,3.75,55900
2017-01-10,3.78,4.36,3.78,3.83,3.83,33500
2017-01-11,3.9,3.91,3.7,3.8,3.8,21100
2017-01-12,3.74,3.84,3.63,3.72,3.72,8000
2017-01-13,3.76,3.94,3.75,3.86,3.86,4500
2017-01-17,3.89,3.89,3.81,3.84,3.84,29300
2017-01-18,3.82,3.95,3.81,3.87,3.87,21700
2017-01-19,3.86,3.89,3.77,3.87,3.87,15000
2017-01-20,3.93,3.93,3.71,3.83,3.83,10500
2017-01-23,3.87,3.91,3.8,3.86,3.86,8500
2017-01-24,3.89,3.95,3.84,3.9,3.9,10300
2017-01-25,3.88,3.95,3.88,3.92,3.92,27400
2017-01-26,3.91,3.94,3.87,3.89,3.89,15500
2017-01-27,3.9,4.07,3.88,3.9,3.9,44100
2017-01-30,3.93,4.07,3.89,3.93,3.93,10700
2017-01-31,3.92,3.93,3.9,3.93,3.93,7000
2017-02-01,3.9,3.93,3.9,3.93,3.93,5800
2017-02-02,3.92,3.93,3.9,3.93,3.93,6900
2017-02-03,3.9,3.94,3.9,3.94,3.94,12900
2017-02-06,3.92,3.92,3.85,3.85,3.85,33100
2017-02-07,3.87,3.95,3.86,3.86,3.86,23100
2017-02-08,3.85,3.9,3.73,3.74,3.74,14100
2017-02-09,3.63,3.7,2.93,3.08,3.08,184700
2017-02-10,3.13,3.25,3.12,3.17,3.17,46500
2017-02-13,3.08,3.19,3.08,3.1,3.1,13000
2017-02-14,3.15,3.25,3.09,3.1,3.1,58200
2017-02-15,3.07,3.19,3.07,3.12,3.12,10200
2017-02-16,3.11,3.19,3.1,3.13,3.13,14000
2017-02-17,3.2,3.2,3.11,3.17,3.17,21100
2017-02-21,3.11,3.21,3.11,3.14,3.14,6300
2017-02-22,3.11,3.15,3.06,3.14,3.14,9100
2017-02-23,3.11,3.36,3.08,3.26,3.26,189700
2017-02-24,3.47,3.47,3.23,3.28,3.28,71900
2017-02-27,3.3,3.3,3.16,3.19,3.19,29600
2017-02-28,3.13,3.37,3.12,3.14,3.14,11100
2017-03-01,3.14,3.24,3.12,3.15,3.15,15700
