Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,15.36,15.76,15.16,15.73,15.73,410800
2017-01-04,15.8,16.99,15.75,16.969998999999998,16.969998999999998,529300
2017-01-05,16.9,17.09,16.27,16.629998999999998,16.629998999999998,385300
2017-01-06,16.76,17.59,16.51,16.709999,16.709999,612600
2017-01-09,16.82,17.1,16.469998999999998,16.77,16.77,448900
2017-01-10,16.84,16.889999,16.25,16.549999,16.549999,412400
2017-01-11,16.58,16.709999,15.32,15.605,15.605,562800
2017-01-12,15.47,15.68,14.68,14.78,14.78,823700
2017-01-13,14.81,15.63,14.81,14.93,14.93,470300
2017-01-17,14.79,14.99,14.16,14.19,14.19,397400
2017-01-18,14.33,14.41,13.815,14.16,14.16,497200
2017-01-19,14.17,14.26,13.81,13.85,13.85,303500
2017-01-20,14.0,14.12,13.51,13.58,13.58,399000
2017-01-23,13.62,13.84,13.52,13.66,13.66,332600
2017-01-24,13.68,13.72,13.06,13.47,13.47,338900
2017-01-25,13.58,13.685,13.34,13.55,13.55,274700
2017-01-26,13.56,13.99,13.56,13.64,13.64,158900
2017-01-27,13.61,13.8,13.38,13.57,13.57,202900
2017-01-30,13.43,13.43,12.8,13.33,13.33,273900
2017-01-31,13.2,14.605,13.01,14.44,14.44,808800
2017-02-01,14.44,14.62,13.58,13.75,13.75,394700
2017-02-02,13.64,13.929,13.52,13.91,13.91,227400
2017-02-03,14.09,14.21,13.75,14.15,14.15,206500
2017-02-06,14.11,14.61,14.05,14.54,14.54,354100
2017-02-07,14.57,14.66,13.855,14.05,14.05,197100
2017-02-08,14.03,14.25,13.58,13.73,13.73,426200
2017-02-09,13.79,14.028,13.5,13.65,13.65,363600
2017-02-10,13.68,13.81,13.53,13.62,13.62,277800
2017-02-13,13.5,13.63,13.19,13.27,13.27,677600
2017-02-14,13.2,13.73,13.19,13.63,13.63,600700
2017-02-15,13.56,13.6,13.34,13.49,13.49,419200
2017-02-16,13.5,13.53,13.0,13.3,13.3,610400
2017-02-17,13.25,13.43,13.12,13.27,13.27,437400
2017-02-21,13.3,13.4,12.89,13.05,13.05,405600
2017-02-22,13.0,13.06,12.675,12.75,12.75,354000
2017-02-23,12.75,13.22,12.66,12.9,12.9,323800
2017-02-24,12.77,12.965,12.65,12.81,12.81,145400
2017-02-27,12.8,13.53,12.8,13.51,13.51,300000
2017-02-28,13.45,13.56,12.91,13.05,13.05,592900
2017-03-01,13.36,14.78,10.425,14.6,14.6,2661900
2017-03-02,14.63,16.9,14.61,15.12,15.12,1545600
2017-03-03,15.14,15.43,14.14,14.32,14.32,592800
2017-03-06,14.27,14.589,13.65,13.71,13.71,591800
2017-03-07,13.79,13.948,13.42,13.68,13.68,505000
2017-03-08,13.76,14.67,13.76,14.16,14.16,463900
2017-03-09,14.2,14.75,14.02,14.3,14.3,312900
2017-03-10,14.46,14.6,14.025,14.51,14.51,283600
2017-03-13,14.54,15.02,14.4,14.99,14.99,411900
2017-03-14,14.94,15.05,14.6,14.77,14.77,349100
2017-03-15,14.88,15.5,14.8,15.42,15.42,328200
2017-03-16,15.4,15.82,15.22,15.75,15.75,403800
2017-03-17,15.72,15.94,15.02,15.16,15.16,729800
2017-03-20,15.15,15.34,14.71,14.86,14.86,352000
2017-03-21,15.0,15.236,14.05,14.15,14.15,978200
2017-03-22,14.15,14.439,13.64,14.41,14.41,1482500
2017-03-23,14.34,15.01,14.2,14.8,14.8,437600
2017-03-24,14.89,14.93,14.49,14.76,14.76,217000
2017-03-27,14.57,16.27,14.54,16.200001,16.200001,757700
2017-03-28,16.27,16.58,15.62,16.07,16.07,594900
2017-03-29,16.1,16.690001000000002,15.903,16.440001000000002,16.440001000000002,421400
2017-03-30,16.469998999999998,16.5,15.65,16.26,16.26,600100
2017-03-31,16.200001,16.68,15.81,16.25,16.25,545900
2017-04-03,16.280001000000002,17.077,16.264999,16.540001,16.540001,924200
2017-04-04,16.49,16.940001000000002,14.94,15.24,15.24,854400
2017-04-05,15.22,15.22,14.063,14.53,14.53,1103900
2017-04-06,14.53,15.349,14.31,14.68,14.68,857200
2017-04-07,14.56,14.61,13.88,14.13,14.13,654000
2017-04-10,14.3,14.61,13.87,14.38,14.38,553000
2017-04-11,14.35,14.64,13.89,13.97,13.97,465500
2017-04-12,13.95,14.185,13.62,13.82,13.82,622800
2017-04-13,13.75,14.04,13.7,13.78,13.78,193700
2017-04-17,13.81,13.865,13.25,13.45,13.45,376100
2017-04-18,13.45,13.48,13.1,13.39,13.39,311900
2017-04-19,13.41,13.735,13.27,13.65,13.65,449900
2017-04-20,13.67,13.83,12.77,12.81,12.81,882000
2017-04-21,12.86,13.08,12.11,12.41,12.41,888400
2017-04-24,12.56,12.79,12.31,12.46,12.46,429800
2017-04-25,12.54,12.72,12.17,12.58,12.58,670500
2017-04-26,12.6,13.17,12.27,12.97,12.97,453100
2017-04-27,13.0,13.55,12.74,13.45,13.45,464100
2017-04-28,13.48,13.92,13.33,13.82,13.82,529200
2017-05-01,8.1,11.43,7.85,10.49,10.49,14744400
2017-05-02,10.13,10.19,9.21,9.445,9.445,4577700
2017-05-03,9.3,9.87,9.28,9.32,9.32,1194500
2017-05-04,9.33,9.66,9.042,9.3,9.3,667100
2017-05-05,9.28,9.43,9.15,9.35,9.35,386100
2017-05-08,9.32,9.47,9.14,9.28,9.28,425300
2017-05-09,9.3,9.3,9.11,9.26,9.26,351700
2017-05-10,9.28,10.655,9.14,10.52,10.52,1911100
2017-05-11,10.41,11.25,10.27,10.72,10.72,1002700
2017-05-12,10.74,11.58,10.66,11.26,11.26,811700
2017-05-15,11.24,11.5,10.75,11.16,11.16,395900
2017-05-16,11.18,11.72,11.15,11.44,11.44,514400
2017-05-17,11.32,11.43,10.67,10.74,10.74,329500
2017-05-18,10.79,11.05,10.56,10.72,10.72,572100
2017-05-19,10.71,10.99,10.61,10.69,10.69,273900
2017-05-22,10.71,10.885,10.41,10.6,10.6,249200
2017-05-23,10.6,10.756,10.465,10.6,10.6,275200
2017-05-24,10.58,10.6,10.22,10.26,10.26,445500
2017-05-25,10.3,10.761,10.16,10.49,10.49,656300
2017-05-26,10.47,10.705,10.07,10.16,10.16,406800
2017-05-30,10.13,10.4,9.99,10.22,10.22,429700
2017-05-31,10.29,10.32,9.9,10.25,10.25,419000
2017-06-01,10.25,10.89,10.25,10.65,10.65,338300
2017-06-02,10.66,10.88,10.46,10.47,10.47,343400
2017-06-05,10.49,10.52,9.79,9.94,9.94,424300
2017-06-06,9.86,9.97,9.69,9.78,9.78,327300
2017-06-07,9.82,9.89,9.41,9.72,9.72,449500
2017-06-08,9.68,9.75,9.52,9.53,9.53,313100
2017-06-09,9.6,9.85,9.35,9.64,9.64,603400
2017-06-12,9.64,10.28,9.41,9.81,9.81,839400
2017-06-13,9.89,10.18,9.62,10.13,10.13,472800
2017-06-14,10.22,10.82,10.11,10.78,10.78,470200
2017-06-15,10.64,10.88,10.24,10.5,10.5,546200
2017-06-16,10.39,10.85,10.231,10.85,10.85,1027400
2017-06-19,10.92,11.26,10.69,11.02,11.02,260700
2017-06-20,11.08,11.58,11.05,11.15,11.15,344700
2017-06-21,11.15,11.57,11.07,11.55,11.55,344400
2017-06-22,11.62,12.01,11.47,11.51,11.51,337700
2017-06-23,11.47,12.18,11.47,12.15,12.15,1651400
2017-06-26,12.18,13.0,11.82,12.78,12.78,565200
2017-06-27,12.78,13.07,12.26,12.45,12.45,586300
2017-06-28,12.57,12.7,12.29,12.6,12.6,367700
2017-06-29,12.61,12.7,12.29,12.68,12.68,371100
2017-06-30,12.67,12.67,12.23,12.42,12.42,366300
2017-07-03,12.42,12.795,12.42,12.67,12.67,201400
2017-07-05,12.67,12.88,12.58,12.82,12.82,352500
2017-07-06,12.76,12.93,11.99,12.01,12.01,421500
2017-07-07,12.04,12.27,12.03,12.25,12.25,210100
2017-07-10,12.28,12.31,11.819,11.85,11.85,186100
2017-07-11,11.87,12.0,11.76,11.87,11.87,184700
2017-07-12,11.92,12.01,11.74,11.85,11.85,313600
2017-07-13,11.82,12.09,11.71,12.0,12.0,338100
2017-07-14,12.0,12.36,11.83,11.93,11.93,216200
2017-07-17,11.91,12.71,11.86,12.4,12.4,316800
2017-07-18,12.33,12.4,11.73,12.3,12.3,353500
2017-07-19,12.38,12.66,12.31,12.43,12.43,213000
2017-07-20,12.42,12.91,12.42,12.87,12.87,198600
2017-07-21,13.0,13.27,12.53,12.58,12.58,281900
2017-07-24,12.56,12.789,12.32,12.53,12.53,221800
2017-07-25,12.64,12.72,12.3,12.35,12.35,236500
2017-07-26,12.34,12.528,12.13,12.32,12.32,210300
2017-07-27,12.35,12.35,11.54,11.66,11.66,303200
2017-07-28,11.65,12.02,11.55,11.72,11.72,237700
2017-07-31,11.74,11.97,11.44,11.57,11.57,231100
2017-08-01,11.64,11.678,11.19,11.25,11.25,178600
2017-08-02,11.24,11.35,10.68,11.21,11.21,207700
2017-08-03,11.24,11.55,10.87,10.98,10.98,157900
2017-08-04,10.96,11.47,10.83,11.35,11.35,232100
2017-08-07,11.38,11.44,10.95,10.98,10.98,198800
2017-08-08,10.99,11.28,10.72,10.79,10.79,275000
2017-08-09,10.67,11.44,10.25,11.42,11.42,352000
2017-08-10,11.47,11.57,10.67,10.77,10.77,264900
2017-08-11,10.87,11.05,10.65,11.01,11.01,225200
2017-08-14,11.16,11.67,10.755,11.62,11.62,304000
2017-08-15,11.72,11.95,11.37,11.61,11.61,324200
2017-08-16,11.64,12.25,11.51,11.59,11.59,379300
2017-08-17,11.59,11.985,10.841,11.42,11.42,351500
2017-08-18,11.28,11.47,10.99,11.11,11.11,259200
2017-08-21,11.08,11.269,10.82,10.93,10.93,216100
2017-08-22,10.96,11.37,10.85,11.27,11.27,171100
2017-08-23,15.04,15.69,13.82,14.39,14.39,7328700
2017-08-24,14.89,15.91,14.55,15.9,15.9,1855100
2017-08-25,15.9,16.68,15.07,15.27,15.27,1128800
2017-08-28,15.47,15.82,15.085,15.7,15.7,414500
2017-08-29,15.55,16.030001000000002,15.27,15.9,15.9,362600
2017-08-30,17.129998999999998,18.74,16.450001,18.290001,18.290001,1871500
2017-08-31,18.33,18.629998999999998,17.49,18.450001,18.450001,813200
2017-09-01,18.4,18.73,17.9,18.67,18.67,373800
2017-09-05,18.610001,19.26,18.379998999999998,19.18,19.18,545600
2017-09-06,19.209999,19.42,18.799999,18.969998999999998,18.969998999999998,442100
2017-09-07,20.0,22.665001,19.83,22.1,22.1,2510700
2017-09-08,22.440001000000002,22.5,21.09,21.389999,21.389999,828700
2017-09-11,21.66,21.700001,20.360001,20.9,20.9,729300
2017-09-12,21.01,21.129998999999998,20.33,20.559998999999998,20.559998999999998,712500
2017-09-13,20.559998999999998,20.91,20.280001000000002,20.459999,20.459999,500700
2017-09-14,20.25,20.389999,19.16,19.5,19.5,574500
2017-09-15,19.91,19.91,19.139999,19.74,19.74,983100
2017-09-18,19.799999,20.579,19.74,20.200001,20.200001,503800
2017-09-19,20.209999,20.65,19.860001,20.190001000000002,20.190001000000002,319400
