Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.62,3.64,3.46,3.48,3.48,61200
2017-01-04,3.47,3.65,3.41,3.56,3.56,41900
2017-01-05,3.51,3.58,3.46,3.52,3.52,33000
2017-01-06,3.49,3.6,3.49,3.55,3.55,19400
2017-01-09,3.54,3.62,3.46,3.46,3.46,103700
2017-01-10,3.5,3.58,3.47,3.53,3.53,45200
2017-01-11,3.51,3.59,3.49,3.55,3.55,31000
2017-01-12,3.54,3.58,3.48,3.48,3.48,33300
2017-01-13,3.5,3.55,3.47,3.51,3.51,19800
2017-01-17,3.52,3.57,3.51,3.53,3.53,8800
2017-01-18,3.53,3.54,3.47,3.49,3.49,39900
2017-01-19,3.47,3.55,3.31,3.37,3.37,106900
2017-01-20,3.36,3.47,3.34,3.34,3.34,20000
2017-01-23,3.31,3.36,3.07,3.14,3.14,119800
2017-01-24,3.14,3.38,3.14,3.3,3.3,81200
2017-01-25,3.27,3.37,3.26,3.3,3.3,20200
2017-01-26,3.3,3.37,3.22,3.26,3.26,28700
2017-01-27,3.25,3.29,3.19,3.23,3.23,42800
2017-01-30,3.21,3.29,3.06,3.09,3.09,47600
2017-01-31,3.07,3.15,3.07,3.08,3.08,49300
2017-02-01,3.07,3.18,3.07,3.11,3.11,42200
2017-02-02,3.15,3.3,3.08,3.11,3.11,57700
2017-02-03,3.09,3.17,3.08,3.09,3.09,40200
2017-02-06,3.08,3.11,3.01,3.06,3.06,100100
2017-02-07,3.08,3.16,3.03,3.03,3.03,33100
2017-02-08,3.04,3.08,3.04,3.05,3.05,23400
2017-02-09,3.03,3.13,3.03,3.05,3.05,76900
2017-02-10,3.04,3.12,3.02,3.02,3.02,48500
2017-02-13,3.01,3.15,3.01,3.03,3.03,57500
2017-02-14,3.02,3.11,3.02,3.03,3.03,29000
2017-02-15,3.03,3.16,3.03,3.07,3.07,105800
2017-02-16,3.09,3.2,3.09,3.14,3.14,68900
2017-02-17,3.17,3.55,3.17,3.33,3.33,119000
2017-02-21,3.35,3.46,3.33,3.38,3.38,83900
2017-02-22,3.41,3.42,3.34,3.37,3.37,33600
2017-02-23,3.4,3.4,3.17,3.19,3.19,65400
2017-02-24,3.21,3.37,3.18,3.18,3.18,38400
2017-02-27,3.21,3.29,3.19,3.29,3.29,44400
2017-02-28,3.28,3.28,3.18,3.18,3.18,10100
2017-03-01,3.27,3.27,3.16,3.22,3.22,46200
2017-03-02,3.22,3.27,3.15,3.21,3.21,35800
