Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2.5,2.65,2.484,2.65,2.65,6400
2017-01-04,2.65,2.7,2.623,2.66,2.66,18600
2017-01-05,2.685,2.8,2.65,2.79,2.79,24500
2017-01-06,2.65,2.79,2.625,2.78,2.78,3500
2017-01-09,2.78,3.05,2.774,3.04,3.04,88700
2017-01-10,3.02,3.02,2.76,2.92,2.92,24800
2017-01-11,2.9,3.05,2.66,3.0,3.0,28400
2017-01-12,3.01,3.035,3.01,3.03,3.03,6100
2017-01-13,3.04,3.32,3.04,3.11,3.11,62200
2017-01-17,3.17,3.4,3.15,3.38,3.38,58900
2017-01-18,3.35,3.35,3.164,3.22,3.22,13900
2017-01-19,3.17,3.21,3.148,3.18,3.18,7800
2017-01-20,3.146,3.2,3.13,3.2,3.2,10100
2017-01-23,3.23,3.249,3.16,3.24,3.24,16100
2017-01-24,3.241,3.282,3.188,3.27,3.27,12500
2017-01-25,3.29,3.4,3.187,3.37,3.37,23900
2017-01-26,3.4,3.45,3.34,3.45,3.45,27500
2017-01-27,3.45,3.5,3.29,3.46,3.46,37900
2017-01-30,3.5,3.6,3.35,3.5,3.5,23000
2017-01-31,3.5,3.7,3.43,3.65,3.65,20200
2017-02-01,3.61,3.813,3.61,3.73,3.73,31900
2017-02-02,3.78,3.9,3.561,3.9,3.9,15500
2017-02-03,3.95,4.74,3.85,4.51,4.51,138800
2017-02-06,4.5,4.6,4.091,4.38,4.38,46200
2017-02-07,4.4,4.576,4.27,4.27,4.27,61800
2017-02-08,4.16,4.217,4.05,4.06,4.06,42200
2017-02-09,4.14,4.14,4.02,4.14,4.14,39200
2017-02-10,4.14,4.14,3.9,4.14,4.14,38200
2017-02-13,4.12,4.15,4.02,4.06,4.06,17800
2017-02-14,4.09,4.09,3.848,4.0,4.0,30300
2017-02-15,3.954,4.03,3.95,4.0,4.0,12600
2017-02-16,4.03,4.03,3.81,3.91,3.91,23400
2017-02-17,3.86,3.94,3.75,3.83,3.83,10900
2017-02-21,3.9,3.9,3.82,3.835,3.835,5500
2017-02-22,3.788,3.85,3.76,3.8,3.8,10800
2017-02-23,3.77,3.9,3.77,3.8,3.8,10300
2017-02-24,3.76,3.927,3.76,3.9,3.9,20200
2017-02-27,3.95,4.0,3.86,4.0,4.0,10100
2017-02-28,4.0,4.271,3.8,4.13,4.13,40900
2017-03-01,4.15,4.3,4.02,4.21,4.21,48200
2017-03-02,4.16,4.44,4.077,4.43,4.43,40800
2017-03-03,4.45,4.476,4.208,4.4,4.4,20700
2017-03-06,4.46,4.6,4.386,4.51,4.51,67300
2017-03-07,4.46,4.65,4.46,4.61,4.61,72700
2017-03-08,4.65,4.65,4.503,4.546,4.546,49800
2017-03-09,4.54,4.576,3.9,4.04,4.04,120700
2017-03-10,4.012,4.265,3.805,3.85,3.85,123400
2017-03-13,3.98,4.09,3.903,4.04,4.04,15500
2017-03-14,4.06,4.084,4.01,4.03,4.03,63200
2017-03-15,4.03,4.06,3.98,4.06,4.06,119400
2017-03-16,4.05,4.07,3.99,3.99,3.99,40200
2017-03-17,3.96,4.1,3.88,4.09,4.09,36600
2017-03-20,4.05,4.05,3.85,3.882,3.882,19600
2017-03-21,3.824,3.88,3.75,3.75,3.75,26000
2017-03-22,3.78,3.78,3.569,3.6,3.6,46600
2017-03-23,3.64,3.64,3.45,3.46,3.46,47700
2017-03-24,3.54,3.63,3.311,3.37,3.37,90100
2017-03-27,3.35,3.492,3.06,3.16,3.16,185000
2017-03-28,3.1,3.99,3.09,3.63,3.63,159300
2017-03-29,3.65,4.05,3.29,3.88,3.88,79200
2017-03-30,3.8,4.16,3.745,4.16,4.16,54000
2017-03-31,4.25,4.45,4.102,4.2,4.2,61600
2017-04-03,4.21,4.35,4.15,4.15,4.15,29500
2017-04-04,4.2,4.275,3.95,3.96,3.96,91900
2017-04-05,3.96,4.027,3.81,3.81,3.81,64300
2017-04-06,3.9,3.98,3.77,3.97,3.97,18200
2017-04-07,3.81,3.958,3.81,3.83,3.83,49500
2017-04-10,3.83,3.9,3.83,3.86,3.86,3000
2017-04-11,3.89,3.92,3.85,3.91,3.91,13300
2017-04-12,3.94,3.94,3.92,3.92,3.92,2300
2017-04-13,3.75,3.9,3.7,3.85,3.85,12200
2017-04-17,3.939,3.939,3.8,3.88,3.88,7900
2017-04-18,3.77,3.874,3.77,3.84,3.84,5800
2017-04-19,3.83,3.93,3.815,3.85,3.85,20500
2017-04-20,3.81,3.9,3.81,3.9,3.9,16100
2017-04-21,3.82,4.04,3.82,3.98,3.98,28000
2017-04-24,3.95,3.95,3.75,3.85,3.85,24000
2017-04-25,3.8,3.8,3.73,3.78,3.78,9900
2017-04-26,3.78,3.83,3.776,3.83,3.83,16100
2017-04-27,3.84,3.85,3.77,3.81,3.81,12900
2017-04-28,3.82,3.82,3.7,3.8,3.8,5700
2017-05-01,3.85,3.85,3.77,3.8,3.8,7700
2017-05-02,3.78,3.8,3.78,3.8,3.8,2800
2017-05-03,3.79,3.845,3.71,3.75,3.75,27800
2017-05-04,3.72,3.75,3.6,3.61,3.61,27100
2017-05-05,3.59,3.65,3.57,3.6,3.6,4400
2017-05-08,3.6,3.6,3.56,3.57,3.57,1900
2017-05-09,3.57,3.92,3.54,3.88,3.88,13000
2017-05-10,3.87,3.87,3.573,3.85,3.85,3700
2017-05-11,3.87,4.19,3.8,4.14,4.14,48000
2017-05-12,3.8,4.135,3.8,4.13,4.13,11200
2017-05-15,4.07,4.08,3.86,3.89,3.89,10800
2017-05-16,3.95,3.95,3.8,3.95,3.95,4600
2017-05-17,3.95,3.95,3.821,3.91,3.91,15200
2017-05-18,3.87,4.06,3.824,4.02,4.02,8700
2017-05-19,4.029,4.1,3.99,4.1,4.1,22700
2017-05-22,4.1,4.11,3.88,4.02,4.02,39700
2017-05-23,4.007,4.02,3.985,4.01,4.01,4100
2017-05-24,4.0,4.03,4.0,4.03,4.03,2200
2017-05-25,4.03,4.06,3.961,4.0,4.0,6400
2017-05-26,4.03,4.095,3.9,4.06,4.06,14900
2017-05-30,4.06,4.06,3.89,3.96,3.96,5200
2017-05-31,3.88,3.99,3.87,3.93,3.93,3800
2017-06-01,3.99,4.01,3.96,3.99,3.99,3000
2017-06-02,4.01,4.05,3.855,4.018,4.018,7000
2017-06-05,4.02,4.02,3.861,3.99,3.99,4900
2017-06-06,3.92,4.0,3.9,4.0,4.0,2400
2017-06-07,3.996,4.02,3.92,3.92,3.92,10500
2017-06-08,3.93,4.0,3.88,3.9,3.9,57100
2017-06-09,3.901,3.92,3.8,3.8,3.8,51200
2017-06-12,3.86,3.933,3.8,3.81,3.81,5700
2017-06-13,3.8,3.88,3.76,3.766,3.766,37500
2017-06-14,3.88,3.95,3.6,3.66,3.66,157900
2017-06-15,3.72,3.73,3.69,3.72,3.72,37200
2017-06-16,3.74,3.74,3.627,3.69,3.69,13600
2017-06-19,3.72,3.8,3.68,3.71,3.71,15100
2017-06-20,3.65,3.69,3.5,3.5,3.5,15200
2017-06-21,3.59,3.59,3.41,3.461,3.461,8700
2017-06-22,3.5,3.51,3.42,3.48,3.48,14100
2017-06-23,3.558,3.75,3.558,3.75,3.75,14400
2017-06-26,3.72,3.75,3.61,3.65,3.65,3300
2017-06-27,3.687,3.74,3.65,3.67,3.67,13300
2017-06-28,3.6,3.679,3.56,3.57,3.57,30200
2017-06-29,3.57,3.73,3.42,3.72,3.72,66300
2017-06-30,3.85,3.85,3.677,3.8,3.8,78400
2017-07-03,3.8,3.89,3.46,3.8,3.8,53700
2017-07-05,3.76,3.89,3.62,3.68,3.68,61600
2017-07-06,3.696,3.82,3.64,3.7,3.7,32900
2017-07-07,3.85,3.873,3.56,3.6,3.6,33500
2017-07-10,3.65,3.65,3.57,3.65,3.65,37300
2017-07-11,3.65,3.65,3.515,3.57,3.57,26200
2017-07-12,3.6,3.6,3.48,3.49,3.49,8100
2017-07-13,3.564,3.67,3.46,3.65,3.65,30700
