Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,15.45,16.5,15.45,16.5,16.5,90900
2017-01-04,16.5,17.65,16.35,17.65,17.65,83600
2017-01-05,17.5,18.799999,16.9,17.0,17.0,398000
2017-01-06,17.200001,17.700001,16.1,16.25,16.25,115000
2017-01-09,16.1,16.200001,15.35,15.6,15.6,108900
2017-01-10,15.65,16.200001,15.4,16.0,16.0,119100
2017-01-11,16.0,16.0,15.25,15.55,15.55,180900
2017-01-12,15.3,15.775,15.26,15.3,15.3,138500
2017-01-13,15.25,15.41,15.25,15.3,15.3,47800
2017-01-17,15.2,15.6,15.1,15.15,15.15,99000
2017-01-18,15.05,15.3,15.05,15.2,15.2,53800
2017-01-19,15.25,15.75,15.15,15.6,15.6,336900
2017-01-20,15.65,15.85,15.4,15.75,15.75,191900
2017-01-23,15.7,15.7,15.366,15.5,15.5,79600
2017-01-24,15.5,15.7,15.35,15.55,15.55,74200
2017-01-25,15.5,15.95,15.15,15.55,15.55,278400
2017-01-26,15.45,15.825,15.175,15.25,15.25,193600
2017-01-27,15.25,15.45,15.186,15.3,15.3,147500
2017-01-30,15.4,15.9,15.15,15.8,15.8,202600
2017-01-31,15.75,15.916,15.25,15.35,15.35,176900
2017-02-01,15.4,15.55,15.15,15.2,15.2,62300
2017-02-02,15.15,15.55,15.05,15.45,15.45,170300
2017-02-03,15.4,15.75,15.2,15.65,15.65,85600
2017-02-06,15.6,15.9,15.45,15.75,15.75,54500
2017-02-07,15.75,16.700001,15.6,16.5,16.5,138200
2017-02-08,16.5,17.25,15.95,16.950001,16.950001,192700
2017-02-09,16.799999,16.799999,15.85,16.35,16.35,126400
2017-02-10,16.35,16.85,16.249001,16.85,16.85,51500
2017-02-13,16.75,17.65,16.450001,17.65,17.65,184400
2017-02-14,17.450001,17.9,17.0,17.9,17.9,188200
2017-02-15,18.15,18.475,17.9,18.25,18.25,213200
2017-02-16,18.6,18.6,17.75,18.299999,18.299999,139900
2017-02-17,18.5,19.4,18.1,19.1,19.1,133900
2017-02-21,19.1,19.75,18.65,19.75,19.75,168400
2017-02-22,19.6,20.65,19.530001000000002,20.549999,20.549999,223300
2017-02-23,19.549999,19.950001,18.35,19.1,19.1,240100
2017-02-24,19.0,19.15,18.4,18.6,18.6,101100
2017-02-27,18.5,19.200001,18.5,18.65,18.65,104400
2017-02-28,18.6,18.700001,18.0,18.549999,18.549999,152500
2017-03-01,18.549999,18.75,17.75,18.0,18.0,75800
2017-03-02,17.9,18.35,17.85,18.299999,18.299999,72600
2017-03-03,18.15,18.35,17.9,17.9,17.9,61900
2017-03-06,17.9,18.25,17.176001,18.1,18.1,46600
2017-03-07,18.0,18.299999,17.799999,18.15,18.15,104500
2017-03-08,18.25,18.85,17.801001,18.75,18.75,129200
2017-03-09,18.75,18.950001,18.5,18.75,18.75,76100
2017-03-10,18.9,19.1,18.6,18.950001,18.950001,67300
2017-03-13,19.049999,19.65,19.049999,19.200001,19.200001,79400
2017-03-14,19.1,19.200001,18.549999,18.700001,18.700001,36400
2017-03-15,18.6,19.299999,18.6,19.200001,19.200001,42400
2017-03-16,19.200001,19.6,19.174999,19.549999,19.549999,26700
2017-03-17,19.35,19.950001,19.275,19.950001,19.950001,124100
2017-03-20,19.9,19.9,19.049999,19.200001,19.200001,66700
2017-03-21,20.0,20.549999,19.049999,19.65,19.65,153700
2017-03-22,19.5,19.5,18.049999,19.1,19.1,127600
2017-03-23,19.049999,19.799999,19.0,19.4,19.4,58100
2017-03-24,19.299999,19.799999,19.299999,19.4,19.4,64100
2017-03-27,19.200001,19.9,19.200001,19.4,19.4,51200
2017-03-28,19.799999,20.6,19.700001,20.450001,20.450001,102500
2017-03-29,20.35,21.5,20.200001,21.200001,21.200001,144100
2017-03-30,20.85,21.5,20.85,21.4,21.4,106500
2017-03-31,21.35,21.6,21.1,21.450001,21.450001,69000
2017-04-03,21.6,21.75,21.1,21.200001,21.200001,59900
2017-04-04,21.049999,21.4,21.0,21.200001,21.200001,95400
2017-04-05,21.25,21.4,20.450001,20.6,20.6,102200
2017-04-06,20.549999,21.299999,20.549999,20.950001,20.950001,58100
2017-04-07,20.9,20.9,20.450001,20.5,20.5,142700
2017-04-10,20.4,21.15,20.4,20.9,20.9,29600
2017-04-11,20.799999,21.35,20.799999,21.25,21.25,49400
2017-04-12,21.15,21.35,21.049999,21.1,21.1,23800
2017-04-13,21.200001,21.25,20.6,20.700001,20.700001,31000
2017-04-17,20.700001,21.1,20.6,20.65,20.65,41600
2017-04-18,20.6,21.049999,20.6,20.9,20.9,50400
2017-04-19,20.950001,21.25,20.950001,21.15,21.15,38800
2017-04-20,21.35,22.1,21.35,21.450001,21.450001,63800
2017-04-21,21.450001,21.85,21.049999,21.5,21.5,49500
2017-04-24,21.5,22.0,21.5,21.6,21.6,55200
2017-04-25,21.799999,21.950001,21.6,21.700001,21.700001,114800
2017-04-26,21.65,22.299999,21.65,22.299999,22.299999,98200
2017-04-27,22.299999,23.15,22.0,22.950001,22.950001,158700
2017-04-28,22.9,23.75,22.75,23.6,23.6,178600
2017-05-01,23.6,24.799999,23.450001,24.15,24.15,287000
2017-05-02,24.200001,24.575001,23.75,24.049999,24.049999,109600
2017-05-03,24.15,24.325001,22.75,23.950001,23.950001,112600
2017-05-04,23.9,24.049999,22.5,22.75,22.75,136600
2017-05-05,22.6,22.700001,21.85,22.15,22.15,85800
2017-05-08,22.1,22.35,21.65,22.0,22.0,58000
2017-05-09,21.950001,22.1,21.65,21.9,21.9,49800
2017-05-10,21.75,22.200001,21.4,21.85,21.85,61200
2017-05-11,21.75,21.9,20.9,21.75,21.75,92900
2017-05-12,21.6,21.6,20.4,20.5,20.5,124700
2017-05-15,20.6,20.85,19.200001,19.299999,19.299999,116100
2017-05-16,19.35,19.6,18.85,19.4,19.4,110800
2017-05-17,19.25,19.35,18.549999,18.65,18.65,85500
2017-05-18,18.549999,18.799999,18.450001,18.5,18.5,72400
2017-05-19,18.5,18.75,18.0,18.1,18.1,82900
2017-05-22,18.15,18.6,17.9,18.299999,18.299999,71700
2017-05-23,18.35,18.6,17.950001,18.1,18.1,46600
2017-05-24,18.0,18.6,17.950001,18.450001,18.450001,70500
2017-05-25,18.549999,18.85,18.1,18.1,18.1,67400
2017-05-26,18.1,18.4,17.950001,18.15,18.15,42400
2017-05-30,18.1,18.1,17.6,17.9,17.9,90000
2017-05-31,17.9,19.200001,17.5,17.6,17.6,106400
2017-06-01,17.549999,17.85,17.0,17.049999,17.049999,87800
2017-06-02,17.200001,17.25,16.700001,17.0,17.0,168000
2017-06-05,16.9,17.1,16.450001,16.65,16.65,228400
2017-06-06,16.049999,16.799999,14.95,14.95,14.95,468800
2017-06-07,14.95,15.9,14.9,15.125,15.125,99500
2017-06-08,15.0,15.85,14.9,15.3,15.3,140500
2017-06-09,15.55,15.8,15.225,15.75,15.75,98700
2017-06-12,15.75,16.200001,15.65,16.049999,16.049999,78300
2017-06-13,16.450001,16.700001,16.1,16.25,16.25,140200
2017-06-14,16.299999,16.35,15.7,15.95,15.95,45000
2017-06-15,15.75,15.95,15.3,15.35,15.35,42900
2017-06-16,15.25,16.299999,15.25,16.25,16.25,156600
2017-06-19,16.1,16.450001,15.95,16.1,16.1,94700
2017-06-20,16.049999,16.299999,15.95,16.25,16.25,43100
2017-06-21,16.1,16.65,15.9,16.5,16.5,100400
2017-06-22,16.450001,16.85,15.9,16.0,16.0,78300
2017-06-23,16.0,16.85,16.0,16.549999,16.549999,337100
2017-06-26,16.65,16.65,15.15,15.4,15.4,92400
2017-06-27,15.3,15.5,14.9,14.95,14.95,94300
2017-06-28,14.95,15.214,14.85,15.0,15.0,51300
2017-06-29,15.0,15.15,14.45,14.7,14.7,102400
2017-06-30,14.6,15.0,14.55,14.9,14.9,68500
2017-07-03,14.8,14.85,14.4,14.65,14.65,32000
2017-07-05,14.65,14.65,14.35,14.35,14.35,72400
2017-07-06,14.3,14.65,14.2,14.25,14.25,152600
2017-07-07,14.3,14.5,14.2,14.4,14.4,80900
2017-07-10,14.35,14.45,14.1,14.2,14.2,95400
2017-07-11,14.25,14.395,14.1,14.2,14.2,58900
2017-07-12,14.15,14.5,14.0,14.2,14.2,71500
2017-07-13,14.35,14.35,13.95,14.15,14.15,169400
2017-07-14,14.25,14.3,13.7,14.05,14.05,400800
2017-07-17,14.05,14.1,13.9,14.0,14.0,751200
2017-07-18,14.1,14.1,13.9,14.0,14.0,141100
2017-07-19,13.95,14.0,13.15,13.55,13.55,210200
2017-07-20,13.6,13.745,13.4,13.45,13.45,146900
2017-07-21,13.7,13.85,13.225,13.3,13.3,96000
2017-07-24,13.4,13.75,13.3,13.5,13.5,685300
2017-07-25,13.65,13.65,13.3,13.35,13.35,138700
2017-07-26,13.5,13.6,13.15,13.4,13.4,1969300
2017-07-27,13.45,13.75,13.248,13.45,13.45,368100
2017-07-28,13.4,13.7,13.15,13.25,13.25,247600
2017-07-31,13.25,13.8,12.9,13.5,13.5,426000
2017-08-01,13.6,14.95,13.25,13.25,13.25,160000
2017-08-02,13.2,13.35,13.0,13.0,13.0,215000
2017-08-03,13.1,13.6,13.05,13.2,13.2,186200
2017-08-04,13.3,13.5,13.0,13.2,13.2,178500
2017-08-07,13.25,14.05,13.25,13.5,13.5,336100
2017-08-08,13.55,13.95,13.455,13.6,13.6,127500
2017-08-09,13.5,13.9,13.45,13.75,13.75,87000
2017-08-10,13.65,13.65,12.65,12.8,12.8,310100
2017-08-11,12.9,13.3,12.75,13.25,13.25,306900
2017-08-14,13.2,13.25,12.85,13.1,13.1,152900
2017-08-15,13.25,13.55,13.05,13.35,13.35,135400
2017-08-16,13.35,14.1,13.3,13.5,13.5,476200
2017-08-17,13.4,13.65,13.1,13.3,13.3,133400
2017-08-18,13.15,13.5,13.05,13.05,13.05,126300
2017-08-21,13.0,13.3,12.45,12.75,12.75,176800
2017-08-22,12.7,12.75,12.1,12.2,12.2,232000
2017-08-23,12.05,12.05,11.75,11.85,11.85,272300
2017-08-24,12.05,13.01,12.03,12.9,12.9,250300
2017-08-25,12.9,13.05,12.55,12.65,12.65,256800
2017-08-28,12.65,13.25,12.5,13.2,13.2,257200
2017-08-29,13.2,13.9,13.05,13.85,13.85,473400
2017-08-30,13.75,14.5,13.6,13.85,13.85,947100
2017-08-31,13.75,13.9,12.0,12.15,12.15,1320800
2017-09-01,12.25,12.55,11.8,11.95,11.95,501900
2017-09-05,11.9,11.9,11.2,11.35,11.35,363100
2017-09-06,11.7,12.35,11.5,11.85,11.85,487800
2017-09-07,12.0,12.1,11.7,11.9,11.9,139200
2017-09-08,12.3,12.55,11.95,12.45,12.45,435900
2017-09-11,12.4,12.45,12.05,12.2,12.2,166500
2017-09-12,12.2,12.3,11.75,11.85,11.85,175500
2017-09-13,11.75,12.1,11.75,11.95,11.95,275300
2017-09-14,12.0,12.1,11.85,11.9,11.9,96800
2017-09-15,11.95,12.05,11.8,11.9,11.9,343600
2017-09-18,11.9,12.05,11.45,11.75,11.75,422600
2017-09-19,11.8,11.9,11.6,11.7,11.7,218700
2017-09-20,11.65,11.95,11.4,11.75,11.75,285200
2017-09-21,11.75,11.8,11.4,11.75,11.75,233000
2017-09-22,11.85,12.225,11.85,12.0,12.0,558200
2017-09-25,12.0,12.05,11.8,11.9,11.9,274900
2017-09-26,11.9,12.1,11.573,12.05,12.05,429400
2017-09-27,12.1,13.05,12.05,12.95,12.95,224500
2017-09-28,12.8,13.4,12.8,13.15,13.15,260300
2017-09-29,13.1,13.499,13.0,13.2,13.2,115430
